dataset,workload,num_traces,ipc,stlb_mpki,stlb_miss_rate,demand_data_miss_rate,demand_instruction_miss_rate,l1d_prefetch_miss_rate,l1i_prefetch_miss_rate,other_miss_rate,demand_data_share,demand_instruction_share,l1d_prefetch_share,l1i_prefetch_share,other_share
spec17,600.perlbench_s,3,2.5701795976077331,0.017359999305600029,0.02846772782928109,0.02717771558509708,0.0012900122441840125,0,0,0,0.95468509984639016,0.045314900153609831,0,0,0
spec17,602.gcc_s,4,0.36106733394716806,0.48623497325707649,0.31721184207092717,0.31542104851126013,0.0017907935596670234,0,0,0,0.99435458163233825,0.0056454183676617276,0,0,0
spec17,603.bwaves_s,7,1.5122517160724707,0.16342570868254713,0.30745208071295727,0.30745208071295727,0,0,0,0,1,0,0,0,0
spec17,605.mcf_s,9,0.26931530855922664,6.5609931729535003,0.28096761177525231,0.28096761177525231,0,0,0,0,1,0,0,0,0
spec17,607.cactuBSSN_s,4,2.1722910426141904,0.044279996457600286,0.0013812283949115396,0.001367659416777246,1.356897813429358e-05,0,0,0,0.99017615176151763,0.0098238482384823845,0,0,0
spec17,619.lbm_s,4,0.58133625231380648,0.60695497268702625,0.54258053269804096,0.54258053269804096,0,0,0,0,1,0,0,0,0
spec17,620.omnetpp_s,2,0.50086426873954581,4.5738997713050118,0.22831006922328953,0.22765467421926633,0.0006553950040232169,0,0,0,0.99712936443735101,0.0028706355626489429,0,0,0
spec17,621.wrf_s,4,1.1910194766840039,0.087674996493000146,0.12958364740832706,0.12879291742414165,0.00079072998418540028,0,0,0,0.9938979184488167,0.0061020815511833477,0,0,0
spec17,623.xalancbmk_s,6,0.90788830104159979,1.3409699687107006,0.099074886331004711,0.098579623955232815,0.00049526237577189266,0,0,0,0.99500113102207111,0.0049988689779289124,0,0,0
spec17,625.x264_s,5,3.4624080688464605,0.010819999350800039,0.010751790640178706,0.010719992368414777,3.1798271763929627e-05,0,0,0,0.9970425138632163,0.0029574861367837337,0,0,0
spec17,627.cam4_s,2,2.0374609011708666,0.01199999940000003,0.022900763358778626,0.022767175572519085,0.00013358778625954199,0,0,0,0.99416666666666664,0.0058333333333333336,0,0,0
spec17,628.pop2_s,1,2.1009000000000002,0.048840000000000001,0.056060606060606061,0.055991735537190085,6.8870523415977955e-05,0,0,0,0.99877149877149873,0.0012285012285012285,0,0,0
spec17,631.deepsjeng_s,1,1.6637200000000001,0.18107998551360116,0.65618205537034358,0.65603710682707639,0.00014494854326714017,0,0,0,0.99977910315882479,0.00022089684117517121,0,0,0
spec17,638.imagick_s,3,3.1716350709282675,0.0018799999874666668,0.0067184447515128412,0.0067184447515128412,0,0,0,0,1,0,0,0,0
spec17,641.leela_s,7,1.5992117103830914,0.0023799999524000011,0.0047885121696041571,0.0047885121696041571,0,0,0,0,1,0,0,0,0
spec17,644.nab_s,5,1.7907059911400942,0.012535999297984039,0.052410656052979246,0.052410656052979246,0,0,0,0,1,0,0,0,0
spec17,648.exchange2_s,10,2.5812294538659111,0.00028199998533600079,1,0.31914893617021278,0.68085106382978722,0,0,0,0.31914893617021278,0.68085106382978722,0,0,0
spec17,649.fotonik3d_s,5,1.0088045115030704,0.78941199052705613,0.63433080483414761,0.63433080483414761,0,0,0,0,1,0,0,0,0
spec17,654.roms_s,9,1.1055474357894839,0.27224887376395146,0.77476474754629165,0.77460032378832333,0.00016442375796822827,0,0,0,0.99978777589134127,0.00021222410865874363,0,0,0
spec17,657.xz_s,4,1.7680254533165187,0.38167499236650015,0.13395700951307982,0.13395700951307982,0,0,0,0,1,0,0,0,0
gap,gap.bc.twitter-10B,1,0.16208299999999998,35.619399999999999,0.96827895167494415,0.96827895167494415,0,0,0,0,1,0,0,0,0
gap,gap.bc.web-10B,1,0.66917899999999997,0.81371991862800819,0.15518168607423061,0.15518168607423061,0,0,0,0,1,0,0,0,0
gap,gap.bfs.twitter-10B,1,0.73005500000000001,0.3236399870544005,0.61216614965574634,0.61182567904970875,0.00034047060603767875,0,0,0,0.99944382647385988,0.00055617352614015572,0,0,0
gap,gap.bfs.web-10B,1,0.61631199999999997,0.17241999999999999,0.71817727424191935,0.71817727424191935,0,0,0,0,1,0,0,0,0
gap,gap.cc.twitter-10B,1,0.38382500000000003,2.547699898092004,0.71988448844884489,0.71988448844884489,0,0,0,0,1,0,0,0,0
gap,gap.cc.web-10B,1,0.53832000000000002,0.98377998032440039,0.91928309785452644,0.91928309785452644,0,0,0,0,1,0,0,0,0
gap,gap.pr.twitter-10B,1,0.033393800000000008,121.26523029878157,0.79972939898771267,0.79972939898771267,0,0,0,0,1,0,0,0,0
gap,gap.pr.web-10B,1,0.324762,0.44053999999999999,0.67700393410376203,0.67700393410376203,0,0,0,0,1,0,0,0,0
gap,gap.tc.twitter-10B,1,0.27386500000000003,0.21071999157120033,0.69978746014877791,0.69972104144527103,6.6418703506907541e-05,0,0,0,0.99990508731966588,9.4912680334092639e-05,0,0,0
gap,gap.tc.web-10B,1,0.66502300000000003,0.031660000000000001,0.2917972350230415,0.29161290322580646,0.00018433179723502304,0,0,0,0.99936828806064437,0.00063171193935565378,0,0,0
spec17,gmean_spec17,95,1.2443931418506486,0.9543054357128995,0.17704690383683105,0.17687790091734176,0.00016900291948930576,0,0,0,0.99904543419948721,0.00095456580051273443,0,0,0
gap,gmean_gap,10,0.33878283621521821,16.240881480291794,0.81163381910444266,0.81163271966021178,1.0994442309412592e-06,0,0,0,0.99999864539376615,1.3546062338240004e-06,0,0,0
