dataset,workload,trace_tag,trace_name,instructions,cycles,ipc,stlb_access,stlb_hit,stlb_miss,stlb_mpki,stlb_miss_rate,demand_data_miss,demand_data_miss_rate,demand_instruction_miss,demand_instruction_miss_rate,l1d_prefetch_miss,l1d_prefetch_miss_rate,l1i_prefetch_miss,l1i_prefetch_miss_rate,other_miss,other_miss_rate
spec17,600.perlbench_s,600.perlbench_s-1273B,600.perlbench_s-1273B.champsimtrace.xz,50000001,17448731,2.8655400000000002,4131,3862,269,0.0053800000000000002,0.065117400000000006,258,0.062454599999999999,6,0.00145243,5,0.00121036,0,0,0,0
spec17,600.perlbench_s,600.perlbench_s-210B,600.perlbench_s-210B.champsimtrace.xz,50000005,18095044,2.7631899999999998,30154,29959,195,0.0038999999999999998,0.0064668,183,0.0060688499999999998,0,0,12,0.000397957,0,0,0,0
spec17,600.perlbench_s,600.perlbench_s-570B,600.perlbench_s-570B.champsimtrace.xz,50000000,22061955,2.26634,58841,56637,2204,0.044080000000000001,0.037456900000000001,1964,0.033378100000000001,115,0.0019544200000000001,125,0.00212437,0,0,0,0
spec17,602.gcc_s,602.gcc_s-1850B,602.gcc_s-1850B.champsimtrace.xz,50000003,37901140,1.3192200000000001,16221,1015,15206,0.30412,0.93742700000000001,14346,0.884409,0,0,860,0.053017700000000001,0,0,0,0
spec17,602.gcc_s,602.gcc_s-2226B,602.gcc_s-2226B.champsimtrace.xz,50000000,86999508,0.574716,68096,2398,65698,1.31396,0.964785,59570,0.87479399999999996,0,0,6128,0.089990600000000004,0,0,0,0
spec17,602.gcc_s,602.gcc_s-2375B,602.gcc_s-2375B.champsimtrace.xz,50000003,41602784,1.20184,222130,215226,6904,0.13808000000000001,0.031080900000000002,5763,0.0259443,591,0.0026605999999999999,550,0.0024760300000000002,0,0,0,0
spec17,602.gcc_s,602.gcc_s-734B,602.gcc_s-734B.champsimtrace.xz,50000000,22338424,2.2383000000000002,15747,4916,10831,0.21662000000000001,0.68781400000000004,9923,0.63015200000000005,5,0.00031752100000000003,903,0.057344300000000001,0,0,0,0
spec17,603.bwaves_s,603.bwaves_s-1080B,603.bwaves_s-1080B.champsimtrace.xz,50000001,19923976,2.5095399999999999,26,2,24,0.00048000000000000001,0.92307700000000004,21,0.80769199999999997,0,0,3,0.115385,0,0,0,0
spec17,603.bwaves_s,603.bwaves_s-1740B,603.bwaves_s-1740B.champsimtrace.xz,50000002,19467174,2.5684300000000002,70614,55769,14845,0.2969,0.210227,13814,0.195627,0,0,1031,0.014600500000000001,0,0,0,0
spec17,603.bwaves_s,603.bwaves_s-2609B,603.bwaves_s-2609B.champsimtrace.xz,50000003,19438596,2.5722,30064,15215,14849,0.29698000000000002,0.49391299999999999,13720,0.45635999999999999,0,0,1129,0.037553200000000002,0,0,0,0
