dataset,workload,num_traces,ipc,stlb_mpki,stlb_miss_rate,demand_data_miss_rate,demand_instruction_miss_rate,l1d_prefetch_miss_rate,l1i_prefetch_miss_rate,other_miss_rate,demand_data_share,demand_instruction_share,l1d_prefetch_share,l1i_prefetch_share,other_share
spec06,429.mcf,4,0.18446403181915189,5.6574597737016088,0.062395628580432891,0.062395628580432891,0,0,0,0,1,0,0,0,0
spec06,433.milc,3,0.75685065735536294,1.2923066494359114,0.91136300593796871,0.91131599114241246,4.7014795556161524e-05,0,0,0,0.99994841265747036,5.158734252963693e-05,0,0,0
spec06,436.cactusADM,1,1.4220999999999999,9.85276,0.37437513963890706,0.37437513963890706,0,0,0,0,1,0,0,0,0
spec06,450.soplex,1,0.440305,1.07792,0.21440306790199581,0.21436726510380821,3.5802798187582795e-05,0,0,0,0.99983301172628769,0.00016698827371233486,0,0,0
spec06,459.GemsFDTD,4,0.81275634745473435,2.8707247559883959,0.28338956915920693,0.28338611406165476,3.4550975522114598e-06,0,0,0,0.99998780795792008,1.219204207996238e-05,0,0,0
spec06,471.omnetpp,1,0.40694399999999997,4.3267995673200437,0.22350605100739923,0.22346989166661502,3.6159340784223781e-05,0,0,0,0.99983821762041236,0.00016178237958768606,0,0,0
spec06,473.astar,2,0.32264006720337757,9.0872895456355227,0.32372923320265118,0.32372638325083314,2.8499518180020771e-06,0,0,0,0.99999119649532475,8.8035046752112015e-06,0,0,0
spec06,483.xalancbmk,2,0.65777289752619028,2.2854899542902007,0.39252591661342512,0.38752979809429594,0.0049961185191291745,0,0,0,0.98727187605283773,0.012728123947162315,0,0,0
spec17,602.gcc_s,1,0.074577600000000008,1.3088999476440022,0.968035381475017,0.968035381475017,0,0,0,0,1,0,0,0,0
spec17,605.mcf_s,5,0.24573250713219238,11.523043631262604,0.35949073120815628,0.35949073120815628,0,0,0,0,1,0,0,0,0
spec17,620.omnetpp_s,2,0.50086426873954581,4.5738997713050118,0.22831006922328953,0.22765467421926633,0.0006553950040232169,0,0,0,0.99712936443735101,0.0028706355626489429,0,0,0
spec17,623.xalancbmk_s,3,0.97143498831797537,2.6687599110413363,0.13511682657013391,0.13448801356858972,0.00062881300154418653,0,0,0,0.99534615326968334,0.0046538467303167018,0,0,0
spec17,649.fotonik3d_s,1,0.76515,3.3954200000000001,0.73432586626757734,0.73432586626757734,0,0,0,0,1,0,0,0,0
gap,gap.bc.twitter-10B,1,0.16208299999999998,35.619399999999999,0.96827895167494415,0.96827895167494415,0,0,0,0,1,0,0,0,0
gap,gap.cc.twitter-10B,1,0.38382500000000003,2.547699898092004,0.71988448844884489,0.71988448844884489,0,0,0,0,1,0,0,0,0
gap,gap.pr.twitter-10B,1,0.033393800000000008,121.26523029878157,0.79972939898771267,0.79972939898771267,0,0,0,0,1,0,0,0,0
ligra,ligra_BellmanFord,1,0.406638,6.6989799999999997,0.33991033119410924,0.33991033119410924,0,0,0,0,1,0,0,0,0
ligra,ligra_CF,1,1.0134000000000001,1.3295398936368086,0.46495541178527716,0.46495541178527716,0,0,0,0,1,0,0,0,0
ligra,ligra_Components,1,0.41918299999999997,1.116079933035204,1,1,0,0,0,0,1,0,0,0,0
ligra,ligra_PageRank,3,0.49013587803352587,28.494552573478597,0.47993310867796218,0.47993299639144832,1.1228651386193857e-07,0,0,0,0.99999976603715846,2.3396284155357877e-07,0,0,0
ligra,ligra_PageRankDelta,2,0.50248300826893644,5.4842496709450197,0.45677265352491814,0.45677265352491814,0,0,0,0,1,0,0,0,0
ligra,ligra_Radii,2,0.23726449730838373,10.890059564397617,0.36350448436555466,0.3635031491865589,1.3351789957651461e-06,0,0,0,0.9999963269256551,3.6730743448612772e-06,0,0,0
spec06,gmean_spec06,18,0.48854771761163213,4.2218164837212857,0.14448725142573182,0.1443740081708545,0.00011324325487733147,0,0,0,0.99921624050731184,0.00078375949268811348,0,0,0
spec17,gmean_spec17,12,0.38832538437004133,6.6228014459066182,0.29926023918942918,0.2990210527726872,0.0002391864167419647,0,0,0,0.99920074107609547,0.00079925892390456099,0,0,0
gap,gmean_gap,3,0.12759848627014769,53.144111207568884,0.83055767667728464,0.83055767667728464,0,0,0,0,1,0,0,0,0
ligra,gmean_ligra,10,0.44269541922658495,12.737687465017126,0.44579527899005472,0.44579492900874024,3.4998131449761896e-07,0,0,0,0.99999921492817223,7.8507182779166832e-07,0,0,0
