dataset,workload,trace_tag,trace_name,instructions,cycles,ipc,stlb_access,stlb_hit,stlb_miss,stlb_mpki,stlb_miss_rate,demand_data_miss,demand_data_miss_rate,demand_instruction_miss,demand_instruction_miss_rate,l1d_prefetch_miss,l1d_prefetch_miss_rate,l1i_prefetch_miss,l1i_prefetch_miss_rate,other_miss,other_miss_rate
spec06,429.mcf,429.mcf-184B,429.mcf-184B.champsimtrace.xz,50000001,298964300,0.167244,6593169,6298113,295056,5.9011199999999997,0.044751800000000001,284946,0.043218399999999997,0,0,10110,0.00153341,0,0,0,0
spec06,429.mcf,429.mcf-192B,429.mcf-192B.champsimtrace.xz,50000000,242894473,0.20585100000000001,7429131,7297970,131161,2.6232199999999999,0.017655000000000001,126752,0.0170615,0,0,4409,0.00059347499999999999,0,0,0,0
spec06,429.mcf,429.mcf-22B,429.mcf-22B.champsimtrace.xz,50000001,63295367,0.78994699999999995,248886,81932,166954,3.33908,0.67080499999999998,151132,0.60723400000000005,0,0,15822,0.063571299999999997,0,0,0,0
spec06,429.mcf,429.mcf-51B,429.mcf-51B.champsimtrace.xz,50000005,247052763,0.20238600000000001,4173129,3601724,571405,11.428100000000001,0.13692499999999999,555370,0.13308200000000001,0,0,16035,0.0038424399999999999,0,0,0,0
spec06,433.milc,433.milc-127B,433.milc-127B.champsimtrace.xz,50000003,44392052,1.1263300000000001,59834,140,59694,1.1938800000000001,0.99765999999999999,57375,0.95890299999999995,4,6.6851600000000002e-05,2315,0.0386904,0,0,0,0
spec06,433.milc,433.milc-274B,433.milc-274B.champsimtrace.xz,50000004,52946785,0.94434399999999996,74197,18284,55913,1.11826,0.75357499999999999,50945,0.68661799999999995,5,6.73882e-05,4963,0.066889500000000005,0,0,0,0
spec06,433.milc,433.milc-337B,433.milc-337B.champsimtrace.xz,50000000,44813899,1.1157300000000001,79073,815,78258,1.5651600000000001,0.98969300000000004,74703,0.94473499999999999,1,1.26465e-05,3554,0.044945800000000001,0,0,0,0
spec06,436.cactusADM,436.cactusADM-1804B,436.cactusADM-1804B.champsimtrace.xz,50000004,24589230,2.0334099999999999,1337218,852390,484828,9.6965599999999998,0.36256500000000003,483899,0.36187000000000002,0,0,929,0.000694726,0,0,0,0
spec06,450.soplex,450.soplex-92B,450.soplex-92B.champsimtrace.xz,50000000,71019886,0.70402799999999999,265962,210178,55784,1.11568,0.20974400000000001,45648,0.17163400000000001,9,3.38394e-05,10127,0.038076899999999997,0,0,0,0
spec06,459.GemsFDTD,459.GemsFDTD-1169B,459.GemsFDTD-1169B.champsimtrace.xz,50000004,41871745,1.1941200000000001,758980,585829,173151,3.4630200000000002,0.22813600000000001,106901,0.140848,2,2.6351200000000001e-06,66248,0.087285600000000005,0,0,0,0
spec06,459.GemsFDTD,459.GemsFDTD-1211B,459.GemsFDTD-1211B.champsimtrace.xz,50000001,44219710,1.1307199999999999,394658,281452,113206,2.2641200000000001,0.28684599999999999,78886,0.19988400000000001,1,2.53384e-06,34319,0.086958800000000003,0,0,0,0
spec06,459.GemsFDTD,459.GemsFDTD-1320B,459.GemsFDTD-1320B.champsimtrace.xz,50000005,48097806,1.03955,643047,576832,66215,1.3243,0.10297099999999999,15665,0.0243606,2,3.11019e-06,50548,0.078606999999999996,0,0,0,0
spec06,459.GemsFDTD,459.GemsFDTD-765B,459.GemsFDTD-765B.champsimtrace.xz,50000002,60168554,0.83099900000000004,308871,81018,227853,4.5570599999999999,0.73769600000000002,147952,0.47900900000000002,2,6.4752000000000003e-06,79899,0.25868099999999999,0,0,0,0
spec06,471.omnetpp,471.omnetpp-188B,471.omnetpp-188B.champsimtrace.xz,50000005,103928813,0.481099,1014633,792009,222624,4.4524800000000004,0.219413,207204,0.20421600000000001,30,2.9567300000000001e-05,15390,0.015167999999999999,0,0,0,0
spec06,473.astar,473.astar-359B,473.astar-359B.champsimtrace.xz,50000003,214487555,0.23311399999999999,1674156,841840,832316,16.6463,0.49715599999999999,789483,0.47157100000000002,0,0,42833,0.025584800000000001,0,0,0,0
spec06,473.astar,473.astar-42B,473.astar-42B.champsimtrace.xz,50000001,88202934,0.56687500000000002,1186108,1077029,109079,2.1815799999999999,0.091963799999999998,108238,0.091254799999999997,8,6.7447500000000001e-06,833,0.00070229699999999995,0,0,0,0
spec06,483.xalancbmk,483.xalancbmk-127B,483.xalancbmk-127B.champsimtrace.xz,50000003,113036274,0.44233600000000001,212229,24976,187253,3.7450600000000001,0.88231599999999999,158555,0.74709400000000004,2498,0.011770299999999999,26200,0.12345200000000001,0,0,0,0
spec06,483.xalancbmk,483.xalancbmk-716B,483.xalancbmk-716B.champsimtrace.xz,50000001,34432605,1.45211,389028,336450,52578,1.0515600000000001,0.13515199999999999,50833,0.13066700000000001,420,0.0010796099999999999,1325,0.0034059200000000002,0,0,0,0
spec17,602.gcc_s,602.gcc_s-2226B,602.gcc_s-2226B.champsimtrace.xz,50000000,86999508,0.574716,68096,2398,65698,1.31396,0.964785,59570,0.87479399999999996,0,0,6128,0.089990600000000004,0,0,0,0
spec17,605.mcf_s,605.mcf_s-1536B,605.mcf_s-1536B.champsimtrace.xz,50000004,79716107,0.62722599999999995,1286051,164263,1121788,22.4358,0.87227299999999997,1119226,0.87028099999999997,0,0,2562,0.0019921399999999999,0,0,0,0
spec17,605.mcf_s,605.mcf_s-1644B,605.mcf_s-1644B.champsimtrace.xz,50000003,237321951,0.21068400000000001,1465660,271276,1194384,23.887699999999999,0.81491199999999997,1170257,0.79845100000000002,0,0,24127,0.0164615,0,0,0,0
spec17,605.mcf_s,605.mcf_s-472B,605.mcf_s-472B.champsimtrace.xz,50000002,72857591,0.68627000000000005,137715,70654,67061,1.3412200000000001,0.48695500000000003,39190,0.28457300000000002,0,0,27871,0.20238200000000001,0,0,0,0
spec17,605.mcf_s,605.mcf_s-782B,605.mcf_s-782B.champsimtrace.xz,50000001,374210775,0.13361500000000001,4455528,4395311,60217,1.20434,0.0135151,58006,0.0130189,0,0,2211,0.00049623699999999996,0,0,0,0
spec17,605.mcf_s,605.mcf_s-994B,605.mcf_s-994B.champsimtrace.xz,50000001,153184009,0.326405,846950,389849,457101,9.1420200000000005,0.53970200000000002,419565,0.49538300000000002,0,0,37536,0.044318999999999997,0,0,0,0
spec17,620.omnetpp_s,620.omnetpp_s-141B,620.omnetpp_s-141B.champsimtrace.xz,50000000,106296487,0.47038200000000002,1076721,827387,249334,4.9866799999999998,0.231568,239965,0.22286600000000001,780,0.00072442199999999996,8589,0.0079769999999999997,0,0,0,0
