dataset,workload,trace_tag,trace_name,instructions,cycles,ipc,stlb_access,stlb_hit,stlb_miss,stlb_mpki,stlb_miss_rate,demand_data_miss,demand_data_miss_rate,demand_instruction_miss,demand_instruction_miss_rate,l1d_prefetch_miss,l1d_prefetch_miss_rate,l1i_prefetch_miss,l1i_prefetch_miss_rate,other_miss,other_miss_rate
spec06,400.perlbench,400.perlbench-41B,400.perlbench-41B.champsimtrace.xz,50000000,24598426,2.0326499999999998,6406,6011,395,0.0079000000000000008,0.061660899999999998,394,0.061504799999999998,1,0.00015610400000000001,0,0,0,0,0,0
spec06,400.perlbench,400.perlbench-50B,400.perlbench-50B.champsimtrace.xz,50000003,22815240,2.1915200000000001,4177,3757,420,0.0083999999999999995,0.100551,419,0.100311,1,0.000239406,0,0,0,0,0,0
spec06,401.bzip2,401.bzip2-226B,401.bzip2-226B.champsimtrace.xz,50000001,31510365,1.5867800000000001,713494,712422,1072,0.021440000000000001,0.0015024700000000001,1072,0.0015024700000000001,0,0,0,0,0,0,0,0
spec06,401.bzip2,401.bzip2-277B,401.bzip2-277B.champsimtrace.xz,50000005,42010471,1.19018,8975,8942,33,0.00066,0.00367688,33,0.00367688,0,0,0,0,0,0,0,0
spec06,401.bzip2,401.bzip2-38B,401.bzip2-38B.champsimtrace.xz,50000003,30272029,1.6516900000000001,898,679,219,0.0043800000000000002,0.24387500000000001,214,0.23830699999999999,5,0.0055679299999999996,0,0,0,0,0,0
spec06,401.bzip2,401.bzip2-7B,401.bzip2-7B.champsimtrace.xz,50000003,30881086,1.61911,112424,112258,166,0.00332,0.0014765500000000001,166,0.0014765500000000001,0,0,0,0,0,0,0,0
spec06,403.gcc,403.gcc-16B,403.gcc-16B.champsimtrace.xz,50000000,21820178,2.2914599999999998,55137,54695,442,0.0088400000000000006,0.0080163999999999999,442,0.0080163999999999999,0,0,0,0,0,0,0,0
spec06,403.gcc,403.gcc-17B,403.gcc-17B.champsimtrace.xz,50000000,96514818,0.51805500000000004,700443,658616,41827,0.83653999999999995,0.0597151,41756,0.059613699999999999,71,0.000101364,0,0,0,0,0,0
spec06,403.gcc,403.gcc-48B,403.gcc-48B.champsimtrace.xz,50000000,16740124,2.9868399999999999,9761,8705,1056,0.02112,0.108186,1056,0.108186,0,0,0,0,0,0,0,0
spec06,410.bwaves,410.bwaves-1963B,410.bwaves-1963B.champsimtrace.xz,50000002,45810618,1.09145,38306,24339,13967,0.27933999999999998,0.36461700000000002,13967,0.36461700000000002,0,0,0,0,0,0,0,0
spec06,410.bwaves,410.bwaves-2097B,410.bwaves-2097B.champsimtrace.xz,50000002,45858333,1.0903099999999999,50928,37012,13916,0.27832000000000001,0.27324900000000002,13916,0.27324900000000002,0,0,0,0,0,0,0,0
spec06,410.bwaves,410.bwaves-945B,410.bwaves-945B.champsimtrace.xz,50000001,13593411,3.6782499999999998,2,0,2,4.0000000000000003e-05,1,2,1,0,0,0,0,0,0,0,0
spec06,416.gamess,416.gamess-875B,416.gamess-875B.champsimtrace.xz,50000004,21438233,2.3322799999999999,387898,387875,23,0.00046000000000000001,5.9293899999999998e-05,15,3.8670000000000001e-05,8,2.0624000000000001e-05,0,0,0,0,0,0
spec06,429.mcf,429.mcf-184B,429.mcf-184B.champsimtrace.xz,50000003,453595797,0.11022999999999999,6491426,6206831,284595,5.6919000000000004,0.043841699999999997,284595,0.043841699999999997,0,0,0,0,0,0,0,0
spec06,429.mcf,429.mcf-192B,429.mcf-192B.champsimtrace.xz,50000001,410219552,0.12188599999999999,7333133,7207372,125761,2.5152199999999998,0.0171497,125761,0.0171497,0,0,0,0,0,0,0,0
spec06,429.mcf,429.mcf-217B,429.mcf-217B.champsimtrace.xz,50000000,228111797,0.219191,104962,59353,45609,0.91217999999999999,0.434529,45609,0.434529,0,0,0,0,0,0,0,0
spec06,429.mcf,429.mcf-22B,429.mcf-22B.champsimtrace.xz,50000004,100481262,0.49760500000000002,233569,71128,162441,3.2488199999999998,0.69547300000000001,162441,0.69547300000000001,0,0,0,0,0,0,0,0
spec06,429.mcf,429.mcf-51B,429.mcf-51B.champsimtrace.xz,50000002,310572657,0.160993,4076552,3517909,558643,11.1729,0.13703799999999999,558643,0.13703799999999999,0,0,0,0,0,0,0,0
spec06,433.milc,433.milc-127B,433.milc-127B.champsimtrace.xz,50000005,62536734,0.79952999999999996,59800,119,59681,1.1936199999999999,0.99800999999999995,59677,0.99794300000000002,4,6.6889600000000004e-05,0,0,0,0,0,0
spec06,433.milc,433.milc-274B,433.milc-274B.champsimtrace.xz,50000000,70687867,0.70733500000000005,74187,18277,55910,1.1182000000000001,0.75363599999999997,55905,0.75356900000000004,5,6.7397299999999999e-05,0,0,0,0,0,0
spec06,433.milc,433.milc-337B,433.milc-337B.champsimtrace.xz,50000001,59350603,0.84245099999999995,78714,459,78255,1.5650999999999999,0.99416899999999997,78254,0.99415600000000004,1,1.2704199999999999e-05,0,0,0,0,0,0
spec06,434.zeusmp,434.zeusmp-10B,434.zeusmp-10B.champsimtrace.xz,50000001,26690541,1.8733200000000001,624615,622890,1725,0.034500000000000003,0.0027617000000000002,1725,0.0027617000000000002,0,0,0,0,0,0,0,0
spec06,435.gromacs,435.gromacs-111B,435.gromacs-111B.champsimtrace.xz,50000003,22402120,2.2319300000000002,91506,91452,54,0.00108,0.00059012500000000005,54,0.00059012500000000005,0,0,0,0,0,0,0,0
spec06,435.gromacs,435.gromacs-134B,435.gromacs-134B.champsimtrace.xz,50000001,18447228,2.7104300000000001,115773,115285,488,0.0097599999999999996,0.00421515,483,0.0041719599999999997,5,4.3188000000000001e-05,0,0,0,0,0,0
spec06,435.gromacs,435.gromacs-226B,435.gromacs-226B.champsimtrace.xz,50000004,23517201,2.1261000000000001,18104,16653,1451,0.029020000000000001,0.080147999999999997,1395,0.077054800000000007,56,0.0030932400000000001,0,0,0,0,0,0
spec06,435.gromacs,435.gromacs-228B,435.gromacs-228B.champsimtrace.xz,50000003,14828013,3.3719999999999999,26836,26134,702,0.01404,0.026158899999999999,669,0.024929199999999999,33,0.0012296900000000001,0,0,0,0,0,0
spec06,436.cactusADM,436.cactusADM-1804B,436.cactusADM-1804B.champsimtrace.xz,50000001,37623765,1.3289500000000001,1353621,882719,470902,9.4180399999999995,0.347883,470902,0.347883,0,0,0,0,0,0,0,0
spec06,437.leslie3d,437.leslie3d-134B,437.leslie3d-134B.champsimtrace.xz,50000005,36696877,1.3625100000000001,35323,32563,2760,0.055199999999999999,0.0781361,2760,0.0781361,0,0,0,0,0,0,0,0
spec06,437.leslie3d,437.leslie3d-149B,437.leslie3d-149B.champsimtrace.xz,50000001,54490805,0.91758600000000001,16578,11312,5266,0.10532,0.31764999999999999,5257,0.31710700000000003,9,0.00054288800000000005,0,0,0,0,0,0
spec06,437.leslie3d,437.leslie3d-232B,437.leslie3d-232B.champsimtrace.xz,50000005,43483778,1.14985,11460,8634,2826,0.056520000000000001,0.24659700000000001,2826,0.24659700000000001,0,0,0,0,0,0,0,0
spec06,437.leslie3d,437.leslie3d-265B,437.leslie3d-265B.champsimtrace.xz,50000005,33716849,1.4829399999999999,11765,8976,2789,0.055780000000000003,0.23705899999999999,2789,0.23705899999999999,0,0,0,0,0,0,0,0
spec06,437.leslie3d,437.leslie3d-271B,437.leslie3d-271B.champsimtrace.xz,50000002,58150305,0.85984099999999997,5549,62,5487,0.10974,0.98882700000000001,5487,0.98882700000000001,0,0,0,0,0,0,0,0
spec06,437.leslie3d,437.leslie3d-273B,437.leslie3d-273B.champsimtrace.xz,50000001,46096971,1.08467,4515,72,4443,0.088859999999999995,0.98405299999999996,4443,0.98405299999999996,0,0,0,0,0,0,0,0
spec06,444.namd,444.namd-120B,444.namd-120B.champsimtrace.xz,50000001,15891136,3.1464099999999999,5101,4967,134,0.0026800000000000001,0.026269399999999998,134,0.026269399999999998,0,0,0,0,0,0,0,0
spec06,444.namd,444.namd-166B,444.namd-166B.champsimtrace.xz,50000003,16929448,2.95343,2158,2043,115,0.0023,0.0532901,115,0.0532901,0,0,0,0,0,0,0,0
spec06,444.namd,444.namd-23B,444.namd-23B.champsimtrace.xz,50000000,16501330,3.0300600000000002,4571,4412,159,0.0031800000000000001,0.034784500000000003,159,0.034784500000000003,0,0,0,0,0,0,0,0
spec06,444.namd,444.namd-321B,444.namd-321B.champsimtrace.xz,50000005,16534041,3.02406,6158,6034,124,0.00248,0.020136399999999999,124,0.020136399999999999,0,0,0,0,0,0,0,0
spec06,444.namd,444.namd-33B,444.namd-33B.champsimtrace.xz,50000000,15029127,3.32687,2312,2175,137,0.0027399999999999998,0.059256099999999999,137,0.059256099999999999,0,0,0,0,0,0,0,0
spec06,444.namd,444.namd-426B,444.namd-426B.champsimtrace.xz,50000004,16614872,3.00935,6606,6486,120,0.0023999999999999998,0.018165299999999999,120,0.018165299999999999,0,0,0,0,0,0,0,0
spec06,444.namd,444.namd-44B,444.namd-44B.champsimtrace.xz,50000000,18252417,2.73936,2894,2791,103,0.0020600000000000002,0.035590900000000002,103,0.035590900000000002,0,0,0,0,0,0,0,0
spec06,445.gobmk,445.gobmk-17B,445.gobmk-17B.champsimtrace.xz,50000003,27224334,1.8365899999999999,5267,5049,218,0.0043600000000000002,0.041389799999999997,211,0.040060800000000001,7,0.0013290299999999999,0,0,0,0,0,0
spec06,445.gobmk,445.gobmk-2B,445.gobmk-2B.champsimtrace.xz,50000001,38266290,1.30663,63732,61751,1981,0.039620000000000002,0.031083300000000001,1962,0.030785199999999999,19,0.00029812300000000002,0,0,0,0,0,0
spec06,445.gobmk,445.gobmk-30B,445.gobmk-30B.champsimtrace.xz,50000005,40946271,1.2211099999999999,20706,16142,4564,0.09128,0.220419,4516,0.21810099999999999,48,0.00231817,0,0,0,0,0,0
spec06,445.gobmk,445.gobmk-36B,445.gobmk-36B.champsimtrace.xz,50000001,40980879,1.2200800000000001,45900,39836,6064,0.12128,0.13211300000000001,5972,0.130109,92,0.0020043600000000002,0,0,0,0,0,0
spec06,447.dealII,447.dealII-3B,447.dealII-3B.champsimtrace.xz,50000001,30200388,1.65561,5444,5415,29,0.00058,0.0053269700000000003,25,0.0045922100000000002,4,0.00073475400000000001,0,0,0,0,0,0
spec06,450.soplex,450.soplex-247B,450.soplex-247B.champsimtrace.xz,50000000,126795836,0.39433499999999999,253819,210826,42993,0.85985999999999996,0.16938400000000001,42993,0.16938400000000001,0,0,0,0,0,0,0,0
spec06,450.soplex,450.soplex-92B,450.soplex-92B.champsimtrace.xz,50000000,117850608,0.42426599999999998,251543,197646,53897,1.0779399999999999,0.21426600000000001,53888,0.21423,9,3.5779199999999998e-05,0,0,0,0,0,0
spec06,453.povray,453.povray-252B,453.povray-252B.champsimtrace.xz,50000003,25716282,1.9442900000000001,132403,132400,3,6.0000000000000002e-05,2.2658099999999999e-05,2,1.5105399999999999e-05,1,7.5526999999999997e-06,0,0,0,0,0,0
spec06,453.povray,453.povray-576B,453.povray-576B.champsimtrace.xz,50000004,26855220,1.8618399999999999,131462,131439,23,0.00046000000000000001,0.00017495600000000001,21,0.00015974199999999999,2,1.5213499999999999e-05,0,0,0,0,0,0
spec06,453.povray,453.povray-800B,453.povray-800B.champsimtrace.xz,50000002,26298313,1.90126,127910,127900,10,0.00020000000000000001,7.818e-05,7,5.4725999999999997e-05,3,2.3453999999999999e-05,0,0,0,0,0,0
spec06,453.povray,453.povray-887B,453.povray-887B.champsimtrace.xz,50000000,26836436,1.86314,177267,177266,1,2.0000000000000002e-05,5.6412100000000002e-06,1,5.6412100000000002e-06,0,0,0,0,0,0,0,0
spec06,454.calculix,454.calculix-104B,454.calculix-104B.champsimtrace.xz,50000003,11528508,4.3370699999999998,54,9,45,0.00089999999999999998,0.83333299999999999,40,0.74074099999999998,5,0.092592599999999997,0,0,0,0,0,0
spec06,454.calculix,454.calculix-460B,454.calculix-460B.champsimtrace.xz,50000002,14385844,3.4756399999999998,7662,6836,826,0.01652,0.107805,812,0.105978,14,0.0018272,0,0,0,0,0,0
spec06,456.hmmer,456.hmmer-191B,456.hmmer-191B.champsimtrace.xz,50000005,16574379,3.0167000000000002,3763,3363,400,0.0080000000000000002,0.106298,367,0.097528599999999993,33,0.0087696000000000007,0,0,0,0,0,0
spec06,456.hmmer,456.hmmer-327B,456.hmmer-327B.champsimtrace.xz,50000001,16296530,3.0681400000000001,3277,3114,163,0.0032599999999999999,0.049740600000000003,161,0.049130300000000002,2,0.00061031400000000004,0,0,0,0,0,0
spec06,456.hmmer,456.hmmer-88B,456.hmmer-88B.champsimtrace.xz,50000005,16403995,3.0480399999999999,3104,2689,415,0.0083000000000000001,0.13369800000000001,413,0.13305400000000001,2,0.00064433000000000003,0,0,0,0,0,0
spec06,458.sjeng,458.sjeng-1088B,458.sjeng-1088B.champsimtrace.xz,50000002,32279997,1.54895,96037,81631,14406,0.28811999999999999,0.150005,14406,0.150005,0,0,0,0,0,0,0,0
spec06,458.sjeng,458.sjeng-283B,458.sjeng-283B.champsimtrace.xz,50000002,34275815,1.45875,74663,56779,17884,0.35768,0.23952999999999999,17884,0.23952999999999999,0,0,0,0,0,0,0,0
spec06,458.sjeng,458.sjeng-31B,458.sjeng-31B.champsimtrace.xz,50000001,35834579,1.3953,77537,62973,14564,0.29127999999999998,0.187833,14564,0.187833,0,0,0,0,0,0,0,0
spec06,458.sjeng,458.sjeng-767B,458.sjeng-767B.champsimtrace.xz,50000000,34131898,1.4649099999999999,92331,75325,17006,0.34011999999999998,0.18418499999999999,17006,0.18418499999999999,0,0,0,0,0,0,0,0
spec06,459.GemsFDTD,459.GemsFDTD-1169B,459.GemsFDTD-1169B.champsimtrace.xz,50000005,58741593,0.851186,737111,569656,167455,3.3491,0.22717699999999999,167453,0.22717499999999999,2,2.7132999999999999e-06,0,0,0,0,0,0
spec06,459.GemsFDTD,459.GemsFDTD-1211B,459.GemsFDTD-1211B.champsimtrace.xz,50000000,62224990,0.80353600000000003,375907,262778,113129,2.2625799999999998,0.30094900000000002,113128,0.30094700000000002,1,2.6602299999999999e-06,0,0,0,0,0,0
spec06,459.GemsFDTD,459.GemsFDTD-1320B,459.GemsFDTD-1320B.champsimtrace.xz,50000002,65092772,0.76813399999999998,604093,538014,66079,1.32158,0.109385,66077,0.10938199999999999,2,3.31075e-06,0,0,0,0,0,0
spec06,459.GemsFDTD,459.GemsFDTD-1418B,459.GemsFDTD-1418B.champsimtrace.xz,50000004,47183298,1.0597000000000001,285531,280430,5101,0.10202,0.017864999999999999,5099,0.017857999999999999,2,7.0044899999999997e-06,0,0,0,0,0,0
spec06,459.GemsFDTD,459.GemsFDTD-1491B,459.GemsFDTD-1491B.champsimtrace.xz,50000005,93432523,0.53514600000000001,21016,5263,15753,0.31506000000000001,0.74957200000000002,15753,0.74957200000000002,0,0,0,0,0,0,0,0
spec06,459.GemsFDTD,459.GemsFDTD-765B,459.GemsFDTD-765B.champsimtrace.xz,50000002,71308070,0.701183,303165,75696,227469,4.5493800000000002,0.75031400000000004,227467,0.75030799999999997,2,6.5970700000000003e-06,0,0,0,0,0,0
spec06,462.libquantum,462.libquantum-1343B,462.libquantum-1343B.champsimtrace.xz,50000004,80622054,0.62017800000000001,21883,0,21883,0.43765999999999999,1,21883,1,0,0,0,0,0,0,0,0
spec06,462.libquantum,462.libquantum-714B,462.libquantum-714B.champsimtrace.xz,50000002,63259841,0.79039099999999995,18527,0,18527,0.37053999999999998,1,18527,1,0,0,0,0,0,0,0,0
spec06,464.h264ref,464.h264ref-30B,464.h264ref-30B.champsimtrace.xz,50000004,18484532,2.7049599999999998,12222,11903,319,0.0063800000000000003,0.026100499999999999,274,0.0224186,45,0.0036818900000000002,0,0,0,0,0,0
spec06,464.h264ref,464.h264ref-57B,464.h264ref-57B.champsimtrace.xz,50000005,22174083,2.25488,16268,15662,606,0.012120000000000001,0.037250999999999999,583,0.0358372,23,0.0014138200000000001,0,0,0,0,0,0
spec06,464.h264ref,464.h264ref-64B,464.h264ref-64B.champsimtrace.xz,50000000,17241801,2.8999299999999999,11274,10924,350,0.0070000000000000001,0.0310449,349,0.0309562,1,8.8699699999999994e-05,0,0,0,0,0,0
spec06,464.h264ref,464.h264ref-97B,464.h264ref-97B.champsimtrace.xz,50000000,20859307,2.3970099999999999,14293,14018,275,0.0054999999999999997,0.019240199999999999,251,0.017561,24,0.00167914,0,0,0,0,0,0
spec06,465.tonto,465.tonto-1914B,465.tonto-1914B.champsimtrace.xz,50000001,17854759,2.80037,11907,11826,81,0.0016199999999999999,0.0068027199999999999,77,0.0064667800000000001,4,0.00033593700000000002,0,0,0,0,0,0
spec06,465.tonto,465.tonto-44B,465.tonto-44B.champsimtrace.xz,50000004,18703200,2.67334,14742,14635,107,0.00214,0.0072581700000000004,105,0.0071225100000000003,2,0.00013566699999999999,0,0,0,0,0,0
spec06,470.lbm,470.lbm-1274B,470.lbm-1274B.champsimtrace.xz,50000004,78089521,0.64029100000000005,22256,0,22256,0.44512000000000002,1,22256,1,0,0,0,0,0,0,0,0
spec06,471.omnetpp,471.omnetpp-188B,471.omnetpp-188B.champsimtrace.xz,50000005,123107520,0.40614899999999998,988164,771420,216744,4.3348800000000001,0.21934000000000001,216450,0.21904299999999999,294,0.00029752100000000003,0,0,0,0,0,0
spec06,473.astar,473.astar-153B,473.astar-153B.champsimtrace.xz,50000005,23498361,2.1278100000000002,138337,134767,3570,0.071400000000000005,0.0258065,3570,0.0258065,0,0,0,0,0,0,0,0
spec06,473.astar,473.astar-359B,473.astar-359B.champsimtrace.xz,50000004,256357212,0.19503999999999999,1623171,823317,799854,15.9971,0.49277199999999999,799854,0.49277199999999999,0,0,0,0,0,0,0,0
spec06,473.astar,473.astar-42B,473.astar-42B.champsimtrace.xz,50000001,97767889,0.51141499999999995,1183981,1075180,108801,2.1760199999999998,0.091894199999999995,108793,0.091887499999999997,8,6.7568700000000001e-06,0,0,0,0,0,0
spec06,481.wrf,481.wrf-1170B,481.wrf-1170B.champsimtrace.xz,50000005,20835670,2.3997299999999999,73006,72606,400,0.0080000000000000002,0.0054790000000000004,400,0.0054790000000000004,0,0,0,0,0,0,0,0
spec06,481.wrf,481.wrf-1254B,481.wrf-1254B.champsimtrace.xz,50000004,31593634,1.5826,2918,1531,1387,0.027740000000000001,0.47532600000000003,1384,0.47429700000000002,3,0.0010281000000000001,0,0,0,0,0,0
spec06,481.wrf,481.wrf-1281B,481.wrf-1281B.champsimtrace.xz,50000001,62346840,0.80196500000000004,10879,2,10877,0.21754000000000001,0.99981600000000004,10875,0.99963199999999997,2,0.00018384,0,0,0,0,0,0
spec06,481.wrf,481.wrf-196B,481.wrf-196B.champsimtrace.xz,50000000,36919315,1.3543000000000001,3463,1037,2426,0.048520000000000001,0.70054899999999998,2404,0.69419600000000004,22,0.00635287,0,0,0,0,0,0
spec06,481.wrf,481.wrf-455B,481.wrf-455B.champsimtrace.xz,50000001,49138878,1.01752,4985,590,4395,0.087900000000000006,0.88164500000000001,4386,0.87983999999999996,9,0.0018054200000000001,0,0,0,0,0,0
spec06,481.wrf,481.wrf-816B,481.wrf-816B.champsimtrace.xz,50000005,56438994,0.88591200000000003,5830,728,5102,0.10204000000000001,0.87512900000000005,5094,0.87375599999999998,8,0.00137221,0,0,0,0,0,0
spec06,482.sphinx3,482.sphinx3-1100B,482.sphinx3-1100B.champsimtrace.xz,50000001,46294731,1.0800399999999999,55966,36569,19397,0.38794000000000001,0.34658499999999998,19385,0.34637099999999998,12,0.00021441599999999999,0,0,0,0,0,0
spec06,482.sphinx3,482.sphinx3-1297B,482.sphinx3-1297B.champsimtrace.xz,50000004,47424329,1.0543100000000001,83831,54291,29540,0.59079999999999999,0.35237600000000002,29540,0.35237600000000002,0,0,0,0,0,0,0,0
spec06,482.sphinx3,482.sphinx3-1395B,482.sphinx3-1395B.champsimtrace.xz,50000001,39619649,1.262,69149,45342,23807,0.47614000000000001,0.34428599999999998,23806,0.34427099999999999,1,1.44615e-05,0,0,0,0,0,0
spec06,482.sphinx3,482.sphinx3-1522B,482.sphinx3-1522B.champsimtrace.xz,50000003,39333996,1.2711699999999999,58084,41429,16655,0.33310000000000001,0.28673999999999999,16654,0.28672300000000001,1,1.72164e-05,0,0,0,0,0,0
spec06,482.sphinx3,482.sphinx3-234B,482.sphinx3-234B.champsimtrace.xz,50000000,52177256,0.95827200000000001,66294,48498,17796,0.35592000000000001,0.26844099999999999,17784,0.26826,12,0.00018101200000000001,0,0,0,0,0,0
spec06,482.sphinx3,482.sphinx3-417B,482.sphinx3-417B.champsimtrace.xz,50000004,51844889,0.96441500000000002,82903,51983,30920,0.61839999999999995,0.37296600000000002,30920,0.37296600000000002,0,0,0,0,0,0,0,0
spec06,483.xalancbmk,483.xalancbmk-127B,483.xalancbmk-127B.champsimtrace.xz,50000001,185504904,0.26953500000000002,207169,29959,177210,3.5442,0.85538899999999995,174404,0.84184400000000004,2806,0.013544499999999999,0,0,0,0,0,0
spec06,483.xalancbmk,483.xalancbmk-716B,483.xalancbmk-716B.champsimtrace.xz,50000001,35154027,1.42231,413831,361889,51942,1.03884,0.12551499999999999,51346,0.124075,596,0.0014402,0,0,0,0,0,0
spec06,483.xalancbmk,483.xalancbmk-736B,483.xalancbmk-736B.champsimtrace.xz,50000000,18483709,2.7050800000000002,364302,360176,4126,0.082519999999999996,0.0113258,4105,0.0112681,21,5.76445e-05,0,0,0,0,0,0
spec17,600.perlbench_s,600.perlbench_s-1273B,600.perlbench_s-1273B.champsimtrace.xz,50000000,19303727,2.5901700000000001,3988,3722,266,0.0053200000000000001,0.066700099999999998,260,0.065195600000000006,6,0.0015045099999999999,0,0,0,0,0,0
spec17,600.perlbench_s,600.perlbench_s-210B,600.perlbench_s-210B.champsimtrace.xz,50000005,19769558,2.5291399999999999,28188,27998,190,0.0038,0.0067404600000000002,190,0.0067404600000000002,0,0,0,0,0,0,0,0
spec17,600.perlbench_s,600.perlbench_s-570B,600.perlbench_s-570B.champsimtrace.xz,50000003,24729370,2.02189,59542,57403,2139,0.042779999999999999,0.035924200000000003,2036,0.0341944,103,0.0017298700000000001,0,0,0,0,0,0
spec17,602.gcc_s,602.gcc_s-1850B,602.gcc_s-1850B.champsimtrace.xz,50000003,163823999,0.30520599999999998,16065,888,15177,0.30353999999999998,0.94472500000000004,15177,0.94472500000000004,0,0,0,0,0,0,0,0
spec17,602.gcc_s,602.gcc_s-2226B,602.gcc_s-2226B.champsimtrace.xz,50000002,661750033,0.075557200000000005,67604,2157,65447,1.30894,0.96809400000000001,65447,0.96809400000000001,0,0,0,0,0,0,0,0
spec17,602.gcc_s,602.gcc_s-2375B,602.gcc_s-2375B.champsimtrace.xz,50000001,43649286,1.1454899999999999,219369,213456,5913,0.11826,0.026954599999999999,5368,0.024470200000000001,545,0.0024843999999999999,0,0,0,0,0,0
spec17,602.gcc_s,602.gcc_s-734B,602.gcc_s-734B.champsimtrace.xz,50000003,81863783,0.61077099999999995,15576,4850,10726,0.21451999999999999,0.68862400000000001,10721,0.688303,5,0.000321007,0,0,0,0,0,0
spec17,603.bwaves_s,603.bwaves_s-1080B,603.bwaves_s-1080B.champsimtrace.xz,50000001,14825267,3.37262,26,2,24,0.00048000000000000001,0.92307700000000004,24,0.92307700000000004,0,0,0,0,0,0,0,0
spec17,603.bwaves_s,603.bwaves_s-1740B,603.bwaves_s-1740B.champsimtrace.xz,50000002,45527467,1.0982400000000001,69672,54830,14842,0.29683999999999999,0.21302699999999999,14842,0.21302699999999999,0,0,0,0,0,0,0,0
spec17,603.bwaves_s,603.bwaves_s-2609B,603.bwaves_s-2609B.champsimtrace.xz,50000003,45507283,1.09873,29407,14558,14849,0.29698000000000002,0.50494799999999995,14849,0.50494799999999995,0,0,0,0,0,0,0,0
spec17,603.bwaves_s,603.bwaves_s-2931B,603.bwaves_s-2931B.champsimtrace.xz,50000004,47426530,1.05426,64123,53477,10646,0.21292,0.16602500000000001,10646,0.16602500000000001,0,0,0,0,0,0,0,0
spec17,603.bwaves_s,603.bwaves_s-3699B,603.bwaves_s-3699B.champsimtrace.xz,50000001,16061799,3.1129799999999999,495,8,487,0.0097400000000000004,0.98383799999999999,487,0.98383799999999999,0,0,0,0,0,0,0,0
spec17,603.bwaves_s,603.bwaves_s-5359B,603.bwaves_s-5359B.champsimtrace.xz,50000003,14745036,3.3909699999999998,37,1,36,0.00072000000000000005,0.97297299999999998,36,0.97297299999999998,0,0,0,0,0,0,0,0
spec17,603.bwaves_s,603.bwaves_s-891B,603.bwaves_s-891B.champsimtrace.xz,50000004,59653772,0.83816999999999997,16380,65,16315,0.32629999999999998,0.99603200000000003,16315,0.99603200000000003,0,0,0,0,0,0,0,0
spec17,605.mcf_s,605.mcf_s-1152B,605.mcf_s-1152B.champsimtrace.xz,50000001,217336396,0.23005800000000001,1300572,1284073,16499,0.32998,0.012685999999999999,16499,0.012685999999999999,0,0,0,0,0,0,0,0
spec17,605.mcf_s,605.mcf_s-1536B,605.mcf_s-1536B.champsimtrace.xz,50000003,100654362,0.496749,1282579,161629,1120950,22.419,0.87398100000000001,1120950,0.87398100000000001,0,0,0,0,0,0,0,0
spec17,605.mcf_s,605.mcf_s-1554B,605.mcf_s-1554B.champsimtrace.xz,50000001,170679026,0.29294799999999999,196713,192301,4412,0.088239999999999999,0.0224286,4412,0.0224286,0,0,0,0,0,0,0,0
spec17,605.mcf_s,605.mcf_s-1644B,605.mcf_s-1644B.champsimtrace.xz,50000001,288236520,0.17346900000000001,1452914,258516,1194398,23.888000000000002,0.822071,1194398,0.822071,0,0,0,0,0,0,0,0
spec17,605.mcf_s,605.mcf_s-472B,605.mcf_s-472B.champsimtrace.xz,50000002,142451629,0.35099599999999997,132839,65923,66916,1.33832,0.50373800000000002,66916,0.50373800000000002,0,0,0,0,0,0,0,0
spec17,605.mcf_s,605.mcf_s-484B,605.mcf_s-484B.champsimtrace.xz,50000002,132482299,0.37740899999999999,109696,72509,37187,0.74373999999999996,0.339001,37187,0.339001,0,0,0,0,0,0,0,0
spec17,605.mcf_s,605.mcf_s-665B,605.mcf_s-665B.champsimtrace.xz,50000000,175903372,0.28424700000000003,887110,873524,13586,0.27172000000000002,0.015314899999999999,13586,0.015314899999999999,0,0,0,0,0,0,0,0
spec17,605.mcf_s,605.mcf_s-782B,605.mcf_s-782B.champsimtrace.xz,50000001,670605678,0.074559500000000001,4337536,4279474,58062,1.16124,0.013385899999999999,58062,0.013385899999999999,0,0,0,0,0,0,0,0
