dataset,workload,trace_tag,trace_name,instructions,cycles,ipc,stlb_access,stlb_hit,stlb_miss,stlb_mpki,stlb_miss_rate,demand_data_miss,demand_data_miss_rate,demand_instruction_miss,demand_instruction_miss_rate,l1d_prefetch_miss,l1d_prefetch_miss_rate,l1i_prefetch_miss,l1i_prefetch_miss_rate,other_miss,other_miss_rate
spec06,400.perlbench,400.perlbench-41B,400.perlbench-41B.champsimtrace.xz,50000000,23736770,2.1064400000000001,6923,6519,404,0.0080800000000000004,0.058356199999999997,370,0.053444999999999999,1,0.00014444600000000001,33,0.0047667200000000003,0,0,0,0
spec06,400.perlbench,400.perlbench-50B,400.perlbench-50B.champsimtrace.xz,50000003,22305305,2.2416200000000002,4390,3962,428,0.0085599999999999999,0.097494300000000006,391,0.089066099999999995,1,0.00022779000000000001,36,0.0082004599999999997,0,0,0,0
spec06,401.bzip2,401.bzip2-226B,401.bzip2-226B.champsimtrace.xz,50000000,28058942,1.78196,725258,724182,1076,0.021520000000000001,0.00148361,1065,0.0014684399999999999,0,0,11,1.5167000000000001e-05,0,0,0,0
spec06,401.bzip2,401.bzip2-277B,401.bzip2-277B.champsimtrace.xz,50000005,36213537,1.3807,9113,9080,33,0.00066,0.0036212000000000002,7,0.00076813300000000005,0,0,26,0.0028530700000000001,0,0,0,0
spec06,401.bzip2,401.bzip2-38B,401.bzip2-38B.champsimtrace.xz,50000004,28559858,1.75071,925,706,219,0.0043800000000000002,0.236757,211,0.22810800000000001,5,0.0054054100000000002,3,0.0032432400000000001,0,0,0,0
spec06,401.bzip2,401.bzip2-7B,401.bzip2-7B.champsimtrace.xz,50000003,29748298,1.6807700000000001,118986,118820,166,0.00332,0.0013951199999999999,150,0.0012606500000000001,0,0,16,0.00013447000000000001,0,0,0,0
spec06,403.gcc,403.gcc-16B,403.gcc-16B.champsimtrace.xz,50000000,21454677,2.3304900000000002,55568,55068,500,0.01,0.0089979799999999992,420,0.0075583100000000004,0,0,80,0.00143968,0,0,0,0
spec06,403.gcc,403.gcc-17B,403.gcc-17B.champsimtrace.xz,50000000,78481257,0.63709499999999997,722116,675876,46240,0.92479999999999996,0.064033999999999994,40700,0.056362099999999998,77,0.000106631,5463,0.0075652699999999998,0,0,0,0
spec06,403.gcc,403.gcc-48B,403.gcc-48B.champsimtrace.xz,50000000,16030611,3.11903,9956,8884,1072,0.021440000000000001,0.10767400000000001,1041,0.10456,0,0,31,0.0031137000000000001,0,0,0,0
spec06,410.bwaves,410.bwaves-1963B,410.bwaves-1963B.champsimtrace.xz,50000003,21314530,2.3458199999999998,38595,24646,13949,0.27898000000000001,0.36142000000000002,12967,0.335976,0,0,982,0.0254437,0,0,0,0
spec06,410.bwaves,410.bwaves-2097B,410.bwaves-2097B.champsimtrace.xz,50000000,21368822,2.3398599999999998,51712,37794,13918,0.27836,0.26914399999999999,12996,0.25131500000000001,0,0,922,0.017829500000000002,0,0,0,0
spec06,410.bwaves,410.bwaves-945B,410.bwaves-945B.champsimtrace.xz,50000001,13587777,3.6797800000000001,2,0,2,4.0000000000000003e-05,1,2,1,0,0,0,0,0,0,0,0
spec06,416.gamess,416.gamess-875B,416.gamess-875B.champsimtrace.xz,50000004,21525790,2.3228,397873,397843,30,0.00059999999999999995,7.5400899999999998e-05,9,2.2620300000000001e-05,8,2.0106899999999999e-05,13,3.2673699999999999e-05,0,0,0,0
spec06,429.mcf,429.mcf-184B,429.mcf-184B.champsimtrace.xz,50000003,321513356,0.15551499999999999,6595200,6300050,295150,5.9029999999999996,0.044752199999999999,284973,0.043209200000000003,0,0,10177,0.00154309,0,0,0,0
spec06,429.mcf,429.mcf-192B,429.mcf-192B.champsimtrace.xz,50000000,259663993,0.19255700000000001,7431866,7300406,131460,2.6292,0.017688700000000002,126913,0.017076899999999999,0,0,4547,0.00061182499999999998,0,0,0,0
spec06,429.mcf,429.mcf-217B,429.mcf-217B.champsimtrace.xz,50000002,64183290,0.77901900000000002,105738,60032,45706,0.91412000000000004,0.432257,35009,0.331092,0,0,10697,0.101165,0,0,0,0
