dataset,workload,num_traces,ipc,stlb_mpki,stlb_miss_rate,demand_data_miss_rate,demand_instruction_miss_rate,l1d_prefetch_miss_rate,l1i_prefetch_miss_rate,other_miss_rate,demand_data_share,demand_instruction_share,l1d_prefetch_share,l1i_prefetch_share,other_share
spec06,429.mcf,4,0.18112831219304698,5.6571997171400144,0.062390954789386964,0.062390954789386964,0,0,0,0,1,0,0,0,0
spec06,433.milc,3,0.78103084817534707,1.292306614974402,0.91135443650946635,0.91130742215598426,4.7014353482118089e-05,0,0,0,0.99994841265747036,5.158734252963693e-05,0,0,0
spec06,436.cactusADM,1,1.3289500000000001,9.4180398116392041,0.34788319625655928,0.34788319625655928,0,0,0,0,1,0,0,0,0
spec06,450.soplex,1,0.42426599999999998,1.0779399999999999,0.21426555300684177,0.21422977383588493,3.5779170956854295e-05,0,0,0,0.99983301482457276,0.00016698517542720374,0,0,0
spec06,459.GemsFDTD,4,0.77906652582825564,2.8706598708203059,0.28418493314774812,0.28418146827463181,3.4648731163464792e-06,0,0,0,0.99998780768185713,1.2192318142866101e-05,0,0,0
spec06,471.omnetpp,1,0.40614899999999998,4.3348795665120434,0.2193401095364737,0.21904258807242522,0.00029752146404847778,0,0,0,0.99864356106743435,0.0013564389325656074,0,0,0
spec06,473.astar,2,0.31582650553745484,9.086549545672522,0.32369283886301847,0.32368998899952695,2.8498634915387551e-06,0,0,0,0.9999911957783757,8.8042216242688373e-06,0,0,0
spec06,483.xalancbmk,2,0.61916260049360217,2.2915199541696007,0.36900483091787439,0.36352657004830918,0.0054782608695652171,0,0,0,0.98515395894428148,0.014846041055718476,0,0,0
spec17,602.gcc_s,1,0.075557200000000005,1.3089399476424022,0.96809360392876165,0.96809360392876165,0,0,0,0,1,0,0,0,0
spec17,605.mcf_s,5,0.23603583146113458,11.52313967735209,0.35950014145221193,0.35950014145221193,0,0,0,0,1,0,0,0,0
spec17,620.omnetpp_s,2,0.47320162826642936,4.5982398160704072,0.21395790767718889,0.21305847520837473,0.00089943246881416829,0,0,0,0.99579621768328752,0.0042037823167124814,0,0,0
spec17,623.xalancbmk_s,3,0.90181851624239784,2.7387732602993795,0.13533178219547171,0.13365304825602406,0.0016787339394476451,0,0,0,0.98759541984732824,0.012404580152671756,0,0,0
spec17,649.fotonik3d_s,1,0.73454600000000003,3.3954,0.73305007901759112,0.73305007901759112,0,0,0,0,1,0,0,0,0
gap,gap.bc.twitter-10B,1,0.156026,35.619280000000003,0.96829780027217272,0.96829780027217272,0,0,0,0,1,0,0,0,0
gap,gap.cc.twitter-10B,1,0.32799200000000001,2.5477198980912039,0.71989420800108506,0.71989420800108506,0,0,0,0,1,0,0,0,0
gap,gap.pr.twitter-10B,1,0.032227400000000003,121.26506000000001,0.79972346523933258,0.79972346523933258,0,0,0,0,1,0,0,0,0
ligra,ligra_BellmanFord,1,0.379052,6.6988200000000004,0.3399032475104044,0.3399032475104044,0,0,0,0,1,0,0,0,0
ligra,ligra_CF,1,1.05677,1.3294998670500133,0.46491215800369273,0.46491215800369273,0,0,0,0,1,0,0,0,0
ligra,ligra_Components,1,0.402225,1.116079933035204,1,1,0,0,0,0,1,0,0,0,0
ligra,ligra_PageRank,3,0.46197730603716008,28.494798100346792,0.47984836045467166,0.47984824818895755,1.1226571408459828e-07,0,0,0,0.99999976603918372,2.3396081624249572e-07,0,0,0
ligra,ligra_PageRankDelta,2,0.49270851890747736,5.4838398903232024,0.45659627684995996,0.45659627684995996,0,0,0,0,1,0,0,0,0
ligra,ligra_Radii,2,0.21891996798373603,10.890269999999999,0.36350858196114194,0.3635072467928423,1.3351682996331292e-06,0,0,0,0.999996326996484,3.6730035159826158e-06,0,0,0
spec06,gmean_spec06,18,0.4773208283626233,4.1986309338355827,0.14319407262162456,0.14305272658215387,0.000141346039470711,0,0,0,0.99901290579363433,0.00098709420636567259,0,0,0
spec17,gmean_spec17,12,0.37044141683305243,6.6444031450752439,0.29536678521172338,0.29484601280897105,0.0005207724027522922,0,0,0,0.9982368620006512,0.0017631379993488254,0,0,0
gap,gmean_gap,3,0.11814857785131215,53.144019291413073,0.83055604495603264,0.83055604495603264,0,0,0,0,1,0,0,0,0
ligra,gmean_ligra,10,0.42332714235485275,12.73770149049194,0.44573168508365207,0.44573133515264796,3.4993100410392083e-07,0,0,0,0.9999992149290351,7.8507096491973202e-07,0,0,0
