dataset,workload,num_traces,ipc,stlb_mpki,stlb_miss_rate,demand_data_miss_rate,demand_instruction_miss_rate,l1d_prefetch_miss_rate,l1i_prefetch_miss_rate,other_miss_rate,demand_data_share,demand_instruction_share,l1d_prefetch_share,l1i_prefetch_share,other_share
spec06,429.mcf,4,0.25830913129479416,5.8275097668996096,0.063182144404264409,0.060635672539569273,0,0.0025464718646951412,0,0,0.95969633685742284,0,0.04030366314257719,0,0
spec06,433.milc,3,1.0750455051304406,1.2923666149720021,0.90674580901062718,0.83666835054632538,4.6774434964825622e-05,0.070030684029336931,0,0,0.92271543163704828,5.1584947512315908e-05,0.077232983415439369,0,0
spec06,436.cactusADM,1,1.9065799999999999,9.2412200000000002,0.33698694676163288,0.33635171541635733,0,0.00063523134527558535,0,0,0.99811496750429052,0,0.001885032495709441,0,0
spec06,450.soplex,1,0.643428,1.1165799999999999,0.20967299740486053,0.17113649081560989,3.3800658737282504e-05,0.038502705930513359,0,0,0.81620663096240309,0.00016120654140321339,0.18363216249619374,0,0
spec06,459.GemsFDTD,4,0.99522369479308181,2.9028298403443586,0.27688363195689403,0.16784919021340747,3.3384411482902175e-06,0.1090311033023383,0,0,0.60620842419294274,1.2057199353734114e-05,0.39377951860770349,0,0
spec06,471.omnetpp,1,0.46612300000000001,4.468239553176045,0.21599160829695802,0.20024459687438065,0.00028616867516471618,0.015460842747412639,0,0,0.92709433692012966,0.0013249064508620845,0.071580756629008285,0,0
spec06,473.astar,2,0.35441713197163593,9.4178895291055227,0.32921995841530721,0.31349461034975046,2.7965496170824435e-06,0.015722551515939633,0,0,0.95223452386893459,8.4944716916421836e-06,0.047756981659373809,0,0
spec06,483.xalancbmk,2,0.7414618041746992,2.4044699519106008,0.37561333760319926,0.32635106108772233,0.0053378531426473688,0.043924423372829591,0,0,0.86884843645377152,0.014211031952987561,0.11694053159324093,0,0
spec17,602.gcc_s,1,0.54833600000000005,1.3141,0.96470363681745441,0.8749798117723061,0,0.089723825045148212,0,0,0.90699337949927705,0,0.093006620500722934,0,0
spec17,605.mcf_s,5,0.31226778780472558,11.599699721607207,0.35410627370436493,0.34253414771742074,0,0.01157212598694413,0,0,0.96732018931524089,0,0.032679810684759086,0,0
spec17,620.omnetpp_s,2,0.46908141236250245,4.6923998592280043,0.21092926830145389,0.20347635024579347,0.00088643874582402843,0.0065664793098364135,0,0,0.96466626886028473,0.0042025402778961725,0.031131190861819112,0,0
spec17,623.xalancbmk_s,3,0.83131956006415597,2.9286932357102256,0.14045242341368216,0.12650514198897747,0.0016701952632188089,0.012277086161485885,0,0,0.90069746690219077,0.011891537522990913,0.087410995574818351,0,0
spec17,649.fotonik3d_s,1,0.85524999999999995,3.3957199999999998,0.70973944812998746,0.49256551418550892,0,0.21717393394447859,0,0,0.69400892888695176,0,0.30599107111304819,0,0
gap,gap.bc.twitter-10B,1,0.15440899999999999,35.756597139472227,0.96703440546610298,0.90020532503667294,0,0.06682908042943006,0,0,0.9308927582600135,0,0.069107241739986461,0,0
gap,gap.cc.twitter-10B,1,0.53303400000000001,2.5707798971688041,0.71540122666607298,0.70944043100281617,0,0.0059607956632567877,0,0,0.99166789845883352,0,0.008332101541166495,0,0
gap,gap.pr.twitter-10B,1,0.030753600000000002,122.23721022102318,0.80051502892437121,0.79189921139879693,0,0.0086158175255742989,0,0,0.98923715706230886,0,0.010762842937691156,0,0
ligra,ligra_BellmanFord,1,0.48539900000000002,6.7915395925076245,0.33803791338037914,0.32748197456978378,0,0.010555938810595359,0,0,0.96877291453779257,0,0.031227085462207392,0,0
ligra,ligra_CF,1,1.22645,1.3519600000000001,0.45868334984461301,0.44098009146796585,0,0.017703258376647171,0,0,0.96140418355572654,0,0.038595816444273498,0,0
ligra,ligra_Components,1,0.443102,1.1160798883920111,1,1,0,0,0,0,1,0,0,0,0
ligra,ligra_PageRank,3,0.49067280525560747,28.710491610703837,0.47402359037228564,0.46886120829965655,1.1006976551947921e-07,0.0051622720028635747,0,0,0.9891094405901304,2.3220313873626693e-07,0.010890327206730919,0,0
ligra,ligra_PageRankDelta,2,0.60750169944453658,5.5501696669898202,0.45568047842521653,0.44693414428290407,0,0.0087463341423124549,0,0,0.98080599332993401,0,0.019194006670065961,0,0
ligra,ligra_Radii,2,0.28205929814845671,10.992100000000001,0.35892958193508695,0.35180330106414209,1.3061365232670262e-06,0.0071249747344216277,0,0,0.98014574103219587,3.6389770835418163e-06,0.01985061999072061,0,0
spec06,gmean_spec06,18,0.62541145053010128,4.2927342679653693,0.14346379802024273,0.1288139670351881,0.00013913919441191447,0.014510691790642708,0,0,0.89788482399589387,0.00096985578474844184,0.10114532021935772,0,0
spec17,gmean_spec17,12,0.48655434111194606,6.7399331760682255,0.29200033908188811,0.27661767549545596,0.00051959822550996229,0.014863065360922198,0,0,0.9473197064263742,0.001779443911413565,0.05090084966221229,0,0
gap,gmean_gap,3,0.13628283557292467,53.52152976523135,0.8307906534796744,0.81108694997527253,0,0.019703703504401832,0,0,0.97628319069084968,0,0.023716809309150336,0,0
ligra,gmean_ligra,10,0.49675291434614677,12.847559409012268,0.4407897955588907,0.434436345104393,3.4309222572915847e-07,0.006353107362271973,0,0,0.98558621247925671,7.7835791387625351e-07,0.014413009162829362,0,0
