dataset,workload,num_traces,ipc,stlb_mpki,stlb_miss_rate,dram_rq_read_total_observed_count,dram_rq_read_pki,total_classified_read_count,stlb_miss_ptw_dram_touch_total_count,demand_data_miss_rate,demand_instruction_miss_rate,l1d_prefetch_miss_rate,l1i_prefetch_miss_rate,other_miss_rate,demand_data_share,demand_instruction_share,l1d_prefetch_share,l1i_prefetch_share,other_share,cache_demand_count,cache_demand_share,cache_prefetch_count,cache_prefetch_share,stlb_demand_count,stlb_demand_share,stlb_prefetch_count,stlb_prefetch_share,data_demand_read_count,data_demand_read_share,inst_demand_read_count,inst_demand_read_share,cache_inst_prefetch_count,cache_inst_prefetch_share,cache_data_prefetch_count,cache_data_prefetch_share,stlb_data_demand_count,stlb_data_demand_share,stlb_inst_demand_count,stlb_inst_demand_share,stlb_l1i_pref_count,stlb_l1i_pref_share,stlb_l1d_pref_count,stlb_l1d_pref_share,unclassified_read_count,unclassified_read_share,stlb_miss_touch_dram_count,stlb_miss_touch_dram_share,stlb_miss_no_dram_touch_count,stlb_miss_no_dram_touch_share
spec06,429.mcf,4,0.18112831219304698,5.6571997171400144,0.062390954789386964,10481785,52.408922379553879,10481785,1131440,0.062390954789386964,0,0,0,0,1,0,0,0,0,10094812,0.96308138356205553,0,0,386973,0.036918616437944494,0,0,10094812,0.96308138356205553,0,0,0,0,0,0,386973,0.036918616437944494,0,0,0,0,0,0,0,0,389442,0.34420031110796862,741998,0.65579968889203144
spec06,433.milc,3,0.78103084817534707,1.292306614974402,0.91135443650946635,2614798,17.431985969387227,2614798,193846,0.91130742215598426,4.7014353482118089e-05,0,0,0,0.99994841265747036,5.158734252963693e-05,0,0,0,2590467,0.99069488350534152,0,0,24331,0.0093051164946584778,0,0,2590363,0.99065510987846861,104,3.9773626872898019e-05,0,0,0,0,24321,0.0093012921074591606,10,3.8243871993171173e-06,0,0,0,0,0,0,24194,0.12481041651620359,169652,0.87518958348379639
spec06,436.cactusADM,1,1.3289500000000001,9.4180398116392041,0.34788319625655928,219141,4.382819912343602,219141,470902,0.34788319625655928,0,0,0,0,1,0,0,0,0,218649,0.99775487015209385,0,0,492,0.0022451298479061427,0,0,218649,0.99775487015209385,0,0,0,0,0,0,492,0.0022451298479061427,0,0,0,0,0,0,0,0,444,0.00094287134053369919,470458,0.99905712865946628
spec06,450.soplex,1,0.42426599999999998,1.0779399999999999,0.21426555300684177,994076,19.881519999999998,994076,53897,0.21422977383588493,3.5779170956854295e-05,0,0,0,0.99983301482457276,0.00016698517542720374,0,0,0,984489,0.99035586816299759,0,0,9587,0.0096441318370024016,0,0,984352,0.99021805173849886,137,0.00013781642449873049,0,0,0,0,9580,0.0096370901218820297,7,7.0417151203730906e-06,0,0,0,0,0,0,9547,0.17713416331150156,44350,0.82286583668849844
spec06,459.GemsFDTD,4,0.77906652582825564,2.8706598708203059,0.28418493314774812,2166315,10.831574512579147,2166315,574132,0.28418146827463181,3.4648731163464792e-06,0,0,0,0.99998780768185713,1.2192318142866101e-05,0,0,0,2103184,0.97085788539524487,0,0,63131,0.02914211460475508,0,0,2102771,0.97066723906726404,413,0.00019064632798092613,0,0,0,0,63121,0.029137498470905663,10,4.6161338494170977e-06,0,0,0,0,0,0,62889,0.10953752795524374,511243,0.89046247204475626
spec06,471.omnetpp,1,0.40614899999999998,4.3348795665120434,0.2193401095364737,853446,17.068918293108172,853446,216744,0.21904258807242522,0.00029752146404847778,0,0,0,0.99864356106743435,0.0013564389325656074,0,0,0,829152,0.97153422712157533,0,0,24294,0.028465772878424646,0,0,828062,0.97025705199860335,1090,0.0012771751229720451,0,0,0,0,24241,0.028403671702720502,53,6.2101175704145319e-05,0,0,0,0,0,0,24329,0.11224762853873695,192415,0.88775237146126307
spec06,473.astar,2,0.31582650553745484,9.086549545672522,0.32369283886301847,1787420,17.874199106290046,1787420,908655,0.32368998899952695,2.8498634915387551e-06,0,0,0,0.9999911957783757,8.8042216242688373e-06,0,0,0,1722484,0.96367054189837864,0,0,64936,0.036329458101621331,0,0,1722372,0.96360788175135115,112,6.2660147027559276e-05,0,0,0,0,64932,0.036327220239227492,4,2.2378623938414028e-06,0,0,0,0,0,0,76435,0.084118834981373569,832220,0.91588116501862649
spec06,483.xalancbmk,2,0.61916260049360217,2.2915199541696007,0.36900483091787439,1394199,13.941989721160205,1394199,229152,0.36352657004830918,0.0054782608695652171,0,0,0,0.98515395894428148,0.014846041055718476,0,0,0,1334338,0.95706423544988917,0,0,59861,0.042935764550110854,0,0,1311497,0.9406813518012852,22841,0.016382883648603967,0,0,0,0,59082,0.042377020783977037,779,0.00055874376613381589,0,0,0,0,0,0,59760,0.26078759949727692,169392,0.73921240050272308
spec17,602.gcc_s,1,0.075557200000000005,1.3089399476424022,0.96809360392876165,3518741,70.374817185007316,3518741,65447,0.96809360392876165,0,0,0,0,1,0,0,0,0,3504576,0.99597441243899454,0,0,14165,0.0040255875610054849,0,0,3504576,0.99597441243899454,0,0,0,0,0,0,14165,0.0040255875610054849,0,0,0,0,0,0,0,0,13744,0.21000198634009198,51703,0.78999801365990807
spec17,605.mcf_s,5,0.23603583146113458,11.52313967735209,0.35950014145221193,12024305,48.097218653277878,12024305,2880784,0.35950014145221193,0,0,0,0,1,0,0,0,0,11061061,0.9198919189092426,0,0,963244,0.080108081090757427,0,0,11061061,0.9198919189092426,0,0,0,0,0,0,963244,0.080108081090757427,0,0,0,0,0,0,0,0,961871,0.3338920932635005,1918913,0.66610790673649956
