dataset,workload,num_traces,ipc,stlb_mpki,stlb_miss_rate,dram_rq_read_total_observed_count,dram_rq_read_pki,total_classified_read_count,stlb_miss_ptw_dram_touch_total_count,demand_data_miss_rate,demand_instruction_miss_rate,l1d_prefetch_miss_rate,l1i_prefetch_miss_rate,other_miss_rate,demand_data_share,demand_instruction_share,l1d_prefetch_share,l1i_prefetch_share,other_share,cache_demand_count,cache_demand_share,cache_prefetch_count,cache_prefetch_share,stlb_demand_count,stlb_demand_share,stlb_prefetch_count,stlb_prefetch_share,data_demand_read_count,data_demand_read_share,inst_demand_read_count,inst_demand_read_share,cache_inst_prefetch_count,cache_inst_prefetch_share,cache_data_prefetch_count,cache_data_prefetch_share,stlb_data_demand_count,stlb_data_demand_share,stlb_inst_demand_count,stlb_inst_demand_share,stlb_l1i_pref_count,stlb_l1i_pref_share,stlb_l1d_pref_count,stlb_l1d_pref_share,unclassified_read_count,unclassified_read_share,stlb_miss_touch_dram_count,stlb_miss_touch_dram_share,stlb_miss_no_dram_touch_count,stlb_miss_no_dram_touch_share
spec06,429.mcf,4,0.19943923620783346,5.8286797085660149,0.063198886016465255,11450812,57.254057137297146,11450812,1165736,0.060611102482093886,0,0.0025877835343713633,0,0,0.95905333626138334,0,0.040946663738616634,0,0,9610630,0.83929681144009705,1440025,0.12575745720041515,396522,0.034628286622817667,3635,0.00031744473667020293,9610630,0.83929681144009705,0,0,0,0,1440025,0.12575745720041515,396522,0.034628286622817667,0,0,0,0,3635,0.00031744473667020293,0,0,402732,0.34547444704461389,763004,0.65452555295538617
spec06,433.milc,3,1.0323255401421358,1.292393281637602,0.90737568336703367,2626734,17.511559299537627,2626734,193859,0.84100483037519658,4.6805961207219352e-05,0.066324047030629815,0,0,0.92685405371945584,5.158388313155438e-05,0.073094362397412557,0,0,1462273,0.55668864833667975,1140125,0.43404661454109933,22637,0.0086179262917371914,1699,0.00064681083048378704,1462169,0.55664905544299503,104,3.9592893684705038e-05,0,0,1140125,0.43404661454109933,22627,0.0086141192827290467,10,3.8070090081447149e-06,0,0,1699,0.00064681083048378704,0,0,24207,0.12486910589655369,169652,0.87513089410344636
spec06,436.cactusADM,1,1.5112000000000001,9.3740594375564346,0.34197370168293467,219904,4.398079736115216,219904,468703,0.34139511535975225,0,0.0005785863231824145,0,0,0.99830809702519507,0,0.0016919029748049404,0,0,161716,0.73539362630966243,57685,0.26231901193247964,405,0.0018417127473806753,98,0.00044564901047729921,161716,0.73539362630966243,0,0,0,0,57685,0.26231901193247964,405,0.0018417127473806753,0,0,0,0,98,0.00044564901047729921,0,0,455,0.00097076400193726094,468248,0.9990292359980627
spec06,450.soplex,1,0.54948300000000005,1.1176999999999999,0.21018090187671593,1223751,24.475020000000001,1223751,55885,0.17020196321787207,3.3848584000902628e-05,0.039945090074842982,0,0,0.80978795741254361,0.00016104500313143062,0.19005099758432495,0,0,656776,0.53669087910857682,556692,0.45490626769661474,9115,0.0074484106652415397,1168,0.00095444252956688081,656639,0.53657892822968067,137,0.00011195087889611531,0,0,556692,0.45490626769661474,9107,0.0074418733876417667,8,6.5372775997731562e-06,0,0,1168,0.00095444252956688081,0,0,10226,0.18298291133577882,45659,0.81701708866422118
spec06,459.GemsFDTD,4,0.94093215696639221,2.8947898263126106,0.27672581413000463,2599692,12.998459220092446,2599692,578958,0.1728581588894221,3.3458052206032773e-06,0.10386430943536192,0,0,0.62465498360848282,1.2090687061928499e-05,0.37533292570445526,0,0,1262902,0.48578908578400826,1273311,0.4897930216348706,39711,0.015275271070572976,23768,0.0091426215105481733,1262489,0.48563022081077295,413,0.00015886497323529096,0,0,1273311,0.4897930216348706,39701,0.015271424461051539,10,3.8466095214356162e-06,0,0,23768,0.0091426215105481733,0,0,63198,0.10915817727710818,515760,0.89084182272289181
spec06,471.omnetpp,1,0.43695200000000001,4.4662995533700443,0.21583439568012264,1217622,24.352437564756244,1217622,223315,0.19997216474220009,0.00028801759806854239,0.015574213339854001,0,0,0.92650739986118258,0.0013344379016187896,0.072158162237198578,0,0,656543,0.53920099998193205,531395,0.43642033406098119,28892,0.023728217788443376,792,0.00065044816864347058,655391,0.53825489355481426,1152,0.00094610642711777544,0,0,531395,0.43642033406098119,28806,0.023657588315585624,86,7.0629472857750599e-05,0,0,792,0.00065044816864347058,0,0,29695,0.13297360231063743,193620,0.86702639768936252
spec06,473.astar,2,0.32882636789649333,9.4381895280905237,0.32963896912185359,1961069,19.61068901946555,1961069,943817,0.31264254205973058,2.7940863163115268e-06,0.016993632975806704,0,0,0.94843926642714338,8.4762014750709625e-06,0.051552257371381589,0,0,1576117,0.80370298036428089,318042,0.16217787339456186,64467,0.032873397111473385,2443,0.0012457491296838613,1576005,0.80364586865632981,112,5.711170795112258e-05,0,0,318042,0.16217787339456186,64463,0.032871357407617985,4,2.039703855397235e-06,0,0,2443,0.0012457491296838613,0,0,78955,0.083654988202162078,864862,0.91634501179783789
spec06,483.xalancbmk,2,0.66891867779274938,2.4107099517858011,0.37614154983967985,1976250,19.762499604750008,1976250,241071,0.32506845788377375,0.005333083686349771,0.045740008269556327,0,0,0.8642184252772005,0.01417839557640695,0.12160317914639256,0,0,1030484,0.52143402909550918,880908,0.44574724857685011,62966,0.031861353573687537,1892,0.00095736875395319415,1007139,0.50962125237191647,23345,0.011812776723592662,0,0,880908,0.44574724857685011,62225,0.03148640101201771,741,0.0003749525616698292,0,0,1892,0.00095736875395319415,0,0,64715,0.26844788464809122,176356,0.73155211535190878
spec17,602.gcc_s,1,0.32313700000000001,1.31436,0.96451215216625574,3569749,71.394980000000004,3569749,65718,0.87516144182223787,0,0.089350710344017842,0,0,0.90736175781368877,0,0.092638242186311212,0,0,318685,0.089273783674986673,3236862,0.90674778534849365,13502,0.0037823387582712397,700,0.00019609221824839785,318685,0.089273783674986673,0,0,0,0,3236862,0.90674778534849365,13502,0.0037823387582712397,0,0,0,0,700,0.00019609221824839785,0,0,13743,0.20912078882497945,51975,0.79087921117502058
spec17,605.mcf_s,5,0.29939410134268724,11.600923675174137,0.35403966759543815,13363566,53.454262503280653,13363566,2900230,0.3419808162405813,0,0.012058851354856823,0,0,0.96593926483786985,0,0.034060735162130186,0,0,6287407,0.47048871536235165,6083429,0.45522497513014115,985457,0.073742068546673839,7273,0.00054424096083335839,6287407,0.47048871536235165,0,0,0,0,6083429,0.45522497513014115,985457,0.073742068546673839,0,0,0,0,7273,0.00054424096083335839,0,0,991042,0.34171151943121753,1909188,0.65828848056878253
spec17,620.omnetpp_s,2,0.47275051514937561,4.6915298592541044,0.21104555387913779,1516731,15.167309544980714,1516731,469153,0.20357994668451646,0.00088664206920936359,0.0065789651254119447,0,0,0.96462561254004553,0.0042011880985520717,0.031173199361402358,0,0,874410,0.5765096117900933,567897,0.37442170035424871,73730,0.048611124846792211,694,0.00045756300886577776,872107,0.57499121465836722,2303,0.0015183971317260609,0,0,567897,0.37442170035424871,73553,0.04849442650015065,177,0.00011669834664156003,0,0,694,0.00045756300886577776,0,0,74421,0.15862842185811452,394732,0.84137157814188546
