dataset,workload,num_traces,ipc,stlb_mpki,stlb_miss_rate,dram_rq_read_total_observed_count,dram_rq_read_pki,total_classified_read_count,stlb_miss_ptw_dram_touch_total_count,demand_data_miss_rate,demand_instruction_miss_rate,l1d_prefetch_miss_rate,l1i_prefetch_miss_rate,other_miss_rate,demand_data_share,demand_instruction_share,l1d_prefetch_share,l1i_prefetch_share,other_share,cache_demand_count,cache_demand_share,cache_prefetch_count,cache_prefetch_share,stlb_demand_count,stlb_demand_share,stlb_prefetch_count,stlb_prefetch_share,data_demand_read_count,data_demand_read_share,inst_demand_read_count,inst_demand_read_share,cache_inst_prefetch_count,cache_inst_prefetch_share,cache_data_prefetch_count,cache_data_prefetch_share,stlb_data_demand_count,stlb_data_demand_share,stlb_inst_demand_count,stlb_inst_demand_share,stlb_l1i_pref_count,stlb_l1i_pref_share,stlb_l1d_pref_count,stlb_l1d_pref_share,unclassified_read_count,unclassified_read_share,stlb_miss_touch_dram_count,stlb_miss_touch_dram_share,stlb_miss_no_dram_touch_count,stlb_miss_no_dram_touch_share
spec06,429.mcf,4,0.24051465501110839,5.656904717154764,0.062406380583159192,20247211,101.2360499381975,20247211,1131381,0.062406380583159192,0,0,0,0,1,0,0,0,0,5038596,0.24885382979413806,14761194,0.72904826249896837,447421,0.022097907706893558,0,0,5038596,0.24885382979413806,0,0,0,0,14761194,0.72904826249896837,447421,0.022097907706893558,0,0,0,0,0,0,0,0,447738,0.39574466956754623,683643,0.60425533043245383
spec06,433.milc,3,1.0070130946699565,1.2923065977436481,0.91137586038289387,4081396,27.209305215503722,4081396,193846,0.90598318727197502,4.7015458682814911e-05,0.0053456576522360553,0,0,0.99408293181185059,5.158734252963693e-05,0.0058654808456197185,0,0,1387178,0.3398783161447701,2669768,0.65413108652039642,24300,0.0059538452039449245,150,3.6752130888548917e-05,1387074,0.339852834667354,104,2.5481477416060582e-05,0,0,2669768,0.65413108652039642,24290,0.0059513950618856884,10,2.4501420592365944e-06,0,0,150,3.6752130888548917e-05,0,0,24290,0.12530565500448809,169556,0.87469434499551191
spec06,436.cactusADM,1,1.8784099999999999,9.3835998123280042,0.33646023296489891,219872,4.397439912051202,219872,469180,0.33526263590395988,0,0.0011975970609390452,0,0,0.99644059849098432,0,0.0035594015090157295,0,0,72145,0.32812272594964342,147246,0.66968963760733513,460,0.0020921263280454083,21,9.5510114975986033e-05,72145,0.32812272594964342,0,0,0,0,147246,0.66968963760733513,460,0.0020921263280454083,0,0,0,0,21,9.5510114975986033e-05,0,0,440,0.00093780638560893477,468740,0.99906219361439108
spec06,450.soplex,1,0.62085699999999999,1.0778000000000001,0.21391711654493489,1969866,39.397320000000001,1969866,53890,0.21385757383296283,3.5725627183232772e-05,2.3817084788821847e-05,0,0,0.99972165522360368,0.00016700686583781776,0.00011133791055854518,0,0,506910,0.25733222462847727,1450299,0.73624246522352277,12657,0.0064253101479999145,0,0,506773,0.25726267675060133,137,6.9547877875957045e-05,0,0,1450299,0.73624246522352277,12650,0.0064217566067945736,7,3.5535412053408709e-06,0,0,0,0,0,0,12587,0.23356838003340138,41303,0.76643161996659859
spec06,459.GemsFDTD,4,0.89674802457035929,2.870409799071314,0.28330323871994834,4039525,20.197623586166348,4039525,574082,0.28326326609872643,3.4544240562143361e-06,3.6518197165694414e-05,0,0,0.99985890517382536,1.2193380039785257e-05,0.00012890144613487273,0,0,949445,0.23503877312307758,3021751,0.74804611928382669,68320,0.016912879608369794,9,2.2279847259269345e-06,949032,0.2349365333795434,413,0.00010223974353420265,0,0,3021751,0.74804611928382669,68310,0.016910404069785431,10,2.4755385843632607e-06,0,0,9,2.2279847259269345e-06,0,0,67839,0.11816952978842744,506243,0.88183047021157257
spec06,471.omnetpp,1,0.42164099999999999,4.3384395661560431,0.21949469734761134,1896459,37.929176207082378,1896459,216922,0.21871455327898295,0.00029849870330139565,0.00048164536532699777,0,0,0.99644572703552425,0.001359935829468657,0.002194337135007053,0,0,600773,0.31678670617187082,1254435,0.66146170310035701,41230,0.021740517459117228,21,1.1073268654898419e-05,599374,0.31604901556005166,1399,0.0007376906118191851,0,0,1254435,0.66146170310035701,41143,0.021694642488975506,87,4.5874970141722017e-05,0,0,21,1.1073268654898419e-05,0,0,41281,0.19030342703829026,175641,0.80969657296170972
spec06,473.astar,2,0.34973582000990405,9.0869095456545228,0.32369551588036649,2569152,25.691518715424063,2569152,908689,0.32369230988444164,2.8497741553981849e-06,3.5622176942477311e-07,0,0,0.9999900956430734,8.8038728236551265e-06,1.1004841029568908e-06,0,0,1306077,0.50836890927434419,1184827,0.46117434857883066,78247,0.030456352913334827,1,3.8923349027227663e-07,1305965,0.50832531512343371,112,4.359415091049498e-05,0,0,1184827,0.46117434857883066,78244,0.03045518521286401,3,1.1677004708168297e-06,0,0,1,3.8923349027227663e-07,0,0,91428,0.10061528201617935,817261,0.89938471798382069
spec06,483.xalancbmk,2,0.74357310926364195,2.2919999541600009,0.36875137758886151,3903520,39.035199219296018,3903520,229200,0.36308657130399946,0.00547335159929017,0.00019145468557187837,0,0,0.98463787085514831,0.014842931937172775,0.00051919720767888309,0,0,590941,0.15138669713489364,3239113,0.82979285362954458,73446,0.018815325654793623,20,5.1235807681272287e-06,565612,0.1448979382710989,25329,0.0064887588637947292,0,0,3239113,0.82979285362954458,72619,0.018603465590031561,827,0.00021186006476206092,0,0,20,5.1235807681272287e-06,0,0,73420,0.32033158813263524,155780,0.67966841186736471
spec17,602.gcc_s,1,0.56379999999999997,1.3090399214576047,0.96805300834171448,3704068,74.081355555118662,3704068,65452,0.96805300834171448,0,0,0,0,1,0,0,0,0,76676,0.020700483900403556,3612974,0.97540703896364755,14418,0.003892477135948908,0,0,76676,0.020700483900403556,0,0,0,0,3612974,0.97540703896364755,14418,0.003892477135948908,0,0,0,0,0,0,0,0,13937,0.21293466968159871,51515,0.78706533031840131
spec17,605.mcf_s,5,0.29184056774997408,11.523499492966023,0.35962437657514135,23555682,94.222723854200154,23555682,2880874,0.35962325309030108,0,1.123484840257308e-06,0,0,0.99999687594914743,0,3.124050852605545e-06,0,0,5404925,0.22945313152045438,17054813,0.72402119369755458,1095936,0.046525335161172576,8,3.3962081845051228e-07,5404925,0.22945313152045438,0,0,0,0,17054813,0.72402119369755458,1095936,0.046525335161172576,0,0,0,0,8,3.3962081845051228e-07,0,0,1092612,0.37926407055636591,1788262,0.62073592944363409
