dataset,workload,trace_tag,trace_name,instructions,cycles,ipc,stlb_access,stlb_hit,stlb_miss,stlb_mpki,stlb_miss_rate,dram_rq_read_total_observed_count,dram_rq_read_pki,total_classified_read_count,stlb_miss_ptw_dram_touch_total_count,demand_data_miss,demand_data_miss_rate,demand_instruction_miss,demand_instruction_miss_rate,l1d_prefetch_miss,l1d_prefetch_miss_rate,l1i_prefetch_miss,l1i_prefetch_miss_rate,other_miss,other_miss_rate,cache_demand_count,cache_demand_share,cache_prefetch_count,cache_prefetch_share,stlb_demand_count,stlb_demand_share,stlb_prefetch_count,stlb_prefetch_share,data_demand_read_count,data_demand_read_share,inst_demand_read_count,inst_demand_read_share,cache_inst_prefetch_count,cache_inst_prefetch_share,cache_data_prefetch_count,cache_data_prefetch_share,stlb_data_demand_count,stlb_data_demand_share,stlb_inst_demand_count,stlb_inst_demand_share,stlb_l1i_pref_count,stlb_l1i_pref_share,stlb_l1d_pref_count,stlb_l1d_pref_share,unclassified_read_count,unclassified_read_share,stlb_miss_touch_dram_count,stlb_miss_touch_dram_share,stlb_miss_no_dram_touch_count,stlb_miss_no_dram_touch_share
spec06,429.mcf,429.mcf-184B,429.mcf-184B.champsimtrace.xz,50000003,354797214,0.140926,6490150,6205583,284567,5.6913400000000003,0.043846000000000003,7975916,159.518,7975916,284567,284567,0.043846000000000003,0,0,0,0,0,0,0,0,1403441,0.17595985213485196,6448520,0.80849898619794891,123955,0.015541161667199103,0,0,1403441,0.17595985213485196,0,0,0,0,6448520,0.80849898619794891,123955,0.015541161667199103,0,0,0,0,0,0,0,0,124510,0.43754194969901639,160057,0.56245805030098361
spec06,429.mcf,429.mcf-192B,429.mcf-192B.champsimtrace.xz,50000000,310385778,0.16109000000000001,7330954,7205228,125726,2.5145200000000001,0.017149999999999999,6960924,139.21799999999999,6960924,125726,125726,0.017149999999999999,0,0,0,0,0,0,0,0,935286,0.1343623346555716,5975669,0.85845916432933334,49969,0.0071785010150951225,0,0,935286,0.1343623346555716,0,0,0,0,5975669,0.85845916432933334,49969,0.0071785010150951225,0,0,0,0,0,0,0,0,45490,0.36181855781620348,80236,0.63818144218379647
spec06,429.mcf,429.mcf-22B,429.mcf-22B.champsimtrace.xz,50000001,64177613,0.779088,234565,72121,162444,3.2488800000000002,0.69253299999999995,2032936,40.658700000000003,2032936,162444,162444,0.69253299999999995,0,0,0,0,0,0,0,0,621217,0.30557626998587267,1339627,0.65896171842104223,72092,0.035462011593085076,0,0,621217,0.30557626998587267,0,0,0,0,1339627,0.65896171842104223,72092,0.035462011593085076,0,0,0,0,0,0,0,0,70656,0.43495604639137181,91788,0.56504395360862825
spec06,429.mcf,429.mcf-51B,429.mcf-51B.champsimtrace.xz,50000005,282656787,0.17689299999999999,4077775,3519116,558659,11.1732,0.13700100000000001,7190481,143.81,7190481,558659,558659,0.13700100000000001,0,0,0,0,0,0,0,0,1938119,0.26953954818877901,5027942,0.69924974421043595,224420,0.031210707600784982,0,0,1938119,0.26953954818877901,0,0,0,0,5027942,0.69924974421043595,224420,0.031210707600784982,0,0,0,0,0,0,0,0,225077,0.40288798712631496,333582,0.59711201287368498
spec06,433.milc,433.milc-127B,433.milc-127B.champsimtrace.xz,50000001,48879866,1.0229200000000001,59800,119,59681,1.1936199999999999,0.99800999999999995,759571,15.1914,759571,59681,59677,0.99794300000000002,4,6.6889600000000004e-05,0,0,0,0,0,0,338061,0.44506833462572953,413987,0.54502739046119453,7523,0.0099042749130759337,0,0,338019,0.445013040255618,42,5.5294370111549809e-05,0,0,413987,0.54502739046119453,7519,0.0098990087825891193,4,5.2661304868142673e-06,0,0,0,0,0,0,7480,0.12533302055930698,52201,0.87466697944069305
spec06,433.milc,433.milc-274B,433.milc-274B.champsimtrace.xz,50000002,58310998,0.85747099999999998,74180,18275,55905,1.1181000000000001,0.75363999999999998,1209324,24.186499999999999,1209324,55905,55900,0.75357200000000002,5,6.7403600000000006e-05,0,0,0,0,0,0,579874,0.47950259814574092,622450,0.5147090440609795,7000,0.0057883577932795515,0,0,579824,0.47946125273293178,50,4.1345412809139653e-05,0,0,622450,0.5147090440609795,6996,0.0057850501602548197,4,3.3076330247311722e-06,0,0,0,0,0,0,6951,0.12433592701905018,48954,0.87566407298094984
spec06,433.milc,433.milc-337B,433.milc-337B.champsimtrace.xz,50000001,52535161,0.95174400000000003,78714,459,78255,1.5650999999999999,0.99416899999999997,1216313,24.3263,1216313,78255,78254,0.99415600000000004,1,1.2704199999999999e-05,0,0,0,0,0,0,701982,0.57713927253922304,504478,0.41476001654179473,9853,0.0081007109189822034,0,0,701970,0.57712940665766133,12,9.865881561736165e-06,0,0,504478,0.41476001654179473,9851,0.0080990666053885798,2,1.6443135936226941e-06,0,0,0,0,0,0,9796,0.12518049964858474,68459,0.8748195003514152
spec06,436.cactusADM,436.cactusADM-1804B,436.cactusADM-1804B.champsimtrace.xz,50000002,26558068,1.8826700000000001,1358167,892118,466049,9.3209800000000005,0.34314600000000001,220096,4.4019199999999996,220096,466049,466012,0.34311799999999998,0,0,37,2.7242599999999999e-05,0,0,0,0,72865,0.33106008287292815,146733,0.66667726810119221,498,0.002262649025879616,0,0,72865,0.33106008287292815,0,0,0,0,146733,0.66667726810119221,498,0.002262649025879616,0,0,0,0,0,0,0,0,451,0.00096770940394679526,465598,0.99903229059605325
spec06,450.soplex,450.soplex-92B,450.soplex-92B.champsimtrace.xz,50000000,79141525,0.63178000000000001,252587,198690,53897,1.0779399999999999,0.21337999999999999,1794574,35.891500000000001,1794574,53897,53888,0.21334400000000001,9,3.5631299999999999e-05,0,0,0,0,0,0,493688,0.27510038594117603,1289649,0.71863796087539433,11237,0.0062616531834296047,0,0,493551,0.27502404470364555,137,7.6341237530466846e-05,0,0,1289649,0.71863796087539433,11230,0.0062577525362565159,7,3.9006471730895469e-06,0,0,0,0,0,0,11163,0.20711727925487505,42734,0.792882720745125
spec06,459.GemsFDTD,459.GemsFDTD-1169B,459.GemsFDTD-1169B.champsimtrace.xz,50000004,50877704,0.98274899999999998,737995,570566,167429,3.3485800000000001,0.22686999999999999,510600,10.212,510600,167429,167427,0.22686700000000001,2,2.71005e-06,0,0,0,0,0,0,196656,0.38514688601645125,304072,0.59551899725812774,9872,0.019334116725421072,0,0,196515,0.38487074030552293,141,0.00027614571092831962,0,0,304072,0.59551899725812774,9870,0.019330199764982375,2,3.9169604386995694e-06,0,0,0,0,0,0,9827,0.058693535767399913,157602,0.94130646423260012
