dataset,workload,num_traces,ipc,stlb_mpki,stlb_miss_rate,dram_rq_read_total_observed_count,dram_rq_read_pki,total_classified_read_count,stlb_miss_ptw_dram_touch_total_count,demand_data_miss_rate,demand_instruction_miss_rate,l1d_prefetch_miss_rate,l1i_prefetch_miss_rate,other_miss_rate,demand_data_share,demand_instruction_share,l1d_prefetch_share,l1i_prefetch_share,other_share,cache_demand_count,cache_demand_share,cache_prefetch_count,cache_prefetch_share,stlb_demand_count,stlb_demand_share,stlb_prefetch_count,stlb_prefetch_share,data_demand_read_count,data_demand_read_share,inst_demand_read_count,inst_demand_read_share,cache_inst_prefetch_count,cache_inst_prefetch_share,cache_data_prefetch_count,cache_data_prefetch_share,stlb_data_demand_count,stlb_data_demand_share,stlb_inst_demand_count,stlb_inst_demand_share,stlb_l1i_pref_count,stlb_l1i_pref_share,stlb_l1d_pref_count,stlb_l1d_pref_share,unclassified_read_count,unclassified_read_share,stlb_miss_touch_dram_count,stlb_miss_touch_dram_share,stlb_miss_no_dram_touch_count,stlb_miss_no_dram_touch_share
spec06,429.mcf,4,0.23650439586826336,5.6569797454359119,0.062392780985233695,24160257,120.80127956394242,24160257,1131396,0.062392780985233695,0,0,0,0,1,0,0,0,0,4898063,0.20273223914795277,18791758,0.77779627923659922,470436,0.019471481615448049,0,0,4898063,0.20273223914795277,0,0,0,0,18791758,0.77779627923659922,470436,0.019471481615448049,0,0,0,0,0,0,0,0,465733,0.41164455239368003,665663,0.58835544760631997
spec06,433.milc,3,0.94158692565445845,1.2922732988727121,0.91136092226390963,3185208,21.234719433740814,3185208,193841,0.91131390636313203,4.7015900777642997e-05,0,0,0,0.99994841132680912,5.1588673190914202e-05,0,0,0,1619917,0.50857495020733345,1540915,0.4837721743760533,24376,0.007652875416613295,0,0,1619813,0.50854229927841443,104,3.2650928918927741e-05,0,0,1540915,0.4837721743760533,24366,0.007649735904217244,10,3.1395123960507447e-06,0,0,0,0,0,0,24227,0.12498387853962784,169614,0.87501612146037211
spec06,436.cactusADM,1,1.8826700000000001,9.3209796271608152,0.34314557782658539,220096,4.4019198239232074,220096,466049,0.34311833522681673,0,2.7242599768658787e-05,0,0,0.99992060920632808,0,7.9390793671910037e-05,0,0,72865,0.33106008287292815,146733,0.66667726810119221,498,0.002262649025879616,0,0,72865,0.33106008287292815,0,0,0,0,146733,0.66667726810119221,498,0.002262649025879616,0,0,0,0,0,0,0,0,451,0.00096770940394679526,465598,0.99903229059605325
spec06,450.soplex,1,0.63178000000000001,1.0779399999999999,0.21337994433601096,1794574,35.891480000000001,1794574,53897,0.21334431304857338,3.5631287437595757e-05,0,0,0,0.99983301482457276,0.00016698517542720374,0,0,0,493688,0.27510038594117603,1289649,0.71863796087539433,11237,0.0062616531834296047,0,0,493551,0.27502404470364555,137,7.6341237530466846e-05,0,0,1289649,0.71863796087539433,11230,0.0062577525362565159,7,3.9006471730895469e-06,0,0,0,0,0,0,11163,0.20711727925487505,42734,0.792882720745125
spec06,459.GemsFDTD,4,0.90246146503676383,2.8705848708236807,0.28375558499070813,3688890,18.444449169999789,3688890,574117,0.28375212526195087,3.4597287572654306e-06,0,0,0,0.9999878073633075,1.2192636692520862e-05,0,0,0,1161438,0.31484755576880852,2461233,0.6672015159031579,66219,0.017950928328033636,0,0,1161025,0.31473559797120543,413,0.00011195779760307301,0,0,2461233,0.6672015159031579,66209,0.017948217485476661,10,2.7108425569751333e-06,0,0,0,0,0,0,65729,0.11448711673752911,508388,0.88551288326247091
spec06,471.omnetpp,1,0.50881900000000002,4.3349995665000431,0.21947766846366645,1561608,31.232156876784313,1561608,216750,0.219179968650387,0.00029769981327943686,0,0,0,0.99864359861591701,0.001356401384083045,0,0,0,442808,0.2835589981608701,1079106,0.69102233082822317,39694,0.025418671010906706,0,0,441416,0.28266760928478851,1392,0.00089138887608157741,0,0,1079106,0.69102233082822317,39611,0.025365520668439199,83,5.3150342467507848e-05,0,0,0,0,0,0,39737,0.18333102652825836,177013,0.81666897347174161
spec06,473.astar,2,0.35319431382738875,9.0868494547890322,0.32368461548325872,2653212,26.532118408072897,2653212,908683,0.3236817657862528,2.8496970059658408e-06,0,0,0,0.99999119606904485,8.8039309551714846e-06,0,0,0,1308953,0.49334655504347186,1267603,0.47776167151362198,76656,0.028891773442906183,0,0,1308841,0.4933043420578529,112,4.2212985618940361e-05,0,0,1267603,0.47776167151362198,76652,0.028890265836276935,4,1.5076066292478702e-06,0,0,0,0,0,0,89752,0.098771518780476797,818931,0.90122848121952315
spec06,483.xalancbmk,2,0.74838172584584128,2.2913499541730009,0.36218116408204815,3099828,30.998279380034411,3099828,229135,0.35680380872294926,0.0053773553590989055,0,0,0,0.98515285748576165,0.014847142514238331,0,0,0,616926,0.19901942946511872,2407814,0.77675729104969693,75088,0.024223279485184341,0,0,591953,0.19096317602137924,24973,0.0080562534437394594,0,0,2407814,0.77675729104969693,74204,0.023938102372131616,884,0.0002851771130527242,0,0,0,0,0,0,74953,0.32711283741026032,154182,0.67288716258973968
spec17,602.gcc_s,1,0.59818300000000002,1.3089599738208004,0.96770759403832507,3669831,73.396618532067635,3669831,65448,0.96770759403832507,0,0,0,0,1,0,0,0,0,73984,0.020160056416766877,3581676,0.97597845786359094,14171,0.0038614857196421306,0,0,73984,0.020160056416766877,0,0,0,0,3581676,0.97597845786359094,14171,0.0038614857196421306,0,0,0,0,0,0,0,0,13722,0.20966263292995965,51726,0.79033736707004032
spec17,605.mcf_s,5,0.30230279638667223,11.523263539069458,0.3596162483525378,20893083,83.572328657106851,20893083,2880814,0.3596162483525378,0,0,0,0,1,0,0,0,0,5386531,0.25781408133974293,14438011,0.69104262879729139,1068541,0.051143289862965652,0,0,5386531,0.25781408133974293,0,0,0,0,14438011,0.69104262879729139,1068541,0.051143289862965652,0,0,0,0,0,0,0,0,1066973,0.37037205456513334,1813841,0.62962794543486666
