dataset,workload,trace_tag,trace_name,instructions,cycles,ipc,stlb_access,stlb_hit,stlb_miss,stlb_mpki,stlb_miss_rate,dram_rq_read_total_observed_count,dram_rq_read_pki,total_classified_read_count,stlb_miss_ptw_dram_touch_total_count,demand_data_miss,demand_data_miss_rate,demand_instruction_miss,demand_instruction_miss_rate,l1d_prefetch_miss,l1d_prefetch_miss_rate,l1i_prefetch_miss,l1i_prefetch_miss_rate,other_miss,other_miss_rate,cache_demand_count,cache_demand_share,cache_prefetch_count,cache_prefetch_share,stlb_demand_count,stlb_demand_share,stlb_prefetch_count,stlb_prefetch_share,data_demand_read_count,data_demand_read_share,inst_demand_read_count,inst_demand_read_share,cache_inst_prefetch_count,cache_inst_prefetch_share,cache_data_prefetch_count,cache_data_prefetch_share,stlb_data_demand_count,stlb_data_demand_share,stlb_inst_demand_count,stlb_inst_demand_share,stlb_l1i_pref_count,stlb_l1i_pref_share,stlb_l1d_pref_count,stlb_l1d_pref_share,unclassified_read_count,unclassified_read_share,stlb_miss_touch_dram_count,stlb_miss_touch_dram_share,stlb_miss_no_dram_touch_count,stlb_miss_no_dram_touch_share
spec06,429.mcf,429.mcf-184B,429.mcf-184B.champsimtrace.xz,50000003,321513356,0.15551499999999999,6595200,6300050,295150,5.9029999999999996,0.044752199999999999,5126672,102.533,5126672,295150,284973,0.043209200000000003,0,0,10177,0.00154309,0,0,0,0,1250243,0.24387029246263464,3762028,0.73381484128495056,113638,0.022166036758349276,763,0.00014882949406554583,1250243,0.24387029246263464,0,0,0,0,3762028,0.73381484128495056,113638,0.022166036758349276,0,0,0,0,763,0.00014882949406554583,0,0,116958,0.39626630526850753,178192,0.60373369473149241
spec06,429.mcf,429.mcf-192B,429.mcf-192B.champsimtrace.xz,50000000,259663993,0.19255700000000001,7431866,7300406,131460,2.6292,0.017688700000000002,4234627,84.692499999999995,4234627,131460,126913,0.017076899999999999,0,0,4547,0.00061182499999999998,0,0,0,0,653544,0.15433330963978645,3539158,0.83576617255781915,41672,0.0098407722805337987,253,5.9745521860603069e-05,653544,0.15433330963978645,0,0,0,0,3539158,0.83576617255781915,41672,0.0098407722805337987,0,0,0,0,253,5.9745521860603069e-05,0,0,40757,0.31003347025711242,90703,0.68996652974288752
spec06,429.mcf,429.mcf-22B,429.mcf-22B.champsimtrace.xz,50000001,63662851,0.78538699999999995,247928,80825,167103,3.34206,0.67399799999999999,1780284,35.605699999999999,1780284,167103,151256,0.61007999999999996,0,0,15847,0.063917799999999997,0,0,0,0,607991,0.34151348885908089,1102432,0.6192450193339939,68389,0.038414657436678643,1472,0.00082683437024654494,607991,0.34151348885908089,0,0,0,0,1102432,0.6192450193339939,68389,0.038414657436678643,0,0,0,0,1472,0.00082683437024654494,0,0,69075,0.41336780309150645,98028,0.58663219690849355
spec06,429.mcf,429.mcf-51B,429.mcf-51B.champsimtrace.xz,50000004,264135308,0.18929699999999999,4171705,3599916,571789,11.4358,0.13706399999999999,5008178,100.164,5008178,571789,555386,0.133132,0,0,16403,0.0039319699999999999,0,0,0,0,1890779,0.37753829835920366,2901143,0.57928112778739094,214561,0.042842127416397736,1695,0.00033844643700763034,1890779,0.37753829835920366,0,0,0,0,2901143,0.57928112778739094,214561,0.042842127416397736,0,0,0,0,1695,0.00033844643700763034,0,0,216965,0.37944941228320239,354824,0.62055058771679761
spec06,433.milc,433.milc-127B,433.milc-127B.champsimtrace.xz,50000003,42235962,1.1838299999999999,60312,630,59682,1.19364,0.98955400000000004,865568,17.311399999999999,865568,59682,57100,0.94674400000000003,4,6.6321800000000006e-05,2578,0.042744400000000002,0,0,0,0,295391,0.34126839254685942,562656,0.6500425154349514,7185,0.0083009076121113527,336,0.0003881844060778587,295349,0.34121986949609967,42,4.8523050759732337e-05,0,0,562656,0.6500425154349514,7181,0.0082962863691818552,4,4.621242929498318e-06,0,0,336,0.0003881844060778587,0,0,7476,0.12526389866291343,52206,0.87473610133708657
spec06,433.milc,433.milc-274B,433.milc-274B.champsimtrace.xz,50000003,52932259,0.944604,74227,18312,55915,1.1183000000000001,0.75329699999999999,1248187,24.963699999999999,1248187,55915,50918,0.68597699999999995,5,6.7360900000000001e-05,4992,0.067253199999999999,0,0,0,0,515150,0.41271860706769098,725995,0.58163961009047527,6402,0.0051290391583953369,640,0.00051274368343845911,515100,0.41267854896742234,50,4.0058100268629623e-05,0,0,725995,0.58163961009047527,6398,0.0051258345103738466,4,3.2046480214903696e-06,0,0,640,0.00051274368343845911,0,0,6986,0.12493964052579809,48929,0.87506035947420191
spec06,433.milc,433.milc-337B,433.milc-337B.champsimtrace.xz,50000000,45001658,1.11107,79253,995,78258,1.5651600000000001,0.98744500000000002,1087935,21.758700000000001,1087935,78258,70855,0.89403600000000005,1,1.26178e-05,7402,0.093397099999999997,0,0,0,0,531735,0.48875622164927135,546350,0.50218992862625067,9018,0.0082890981538419114,832,0.00076475157063611338,531723,0.48874519157854102,12,1.1030070730328559e-05,0,0,546350,0.50218992862625067,9016,0.0082872598087201897,2,1.8383451217214264e-06,0,0,832,0.00076475157063611338,0,0,9797,0.12518847913312378,68461,0.87481152086687619
spec06,436.cactusADM,436.cactusADM-1804B,436.cactusADM-1804B.champsimtrace.xz,50000000,26224954,1.9065799999999999,1371154,909093,462061,9.2412200000000002,0.33698699999999998,220495,4.4099000000000004,220495,462061,461190,0.33635199999999998,0,0,871,0.00063523099999999999,0,0,0,0,72631,0.32939975963173768,147310,0.66808771173949522,439,0.0019909748520374614,115,0.00052155377672963104,72631,0.32939975963173768,0,0,0,0,147310,0.66808771173949522,439,0.0019909748520374614,0,0,0,0,115,0.00052155377672963104,0,0,499,0.001079943990079232,461562,0.99892005600992073
spec06,450.soplex,450.soplex-92B,450.soplex-92B.champsimtrace.xz,50000000,77708781,0.643428,266267,210438,55829,1.1165799999999999,0.209673,1652742,33.0548,1652742,55829,45568,0.17113600000000001,9,3.3800700000000003e-05,10252,0.038502700000000001,0,0,0,0,493315,0.29848276379495409,1148432,0.69486465522144414,9798,0.0059283300115807545,1197,0.00072425097202104141,493178,0.29839987124427164,137,8.2892550682441669e-05,0,0,1148432,0.69486465522144414,9790,0.0059234895706649915,8,4.8404409157630172e-06,0,0,1197,0.00072425097202104141,0,0,10915,0.19550771104623046,44914,0.80449228895376956
spec06,459.GemsFDTD,459.GemsFDTD-1169B,459.GemsFDTD-1169B.champsimtrace.xz,50000004,43509408,1.1491800000000001,759261,585930,173331,3.4666199999999998,0.22828899999999999,570339,11.4068,570339,173331,106993,0.14091699999999999,2,2.6341400000000002e-06,66336,0.087369199999999994,0,0,0,0,149809,0.26266658951956645,410649,0.72000862644848063,4566,0.0080057649923992568,5315,0.0093190190395536689,149668,0.26241936813018224,141,0.00024722138938420836,0,0,410649,0.72000862644848063,4564,0.0080022583060250126,2,3.5066863742440901e-06,0,0,5315,0.0093190190395536689,0,0,9819,0.056648839503608703,163512,0.94335116049639134
