dataset,workload,num_traces,ipc,stlb_mpki,stlb_miss_rate,dram_rq_read_total_observed_count,dram_rq_read_pki,total_classified_read_count,stlb_miss_ptw_dram_touch_total_count,demand_data_miss_rate,demand_instruction_miss_rate,l1d_prefetch_miss_rate,l1i_prefetch_miss_rate,other_miss_rate,demand_data_share,demand_instruction_share,l1d_prefetch_share,l1i_prefetch_share,other_share,cache_demand_count,cache_demand_share,cache_prefetch_count,cache_prefetch_share,stlb_demand_count,stlb_demand_share,stlb_prefetch_count,stlb_prefetch_share,data_demand_read_count,data_demand_read_share,inst_demand_read_count,inst_demand_read_share,cache_inst_prefetch_count,cache_inst_prefetch_share,cache_data_prefetch_count,cache_data_prefetch_share,stlb_data_demand_count,stlb_data_demand_share,stlb_inst_demand_count,stlb_inst_demand_share,stlb_l1i_pref_count,stlb_l1i_pref_share,stlb_l1d_pref_count,stlb_l1d_pref_share,unclassified_read_count,unclassified_read_share,stlb_miss_touch_dram_count,stlb_miss_touch_dram_share,stlb_miss_no_dram_touch_count,stlb_miss_no_dram_touch_share
spec06,429.mcf,4,0.25830913129479416,5.8275097668996096,0.063182144404264409,16149761,80.748801770047933,16149761,1165502,0.060635672539569273,0,0.0025464718646951412,0,0,0.95969633685742284,0,0.04030366314257719,0,0,4402557,0.27260818287032235,11304761,0.699995560305815,438260,0.027137243702863467,4183,0.00025901312099912808,4402557,0.27260818287032235,0,0,0,0,11304761,0.699995560305815,438260,0.027137243702863467,0,0,0,0,4183,0.00025901312099912808,0,0,443755,0.38074151738907352,721747,0.61925848261092642
spec06,433.milc,3,1.0750455051304406,1.2923666149720021,0.90674580901062718,3201690,21.344599146216034,3201690,193855,0.83666835054632538,4.6774434964825622e-05,0.070030684029336931,0,0,0.92271543163704828,5.1584947512315908e-05,0.077232983415439369,0,0,1342276,0.41923983896004924,1835001,0.57313512551183909,22605,0.0070603337612323491,1808,0.00056470176687936679,1342172,0.41920735611505172,104,3.2482844997485705e-05,0,0,1835001,0.57313512551183909,22595,0.0070572104107518218,10,3.1233504805274715e-06,0,0,1808,0.00056470176687936679,0,0,24259,0.12513992417012715,169596,0.8748600758298728
spec06,436.cactusADM,1,1.9065799999999999,9.2412200000000002,0.33698694676163288,220495,4.4099000000000004,220495,462061,0.33635171541635733,0,0.00063523134527558535,0,0,0.99811496750429052,0,0.001885032495709441,0,0,72631,0.32939975963173768,147310,0.66808771173949522,439,0.0019909748520374614,115,0.00052155377672963104,72631,0.32939975963173768,0,0,0,0,147310,0.66808771173949522,439,0.0019909748520374614,0,0,0,0,115,0.00052155377672963104,0,0,499,0.001079943990079232,461562,0.99892005600992073
spec06,450.soplex,1,0.643428,1.1165799999999999,0.20967299740486053,1652742,33.054839999999999,1652742,55829,0.17113649081560989,3.3800658737282504e-05,0.038502705930513359,0,0,0.81620663096240309,0.00016120654140321339,0.18363216249619374,0,0,493315,0.29848276379495409,1148432,0.69486465522144414,9798,0.0059283300115807545,1197,0.00072425097202104141,493178,0.29839987124427164,137,8.2892550682441669e-05,0,0,1148432,0.69486465522144414,9790,0.0059234895706649915,8,4.8404409157630172e-06,0,0,1197,0.00072425097202104141,0,0,10915,0.19550771104623046,44914,0.80449228895376956
spec06,459.GemsFDTD,4,0.99522369479308181,2.9028298403443586,0.27688363195689403,4248045,21.240223831787688,4248045,580566,0.16784919021340747,3.3384411482902175e-06,0.1090311033023383,0,0,0.60620842419294274,1.2057199353734114e-05,0.39377951860770349,0,0,968013,0.22787258609548627,3213017,0.75635192188406664,39629,0.0093287618186718834,27386,0.0064467302017751698,967600,0.22777536490314956,413,9.7221192336710181e-05,0,0,3213017,0.75635192188406664,39619,0.0093264077946443591,10,2.3540240275232489e-06,0,0,27386,0.0064467302017751698,0,0,66415,0.11439698501117875,514151,0.88560301498882121
spec06,471.omnetpp,1,0.46612300000000001,4.468239553176045,0.21599160829695802,1772208,35.444156455584356,1772208,223412,0.20024459687438065,0.00028616867516471618,0.015460842747412639,0,0,0.92709433692012966,0.0013249064508620845,0.071580756629008285,0,0,517788,0.29217112212561958,1212717,0.6842972156767152,40693,0.022961751667975767,1010,0.00056991052968951726,516393,0.29138396847322662,1395,0.00078715365239294714,0,0,1212717,0.6842972156767152,40592,0.022904760615006816,101,5.6991052968951725e-05,0,0,1010,0.00056991052968951726,0,0,41719,0.18673571697133548,181693,0.81326428302866449
spec06,473.astar,2,0.35441713197163593,9.4178895291055227,0.32921995841530721,2706099,27.060988646950566,2706099,941788,0.31349461034975046,2.7965496170824435e-06,0.015722551515939633,0,0,0.95223452386893459,8.4944716916421836e-06,0.047756981659373809,0,0,1299712,0.48028989331136812,1328337,0.4908678507327337,75228,0.02779942640679443,2822,0.0010428295491037099,1299600,0.4802485053207588,112,4.1387990609360561e-05,0,0,1328337,0.4908678507327337,75224,0.027797948264272666,4,1.4781425217628771e-06,0,0,2822,0.0010428295491037099,0,0,91031,0.096657634202177142,850757,0.9033423657978229
spec06,483.xalancbmk,2,0.7414618041746992,2.4044699519106008,0.37561333760319926,2941564,29.415639411687213,2941564,240447,0.32635106108772233,0.0053378531426473688,0.043924423372829591,0,0,0.86884843645377152,0.014211031952987561,0.11694053159324093,0,0,649833,0.22091411235655589,2216455,0.75349541944353415,73241,0.024898659352643696,2035,0.00069180884726628418,624958,0.21245772656994713,24875,0.0084563857866087559,0,0,2216455,0.75349541944353415,72426,0.024621595858529681,815,0.00027706349411401552,0,0,2035,0.00069180884726628418,0,0,75079,0.31224760550142028,165368,0.68775239449857972
spec17,602.gcc_s,1,0.54833600000000005,1.3141,0.96470363681745441,3672481,73.449619999999996,3672481,65705,0.8749798117723061,0,0.089723825045148212,0,0,0.90699337949927705,0,0.093006620500722934,0,0,73404,0.019987577879912788,3584608,0.97607257872811326,13718,0.003735349481726386,751,0.00020449391024759557,73404,0.019987577879912788,0,0,0,0,3584608,0.97607257872811326,13718,0.003735349481726386,0,0,0,0,751,0.00020449391024759557,0,0,13951,0.21232782893234914,51754,0.78767217106765086
spec17,605.mcf_s,5,0.31226778780472558,11.599699721607207,0.35410627370436493,17458943,69.835770323941517,17458943,2899923,0.34253414771742074,0,0.01157212598694413,0,0,0.96732018931524089,0,0.032679810684759086,0,0,5059688,0.28980494409083069,11343914,0.64974804030232525,1047401,0.059992234352331641,7940,0.00045478125451237225,5059688,0.28980494409083069,0,0,0,0,11343914,0.64974804030232525,1047401,0.059992234352331641,0,0,0,0,7940,0.00045478125451237225,0,0,1054499,0.36362999983103,1845424,0.63637000016897005
