dataset,workload,trace_tag,trace_name,instructions,cycles,ipc,stlb_access,stlb_hit,stlb_miss,stlb_mpki,stlb_miss_rate,llc_access,llc_hit,llc_miss,llc_mpki,llc_miss_rate,demand_data_miss,demand_data_miss_rate,demand_instruction_miss,demand_instruction_miss_rate,l1d_prefetch_miss,l1d_prefetch_miss_rate,l1i_prefetch_miss,l1i_prefetch_miss_rate,other_miss,other_miss_rate
spec06,400.perlbench,400.perlbench-41B,400.perlbench-41B.champsimtrace.xz,50000000,26257916,1.90419,6225,5829,396,0.00792,0.063614500000000004,9498,1242,8256,0.16511999999999999,0.86923600000000001,395,0.063453800000000005,1,0.000160643,0,0,0,0,0,0
spec06,400.perlbench,400.perlbench-50B,400.perlbench-50B.champsimtrace.xz,50000003,25297285,1.9764999999999999,4202,3782,420,0.0083999999999999995,0.099952399999999997,5154,40,5114,0.10228,0.99223899999999998,419,0.099714399999999995,1,0.000237982,0,0,0,0,0,0
spec06,401.bzip2,401.bzip2-226B,401.bzip2-226B.champsimtrace.xz,50000002,26362382,1.8966400000000001,713575,712503,1072,0.021440000000000001,0.0015022900000000001,367904,177419,190485,3.8096999999999999,0.51775700000000002,1072,0.0015022900000000001,0,0,0,0,0,0,0,0
spec06,401.bzip2,401.bzip2-277B,401.bzip2-277B.champsimtrace.xz,50000005,33350353,1.4992300000000001,8967,8934,33,0.00066,0.00368016,199128,116467,82661,1.6532199999999999,0.41511500000000001,33,0.00368016,0,0,0,0,0,0,0,0
spec06,401.bzip2,401.bzip2-38B,401.bzip2-38B.champsimtrace.xz,50000004,25355067,1.9719899999999999,898,679,219,0.0043800000000000002,0.24387500000000001,51165,32399,18766,0.37531999999999999,0.36677399999999999,214,0.23830699999999999,5,0.0055679299999999996,0,0,0,0,0,0
spec06,401.bzip2,401.bzip2-7B,401.bzip2-7B.champsimtrace.xz,50000003,24336290,2.0545499999999999,112442,112276,166,0.00332,0.0014763199999999999,354480,327594,26886,0.53771999999999998,0.075846300000000005,166,0.0014763199999999999,0,0,0,0,0,0,0,0
spec06,403.gcc,403.gcc-16B,403.gcc-16B.champsimtrace.xz,50000000,22213241,2.2509100000000002,54760,54318,442,0.0088400000000000006,0.00807159,3811050,3804713,6337,0.12673999999999999,0.0016628000000000001,442,0.00807159,0,0,0,0,0,0,0,0
spec06,403.gcc,403.gcc-17B,403.gcc-17B.champsimtrace.xz,50000003,98906601,0.50552699999999995,699164,657444,41720,0.83440000000000003,0.059671299999999997,2209336,175243,2034093,40.681899999999999,0.92068099999999997,41688,0.059625499999999998,32,4.5768900000000002e-05,0,0,0,0,0,0
spec06,403.gcc,403.gcc-48B,403.gcc-48B.champsimtrace.xz,50000000,15909888,3.1427,9766,8710,1056,0.02112,0.10813,14621,2803,11818,0.23635999999999999,0.80828900000000004,1056,0.10813,0,0,0,0,0,0,0,0
spec06,410.bwaves,410.bwaves-1963B,410.bwaves-1963B.champsimtrace.xz,50000001,44868465,1.1143700000000001,37772,23807,13965,0.27929999999999999,0.36971799999999999,941057,5477,935580,18.711600000000001,0.99417999999999995,13965,0.36971799999999999,0,0,0,0,0,0,0,0
spec06,410.bwaves,410.bwaves-2097B,410.bwaves-2097B.champsimtrace.xz,50000003,44924663,1.11297,50715,36797,13918,0.27836,0.27443600000000001,941100,5551,935549,18.710999999999999,0.99410200000000004,13918,0.27443600000000001,0,0,0,0,0,0,0,0
spec06,410.bwaves,410.bwaves-945B,410.bwaves-945B.champsimtrace.xz,50000000,13323025,3.7528999999999999,2,0,2,4.0000000000000003e-05,1,190,0,190,0.0038,1,2,1,0,0,0,0,0,0,0,0
spec06,416.gamess,416.gamess-875B,416.gamess-875B.champsimtrace.xz,50000000,22138681,2.2584900000000001,386125,386102,23,0.00046000000000000001,5.9566199999999999e-05,656,0,656,0.01312,1,15,3.8847499999999997e-05,8,2.0718699999999999e-05,0,0,0,0,0,0
spec06,429.mcf,429.mcf-184B,429.mcf-184B.champsimtrace.xz,50000001,430099483,0.11625199999999999,6490884,6206276,284608,5.6921600000000003,0.043847299999999999,5237965,1901365,3336600,66.731999999999999,0.63700299999999999,284608,0.043847299999999999,0,0,0,0,0,0,0,0
spec06,429.mcf,429.mcf-192B,429.mcf-192B.champsimtrace.xz,50000001,397579742,0.12576100000000001,7332477,7206718,125759,2.51518,0.017151,5105962,2190092,2915870,58.317399999999999,0.57107200000000002,125759,0.017151,0,0,0,0,0,0,0,0
spec06,429.mcf,429.mcf-217B,429.mcf-217B.champsimtrace.xz,50000000,225309723,0.221917,105698,60090,45608,0.91215999999999997,0.43149399999999999,2654811,725450,1929361,38.587200000000003,0.72674099999999997,45608,0.43149399999999999,0,0,0,0,0,0,0,0
spec06,429.mcf,429.mcf-22B,429.mcf-22B.champsimtrace.xz,50000004,108170240,0.46223399999999998,234176,71729,162447,3.2489400000000002,0.69369599999999998,1870683,603969,1266714,25.334299999999999,0.67713999999999996,162447,0.69369599999999998,0,0,0,0,0,0,0,0
spec06,429.mcf,429.mcf-51B,429.mcf-51B.champsimtrace.xz,50000002,291831870,0.17133200000000001,4076618,3517940,558678,11.1736,0.137044,4165052,1064990,3100062,62.001199999999997,0.74430300000000005,558678,0.137044,0,0,0,0,0,0,0,0
spec06,433.milc,433.milc-127B,433.milc-127B.champsimtrace.xz,50000000,71093385,0.70330000000000004,59800,119,59681,1.1936199999999999,0.99800999999999995,1098821,93108,1005713,20.1143,0.91526600000000002,59677,0.99794300000000002,4,6.6889600000000004e-05,0,0,0,0,0,0
spec06,433.milc,433.milc-274B,433.milc-274B.champsimtrace.xz,50000001,70799529,0.70621900000000004,74185,18275,55910,1.1182000000000001,0.75365599999999999,1420631,444590,976041,19.520800000000001,0.68704799999999999,55905,0.75358899999999995,5,6.7399100000000003e-05,0,0,0,0,0,0
spec06,433.milc,433.milc-337B,433.milc-337B.champsimtrace.xz,50000001,57282157,0.87287199999999998,78714,459,78255,1.5650999999999999,0.99416899999999997,1235543,192533,1043010,20.860199999999999,0.844171,78254,0.99415600000000004,1,1.2704199999999999e-05,0,0,0,0,0,0
spec06,434.zeusmp,434.zeusmp-10B,434.zeusmp-10B.champsimtrace.xz,50000000,25786180,1.93902,624451,622726,1725,0.034500000000000003,0.0027624300000000002,226444,114491,111953,2.2390599999999998,0.494396,1725,0.0027624300000000002,0,0,0,0,0,0,0,0
spec06,435.gromacs,435.gromacs-111B,435.gromacs-111B.champsimtrace.xz,50000001,19556261,2.5567299999999999,91465,91411,54,0.00108,0.00059038999999999999,32404,29239,3165,0.063299999999999995,0.097673099999999999,54,0.00059038999999999999,0,0,0,0,0,0,0,0
spec06,435.gromacs,435.gromacs-134B,435.gromacs-134B.champsimtrace.xz,50000001,17301386,2.8899400000000002,115820,115332,488,0.0097599999999999996,0.0042134299999999998,75839,45273,30566,0.61131999999999997,0.40303800000000001,483,0.0041702600000000003,5,4.3170400000000003e-05,0,0,0,0,0,0
spec06,435.gromacs,435.gromacs-226B,435.gromacs-226B.champsimtrace.xz,50000004,23872721,2.0944400000000001,18157,16706,1451,0.029020000000000001,0.079914100000000002,259610,134364,125246,2.5049199999999998,0.48243900000000001,1395,0.076829900000000007,56,0.00308421,0,0,0,0,0,0
spec06,435.gromacs,435.gromacs-228B,435.gromacs-228B.champsimtrace.xz,50000005,14524385,3.4424899999999998,26854,26152,702,0.01404,0.026141399999999999,99827,48317,51510,1.0302,0.51599300000000003,669,0.024912500000000001,33,0.00122887,0,0,0,0,0,0
spec06,436.cactusADM,436.cactusADM-1804B,436.cactusADM-1804B.champsimtrace.xz,50000000,35159318,1.4220999999999999,1315894,823256,492638,9.85276,0.37437500000000001,321202,42236,278966,5.5793200000000001,0.868506,492638,0.37437500000000001,0,0,0,0,0,0,0,0
spec06,437.leslie3d,437.leslie3d-134B,437.leslie3d-134B.champsimtrace.xz,50000005,35227597,1.41934,36203,33443,2760,0.055199999999999999,0.076236799999999993,318455,126746,191709,3.8341799999999999,0.601997,2760,0.076236799999999993,0,0,0,0,0,0,0,0
spec06,437.leslie3d,437.leslie3d-149B,437.leslie3d-149B.champsimtrace.xz,50000001,52039397,0.96081099999999997,16583,11317,5266,0.10532,0.317554,500181,151427,348754,6.9750800000000002,0.69725599999999999,5257,0.31701099999999999,9,0.00054272399999999996,0,0,0,0,0,0
spec06,437.leslie3d,437.leslie3d-232B,437.leslie3d-232B.champsimtrace.xz,50000005,41562248,1.2030099999999999,11432,8605,2827,0.05654,0.24728800000000001,461976,143712,318264,6.3652800000000003,0.68891899999999995,2827,0.24728800000000001,0,0,0,0,0,0,0,0
spec06,437.leslie3d,437.leslie3d-265B,437.leslie3d-265B.champsimtrace.xz,50000004,32621949,1.53271,11736,8947,2789,0.055780000000000003,0.237645,326276,25389,300887,6.0177399999999999,0.92218599999999995,2789,0.237645,0,0,0,0,0,0,0,0
spec06,437.leslie3d,437.leslie3d-271B,437.leslie3d-271B.champsimtrace.xz,50000002,55746304,0.89692000000000005,5549,62,5487,0.10974,0.98882700000000001,489391,101920,387471,7.7494199999999998,0.79174100000000003,5487,0.98882700000000001,0,0,0,0,0,0,0,0
spec06,437.leslie3d,437.leslie3d-273B,437.leslie3d-273B.champsimtrace.xz,50000003,44116663,1.1333599999999999,4513,70,4443,0.088859999999999995,0.98448899999999995,418252,21695,396557,7.9311400000000001,0.948129,4443,0.98448899999999995,0,0,0,0,0,0,0,0
spec06,444.namd,444.namd-120B,444.namd-120B.champsimtrace.xz,50000001,14917842,3.3516900000000001,5106,4972,134,0.0026800000000000001,0.026243599999999999,7307,857,6450,0.129,0.88271500000000003,134,0.026243599999999999,0,0,0,0,0,0,0,0
spec06,444.namd,444.namd-166B,444.namd-166B.champsimtrace.xz,50000002,15431161,3.2402000000000002,2174,2059,115,0.0023,0.052897899999999998,6762,1699,5063,0.10126,0.74874300000000005,115,0.052897899999999998,0,0,0,0,0,0,0,0
spec06,444.namd,444.namd-23B,444.namd-23B.champsimtrace.xz,50000002,15395501,3.2477,4642,4483,159,0.0031800000000000001,0.034252499999999998,7848,2152,5696,0.11391999999999999,0.72579000000000005,159,0.034252499999999998,0,0,0,0,0,0,0,0
spec06,444.namd,444.namd-321B,444.namd-321B.champsimtrace.xz,50000003,15308799,3.2660999999999998,5797,5673,124,0.00248,0.0213904,6377,1739,4638,0.092759999999999995,0.72730099999999998,124,0.0213904,0,0,0,0,0,0,0,0
spec06,444.namd,444.namd-33B,444.namd-33B.champsimtrace.xz,50000004,13748022,3.6368900000000002,2291,2154,137,0.0027399999999999998,0.059799199999999997,6220,1474,4746,0.094920000000000004,0.76302300000000001,137,0.059799199999999997,0,0,0,0,0,0,0,0
spec06,444.namd,444.namd-426B,444.namd-426B.champsimtrace.xz,50000000,15534114,3.2187199999999998,6576,6456,120,0.0023999999999999998,0.018248199999999999,8433,3180,5253,0.10506,0.62290999999999996,120,0.018248199999999999,0,0,0,0,0,0,0,0
spec06,444.namd,444.namd-44B,444.namd-44B.champsimtrace.xz,50000000,17064574,2.93005,2898,2795,103,0.0020600000000000002,0.035541799999999998,2708,63,2645,0.052900000000000003,0.97673600000000005,103,0.035541799999999998,0,0,0,0,0,0,0,0
spec06,445.gobmk,445.gobmk-17B,445.gobmk-17B.champsimtrace.xz,50000000,36342467,1.3757999999999999,5271,5051,220,0.0044000000000000003,0.041737799999999999,5421,3320,2101,0.042020000000000002,0.38756699999999999,212,0.040220100000000002,8,0.0015177400000000001,0,0,0,0,0,0
spec06,445.gobmk,445.gobmk-2B,445.gobmk-2B.champsimtrace.xz,50000000,41648627,1.20052,64206,62214,1992,0.03984,0.0310251,123657,110792,12865,0.25729999999999997,0.10403800000000001,1968,0.030651299999999999,24,0.00037379699999999999,0,0,0,0,0,0
spec06,445.gobmk,445.gobmk-30B,445.gobmk-30B.champsimtrace.xz,50000001,40624045,1.2307999999999999,20662,16084,4578,0.091560000000000002,0.22156600000000001,42027,25779,16248,0.32496000000000003,0.38660899999999998,4520,0.21875900000000001,58,0.0028070899999999999,0,0,0,0,0,0
