dataset,workload,trace_tag,trace_name,instructions,cycles,ipc,stlb_access,stlb_hit,stlb_miss,stlb_mpki,stlb_miss_rate,llc_access,llc_hit,llc_miss,llc_mpki,llc_miss_rate,demand_data_miss,demand_data_miss_rate,demand_instruction_miss,demand_instruction_miss_rate,l1d_prefetch_miss,l1d_prefetch_miss_rate,l1i_prefetch_miss,l1i_prefetch_miss_rate,other_miss,other_miss_rate
spec06,400.perlbench,400.perlbench-41B,400.perlbench-41B.champsimtrace.xz,50000000,25439926,1.9654100000000001,6756,6348,408,0.0081600000000000006,0.060390800000000001,15427,1504,13923,0.27845999999999999,0.90250900000000001,368,0.0544701,1,0.00014801699999999999,39,0.0057726499999999998,0,0,0,0
spec06,400.perlbench,400.perlbench-50B,400.perlbench-50B.champsimtrace.xz,50000003,24789412,2.0169899999999998,4434,4008,426,0.0085199999999999998,0.096075800000000003,8877,242,8635,0.17269999999999999,0.97273900000000002,385,0.086829000000000003,1,0.00022552999999999999,40,0.0090212000000000001,0,0,0,0
spec06,401.bzip2,401.bzip2-226B,401.bzip2-226B.champsimtrace.xz,50000002,23087369,2.1656900000000001,725298,724222,1076,0.021520000000000001,0.00148353,637732,436487,201245,4.0248999999999997,0.31556400000000001,1061,0.0014628499999999999,0,0,15,2.0681200000000001e-05,0,0,0,0
spec06,401.bzip2,401.bzip2-277B,401.bzip2-277B.champsimtrace.xz,50000005,27849227,1.79538,9148,9115,33,0.00066,0.0036073500000000001,203251,118823,84428,1.6885600000000001,0.41538799999999998,7,0.00076519499999999998,0,0,26,0.0028421499999999999,0,0,0,0
spec06,401.bzip2,401.bzip2-38B,401.bzip2-38B.champsimtrace.xz,50000004,23706870,2.1090900000000001,917,698,219,0.0043800000000000002,0.23882200000000001,53468,35613,17855,0.35709999999999997,0.33393800000000001,212,0.23118900000000001,5,0.0054525600000000004,2,0.00218103,0,0,0,0
spec06,401.bzip2,401.bzip2-7B,401.bzip2-7B.champsimtrace.xz,50000003,23208051,2.15442,119000,118832,168,0.0033600000000000001,0.00141176,446450,408319,38131,0.76261999999999996,0.085409299999999994,148,0.0012436999999999999,0,0,20,0.00016806699999999999,0,0,0,0
spec06,403.gcc,403.gcc-16B,403.gcc-16B.champsimtrace.xz,50000000,21746655,2.2991999999999999,55263,54760,503,0.010059999999999999,0.0091019299999999994,3860822,3846717,14105,0.28210000000000002,0.00365337,420,0.0076000199999999999,0,0,83,0.00150191,0,0,0,0
spec06,403.gcc,403.gcc-17B,403.gcc-17B.champsimtrace.xz,50000000,79864867,0.626058,721543,675425,46118,0.92235999999999996,0.063915799999999995,2657764,351947,2305817,46.116300000000003,0.86757799999999996,40610,0.056282199999999998,32,4.4349399999999999e-05,5476,0.0075892900000000003,0,0,0,0
spec06,403.gcc,403.gcc-48B,403.gcc-48B.champsimtrace.xz,50000000,15294137,3.2692299999999999,9968,8902,1066,0.021319999999999999,0.106942,21486,4557,16929,0.33857999999999999,0.78790800000000005,1041,0.104434,0,0,25,0.0025080300000000001,0,0,0,0
spec06,410.bwaves,410.bwaves-1963B,410.bwaves-1963B.champsimtrace.xz,50000000,21662444,2.3081399999999999,37890,23943,13947,0.27894000000000002,0.36809199999999997,941571,5835,935736,18.714700000000001,0.99380299999999999,12995,0.34296599999999999,0,0,952,0.025125399999999999,0,0,0,0
spec06,410.bwaves,410.bwaves-2097B,410.bwaves-2097B.champsimtrace.xz,50000002,21481910,2.3275399999999999,51394,37476,13918,0.27836,0.27081,941821,6079,935742,18.7148,0.99354500000000001,12988,0.25271399999999999,0,0,930,0.0180955,0,0,0,0
