dataset,workload,trace_tag,trace_name,instructions,cycles,ipc,stlb_access,stlb_hit,stlb_miss,stlb_mpki,stlb_miss_rate,demand_data_miss,demand_data_miss_rate,demand_instruction_miss,demand_instruction_miss_rate,l1d_prefetch_miss,l1d_prefetch_miss_rate,l1i_prefetch_miss,l1i_prefetch_miss_rate,other_miss,other_miss_rate
spec06,400.perlbench,400.perlbench-41B,400.perlbench-41B.champsimtrace.xz,50000000,25392556,1.9690799999999999,6792,6792,0,0,0,0,0,0,0,0,0,0,0,0,0
spec06,400.perlbench,400.perlbench-50B,400.perlbench-50B.champsimtrace.xz,50000003,24705297,2.02386,4456,4456,0,0,0,0,0,0,0,0,0,0,0,0,0
spec06,401.bzip2,401.bzip2-226B,401.bzip2-226B.champsimtrace.xz,50000001,23146289,2.1601699999999999,725404,725404,0,0,0,0,0,0,0,0,0,0,0,0,0
spec06,401.bzip2,401.bzip2-277B,401.bzip2-277B.champsimtrace.xz,50000005,28064591,1.7816000000000001,9155,9155,0,0,0,0,0,0,0,0,0,0,0,0,0
spec06,401.bzip2,401.bzip2-38B,401.bzip2-38B.champsimtrace.xz,50000004,23660417,2.1132300000000002,917,917,0,0,0,0,0,0,0,0,0,0,0,0,0
spec06,401.bzip2,401.bzip2-7B,401.bzip2-7B.champsimtrace.xz,50000003,23250829,2.1504599999999998,118790,118790,0,0,0,0,0,0,0,0,0,0,0,0,0
spec06,403.gcc,403.gcc-16B,403.gcc-16B.champsimtrace.xz,50000000,21672528,2.30707,55275,55275,0,0,0,0,0,0,0,0,0,0,0,0,0
spec06,403.gcc,403.gcc-17B,403.gcc-17B.champsimtrace.xz,50000000,78338529,0.63825600000000005,721346,721346,0,0,0,0,0,0,0,0,0,0,0,0,0
spec06,403.gcc,403.gcc-48B,403.gcc-48B.champsimtrace.xz,50000002,15109609,3.3091499999999998,9984,9984,0,0,0,0,0,0,0,0,0,0,0,0,0
spec06,410.bwaves,410.bwaves-1963B,410.bwaves-1963B.champsimtrace.xz,50000000,21198126,2.3586999999999998,37938,37938,0,0,0,0,0,0,0,0,0,0,0,0,0
