dataset,workload,num_traces,ipc,stlb_mpki,stlb_miss_rate,demand_data_miss_rate,demand_instruction_miss_rate,l1d_prefetch_miss_rate,l1i_prefetch_miss_rate,other_miss_rate,demand_data_share,demand_instruction_share,l1d_prefetch_share,l1i_prefetch_share,other_share
spec06,400.perlbench,2,1.9962821065170122,0,0,0,0,0,0,0,0,0,0,0,0
spec06,401.bzip2,4,2.0450035566233562,0,0,0,0,0,0,0,0,0,0,0,0
spec06,403.gcc,3,1.6953422184855782,0,0,0,0,0,0,0,0,0,0,0,0
spec06,410.bwaves,3,2.7621289710183849,0,0,0,0,0,0,0,0,0,0,0,0
spec06,416.gamess,1,2.2503799999999998,0,0,0,0,0,0,0,0,0,0,0,0
spec06,429.mcf,5,0.36603184752707518,0,0,0,0,0,0,0,0,0,0,0,0
spec06,433.milc,3,1.1895871718232247,0,0,0,0,0,0,0,0,0,0,0,0
spec06,434.zeusmp,1,2.9461999999999997,0,0,0,0,0,0,0,0,0,0,0,0
spec06,435.gromacs,4,3.393129420340439,0,0,0,0,0,0,0,0,0,0,0,0
spec06,436.cactusADM,1,2.25658,0,0,0,0,0,0,0,0,0,0,0,0
spec06,437.leslie3d,6,3.1897973843314,0,0,0,0,0,0,0,0,0,0,0,0
spec06,444.namd,7,3.3028907685369844,0,0,0,0,0,0,0,0,0,0,0,0
spec06,445.gobmk,4,1.2715799861225356,0,0,0,0,0,0,0,0,0,0,0,0
spec06,447.dealII,1,1.86164,0,0,0,0,0,0,0,0,0,0,0,0
spec06,450.soplex,2,0.71657057945746006,0,0,0,0,0,0,0,0,0,0,0,0
spec06,453.povray,4,1.8435707543173112,0,0,0,0,0,0,0,0,0,0,0,0
spec06,454.calculix,2,3.6131049740493291,0,0,0,0,0,0,0,0,0,0,0,0
spec06,456.hmmer,3,3.1925055235764668,0,0,0,0,0,0,0,0,0,0,0,0
spec06,458.sjeng,4,1.3260413779447662,0,0,0,0,0,0,0,0,0,0,0,0
spec06,459.GemsFDTD,6,1.2763526628110902,0,0,0,0,0,0,0,0,0,0,0,0
spec06,462.libquantum,2,1.3862468217348598,0,0,0,0,0,0,0,0,0,0,0,0
spec06,464.h264ref,4,2.7903080132952125,0,0,0,0,0,0,0,0,0,0,0,0
spec06,465.tonto,2,2.8295247082151445,0,0,0,0,0,0,0,0,0,0,0,0
spec06,470.lbm,1,0.92949199999999998,0,0,0,0,0,0,0,0,0,0,0,0
spec06,471.omnetpp,1,0.53495999999999999,0,0,0,0,0,0,0,0,0,0,0,0
spec06,473.astar,3,0.64280717063890913,0,0,0,0,0,0,0,0,0,0,0,0
spec06,481.wrf,6,3.2235316711537458,0,0,0,0,0,0,0,0,0,0,0,0
spec06,482.sphinx3,6,2.3838585088914948,0,0,0,0,0,0,0,0,0,0,0,0
spec06,483.xalancbmk,3,1.3341591051906778,0,0,0,0,0,0,0,0,0,0,0,0
spec17,600.perlbench_s,3,2.642922094254827,0,0,0,0,0,0,0,0,0,0,0,0
spec17,602.gcc_s,4,1.2339120160775974,0,0,0,0,0,0,0,0,0,0,0,0
spec17,603.bwaves_s,7,2.3788531318137793,0,0,0,0,0,0,0,0,0,0,0,0
