dataset,workload,trace_tag,trace_name,instructions,cycles,ipc,stlb_access,stlb_hit,stlb_miss,stlb_mpki,stlb_miss_rate,demand_data_miss,demand_data_miss_rate,demand_instruction_miss,demand_instruction_miss_rate,l1d_prefetch_miss,l1d_prefetch_miss_rate,l1i_prefetch_miss,l1i_prefetch_miss_rate,other_miss,other_miss_rate
spec06,400.perlbench,400.perlbench-41B,400.perlbench-41B.champsimtrace.xz,50000000,25442706,1.9652000000000001,6789,6400,389,0.0077799999999999996,0.057298599999999998,388,0.057151300000000002,1,0.00014729700000000001,0,0,0,0,0,0
spec06,400.perlbench,400.perlbench-50B,400.perlbench-50B.champsimtrace.xz,50000003,24795096,2.0165299999999999,4403,3999,404,0.0080800000000000004,0.091755600000000007,403,0.091528499999999999,1,0.000227118,0,0,0,0,0,0
spec06,401.bzip2,401.bzip2-226B,401.bzip2-226B.champsimtrace.xz,50000004,23052046,2.1690100000000001,725668,724596,1072,0.021440000000000001,0.00147726,1072,0.00147726,0,0,0,0,0,0,0,0
spec06,401.bzip2,401.bzip2-277B,401.bzip2-277B.champsimtrace.xz,50000005,27857712,1.79484,9109,9096,13,0.00025999999999999998,0.00142716,13,0.00142716,0,0,0,0,0,0,0,0
spec06,401.bzip2,401.bzip2-38B,401.bzip2-38B.champsimtrace.xz,50000004,23705408,2.1092200000000001,924,707,217,0.0043400000000000001,0.234848,212,0.229437,5,0.0054112600000000002,0,0,0,0,0,0
spec06,401.bzip2,401.bzip2-7B,401.bzip2-7B.champsimtrace.xz,50000003,23211632,2.1540900000000001,118783,118617,166,0.00332,0.00139751,166,0.00139751,0,0,0,0,0,0,0,0
spec06,403.gcc,403.gcc-16B,403.gcc-16B.champsimtrace.xz,50000000,21761308,2.29766,55272,54831,441,0.0088199999999999997,0.0079787199999999999,441,0.0079787199999999999,0,0,0,0,0,0,0,0
spec06,403.gcc,403.gcc-17B,403.gcc-17B.champsimtrace.xz,50000004,80437750,0.62159900000000001,721644,680382,41262,0.82523999999999997,0.057177800000000001,41230,0.057133400000000001,32,4.4343199999999999e-05,0,0,0,0,0,0
spec06,403.gcc,403.gcc-48B,403.gcc-48B.champsimtrace.xz,50000000,15302343,3.2674699999999999,10007,8952,1055,0.021100000000000001,0.10542600000000001,1055,0.10542600000000001,0,0,0,0,0,0,0,0
spec06,410.bwaves,410.bwaves-1963B,410.bwaves-1963B.champsimtrace.xz,50000005,21758092,2.298,37942,24665,13277,0.26554,0.34992899999999999,13277,0.34992899999999999,0,0,0,0,0,0,0,0
spec06,410.bwaves,410.bwaves-2097B,410.bwaves-2097B.champsimtrace.xz,50000000,21511592,2.3243299999999998,51358,38120,13238,0.26476,0.25775900000000002,13238,0.25775900000000002,0,0,0,0,0,0,0,0
spec06,410.bwaves,410.bwaves-945B,410.bwaves-945B.champsimtrace.xz,50000000,13318576,3.7541600000000002,2,0,2,4.0000000000000003e-05,1,2,1,0,0,0,0,0,0,0,0
spec06,416.gamess,416.gamess-875B,416.gamess-875B.champsimtrace.xz,50000000,22222250,2.25,395698,395675,23,0.00046000000000000001,5.8125099999999997e-05,15,3.7907700000000003e-05,8,2.0217400000000001e-05,0,0,0,0,0,0
spec06,429.mcf,429.mcf-184B,429.mcf-184B.champsimtrace.xz,50000001,299163860,0.167132,6593342,6310743,282599,5.65198,0.042861299999999998,282599,0.042861299999999998,0,0,0,0,0,0,0,0
spec06,429.mcf,429.mcf-192B,429.mcf-192B.champsimtrace.xz,50000005,241662125,0.2069,7428949,7304099,124850,2.4969999999999999,0.016805899999999999,124850,0.016805899999999999,0,0,0,0,0,0,0,0
spec06,429.mcf,429.mcf-217B,429.mcf-217B.champsimtrace.xz,50000001,61933787,0.80731399999999998,107796,93166,14630,0.29260000000000003,0.13571900000000001,14630,0.13571900000000001,0,0,0,0,0,0,0,0
spec06,429.mcf,429.mcf-22B,429.mcf-22B.champsimtrace.xz,50000004,62953333,0.79423900000000003,248698,93504,155194,3.1038800000000002,0.62402599999999997,155194,0.62402599999999997,0,0,0,0,0,0,0,0
spec06,429.mcf,429.mcf-51B,429.mcf-51B.champsimtrace.xz,50000002,246964921,0.202458,4172092,3616988,555104,11.1021,0.133052,555104,0.133052,0,0,0,0,0,0,0,0
spec06,433.milc,433.milc-127B,433.milc-127B.champsimtrace.xz,50000003,44252461,1.12988,59835,2452,57383,1.1476599999999999,0.95902100000000001,57379,0.95895399999999997,4,6.6850500000000006e-05,0,0,0,0,0,0
spec06,433.milc,433.milc-274B,433.milc-274B.champsimtrace.xz,50000004,52821493,0.94658399999999998,74181,23217,50964,1.01928,0.68702200000000002,50959,0.68695499999999998,5,6.7402699999999998e-05,0,0,0,0,0,0
spec06,433.milc,433.milc-337B,433.milc-337B.champsimtrace.xz,50000001,44789474,1.11633,79131,4124,75007,1.50014,0.94788399999999995,75006,0.94787100000000002,1,1.26373e-05,0,0,0,0,0,0
spec06,434.zeusmp,434.zeusmp-10B,434.zeusmp-10B.champsimtrace.xz,50000000,17404472,2.8728199999999999,626567,624989,1578,0.031559999999999998,0.00251849,1578,0.00251849,0,0,0,0,0,0,0,0
spec06,435.gromacs,435.gromacs-111B,435.gromacs-111B.champsimtrace.xz,50000001,19449286,2.5707900000000001,107102,107048,54,0.00108,0.00050419199999999999,54,0.00050419199999999999,0,0,0,0,0,0,0,0
spec06,435.gromacs,435.gromacs-134B,435.gromacs-134B.champsimtrace.xz,50000001,14616202,3.4208599999999998,127271,126896,375,0.0074999999999999997,0.0029464700000000001,370,0.0029071800000000001,5,3.9286199999999997e-05,0,0,0,0,0,0
spec06,435.gromacs,435.gromacs-226B,435.gromacs-226B.champsimtrace.xz,50000004,14645328,3.4140600000000001,19712,18381,1331,0.026620000000000001,0.067522299999999993,1275,0.0646814,56,0.0028409099999999999,0,0,0,0,0,0
spec06,435.gromacs,435.gromacs-228B,435.gromacs-228B.champsimtrace.xz,50000003,11662953,4.2870799999999996,29944,29344,600,0.012,0.0200374,567,0.018935299999999999,33,0.00110206,0,0,0,0,0,0
spec06,436.cactusADM,436.cactusADM-1804B,436.cactusADM-1804B.champsimtrace.xz,50000002,24579136,2.0342500000000001,1336850,853015,483835,9.6767000000000003,0.36192200000000002,483835,0.36192200000000002,0,0,0,0,0,0,0,0
spec06,437.leslie3d,437.leslie3d-134B,437.leslie3d-134B.champsimtrace.xz,50000005,16771746,2.9811999999999999,38241,35510,2731,0.054620000000000002,0.071415500000000007,2731,0.071415500000000007,0,0,0,0,0,0,0,0
spec06,437.leslie3d,437.leslie3d-149B,437.leslie3d-149B.champsimtrace.xz,50000002,19192901,2.6051299999999999,17701,14636,3065,0.0613,0.173154,3056,0.17264599999999999,9,0.00050844599999999996,0,0,0,0,0,0
spec06,437.leslie3d,437.leslie3d-232B,437.leslie3d-232B.champsimtrace.xz,50000004,15642518,3.1964199999999998,13291,11541,1750,0.035000000000000003,0.13166800000000001,1750,0.13166800000000001,0,0,0,0,0,0,0,0
spec06,437.leslie3d,437.leslie3d-265B,437.leslie3d-265B.champsimtrace.xz,50000005,15416231,3.2433399999999999,13472,11479,1993,0.03986,0.14793600000000001,1993,0.14793600000000001,0,0,0,0,0,0,0,0
spec06,437.leslie3d,437.leslie3d-271B,437.leslie3d-271B.champsimtrace.xz,50000004,14063574,3.5552800000000002,5556,214,5342,0.10684,0.96148299999999998,5342,0.96148299999999998,0,0,0,0,0,0,0,0
spec06,437.leslie3d,437.leslie3d-273B,437.leslie3d-273B.champsimtrace.xz,50000005,15655766,3.1937099999999998,4513,125,4388,0.087760000000000005,0.972302,4388,0.972302,0,0,0,0,0,0,0,0
