dataset,workload,num_traces,ipc,stlb_mpki,stlb_miss_rate,demand_data_miss_rate,demand_instruction_miss_rate,l1d_prefetch_miss_rate,l1i_prefetch_miss_rate,other_miss_rate,demand_data_share,demand_instruction_share,l1d_prefetch_share,l1i_prefetch_share,other_share
spec06,429.mcf,4,0.29639046973702265,0.20468499692972505,0.0022192928253256024,0,0,0.0022192928253256024,0,0,0,0,1,0,0
spec06,433.milc,3,1.1858612664235848,0.11088666001346707,0.077997655334114888,0,0,0.077997655334114888,0,0,0,0,1,0,0
spec06,436.cactusADM,1,2.2528700000000002,0.038459999230800013,0.0014156756446367022,0,0,0.0014156756446367022,0,0,0,0,1,0,0
spec06,450.soplex,1,0.72858999999999996,0.23907997609200238,0.044964191141068852,0,0,0.044964191141068852,0,0,0,0,1,0,0
spec06,459.GemsFDTD,4,1.1029479358400636,1.0811149405386782,0.10245389354457503,0,0,0.10245389354457503,0,0,0,0,1,0,0
spec06,471.omnetpp,1,0.52695999999999998,0.3206599679340032,0.015766374835162567,0,0,0.015766374835162567,0,0,0,0,1,0,0
spec06,473.astar,2,0.38133327719070093,0.58664999413350005,0.020509942943446886,0,0,0.020509942943446886,0,0,0,0,1,0,0
spec06,483.xalancbmk,2,0.91902004983569319,0.2387699952246001,0.039680653583257577,0,0,0.039680653583257577,0,0,0,0,1,0,0
spec17,602.gcc_s,1,0.54455500000000001,0.12311999753760004,0.090375242233836403,0,0,0.090375242233836403,0,0,0,0,1,0,0
spec17,605.mcf_s,5,0.38027350262284454,0.2007559935758082,0.0061236402112167217,0,0,0.0061236402112167217,0,0,0,0,1,0,0
spec17,620.omnetpp_s,2,0.59958613404247441,0.18021999999999999,0.0086470043518105354,0,0,0.0086470043518105354,0,0,0,0,1,0,0
spec17,623.xalancbmk_s,3,0.94593087236507212,0.18957332701422244,0.009312845248454436,0,0,0.009312845248454436,0,0,0,0,1,0,0
spec17,649.fotonik3d_s,1,0.92892200000000003,0.96361996145520157,0.19893556405195834,0,0,0.19893556405195834,0,0,0,0,1,0,0
gap,gap.bc.twitter-10B,1,0.17915900000000001,2.4793599999999998,0.067022300939689763,0,0,0.067022300939689763,0,0,0,0,1,0,0
gap,gap.cc.twitter-10B,1,0.77914000000000005,0.02041999959160001,0.0056861216306527069,0,0,0.0056861216306527069,0,0,0,0,1,0,0
gap,gap.pr.twitter-10B,1,0.036589099999999992,1.1958399521664018,0.0078317648060461983,0,0,0.0078317648060461983,0,0,0,0,1,0,0
ligra,ligra_BellmanFord,1,0.56372699999999998,0.19813999603720009,0.0098564266747319506,0,0,0.0098564266747319506,0,0,0,0,1,0,0
ligra,ligra_CF,1,1.5956300000000001,0.053719999999999997,0.018234399608971923,0,0,0.018234399608971923,0,0,0,0,1,0,0
ligra,ligra_Components,1,0.46830699999999997,0,0,0,0,0,0,0,0,0,0,0,0
ligra,ligra_PageRank,3,0.54441801912514265,0.27313331876622299,0.0045101679132101462,0,0,0.0045101679132101462,0,0,0,0,1,0,0
ligra,ligra_PageRankDelta,2,0.65451269913959653,0.10551999366880038,0.0086560200026906502,0,0,0.0086560200026906502,0,0,0,0,1,0,0
ligra,ligra_Radii,2,0.33153238166429533,0.23791998572480086,0.0077651929923963645,0,0,0.0077651929923963645,0,0,0,0,1,0,0
spec06,gmean_spec06,18,0.70849253477897334,0.42916109346782172,0.01437306430925266,0,0,0.01437306430925266,0,0,0,0,1,0,0
spec17,gmean_spec17,12,0.57189358321176809,0.25163999328960018,0.011066077419885386,0,0,0.011066077419885386,0,0,0,0,1,0,0
gap,gmean_gap,3,0.17221406546252083,1.2318733086958671,0.019121019420695645,0,0,0.019121019420695645,0,0,0,0,1,0,0
ligra,gmean_ligra,10,0.56301727612718888,0.17581399226418434,0.0060313041612067358,0,0,0.0060313041612067358,0,0,0,0,1,0,0
