dataset,workload,trace_tag,trace_name,instructions,cycles,ipc,stlb_access,stlb_hit,stlb_miss,stlb_mpki,stlb_miss_rate,demand_data_miss,demand_data_miss_rate,demand_instruction_miss,demand_instruction_miss_rate,l1d_prefetch_miss,l1d_prefetch_miss_rate,l1i_prefetch_miss,l1i_prefetch_miss_rate,other_miss,other_miss_rate
spec06,429.mcf,429.mcf-184B,429.mcf-184B.champsimtrace.xz,50000001,299163860,0.167132,6593342,6310743,282599,5.65198,0.042861299999999998,282599,0.042861299999999998,0,0,0,0,0,0,0,0
spec06,429.mcf,429.mcf-192B,429.mcf-192B.champsimtrace.xz,50000005,241662125,0.2069,7428949,7304099,124850,2.4969999999999999,0.016805899999999999,124850,0.016805899999999999,0,0,0,0,0,0,0,0
spec06,429.mcf,429.mcf-22B,429.mcf-22B.champsimtrace.xz,50000004,62953333,0.79423900000000003,248698,93504,155194,3.1038800000000002,0.62402599999999997,155194,0.62402599999999997,0,0,0,0,0,0,0,0
spec06,429.mcf,429.mcf-51B,429.mcf-51B.champsimtrace.xz,50000002,246964921,0.202458,4172092,3616988,555104,11.1021,0.133052,555104,0.133052,0,0,0,0,0,0,0,0
spec06,433.milc,433.milc-127B,433.milc-127B.champsimtrace.xz,50000003,44252461,1.12988,59835,2452,57383,1.1476599999999999,0.95902100000000001,57379,0.95895399999999997,4,6.6850500000000006e-05,0,0,0,0,0,0
spec06,433.milc,433.milc-274B,433.milc-274B.champsimtrace.xz,50000004,52821493,0.94658399999999998,74181,23217,50964,1.01928,0.68702200000000002,50959,0.68695499999999998,5,6.7402699999999998e-05,0,0,0,0,0,0
spec06,433.milc,433.milc-337B,433.milc-337B.champsimtrace.xz,50000001,44789474,1.11633,79131,4124,75007,1.50014,0.94788399999999995,75006,0.94787100000000002,1,1.26373e-05,0,0,0,0,0,0
spec06,436.cactusADM,436.cactusADM-1804B,436.cactusADM-1804B.champsimtrace.xz,50000002,24579136,2.0342500000000001,1336850,853015,483835,9.6767000000000003,0.36192200000000002,483835,0.36192200000000002,0,0,0,0,0,0,0,0
spec06,450.soplex,450.soplex-92B,450.soplex-92B.champsimtrace.xz,50000000,71137876,0.70286000000000004,265631,221048,44583,0.89166000000000001,0.16783799999999999,44574,0.16780400000000001,9,3.3881599999999998e-05,0,0,0,0,0,0
spec06,459.GemsFDTD,459.GemsFDTD-1169B,459.GemsFDTD-1169B.champsimtrace.xz,50000003,41557510,1.2031499999999999,759042,683765,75277,1.5055400000000001,0.099173700000000004,75275,0.099171099999999998,2,2.6349e-06,0,0,0,0,0,0
spec06,459.GemsFDTD,459.GemsFDTD-1211B,459.GemsFDTD-1211B.champsimtrace.xz,50000004,44428091,1.12541,393999,310124,83875,1.6775,0.21288099999999999,83874,0.21287900000000001,1,2.5380800000000002e-06,0,0,0,0,0,0
spec06,459.GemsFDTD,459.GemsFDTD-1320B,459.GemsFDTD-1320B.champsimtrace.xz,50000004,48992345,1.02057,642308,578281,64027,1.28054,0.099682699999999999,64025,0.099679599999999993,2,3.1137700000000002e-06,0,0,0,0,0,0
spec06,459.GemsFDTD,459.GemsFDTD-765B,459.GemsFDTD-765B.champsimtrace.xz,50000004,60462256,0.82696199999999997,308730,151243,157487,3.14974,0.51011200000000001,157485,0.51010599999999995,2,6.47815e-06,0,0,0,0,0,0
spec06,471.omnetpp,471.omnetpp-188B,471.omnetpp-188B.champsimtrace.xz,50000005,104738156,0.477381,1014814,806396,208418,4.1683599999999998,0.205376,208388,0.205346,30,2.9562099999999999e-05,0,0,0,0,0,0
spec06,473.astar,473.astar-359B,473.astar-359B.champsimtrace.xz,50000004,214377782,0.233233,1674184,878214,795970,15.9194,0.47543800000000003,795970,0.47543800000000003,0,0,0,0,0,0,0,0
spec06,473.astar,473.astar-42B,473.astar-42B.champsimtrace.xz,50000001,87947698,0.56852000000000003,1186147,1077922,108225,2.1644999999999999,0.091240799999999997,108217,0.091234099999999999,8,6.74453e-06,0,0,0,0,0,0
spec06,483.xalancbmk,483.xalancbmk-127B,483.xalancbmk-127B.champsimtrace.xz,50000003,114533389,0.436554,212534,51612,160922,3.2184400000000002,0.75715900000000003,158470,0.74562200000000001,2452,0.011537,0,0,0,0,0,0
spec06,483.xalancbmk,483.xalancbmk-716B,483.xalancbmk-716B.champsimtrace.xz,50000001,34349227,1.45564,388924,337667,51257,1.0251399999999999,0.13179199999999999,50837,0.13071199999999999,420,0.0010799,0,0,0,0,0,0
spec17,602.gcc_s,602.gcc_s-2226B,602.gcc_s-2226B.champsimtrace.xz,50000000,82828405,0.60365800000000003,68122,8411,59711,1.1942200000000001,0.87653000000000003,59711,0.87653000000000003,0,0,0,0,0,0,0,0
spec17,605.mcf_s,605.mcf_s-1536B,605.mcf_s-1536B.champsimtrace.xz,50000005,79658491,0.62768000000000002,1286315,166846,1119469,22.389399999999998,0.87029100000000004,1119469,0.87029100000000004,0,0,0,0,0,0,0,0
spec17,605.mcf_s,605.mcf_s-1644B,605.mcf_s-1644B.champsimtrace.xz,50000003,238041399,0.21004800000000001,1465860,283574,1182286,23.645700000000001,0.80654800000000004,1182286,0.80654800000000004,0,0,0,0,0,0,0,0
spec17,605.mcf_s,605.mcf_s-472B,605.mcf_s-472B.champsimtrace.xz,50000002,72815853,0.68666400000000005,137531,117300,20231,0.40461999999999998,0.14710100000000001,20231,0.14710100000000001,0,0,0,0,0,0,0,0
spec17,605.mcf_s,605.mcf_s-782B,605.mcf_s-782B.champsimtrace.xz,50000001,370277888,0.13503399999999999,4455707,4398512,57195,1.1438999999999999,0.0128363,57195,0.0128363,0,0,0,0,0,0,0,0
