dataset,workload,num_traces,ipc,stlb_mpki,stlb_miss_rate,demand_data_miss_rate,demand_instruction_miss_rate,l1d_prefetch_miss_rate,l1i_prefetch_miss_rate,other_miss_rate,demand_data_share,demand_instruction_share,l1d_prefetch_share,l1i_prefetch_share,other_share
spec06,429.mcf,4,0.27307161760013987,5.5887346646759202,0.060605221004017711,0.060605221004017711,0,0,0,0,1,0,0,0,0
spec06,433.milc,3,1.0608680227873062,1.2223599348074701,0.86022322622415515,0.86017631024598051,4.6915978174686955e-05,0,0,0,0.99994546069352186,5.4539306478178821e-05,0,0,0
spec06,436.cactusADM,1,2.0342500000000001,9.6766996129320155,0.36192168156487264,0.36192168156487264,0,0,0,0,1,0,0,0,0
spec06,450.soplex,1,0.70286000000000004,0.89166000000000001,0.16783809118664614,0.16780420959903022,3.3881587615903266e-05,0,0,0,0.99979812933180812,0.0002018706681919117,0,0,0
spec06,459.GemsFDTD,4,1.0339266370390674,1.9033298572502606,0.1809181119149994,0.18091478504371747,3.3268712819243003e-06,0,0,0,0.99998161117620166,1.8388823798290364e-05,0,0,0
spec06,471.omnetpp,1,0.477381,4.1683595831640421,0.20537556635994381,0.2053460042924122,2.9562067531587069e-05,0,0,0,0.99985605849782644,0.00014394150217351669,0,0,0
spec06,473.astar,2,0.36413956824272753,9.0419495479025223,0.3161155125053709,0.31611271562626841,2.7968791024535273e-06,0,0,0,0.99999115235098623,8.8476490137636235e-06,0,0,0
spec06,483.xalancbmk,2,0.7971608774645178,2.1217899151284034,0.35277442481436777,0.34799936155143002,0.0047750632629377284,0,0,0,0.98646425895116863,0.013535741048831412,0,0,0
spec17,602.gcc_s,1,0.60365800000000003,1.1942200000000001,0.87653034262059248,0.87653034262059248,0,0,0,0,1,0,0,0,0
spec17,605.mcf_s,5,0.3310919651427135,11.227087326374761,0.34259643524291533,0.34259643524291533,0,0,0,0,1,0,0,0,0
spec17,620.omnetpp_s,2,0.49785085425054759,4.5345899546541002,0.21807854230529139,0.21746007623580196,0.00061846606948942401,0,0,0,0.99716402144405558,0.0028359785559444184,0,0,0
spec17,623.xalancbmk_s,3,0.89955072711506123,2.5750799313312016,0.1264207781190351,0.12581528640739839,0.00060549171163669976,0,0,0,0.99521050478690631,0.0047894952130937037,0,0,0
spec17,649.fotonik3d_s,1,0.90182600000000002,2.1678600000000001,0.45328822461798385,0.45328822461798385,0,0,0,0,1,0,0,0,0
gap,gap.bc.twitter-10B,1,0.16270200000000001,33.324280000000002,0.90124031737325971,0.90124031737325971,0,0,0,0,1,0,0,0,0
gap,gap.cc.twitter-10B,1,0.682311,2.5474398981024042,0.70900872817955107,0.70900872817955107,0,0,0,0,1,0,0,0,0
gap,gap.pr.twitter-10B,1,0.031891400000000007,120.86011033119118,0.79144330538247709,0.79144330538247709,0,0,0,0,1,0,0,0,0
ligra,ligra_BellmanFord,1,0.53307000000000004,6.5072996095620237,0.32381103086288898,0.32381103086288898,0,0,0,0,1,0,0,0,0
ligra,ligra_CF,1,1.16673,1.3020399479184022,0.44146826069561323,0.44146826069561323,0,0,0,0,1,0,0,0,0
ligra,ligra_Components,1,0.459897,1.1160798883920111,1,1,0,0,0,0,1,0,0,0,0
ligra,ligra_PageRank,3,0.52403275837279051,28.429045908558777,0.46936039810404839,0.4693602880381233,1.100659250864898e-07,0,0,0,0.99999976549805747,2.3450194249684067e-07,0,0,0
ligra,ligra_PageRankDelta,2,0.63941300981447036,5.4252297287385138,0.44548518875864757,0.44548518875864757,0,0,0,0,1,0,0,0,0
ligra,ligra_Radii,2,0.31746116114573769,10.79047967628561,0.35233863755175049,0.35233733144252255,1.30610922795557e-06,0,0,0,0.99999629302866977,3.7069713302837317e-06,0,0,0
spec06,gmean_spec06,18,0.65061349484441922,3.9277519996496091,0.13170853988453016,0.13159914843075241,0.00010939145377777014,0,0,0,0.99916944296950161,0.00083055703049835969,0,0,0
spec17,gmean_spec17,12,0.51998925262020435,6.3576614547446182,0.27977325630773819,0.27954325326107793,0.00023000304666025454,0,0,0,0.99917789480776087,0.00082210519223918014,0,0,0
gap,gmean_gap,3,0.15241098963278038,52.243944576908881,0.8109162019289573,0.8109162019289573,0,0,0,0,1,0,0,0,0
ligra,gmean_ligra,10,0.52837646266916904,12.664397442766512,0.43448928185954472,0.43448893878024331,3.4307930140820331e-07,0,0,0,0.99999921038489159,7.8961510843231555e-07,0,0,0
