dataset,workload,num_traces,ipc,stlb_mpki,stlb_miss_rate,demand_data_miss_rate,demand_instruction_miss_rate,l1d_prefetch_miss_rate,l1i_prefetch_miss_rate,other_miss_rate,demand_data_share,demand_instruction_share,l1d_prefetch_share,l1i_prefetch_share,other_share
spec06,429.mcf,4,0.27818845937473441,0,0,0,0,0,0,0,0,0,0,0,0
spec06,433.milc,3,1.222635260414604,0,0,0,0,0,0,0,0,0,0,0,0
spec06,436.cactusADM,1,2.05227,0,0,0,0,0,0,0,0,0,0,0,0
spec06,450.soplex,1,0.66335,0,0,0,0,0,0,0,0,0,0,0,0
spec06,459.GemsFDTD,4,1.0890235067525509,0,0,0,0,0,0,0,0,0,0,0,0
spec06,471.omnetpp,1,0.51612499999999994,0,0,0,0,0,0,0,0,0,0,0,0
spec06,473.astar,2,0.37405610390688721,0,0,0,0,0,0,0,0,0,0,0,0
spec06,483.xalancbmk,2,0.85436863146419406,0,0,0,0,0,0,0,0,0,0,0,0
spec17,602.gcc_s,1,0.51575499999999996,0,0,0,0,0,0,0,0,0,0,0,0
spec17,605.mcf_s,5,0.35522266304104089,0,0,0,0,0,0,0,0,0,0,0,0
spec17,620.omnetpp_s,2,0.56195365621374871,0,0,0,0,0,0,0,0,0,0,0,0
spec17,623.xalancbmk_s,3,0.87265550014013926,0,0,0,0,0,0,0,0,0,0,0,0
spec17,649.fotonik3d_s,1,0.91391999999999995,0,0,0,0,0,0,0,0,0,0,0,0
gap,gap.bc.twitter-10B,1,0.170185,0,0,0,0,0,0,0,0,0,0,0,0
gap,gap.cc.twitter-10B,1,0.592391,0,0,0,0,0,0,0,0,0,0,0,0
gap,gap.pr.twitter-10B,1,0.035404099999999994,0,0,0,0,0,0,0,0,0,0,0,0
ligra,ligra_BellmanFord,1,0.51854199999999995,0,0,0,0,0,0,0,0,0,0,0,0
ligra,ligra_CF,1,1.7404900000000001,0,0,0,0,0,0,0,0,0,0,0,0
ligra,ligra_Components,1,0.448739,0,0,0,0,0,0,0,0,0,0,0,0
ligra,ligra_PageRank,3,0.51145653986964312,0,0,0,0,0,0,0,0,0,0,0,0
ligra,ligra_PageRankDelta,2,0.62375393380162347,0,0,0,0,0,0,0,0,0,0,0,0
ligra,ligra_Radii,2,0.29431175265014475,0,0,0,0,0,0,0,0,0,0,0,0
spec06,gmean_spec06,18,0.68507554880607968,0,0,0,0,0,0,0,0,0,0,0,0
spec17,gmean_spec17,12,0.53577449737326133,0,0,0,0,0,0,0,0,0,0,0,0
gap,gmean_gap,3,0.15282500893436138,0,0,0,0,0,0,0,0,0,0,0,0
ligra,gmean_ligra,10,0.53229419510385634,0,0,0,0,0,0,0,0,0,0,0,0
