dataset,workload,trace_tag,trace_name,instructions,cycles,ipc,stlb_access,stlb_hit,stlb_miss,stlb_mpki,stlb_miss_rate,demand_data_miss,demand_data_miss_rate,demand_instruction_miss,demand_instruction_miss_rate,l1d_prefetch_miss,l1d_prefetch_miss_rate,l1i_prefetch_miss,l1i_prefetch_miss_rate,other_miss,other_miss_rate
spec06,429.mcf,429.mcf-184B,429.mcf-184B.champsimtrace.xz,50000005,292184639,0.171125,6595453,6588486,6967,0.13933999999999999,0.0010563300000000001,0,0,0,0,6967,0.0010563300000000001,0,0,0,0
spec06,429.mcf,429.mcf-192B,429.mcf-192B.champsimtrace.xz,50000001,241565318,0.206983,7433255,7433189,66,0.00132,8.8790200000000006e-06,0,0,0,0,66,8.8790200000000006e-06,0,0,0,0
spec06,429.mcf,429.mcf-22B,429.mcf-22B.champsimtrace.xz,50000004,58402182,0.856132,251183,234354,16829,0.33657999999999999,0.066999000000000003,0,0,0,0,16829,0.066999000000000003,0,0,0,0
spec06,429.mcf,429.mcf-51B,429.mcf-51B.champsimtrace.xz,50000002,253846521,0.19696900000000001,4170315,4153726,16589,0.33178000000000002,0.0039778799999999996,0,0,0,0,16589,0.0039778799999999996,0,0,0,0
spec06,433.milc,433.milc-127B,433.milc-127B.champsimtrace.xz,50000004,37628420,1.3287800000000001,60317,57665,2652,0.053039999999999997,0.043967699999999998,0,0,0,0,2652,0.043967699999999998,0,0,0,0
spec06,433.milc,433.milc-274B,433.milc-274B.champsimtrace.xz,50000002,46611827,1.0726899999999999,74212,68015,6197,0.12393999999999999,0.083503999999999995,0,0,0,0,6197,0.083503999999999995,0,0,0,0
spec06,433.milc,433.milc-337B,433.milc-337B.champsimtrace.xz,50000002,39963098,1.25115,79213,65590,13623,0.27245999999999998,0.17197899999999999,0,0,0,0,13623,0.17197899999999999,0,0,0,0
spec06,436.cactusADM,436.cactusADM-1804B,436.cactusADM-1804B.champsimtrace.xz,50000002,24400914,2.0491000000000001,1386506,1384612,1894,0.037879999999999997,0.0013660199999999999,0,0,0,0,1894,0.0013660199999999999,0,0,0,0
spec06,450.soplex,450.soplex-92B,450.soplex-92B.champsimtrace.xz,50000005,75558939,0.66173499999999996,266127,254158,11969,0.23938000000000001,0.044974800000000002,0,0,0,0,11969,0.044974800000000002,0,0,0,0
spec06,459.GemsFDTD,459.GemsFDTD-1169B,459.GemsFDTD-1169B.champsimtrace.xz,50000004,41546573,1.20347,760259,724912,35347,0.70694000000000001,0.046493399999999997,0,0,0,0,35347,0.046493399999999997,0,0,0,0
