dataset,workload,num_traces,ipc,stlb_mpki,stlb_miss_rate,demand_data_miss_rate,demand_instruction_miss_rate,l1d_prefetch_miss_rate,l1i_prefetch_miss_rate,other_miss_rate,demand_data_share,demand_instruction_share,l1d_prefetch_share,l1i_prefetch_share,other_share
spec06,429.mcf,4,0.27800121061933314,0.20225498786470072,0.0021924416453669949,0,0,0.0021924416453669949,0,0,0,0,1,0,0
spec06,433.milc,3,1.2126781848018511,0.14981332534328931,0.10513609866100251,0,0,0.10513609866100251,0,0,0,0,1,0,0
spec06,436.cactusADM,1,2.0491000000000001,0.037879998484800059,0.0013660236594720831,0,0,0.0013660236594720831,0,0,0,0,1,0,0
spec06,450.soplex,1,0.66173499999999996,0.2393799760620024,0.044974767686104755,0,0,0.044974767686104755,0,0,0,0,1,0,0
spec06,459.GemsFDTD,4,1.051266154211034,1.0809699459515028,0.10287711791415376,0,0,0.10287711791415376,0,0,0,0,1,0,0
spec06,471.omnetpp,1,0.51489499999999999,0.33289996671000333,0.016053013038190643,0,0,0.016053013038190643,0,0,0,0,1,0,0
spec06,473.astar,2,0.37265435894404886,0.60794999999999999,0.0212475281989771,0,0,0.0212475281989771,0,0,0,0,1,0,0
spec06,483.xalancbmk,2,0.85057026349972997,0.23878999522420011,0.037286002485837598,0,0,0.037286002485837598,0,0,0,0,1,0,0
spec17,602.gcc_s,1,0.51146000000000003,0.12245999755080005,0.089923778472925944,0,0,0.089923778472925944,0,0,0,0,1,0,0
spec17,605.mcf_s,5,0.3544731890295717,0.20146799194128032,0.0061454092632463606,0,0,0.0061454092632463606,0,0,0,0,1,0,0
spec17,620.omnetpp_s,2,0.56072019629579961,0.17164999656700006,0.0077013258484133207,0,0,0.0077013258484133207,0,0,0,0,1,0,0
spec17,623.xalancbmk_s,3,0.87326804374887135,0.18979999873466669,0.0091114496389984121,0,0,0.0091114496389984121,0,0,0,0,1,0,0
spec17,649.fotonik3d_s,1,0.88712500000000005,0.95561990443800959,0.19553447563236359,0,0,0.19553447563236359,0,0,0,0,1,0,0
gap,gap.bc.twitter-10B,1,0.169545,2.4901997509800249,0.067318859228917644,0,0,0.067318859228917644,0,0,0,0,1,0,0
gap,gap.cc.twitter-10B,1,0.59197299999999997,0.021679999566400009,0.0060351978977022823,0,0,0.0060351978977022823,0,0,0,0,1,0,0
gap,gap.pr.twitter-10B,1,0.035367999999999997,1.1863999288160043,0.0077707202614064009,0,0,0.0077707202614064009,0,0,0,0,1,0,0
ligra,ligra_BellmanFord,1,0.51665499999999998,0.19525999609480008,0.0097150948672097889,0,0,0.0097150948672097889,0,0,0,0,1,0,0
ligra,ligra_CF,1,1.73672,0.054399995648000347,0.018465214793895617,0,0,0.018465214793895617,0,0,0,0,1,0,0
ligra,ligra_Components,1,0.44861299999999998,0,0,0,0,0,0,0,0,0,0,0,0
ligra,ligra_PageRank,3,0.51079733906195868,0.27319331329915703,0.0045106526868978081,0,0,0.0045106526868978081,0,0,0,0,1,0,0
ligra,ligra_PageRankDelta,2,0.62260987287706893,0.10577999894220001,0.0086718778821205031,0,0,0.0086718778821205031,0,0,0,0,1,0,0
ligra,ligra_Radii,2,0.29377406285102836,0.23719998576800086,0.0077419060037306068,0,0,0.0077419060037306068,0,0,0,0,1,0,0
spec06,gmean_spec06,18,0.67783856299797596,0.43810997858128992,0.01462715788222552,0,0,0.01462715788222552,0,0,0,0,1,0,0
spec17,gmean_spec17,12,0.53350363118131683,0.24984332542162802,0.010814321917574502,0,0,0.010814321917574502,0,0,0,0,1,0,0
gap,gmean_gap,3,0.15254540460636332,1.2327599260344044,0.019136386154418841,0,0,0.019136386154418841,0,0,0,0,1,0,0
ligra,gmean_ligra,10,0.53137449846514917,0.17551999157504042,0.0060205972204680821,0,0,0.0060205972204680821,0,0,0,0,1,0,0
