dataset,workload,trace_tag,trace_name,instructions,cycles,ipc,stlb_access,stlb_hit,stlb_miss,stlb_mpki,stlb_miss_rate,demand_data_miss,demand_data_miss_rate,demand_instruction_miss,demand_instruction_miss_rate,l1d_prefetch_miss,l1d_prefetch_miss_rate,l1i_prefetch_miss,l1i_prefetch_miss_rate,other_miss,other_miss_rate
spec06,429.mcf,429.mcf-184B,429.mcf-184B.champsimtrace.xz,50000003,321855787,0.15534899999999999,6594888,6312124,282764,5.6552800000000003,0.042876200000000003,282764,0.042876200000000003,0,0,0,0,0,0,0,0
spec06,429.mcf,429.mcf-192B,429.mcf-192B.champsimtrace.xz,50000000,260375726,0.19203000000000001,7431162,7306246,124916,2.4983200000000001,0.0168098,124916,0.0168098,0,0,0,0,0,0,0,0
spec06,429.mcf,429.mcf-22B,429.mcf-22B.champsimtrace.xz,50000001,63616719,0.78595700000000002,247564,92070,155494,3.10988,0.62809599999999999,155494,0.62809599999999999,0,0,0,0,0,0,0,0
spec06,429.mcf,429.mcf-51B,429.mcf-51B.champsimtrace.xz,50000005,264149871,0.18928700000000001,4172111,3616802,555309,11.106199999999999,0.1331,555309,0.1331,0,0,0,0,0,0,0,0
spec06,433.milc,433.milc-127B,433.milc-127B.champsimtrace.xz,50000001,42178300,1.18544,60316,3209,57107,1.1421399999999999,0.946797,57103,0.94673099999999999,4,6.6317399999999996e-05,0,0,0,0,0,0
spec06,433.milc,433.milc-274B,433.milc-274B.champsimtrace.xz,50000003,53066857,0.94220800000000005,74210,23261,50949,1.01898,0.68655200000000005,50944,0.68648399999999998,5,6.7376400000000001e-05,0,0,0,0,0,0
spec06,433.milc,433.milc-337B,433.milc-337B.champsimtrace.xz,50000001,44803840,1.11598,79259,8353,70906,1.41812,0.89461100000000005,70905,0.89459900000000003,1,1.2616899999999999e-05,0,0,0,0,0,0
spec06,436.cactusADM,436.cactusADM-1804B,436.cactusADM-1804B.champsimtrace.xz,50000002,26219246,1.907,1371357,909559,461798,9.2359600000000004,0.33674500000000002,461798,0.33674500000000002,0,0,0,0,0,0,0,0
spec06,450.soplex,450.soplex-92B,450.soplex-92B.champsimtrace.xz,50000000,78675472,0.63552200000000003,266394,221755,44639,0.89278000000000002,0.16756799999999999,44630,0.16753399999999999,9,3.3784500000000002e-05,0,0,0,0,0,0
spec06,459.GemsFDTD,459.GemsFDTD-1169B,459.GemsFDTD-1169B.champsimtrace.xz,50000004,43162529,1.1584099999999999,759188,683469,75719,1.5143800000000001,0.0997368,75717,0.099734199999999995,2,2.6343899999999999e-06,0,0,0,0,0,0
spec06,459.GemsFDTD,459.GemsFDTD-1211B,459.GemsFDTD-1211B.champsimtrace.xz,50000000,46548342,1.0741499999999999,385435,301741,83694,1.67388,0.217142,83693,0.217139,1,2.5944699999999999e-06,0,0,0,0,0,0
spec06,459.GemsFDTD,459.GemsFDTD-1320B,459.GemsFDTD-1320B.champsimtrace.xz,50000002,52678782,0.94914900000000002,641558,577558,64000,1.28,0.099757200000000004,63998,0.099753999999999995,2,3.1174099999999999e-06,0,0,0,0,0,0
spec06,459.GemsFDTD,459.GemsFDTD-765B,459.GemsFDTD-765B.champsimtrace.xz,50000002,63322768,0.789605,308187,148655,159532,3.1906400000000001,0.51764699999999997,159530,0.51763999999999999,2,6.4895700000000001e-06,0,0,0,0,0,0
spec06,471.omnetpp,471.omnetpp-188B,471.omnetpp-188B.champsimtrace.xz,50000005,107676537,0.46435399999999999,1034317,825709,208608,4.1721599999999999,0.20168700000000001,208318,0.201406,290,0.00028037800000000002,0,0,0,0,0,0
spec06,473.astar,473.astar-359B,473.astar-359B.champsimtrace.xz,50000004,224741947,0.22247700000000001,1674720,878852,795868,15.917400000000001,0.47522500000000001,795868,0.47522500000000001,0,0,0,0,0,0,0,0
spec06,473.astar,473.astar-42B,473.astar-42B.champsimtrace.xz,50000001,88898931,0.56243600000000005,1186107,1077963,108144,2.1628799999999999,0.091175599999999996,108136,0.091168799999999994,8,6.7447500000000001e-06,0,0,0,0,0,0
spec06,483.xalancbmk,483.xalancbmk-127B,483.xalancbmk-127B.champsimtrace.xz,50000001,126125828,0.39643,219672,58892,160780,3.2155999999999998,0.73190900000000003,158025,0.71936800000000001,2755,0.012541399999999999,0,0,0,0,0,0
spec06,483.xalancbmk,483.xalancbmk-716B,483.xalancbmk-716B.champsimtrace.xz,50000001,36065180,1.3863799999999999,420422,368868,51554,1.03108,0.122624,50958,0.121207,596,0.0014176200000000001,0,0,0,0,0,0
spec17,602.gcc_s,602.gcc_s-2226B,602.gcc_s-2226B.champsimtrace.xz,50000000,95245658,0.52495800000000004,68093,8388,59705,1.1940999999999999,0.87681600000000004,59705,0.87681600000000004,0,0,0,0,0,0,0,0
spec17,605.mcf_s,605.mcf_s-1536B,605.mcf_s-1536B.champsimtrace.xz,50000005,82952232,0.60275699999999999,1286130,166685,1119445,22.3889,0.87039800000000001,1119445,0.87039800000000001,0,0,0,0,0,0,0,0
spec17,605.mcf_s,605.mcf_s-1644B,605.mcf_s-1644B.champsimtrace.xz,50000003,247846043,0.201738,1466240,284522,1181718,23.634399999999999,0.80595099999999997,1181718,0.80595099999999997,0,0,0,0,0,0,0,0
spec17,605.mcf_s,605.mcf_s-472B,605.mcf_s-472B.champsimtrace.xz,50000002,76007113,0.657833,136075,116266,19809,0.39617999999999998,0.14557400000000001,19809,0.14557400000000001,0,0,0,0,0,0,0,0
spec17,605.mcf_s,605.mcf_s-782B,605.mcf_s-782B.champsimtrace.xz,50000001,412921652,0.121088,4455223,4397992,57231,1.14462,0.012845799999999999,57231,0.012845799999999999,0,0,0,0,0,0,0,0
spec17,605.mcf_s,605.mcf_s-994B,605.mcf_s-994B.champsimtrace.xz,50000000,165068068,0.30290499999999998,846321,418676,427645,8.5528999999999993,0.50529900000000005,427645,0.50529900000000005,0,0,0,0,0,0,0,0
spec17,620.omnetpp_s,620.omnetpp_s-141B,620.omnetpp_s-141B.champsimtrace.xz,50000003,112464111,0.44458599999999998,1149236,907271,241965,4.8392999999999997,0.21054400000000001,241126,0.209814,839,0.00073004999999999999,0,0,0,0,0,0
spec17,620.omnetpp_s,620.omnetpp_s-874B,620.omnetpp_s-874B.champsimtrace.xz,50000001,100545264,0.49728800000000001,1075169,861388,213781,4.27562,0.19883500000000001,212707,0.19783600000000001,1074,0.00099891299999999993,0,0,0,0,0,0
spec17,623.xalancbmk_s,623.xalancbmk_s-10B,623.xalancbmk_s-10B.champsimtrace.xz,50000000,86723142,0.57654700000000003,400707,152314,248393,4.9678599999999999,0.61988699999999997,245810,0.61344100000000001,2583,0.0064461099999999997,0,0,0,0,0,0
spec17,623.xalancbmk_s,623.xalancbmk_s-592B,623.xalancbmk_s-592B.champsimtrace.xz,50000000,50769903,0.98483500000000002,1257278,1186406,70872,1.41744,0.0563694,69300,0.055119099999999997,1572,0.0012503200000000001,0,0,0,0,0,0
spec17,623.xalancbmk_s,623.xalancbmk_s-700B,623.xalancbmk_s-700B.champsimtrace.xz,50000000,49218714,1.0158700000000001,1468387,1390860,77527,1.55054,0.052797400000000001,76624,0.052182399999999997,903,0.00061496000000000001,0,0,0,0,0,0
spec17,649.fotonik3d_s,649.fotonik3d_s-10881B,649.fotonik3d_s-10881B.champsimtrace.xz,50000003,57980777,0.86235499999999998,240424,130629,109795,2.1959,0.45667200000000002,109795,0.45667200000000002,0,0,0,0,0,0,0,0
gap,gap.bc.twitter-10B,gap.bc.twitter-10B,gap.bc.twitter-10B.champsimtrace.xz,50000000,325029478,0.153832,1848758,183361,1665397,33.307899999999997,0.90081900000000004,1665397,0.90081900000000004,0,0,0,0,0,0,0,0
gap,gap.cc.twitter-10B,gap.cc.twitter-10B,gap.cc.twitter-10B.champsimtrace.xz,50000002,93808644,0.53300000000000003,179691,52320,127371,2.5474199999999998,0.70883300000000005,127371,0.70883300000000005,0,0,0,0,0,0,0,0
gap,gap.pr.twitter-10B,gap.pr.twitter-10B,gap.pr.twitter-10B.champsimtrace.xz,50000001,1625713205,0.0307557,7635032,1591975,6043057,120.861,0.79149099999999994,6043057,0.79149099999999994,0,0,0,0,0,0,0,0
