dataset,workload,num_traces,ipc,stlb_mpki,stlb_miss_rate,demand_data_miss_rate,demand_instruction_miss_rate,l1d_prefetch_miss_rate,l1i_prefetch_miss_rate,other_miss_rate,demand_data_share,demand_instruction_share,l1d_prefetch_share,l1i_prefetch_share,other_share
spec06,429.mcf,4,0.25810670081548687,5.5924147483413362,0.060636434729456283,0.060636434729456283,0,0,0,0,1,0,0,0,0
spec06,433.milc,3,1.0762031497307334,1.1930799602306681,0.83711205182777093,0.83706527586126245,4.677596650840798e-05,0,0,0,0.99994412221588935,5.5877784110593309e-05,0,0,0
spec06,436.cactusADM,1,1.907,9.2359596305616147,0.33674528222774958,0.33674528222774958,0,0,0,0,1,0,0,0,0
spec06,450.soplex,1,0.63552200000000003,0.89278000000000002,0.16756758785858542,0.16753380331388845,3.3784544696952636e-05,0,0,0,0.99979838258025489,0.00020161741974506598,0,0,0
spec06,459.GemsFDTD,4,0.98269303683837772,1.9147249234110031,0.18284513514339409,0.18284179284633836,3.3422970557227764e-06,0,0,0,0.99998172061262058,1.8279387379388684e-05,0,0,0
spec06,471.omnetpp,1,0.46435399999999999,4.1721595827840421,0.20168671693494356,0.20140633867566712,0.00028037825927641139,0,0,0,0.99860983279644122,0.0013901672035588281,0,0,0
spec06,473.astar,2,0.35373588165748748,9.0401195479940224,0.31599673800617795,0.3159939416119884,2.7963941895123334e-06,0,0,0,0.99999115055994836,8.8494400516807291e-06,0,0,0
spec06,483.xalancbmk,2,0.74135188905134652,2.1233399575332008,0.33172315316187934,0.32648798457726519,0.005235168584614135,0,0,0,0.98421825991127188,0.015781740088728135,0,0,0
spec17,602.gcc_s,1,0.52495800000000004,1.1940999999999999,0.8768155316992936,0.8768155316992936,0,0,0,0,1,0,0,0,0
spec17,605.mcf_s,5,0.31152337233720712,11.223391506170774,0.3425948435339779,0.3425948435339779,0,0,0,0,1,0,0,0,0
spec17,620.omnetpp_s,2,0.47019919477600131,4.5574598177016075,0.20488445224678059,0.20402444698694708,0.00086000525983352856,0,0,0,0.99580248647272818,0.0041975135272717696,0,0,0
spec17,623.xalancbmk_s,3,0.83242562747278726,2.6452800000000001,0.12691771804506949,0.12529986834580145,0.0016178496992680334,0,0,0,0.9872527671928869,0.012747232807113047,0,0,0
spec17,649.fotonik3d_s,1,0.86235499999999998,2.1958998682460078,0.45667237879745781,0.45667237879745781,0,0,0,0,1,0,0,0,0
gap,gap.bc.twitter-10B,1,0.153832,33.307940000000002,0.90081936088985148,0.90081936088985148,0,0,0,0,1,0,0,0,0
gap,gap.cc.twitter-10B,1,0.53300000000000003,2.5474198981032039,0.70883349750404867,0.70883349750404867,0,0,0,0,1,0,0,0,0
gap,gap.pr.twitter-10B,1,0.030755699999999993,120.86113758277725,0.79149072328707992,0.79149072328707992,0,0,0,0,1,0,0,0,0
ligra,ligra_BellmanFord,1,0.48780499999999999,6.5119796092812239,0.32409358529629867,0.32409358529629867,0,0,0,0,1,0,0,0,0
ligra,ligra_CF,1,1.2299199999999999,1.3031798957456084,0.44184879534003757,0.44184879534003757,0,0,0,0,1,0,0,0,0
ligra,ligra_Components,1,0.443102,1.1160798883920111,1,1,0,0,0,0,1,0,0,0,0
ligra,ligra_PageRank,3,0.49071376066119904,28.429550679908605,0.46934820273519451,0.46934809267409078,1.1006110372356525e-07,0,0,0,0.99999976550223679,2.344977632430853e-07,0,0,0
ligra,ligra_PageRankDelta,2,0.60671992262657726,5.4242598915148026,0.44528231877205166,0.44528231877205166,0,0,0,0,1,0,0,0,0
ligra,ligra_Radii,2,0.28284118124488167,10.792489892075102,0.35240542024038368,0.35240411412689088,1.3061134927727843e-06,0,0,0,0.99999629371905829,3.706280941654799e-06,0,0,0
spec06,gmean_spec06,18,0.62296047814469835,3.9019787328097397,0.13041922032741499,0.13028273954040029,0.00013648078701469429,0,0,0,0.99895352244345537,0.0010464775565446707,0,0,0
spec17,gmean_spec17,12,0.48499656110362455,6.3798098086057058,0.27639596937978667,0.27589262202238196,0.00050334735740471185,0,0,0,0.99817889038492791,0.0018211096150721313,0,0,0
gap,gmean_gap,3,0.13611307239626361,52.238832288556686,0.81086980975075129,0.81086980975075129,0,0,0,0,1,0,0,0,0
ligra,gmean_ligra,10,0.49729871017160543,12.665339265410323,0.43450451656434957,0.43450417349853643,3.4306581312807204e-07,0,0,0,0.99999921044362017,7.8955637985241614e-07,0,0,0
