dataset,workload,trace_tag,trace_name,instructions,cycles,ipc,stlb_access,stlb_hit,stlb_miss,stlb_mpki,stlb_miss_rate,demand_data_miss,demand_data_miss_rate,demand_instruction_miss,demand_instruction_miss_rate,l1d_prefetch_miss,l1d_prefetch_miss_rate,l1i_prefetch_miss,l1i_prefetch_miss_rate,other_miss,other_miss_rate
spec06,429.mcf,429.mcf-184B,429.mcf-184B.champsimtrace.xz,50000003,321513356,0.15551499999999999,6595200,6300050,295150,5.9029999999999996,0.044752199999999999,284973,0.043209200000000003,0,0,10177,0.00154309,0,0,0,0
spec06,429.mcf,429.mcf-192B,429.mcf-192B.champsimtrace.xz,50000000,259663993,0.19255700000000001,7431866,7300406,131460,2.6292,0.017688700000000002,126913,0.017076899999999999,0,0,4547,0.00061182499999999998,0,0,0,0
spec06,429.mcf,429.mcf-22B,429.mcf-22B.champsimtrace.xz,50000001,63662851,0.78538699999999995,247928,80825,167103,3.34206,0.67399799999999999,151256,0.61007999999999996,0,0,15847,0.063917799999999997,0,0,0,0
spec06,429.mcf,429.mcf-51B,429.mcf-51B.champsimtrace.xz,50000004,264135308,0.18929699999999999,4171705,3599916,571789,11.4358,0.13706399999999999,555386,0.133132,0,0,16403,0.0039319699999999999,0,0,0,0
spec06,433.milc,433.milc-127B,433.milc-127B.champsimtrace.xz,50000003,42235962,1.1838299999999999,60312,630,59682,1.19364,0.98955400000000004,57100,0.94674400000000003,4,6.6321800000000006e-05,2578,0.042744400000000002,0,0,0,0
spec06,433.milc,433.milc-274B,433.milc-274B.champsimtrace.xz,50000003,52932259,0.944604,74227,18312,55915,1.1183000000000001,0.75329699999999999,50918,0.68597699999999995,5,6.7360900000000001e-05,4992,0.067253199999999999,0,0,0,0
spec06,433.milc,433.milc-337B,433.milc-337B.champsimtrace.xz,50000000,45001658,1.11107,79253,995,78258,1.5651600000000001,0.98744500000000002,70855,0.89403600000000005,1,1.26178e-05,7402,0.093397099999999997,0,0,0,0
spec06,436.cactusADM,436.cactusADM-1804B,436.cactusADM-1804B.champsimtrace.xz,50000000,26224954,1.9065799999999999,1371154,909093,462061,9.2412200000000002,0.33698699999999998,461190,0.33635199999999998,0,0,871,0.00063523099999999999,0,0,0,0
spec06,450.soplex,450.soplex-92B,450.soplex-92B.champsimtrace.xz,50000000,77708781,0.643428,266267,210438,55829,1.1165799999999999,0.209673,45568,0.17113600000000001,9,3.3800700000000003e-05,10252,0.038502700000000001,0,0,0,0
spec06,459.GemsFDTD,459.GemsFDTD-1169B,459.GemsFDTD-1169B.champsimtrace.xz,50000004,43509408,1.1491800000000001,759261,585930,173331,3.4666199999999998,0.22828899999999999,106993,0.14091699999999999,2,2.6341400000000002e-06,66336,0.087369199999999994,0,0,0,0
spec06,459.GemsFDTD,459.GemsFDTD-1211B,459.GemsFDTD-1211B.champsimtrace.xz,50000000,46371521,1.0782499999999999,385986,272774,113212,2.26424,0.29330600000000001,78852,0.204287,1,2.5907699999999998e-06,34359,0.089016200000000004,0,0,0,0
spec06,459.GemsFDTD,459.GemsFDTD-1320B,459.GemsFDTD-1320B.champsimtrace.xz,50000005,50225925,0.995502,643223,577000,66223,1.32446,0.102955,16365,0.025442200000000002,2,3.1093399999999999e-06,49856,0.077509700000000001,0,0,0,0
spec06,459.GemsFDTD,459.GemsFDTD-765B,459.GemsFDTD-765B.champsimtrace.xz,50000002,62869047,0.79530400000000001,308317,80517,227800,4.556,0.73885000000000001,149734,0.48565000000000003,2,6.4868299999999999e-06,78064,0.25319399999999997,0,0,0,0
spec06,471.omnetpp,471.omnetpp-188B,471.omnetpp-188B.champsimtrace.xz,50000005,107267838,0.46612300000000001,1034355,810943,223412,4.4682399999999998,0.21599199999999999,207124,0.20024500000000001,296,0.00028616900000000002,15992,0.0154608,0,0,0,0
spec06,473.astar,473.astar-359B,473.astar-359B.champsimtrace.xz,50000005,224102087,0.22311300000000001,1674514,841728,832786,16.6557,0.49732999999999999,788640,0.47096700000000002,0,0,44146,0.026363500000000002,0,0,0,0
spec06,473.astar,473.astar-42B,473.astar-42B.champsimtrace.xz,50000000,88810727,0.56299500000000002,1186154,1077151,109003,2.1800600000000001,0.091896199999999997,108164,0.0911888,8,6.7444899999999997e-06,831,0.00070058399999999997,0,0,0,0
spec06,483.xalancbmk,483.xalancbmk-127B,483.xalancbmk-127B.champsimtrace.xz,50000001,126231077,0.39609899999999998,219714,31908,187806,3.7561200000000001,0.85477499999999995,158044,0.71931699999999998,2821,0.012839400000000001,26941,0.122618,0,0,0,0
spec06,483.xalancbmk,483.xalancbmk-716B,483.xalancbmk-716B.champsimtrace.xz,50000001,36024298,1.38795,420431,367790,52641,1.0528200000000001,0.12520700000000001,50868,0.12099,596,0.00141759,1177,0.0027995099999999998,0,0,0,0
spec17,602.gcc_s,602.gcc_s-2226B,602.gcc_s-2226B.champsimtrace.xz,50000000,91185030,0.54833600000000005,68109,2404,65705,1.3141,0.96470400000000001,59594,0.87497999999999998,0,0,6111,0.089723800000000006,0,0,0,0
spec17,605.mcf_s,605.mcf_s-1536B,605.mcf_s-1536B.champsimtrace.xz,50000000,82987345,0.60250199999999998,1286202,164440,1121762,22.435199999999998,0.87215100000000001,1119252,0.87019899999999994,0,0,2510,0.00195148,0,0,0,0
