dataset,workload,trace_tag,trace_name,instructions,cycles,ipc,stlb_access,stlb_hit,stlb_miss,stlb_mpki,stlb_miss_rate,llc_access,llc_hit,llc_miss,llc_mpki,llc_miss_rate,demand_data_miss,demand_data_miss_rate,demand_instruction_miss,demand_instruction_miss_rate,l1d_prefetch_miss,l1d_prefetch_miss_rate,l1i_prefetch_miss,l1i_prefetch_miss_rate,other_miss,other_miss_rate
spec06,400.perlbench,400.perlbench-41B,400.perlbench-41B.champsimtrace.xz,50000000,25392556,1.9690799999999999,6792,6792,0,0,0,15279,1513,13766,0.27532000000000001,0.90097499999999997,0,0,0,0,0,0,0,0,0,0
spec06,400.perlbench,400.perlbench-50B,400.perlbench-50B.champsimtrace.xz,50000003,24705297,2.02386,4456,4456,0,0,0,8863,189,8674,0.17348,0.97867499999999996,0,0,0,0,0,0,0,0,0,0
spec06,401.bzip2,401.bzip2-226B,401.bzip2-226B.champsimtrace.xz,50000001,23146289,2.1601699999999999,725404,725404,0,0,0,621312,415360,205952,4.11904,0.33147900000000002,0,0,0,0,0,0,0,0,0,0
spec06,401.bzip2,401.bzip2-277B,401.bzip2-277B.champsimtrace.xz,50000005,28064591,1.7816000000000001,9155,9155,0,0,0,202258,118364,83894,1.67788,0.41478700000000002,0,0,0,0,0,0,0,0,0,0
spec06,401.bzip2,401.bzip2-38B,401.bzip2-38B.champsimtrace.xz,50000004,23660417,2.1132300000000002,917,917,0,0,0,53315,34921,18394,0.36787999999999998,0.34500599999999998,0,0,0,0,0,0,0,0,0,0
spec06,401.bzip2,401.bzip2-7B,401.bzip2-7B.champsimtrace.xz,50000003,23250829,2.1504599999999998,118790,118790,0,0,0,428972,396816,32156,0.64312000000000002,0.074960600000000002,0,0,0,0,0,0,0,0,0,0
spec06,403.gcc,403.gcc-16B,403.gcc-16B.champsimtrace.xz,50000000,21672528,2.30707,55275,55275,0,0,0,3596544,3582136,14408,0.28816000000000003,0.0040060699999999996,0,0,0,0,0,0,0,0,0,0
spec06,403.gcc,403.gcc-17B,403.gcc-17B.champsimtrace.xz,50000000,78338529,0.63825600000000005,721346,721346,0,0,0,2648573,349967,2298606,45.972099999999998,0.86786600000000003,0,0,0,0,0,0,0,0,0,0
spec06,403.gcc,403.gcc-48B,403.gcc-48B.champsimtrace.xz,50000002,15109609,3.3091499999999998,9984,9984,0,0,0,21546,4484,17062,0.34123999999999999,0.79188700000000001,0,0,0,0,0,0,0,0,0,0
spec06,410.bwaves,410.bwaves-1963B,410.bwaves-1963B.champsimtrace.xz,50000000,21198126,2.3586999999999998,37938,37938,0,0,0,941637,6020,935617,18.712299999999999,0.99360700000000002,0,0,0,0,0,0,0,0,0,0
spec06,410.bwaves,410.bwaves-2097B,410.bwaves-2097B.champsimtrace.xz,50000004,21010582,2.37975,51660,51660,0,0,0,942028,6107,935921,18.718399999999999,0.99351699999999998,0,0,0,0,0,0,0,0,0,0
spec06,410.bwaves,410.bwaves-945B,410.bwaves-945B.champsimtrace.xz,50000000,13318080,3.7542900000000001,2,2,0,0,0,181,0,181,0.00362,1,0,0,0,0,0,0,0,0,0,0
spec06,416.gamess,416.gamess-875B,416.gamess-875B.champsimtrace.xz,50000004,22218497,2.2503799999999998,396180,396180,0,0,0,1917,337,1580,0.031600000000000003,0.82420400000000005,0,0,0,0,0,0,0,0,0,0
spec06,429.mcf,429.mcf-184B,429.mcf-184B.champsimtrace.xz,50000000,269811378,0.18531500000000001,6593760,6593760,0,0,0,9356435,4268029,5088406,101.768,0.54383999999999999,0,0,0,0,0,0,0,0,0,0
spec06,429.mcf,429.mcf-192B,429.mcf-192B.champsimtrace.xz,50000000,222876801,0.22433900000000001,7431272,7431272,0,0,0,8988131,4810941,4177190,83.543800000000005,0.46474500000000002,0,0,0,0,0,0,0,0,0,0
spec06,429.mcf,429.mcf-217B,429.mcf-217B.champsimtrace.xz,50000002,58644386,0.85259700000000005,107595,107595,0,0,0,2797122,733905,2063217,41.264299999999999,0.73762099999999997,0,0,0,0,0,0,0,0,0,0
spec06,429.mcf,429.mcf-22B,429.mcf-22B.champsimtrace.xz,50000000,56836057,0.87972300000000003,252347,252347,0,0,0,2388959,200865,2188094,43.761899999999997,0.91591900000000004,0,0,0,0,0,0,0,0,0,0
spec06,429.mcf,429.mcf-51B,429.mcf-51B.champsimtrace.xz,50000005,237290606,0.21071200000000001,4170245,4170245,0,0,0,7391150,2258613,5132537,102.651,0.69441699999999995,0,0,0,0,0,0,0,0,0,0
spec06,433.milc,433.milc-127B,433.milc-127B.champsimtrace.xz,50000002,41368963,1.2086399999999999,59808,59808,0,0,0,1210874,93581,1117293,22.3459,0.92271599999999998,0,0,0,0,0,0,0,0,0,0
spec06,433.milc,433.milc-274B,433.milc-274B.champsimtrace.xz,50000005,46067787,1.0853600000000001,74204,74204,0,0,0,1803496,440684,1362812,27.2562,0.75565000000000004,0,0,0,0,0,0,0,0,0,0
spec06,433.milc,433.milc-337B,433.milc-337B.champsimtrace.xz,50000002,38963091,1.2832699999999999,79248,79248,0,0,0,1570226,263857,1306369,26.127400000000002,0.83196199999999998,0,0,0,0,0,0,0,0,0,0
spec06,434.zeusmp,434.zeusmp-10B,434.zeusmp-10B.champsimtrace.xz,50000000,16971012,2.9462000000000002,626728,626728,0,0,0,257214,128715,128499,2.5699800000000002,0.49958000000000002,0,0,0,0,0,0,0,0,0,0
spec06,435.gromacs,435.gromacs-111B,435.gromacs-111B.champsimtrace.xz,50000001,19455023,2.57003,107106,107106,0,0,0,79141,75216,3925,0.0785,0.049595,0,0,0,0,0,0,0,0,0,0
spec06,435.gromacs,435.gromacs-134B,435.gromacs-134B.champsimtrace.xz,50000001,14545212,3.4375599999999999,127253,127253,0,0,0,107585,75066,32519,0.65037999999999996,0.302263,0,0,0,0,0,0,0,0,0,0
spec06,435.gromacs,435.gromacs-226B,435.gromacs-226B.champsimtrace.xz,50000004,14407369,3.47045,19826,19826,0,0,0,261003,133668,127335,2.5467,0.48786800000000002,0,0,0,0,0,0,0,0,0,0
spec06,435.gromacs,435.gromacs-228B,435.gromacs-228B.champsimtrace.xz,50000005,11564915,4.3234199999999996,29931,29931,0,0,0,99260,47707,51553,1.0310600000000001,0.51937299999999997,0,0,0,0,0,0,0,0,0,0
spec06,436.cactusADM,436.cactusADM-1804B,436.cactusADM-1804B.champsimtrace.xz,50000000,22157391,2.25658,1360147,1360147,0,0,0,322816,45113,277703,5.5540599999999998,0.86025200000000002,0,0,0,0,0,0,0,0,0,0
spec06,437.leslie3d,437.leslie3d-134B,437.leslie3d-134B.champsimtrace.xz,50000002,16448579,3.0397799999999999,38253,38253,0,0,0,434850,224426,210424,4.2084799999999998,0.4839,0,0,0,0,0,0,0,0,0,0
spec06,437.leslie3d,437.leslie3d-149B,437.leslie3d-149B.champsimtrace.xz,50000001,18883764,2.64778,17685,17685,0,0,0,593980,229771,364209,7.2841800000000001,0.61316700000000002,0,0,0,0,0,0,0,0,0,0
