dataset,workload,num_traces,ipc,stlb_mpki,stlb_miss_rate,llc_mpki,llc_miss_rate,demand_data_miss_rate,demand_instruction_miss_rate,l1d_prefetch_miss_rate,l1i_prefetch_miss_rate,other_miss_rate,demand_data_share,demand_instruction_share,l1d_prefetch_share,l1i_prefetch_share,other_share
spec06,401.bzip2,2,1.9617744192439659,0,0,2.8984598260924104,0.35193851160192818,0,0,0,0,0,0,0,0,0,0
spec06,403.gcc,1,0.63825600000000005,0,0,45.972119999999997,0.86786582812707069,0,0,0,0,0,0,0,0,0,0
spec06,410.bwaves,2,2.3692016218549234,0,0,18.715379251384832,0.99356201872413619,0,0,0,0,0,0,0,0,0,0
spec06,429.mcf,5,0.36603184752707518,0,0,74.597773911262337,0.60311643595616382,0,0,0,0,0,0,0,0,0,0
spec06,433.milc,3,1.1895871718232247,0,0,25.24315848541049,0.82591225050146189,0,0,0,0,0,0,0,0,0,0
spec06,434.zeusmp,1,2.9461999999999997,0,0,2.5699800000000002,0.49958011616786024,0,0,0,0,0,0,0,0,0,0
spec06,435.gromacs,2,3.8735271961095101,0,0,1.7888798390008145,0.49654835495179911,0,0,0,0,0,0,0,0,0,0
spec06,436.cactusADM,1,2.25658,0,0,5.5540599999999998,0.86025166038858047,0,0,0,0,0,0,0,0,0,0
spec06,437.leslie3d,6,3.1897973843314,0,0,6.7459196177312215,0.74058449708966378,0,0,0,0,0,0,0,0,0,0
spec06,450.soplex,2,0.71657057945746006,0,0,42.281327885933607,0.62572254399417748,0,0,0,0,0,0,0,0,0,0
spec06,454.calculix,1,4.2110700000000003,0,0,1.0463999581440018,0.1622541920318058,0,0,0,0,0,0,0,0,0,0
spec06,456.hmmer,2,3.1921483453154242,0,0,2.7133098372014097,0.49687770110901125,0,0,0,0,0,0,0,0,0,0
spec06,459.GemsFDTD,6,1.2763526628110902,0,0,22.030932158350286,0.80967779398670958,0,0,0,0,0,0,0,0,0,0
spec06,462.libquantum,2,1.3862468217348598,0,0,33.599958656001654,0.94588836477102156,0,0,0,0,0,0,0,0,0,0
spec06,470.lbm,1,0.92949199999999998,0,0,46.522480000000002,0.93387730325386298,0,0,0,0,0,0,0,0,0,0
spec06,471.omnetpp,1,0.53495999999999999,0,0,38.778996122100388,0.79249015492580688,0,0,0,0,0,0,0,0,0,0
spec06,473.astar,2,0.38322356545494429,0,0,33.566248321687581,0.67807441713326111,0,0,0,0,0,0,0,0,0,0
spec06,481.wrf,5,3.3931633073324332,0,0,8.5411716583531341,0.92316754769873155,0,0,0,0,0,0,0,0,0,0
spec06,482.sphinx3,6,2.3838585088914948,0,0,12.076596264113459,0.63412416408631067,0,0,0,0,0,0,0,0,0,0
spec06,483.xalancbmk,3,1.3341591051906778,0,0,20.29359932354669,0.86843249424000601,0,0,0,0,0,0,0,0,0,0
spec17,602.gcc_s,4,1.2339120160775974,0,0,25.040529499189411,0.922207683109041,0,0,0,0,0,0,0,0,0,0
spec17,603.bwaves_s,4,2.2974897681264412,0,0,18.730579063471048,0.86307505548414687,0,0,0,0,0,0,0,0,0,0
spec17,605.mcf_s,9,0.43692605313787597,0,0,61.969690992256119,0.51527179171715509,0,0,0,0,0,0,0,0,0,0
spec17,607.cactuBSSN_s,3,2.4543479134516017,0,0,3.9831531474528532,0.40229862613019041,0,0,0,0,0,0,0,0,0,0
spec17,619.lbm_s,4,0.71588719286040303,0,0,52.28857712412826,0.75056300931547337,0,0,0,0,0,0,0,0,0,0
spec17,620.omnetpp_s,2,0.5998943261041898,0,0,22.907399312778022,0.64213134435966124,0,0,0,0,0,0,0,0,0,0
spec17,621.wrf_s,2,2.1684906857535728,0,0,18.134648911921065,0.75556665676446244,0,0,0,0,0,0,0,0,0,0
spec17,623.xalancbmk_s,6,1.2063705372680904,0,0,13.639309545356349,0.46014335112636801,0,0,0,0,0,0,0,0,0,0
spec17,625.x264_s,1,3.6591300000000007,0,0,1.6084198713264104,0.79508245343457107,0,0,0,0,0,0,0,0,0,0
spec17,627.cam4_s,1,2.3153899999999998,0,0,6.5728594741712421,0.34467088551837549,0,0,0,0,0,0,0,0,0,0
spec17,628.pop2_s,1,2.9904099999999998,0,0,3.5446800000000001,0.24724621668675506,0,0,0,0,0,0,0,0,0,0
spec17,649.fotonik3d_s,4,1.8655437320796324,0,0,21.813004018414819,0.81090247778178648,0,0,0,0,0,0,0,0,0,0
spec17,654.roms_s,7,1.7217258687875576,0,0,19.806310240192815,0.89697785028374544,0,0,0,0,0,0,0,0,0,0
spec17,657.xz_s,2,1.4983489377311281,0,0,3.6222399275552015,0.43377262575518977,0,0,0,0,0,0,0,0,0,0
gap,gap.bc.twitter-10B,1,0.17975800000000003,0,0,234.92218,0.97521469925333581,0,0,0,0,0,0,0,0,0,0
gap,gap.bc.web-10B,1,1.1186799999999999,0,0,13.692479726150406,0.70205173220013617,0,0,0,0,0,0,0,0,0,0
gap,gap.bfs.twitter-10B,1,1.82233,0,0,5.8574194142580582,0.96037133225776838,0,0,0,0,0,0,0,0,0,0
gap,gap.bfs.web-10B,1,1.7717799999999999,0,0,9.0764600000000009,0.96140793153122617,0,0,0,0,0,0,0,0,0,0
gap,gap.cc.twitter-10B,1,0.77998400000000001,0,0,9.1821398163572034,0.60167354694974118,0,0,0,0,0,0,0,0,0,0
gap,gap.cc.web-10B,1,1.1628799999999999,0,0,45.921259081574817,0.97718613863745862,0,0,0,0,0,0,0,0,0,0
gap,gap.pr.twitter-10B,1,0.036629599999999998,0,0,269.4859946102801,0.91278244293864963,0,0,0,0,0,0,0,0,0,0
gap,gap.pr.web-10B,1,0.840534,0,0,24.402799511944011,0.97166565794922433,0,0,0,0,0,0,0,0,0,0
gap,gap.tc.twitter-10B,1,0.97111899999999995,0,0,24.127498552350087,0.80984059960594634,0,0,0,0,0,0,0,0,0,0
gap,gap.tc.web-10B,1,1.0879300000000001,0,0,3.3206199999999999,0.32930963011152786,0,0,0,0,0,0,0,0,0,0
ligra,ligra_BC,8,1.5627458614319636,0,0,13.794594482702706,0.74092239355306078,0,0,0,0,0,0,0,0,0,0
ligra,ligra_BFS,8,1.3763372516913166,0,0,15.598654454047095,0.75931026291437698,0,0,0,0,0,0,0,0,0,0
ligra,ligra_BFS-Bitvector,5,1.7181016497986616,0,0,8.6273718619620503,0.50653589245345143,0,0,0,0,0,0,0,0,0,0
ligra,ligra_BFSCC,9,1.3154139027389213,0,0,16.78051070092085,0.70767117112684608,0,0,0,0,0,0,0,0,0,0
ligra,ligra_BellmanFord,8,1.5027262126479948,0,0,16.11571447623928,0.82738568760709263,0,0,0,0,0,0,0,0,0,0
