dataset,workload,trace_tag,trace_name,instructions,cycles,ipc,stlb_access,stlb_hit,stlb_miss,stlb_mpki,stlb_miss_rate,llc_access,llc_hit,llc_miss,llc_mpki,llc_miss_rate,demand_data_miss,demand_data_miss_rate,demand_instruction_miss,demand_instruction_miss_rate,l1d_prefetch_miss,l1d_prefetch_miss_rate,l1i_prefetch_miss,l1i_prefetch_miss_rate,other_miss,other_miss_rate
spec06,401.bzip2,401.bzip2-226B,401.bzip2-226B.champsimtrace.xz,50000001,23147999,2.1600100000000002,725199,724611,588,0.01176,0.00081081199999999995,619097,414156,204941,4.0988199999999999,0.33103199999999999,0,0,0,0,588,0.00081081199999999995,0,0,0,0
spec06,401.bzip2,401.bzip2-277B,401.bzip2-277B.champsimtrace.xz,50000005,28043006,1.78298,9120,9093,27,0.00054000000000000001,0.0029605299999999998,202275,119303,82972,1.65944,0.410194,0,0,0,0,27,0.0029605299999999998,0,0,0,0
spec06,403.gcc,403.gcc-17B,403.gcc-17B.champsimtrace.xz,50000000,78257608,0.63891600000000004,721358,715447,5911,0.11822000000000001,0.00819427,2650987,352084,2298903,45.978099999999998,0.86718799999999996,0,0,0,0,5911,0.00819427,0,0,0,0
spec06,410.bwaves,410.bwaves-1963B,410.bwaves-1963B.champsimtrace.xz,50000003,21255310,2.3523499999999999,37387,36752,635,0.012699999999999999,0.0169845,941576,5814,935762,18.715199999999999,0.99382499999999996,0,0,0,0,635,0.0169845,0,0,0,0
spec06,410.bwaves,410.bwaves-2097B,410.bwaves-2097B.champsimtrace.xz,50000001,21070166,2.3730199999999999,50646,49976,670,0.0134,0.013229100000000001,941966,6222,935744,18.7149,0.99339500000000003,0,0,0,0,670,0.013229100000000001,0,0,0,0
spec06,429.mcf,429.mcf-184B,429.mcf-184B.champsimtrace.xz,50000000,270171669,0.18506800000000001,6593478,6586549,6929,0.13858000000000001,0.0010508900000000001,9345763,4244615,5101148,102.023,0.545825,0,0,0,0,6929,0.0010508900000000001,0,0,0,0
spec06,429.mcf,429.mcf-192B,429.mcf-192B.champsimtrace.xz,50000000,221907486,0.22531899999999999,7430948,7430894,54,0.00108,7.2669099999999997e-06,8982353,4809143,4173210,83.464200000000005,0.46460099999999999,0,0,0,0,54,7.2669099999999997e-06,0,0,0,0
spec06,429.mcf,429.mcf-217B,429.mcf-217B.champsimtrace.xz,50000000,60686598,0.823905,107746,105029,2717,0.054339999999999999,0.025216700000000002,2801851,733569,2068282,41.365600000000001,0.73818399999999995,0,0,0,0,2717,0.025216700000000002,0,0,0,0
spec06,429.mcf,429.mcf-22B,429.mcf-22B.champsimtrace.xz,50000001,56974940,0.877579,251904,234825,17079,0.34157999999999999,0.067799600000000002,2387335,186991,2200344,44.006900000000002,0.92167399999999999,0,0,0,0,17079,0.067799600000000002,0,0,0,0
spec06,429.mcf,429.mcf-51B,429.mcf-51B.champsimtrace.xz,50000002,237098200,0.21088299999999999,4169636,4152761,16875,0.33750000000000002,0.0040471200000000004,7387200,2253198,5134002,102.68000000000001,0.69498599999999999,0,0,0,0,16875,0.0040471200000000004,0,0,0,0
spec06,433.milc,433.milc-127B,433.milc-127B.champsimtrace.xz,50000004,41389107,1.2080500000000001,59811,57320,2491,0.049820000000000003,0.041647900000000002,1210498,92748,1117750,22.355,0.92337999999999998,0,0,0,0,2491,0.041647900000000002,0,0,0,0
spec06,433.milc,433.milc-274B,433.milc-274B.champsimtrace.xz,50000003,46062707,1.08548,74198,68098,6100,0.122,0.082212499999999994,1742685,442029,1300656,26.013100000000001,0.74635200000000002,0,0,0,0,6100,0.082212499999999994,0,0,0,0
spec06,433.milc,433.milc-337B,433.milc-337B.champsimtrace.xz,50000002,39316540,1.27173,79241,71199,8042,0.16084000000000001,0.10148799999999999,1551808,263856,1287952,25.759,0.82996899999999996,0,0,0,0,8042,0.10148799999999999,0,0,0,0
spec06,434.zeusmp,434.zeusmp-10B,434.zeusmp-10B.champsimtrace.xz,50000000,17065347,2.92991,626798,626106,692,0.01384,0.00110402,256703,126426,130277,2.60554,0.50750099999999998,0,0,0,0,692,0.00110402,0,0,0,0
spec06,435.gromacs,435.gromacs-226B,435.gromacs-226B.champsimtrace.xz,50000001,14437733,3.4631500000000002,19687,19447,240,0.0047999999999999996,0.0121908,262040,133567,128473,2.5694599999999999,0.49027999999999999,0,0,0,0,240,0.0121908,0,0,0,0
spec06,435.gromacs,435.gromacs-228B,435.gromacs-228B.champsimtrace.xz,50000003,11565002,4.3233899999999998,29788,29628,160,0.0032000000000000002,0.0053712899999999999,97006,44934,52072,1.0414399999999999,0.53679200000000005,0,0,0,0,160,0.0053712899999999999,0,0,0,0
spec06,436.cactusADM,436.cactusADM-1804B,436.cactusADM-1804B.champsimtrace.xz,50000001,22193940,2.2528700000000002,1358362,1356439,1923,0.038460000000000001,0.0014156800000000001,322667,43056,279611,5.5922200000000002,0.86656200000000005,0,0,0,0,1923,0.0014156800000000001,0,0,0,0
