dataset,workload,trace_tag,trace_name,instructions,cycles,ipc,stlb_access,stlb_hit,stlb_miss,stlb_mpki,stlb_miss_rate,llc_access,llc_hit,llc_miss,llc_mpki,llc_miss_rate,demand_data_miss,demand_data_miss_rate,demand_instruction_miss,demand_instruction_miss_rate,l1d_prefetch_miss,l1d_prefetch_miss_rate,l1i_prefetch_miss,l1i_prefetch_miss_rate,other_miss,other_miss_rate
spec06,401.bzip2,401.bzip2-226B,401.bzip2-226B.champsimtrace.xz,50000004,23052046,2.1690100000000001,725668,724596,1072,0.021440000000000001,0.00147726,613284,412607,200677,4.0135399999999999,0.32721699999999998,1072,0.00147726,0,0,0,0,0,0,0,0
spec06,401.bzip2,401.bzip2-277B,401.bzip2-277B.champsimtrace.xz,50000005,27857712,1.79484,9109,9096,13,0.00025999999999999998,0.00142716,203471,119428,84043,1.68086,0.413047,13,0.00142716,0,0,0,0,0,0,0,0
spec06,403.gcc,403.gcc-17B,403.gcc-17B.champsimtrace.xz,50000004,80437750,0.62159900000000001,721644,680382,41262,0.82523999999999997,0.057177800000000001,2658627,361106,2297521,45.950400000000002,0.86417600000000006,41230,0.057133400000000001,32,4.4343199999999999e-05,0,0,0,0,0,0
spec06,410.bwaves,410.bwaves-1963B,410.bwaves-1963B.champsimtrace.xz,50000005,21758092,2.298,37942,24665,13277,0.26554,0.34992899999999999,941541,5766,935775,18.715499999999999,0.99387599999999998,13277,0.34992899999999999,0,0,0,0,0,0,0,0
spec06,410.bwaves,410.bwaves-2097B,410.bwaves-2097B.champsimtrace.xz,50000000,21511592,2.3243299999999998,51358,38120,13238,0.26476,0.25775900000000002,941786,5979,935807,18.716100000000001,0.99365099999999995,13238,0.25775900000000002,0,0,0,0,0,0,0,0
spec06,429.mcf,429.mcf-184B,429.mcf-184B.champsimtrace.xz,50000001,299163860,0.167132,6593342,6310743,282599,5.65198,0.042861299999999998,9409666,4262351,5147315,102.946,0.54702399999999995,282599,0.042861299999999998,0,0,0,0,0,0,0,0
spec06,429.mcf,429.mcf-192B,429.mcf-192B.champsimtrace.xz,50000005,241662125,0.2069,7428949,7304099,124850,2.4969999999999999,0.016805899999999999,9001841,4808742,4193099,83.861999999999995,0.46580500000000002,124850,0.016805899999999999,0,0,0,0,0,0,0,0
spec06,429.mcf,429.mcf-217B,429.mcf-217B.champsimtrace.xz,50000001,61933787,0.80731399999999998,107796,93166,14630,0.29260000000000003,0.13571900000000001,2802967,731668,2071299,41.426000000000002,0.73896700000000004,14630,0.13571900000000001,0,0,0,0,0,0,0,0
spec06,429.mcf,429.mcf-22B,429.mcf-22B.champsimtrace.xz,50000004,62953333,0.79423900000000003,248698,93504,155194,3.1038800000000002,0.62402599999999997,2415041,217880,2197161,43.943199999999997,0.90978199999999998,155194,0.62402599999999997,0,0,0,0,0,0,0,0
spec06,429.mcf,429.mcf-51B,429.mcf-51B.champsimtrace.xz,50000002,246964921,0.202458,4172092,3616988,555104,11.1021,0.133052,7407878,2224168,5183710,103.67400000000001,0.69975600000000004,555104,0.133052,0,0,0,0,0,0,0,0
