dataset,workload,num_traces,ipc,stlb_mpki,stlb_miss_rate,llc_mpki,llc_miss_rate,demand_data_miss_rate,demand_instruction_miss_rate,l1d_prefetch_miss_rate,l1i_prefetch_miss_rate,other_miss_rate,demand_data_share,demand_instruction_share,l1d_prefetch_share,l1i_prefetch_share,other_share
spec06,401.bzip2,2,1.9730752414441777,0.010849999023500088,0.0014766384903174704,2.8471997437520229,0.34859902908460921,0.0014766384903174704,0,0,0,0,1,0,0,0,0
spec06,403.gcc,1,0.62159900000000001,0.82523993398080531,0.057177777408251161,45.950416323966692,0.86417575688503878,0.057133434214100026,4.434319415113269e-05,0,0,0,0.99922446803354181,0.00077553196645824241,0,0,0
spec06,410.bwaves,2,2.3111275040551096,0.26514998674250068,0.29692049272116461,18.715819064209047,0.993763695842517,0.29692049272116461,0,0,0,0,1,0,0,0,0
spec06,429.mcf,5,0.33917961833326876,4.5295077644655963,0.06104169630363028,75.170332091142726,0.60548203903594611,0.06104169630363028,0,0,0,0,1,0,0,0,0
spec06,433.milc,3,1.0608680227873062,1.2223599348074701,0.86022322622415515,23.784125398179977,0.81720917543538563,0.86017631024598051,4.6915978174686955e-05,0,0,0,0.99994546069352186,5.4539306478178821e-05,0,0,0
spec06,434.zeusmp,1,2.8728199999999999,0.031559999999999998,0.0025184856527713717,2.5790799999999998,0.5026153114598193,0.0025184856527713717,0,0,0,0,1,0,0,0,0
spec06,435.gromacs,2,3.8257480764943215,0.019309998648300096,0.038887546318672465,1.820439872569209,0.50323986023265066,0.037095215079748674,0.0017923312389237958,0,0,0,0.95390989124805803,0.046090108751941999,0,0,0
spec06,436.cactusADM,1,2.0342500000000001,9.6766996129320155,0.36192168156487264,5.5795397768184092,0.86338779211374139,0.36192168156487264,0,0,0,0,1,0,0,0,0
spec06,437.leslie3d,6,3.115356032674113,0.064229994647500441,0.20769827753465411,6.6893161092236575,0.73263073427904801,0.20760126759652489,9.7009938129217232e-05,0,0,0,0.9995329285380663,0.00046707146193367583,0,0,0
spec06,450.soplex,2,0.69710443447162207,0.75668997729930065,0.14179757552361982,42.304218730873437,0.62532318075343774,0.14178071025277292,1.6865270846880207e-05,0,0,0,0.99988106093644691,0.00011893906355310629,0,0,0
spec06,454.calculix,1,4.1707099999999997,0.016019999359200024,0.10074204502578292,1.0621799575128017,0.16278171636644506,0.098981260218840392,0.001760784806942523,0,0,0,0.98252184769038697,0.017478152309612985,0,0,0
spec06,456.hmmer,2,3.1867362353668369,0.0081599997552000078,0.11079429735234216,2.2802799315916022,0.41967210701060831,0.10604209097080787,0.0047522063815342835,0,0,0,0.95710784313725494,0.042892156862745098,0,0,0
spec06,459.GemsFDTD,6,1.1914250340295434,1.3247899160966385,0.16458402093426486,22.025438605055555,0.79939799849015702,0.16458029391290449,3.7270213603876434e-06,0,0,0,0.99997735490153161,2.2645098468436507e-05,0,0,0
spec06,462.libquantum,2,1.3251486333049587,0.40409996767200257,0.99990102439748607,32.863727370901813,0.92515276941453151,0.99990102439748607,0,0,0,0,1,0,0,0,0
spec06,470.lbm,1,0.92309200000000002,0.4451,0.99986521700062903,46.524619999999999,0.93366349469337662,0.99986521700062903,0,0,0,0,1,0,0,0,0
spec06,471.omnetpp,1,0.477381,4.1683595831640421,0.20537556635994381,37.835156216484378,0.78939224877883085,0.2053460042924122,2.9562067531587069e-05,0,0,0,0.99985605849782644,0.00014394150217351669,0,0,0
spec06,473.astar,2,0.36413956824272753,9.0419495479025223,0.3161155125053709,34.217498289125082,0.68919254248048489,0.31611271562626841,2.7968791024535273e-06,0,0,0,0.99999115235098623,8.8476490137636235e-06,0,0,0
spec06,481.wrf,5,3.2839077778852963,0.086695995838592194,0.76779198696376072,8.5526155894744509,0.92511679948217962,0.76623330617450136,0.0015586807892592723,0,0,0,0.9979699178739504,0.0020300821260496446,0,0,0
spec06,482.sphinx3,6,2.3258532734877937,0.35224665962173346,0.23800504055189314,12.050319758993604,0.63713875720529278,0.23794648186144562,5.8558690447501009e-05,0,0,0,0.99975396029297647,0.00024603970702348732,0,0,0
spec06,483.xalancbmk,3,1.1969758986368817,1.4418266089936023,0.22464587793292637,19.984719200611231,0.86482291617382157,0.22164192979777364,0.0030039481351527369,0,0,0,0.98662807364731775,0.013371926352682246,0,0,0
spec17,602.gcc_s,4,1.2144622688252928,0.44896998653090042,0.27839906739381837,25.284349241469524,0.92586669264115706,0.2766907362566155,0.0017083311372028637,0,0,0,0.99386373254337701,0.0061362674566229373,0,0,0
spec17,603.bwaves_s,4,2.2394770473116981,0.25963998312340109,0.30000057772411365,19.699353719542007,0.90732395611724481,0.30000057772411365,0,0,0,0,1,0,0,0,0
spec17,605.mcf_s,9,0.40249233659637046,6.3613685778886477,0.26549924077250148,61.687839206372303,0.50425857772290583,0.26549924077250148,0,0,0,0,1,0,0,0,0
spec17,607.cactuBSSN_s,3,2.4425782675010494,0.053699996778000192,0.0012105873415096198,3.9834730943249479,0.42011134141231193,0.0012030728328720677,7.5145086375519535e-06,0,0,0,0.99379267535692117,0.0062073246430788334,0,0,0
spec17,619.lbm_s,4,0.71102017895954395,0.60695497875657578,0.54131271376525625,55.742553049010645,0.79964594264632372,0.54131271376525625,0,0,0,0,1,0,0,0,0
spec17,620.omnetpp_s,2,0.49785085425054759,4.5345899546541002,0.21807854230529139,22.945439770545601,0.63751960866576607,0.21746007623580196,0.00061846606948942401,0,0,0,0.99716402144405558,0.0028359785559444184,0,0,0
spec17,621.wrf_s,2,2.1350217580155948,0.14698999412040023,0.11912731280746258,18.11662927533483,0.75394699332682735,0.11826013664102959,0.00086717616643298837,0,0,0,0.99272059323763517,0.0072794067623647863,0,0,0
spec17,623.xalancbmk_s,6,1.1779894797090158,1.2940033160799558,0.092823486146572737,13.677169817637736,0.46187145497436838,0.092345740532004894,0.00047774561456784585,0,0,0,0.99485318172802228,0.0051468182719776609,0,0,0
spec17,625.x264_s,1,3.62731,0.030459997563200194,0.0081604003579216974,1.5843398732528102,0.7877272184877292,0.0081604003579216974,0,0,0,0,1,0,0,0,0
spec17,627.cam4_s,1,2.2983899999999999,0.017879998569600115,0.056707897240723122,6.5336594773072418,0.34323913991373922,0.056707897240723122,0,0,0,0,1,0,0,0,0
spec17,628.pop2_s,1,2.9346100000000002,0.048399999999999999,0.053625243751107957,3.5464600000000002,0.23946969676508004,0.053558766176209895,6.6477574898067717e-05,0,0,0,0.99876033057851243,0.0012396694214876034,0,0,0
spec17,649.fotonik3d_s,4,1.8248806250853333,0.65116498046505056,0.40822064659306767,21.89124434326267,0.81522742583397789,0.40822064659306767,0,0,0,0,1,0,0,0,0
spec17,654.roms_s,7,1.6880013630128496,0.24879712864016407,0.58215670544190401,19.565636024820797,0.89542217530651791,0.58198288541248833,0.00017382002941569729,0,0,0,0.99970142054915656,0.00029857945084348693,0,0,0
spec17,657.xz_s,2,1.4384309738044436,0.75621997731340063,0.12845199229512264,3.6733098898007035,0.42938734764347841,0.12845199229512264,0,0,0,0,1,0,0,0,0
gap,gap.bc.twitter-10B,1,0.16270200000000001,33.324280000000002,0.90124031737325971,230.03656000000001,0.95450585450630265,0.90124031737325971,0,0,0,0,1,0,0,0,0
gap,gap.bc.web-10B,1,1.0410600000000001,0.78327992167200788,0.13991790130293277,13.659038634096136,0.68466571829288714,0.13991790130293277,0,0,0,0,1,0,0,0,0
gap,gap.bfs.twitter-10B,1,1.6734599999999999,0.29195997080400293,0.53554919656614575,5.8075394192460577,0.94384582630431035,0.53521901826986573,0.00033017829627999119,0,0,0,0.99938347718865594,0.00061652281134401974,0,0,0
gap,gap.bfs.web-10B,1,1.66551,0.15492,0.62924451665312753,9.07348,0.9622032046999438,0.62924451665312753,0,0,0,0,1,0,0,0,0
gap,gap.cc.twitter-10B,1,0.682311,2.5474398981024042,0.70900872817955107,9.2483396300664147,0.602223090447353,0.70900872817955107,0,0,0,0,1,0,0,0,0
gap,gap.cc.web-10B,1,1.0996699999999999,0.39391999212160017,0.36464620283630172,46.168419076631615,0.97683487053797369,0.36464620283630172,0,0,0,0,1,0,0,0,0
gap,gap.pr.twitter-10B,1,0.031891400000000007,120.86011033119118,0.79144330538247709,272.92681816585457,0.91055900355873787,0.79144330538247709,0,0,0,0,1,0,0,0,0
gap,gap.pr.web-10B,1,0.78973700000000002,0.37794,0.56616831950145308,24.44378,0.97139362301608434,0.56616831950145308,0,0,0,0,1,0,0,0,0
gap,gap.tc.twitter-10B,1,0.96093499999999998,0.20687999172480034,0.68662462661798873,21.130059154797635,0.70877177211224118,0.68655824759376038,6.6379024228343841e-05,0,0,0,0.99990332559938133,9.6674400618716169e-05,0,0,0
gap,gap.tc.web-10B,1,1.0816300000000001,0.031640000000000001,0.29091577785950717,3.3122199999999999,0.32981238187984552,0.29073188672305994,0.00018389113644722325,0,0,0,0.99936788874841975,0.00063211125158027818,0,0,0
ligra,ligra_BC,8,1.5379101734935283,0.16158499515245014,0.82684951835126452,13.948034581558963,0.74936748100898409,0.82678555437577561,6.3963975489004593e-05,0,0,0,0.99992264133428221,7.7358665717733706e-05,0,0,0
