dataset,workload,num_traces,ipc,stlb_mpki,stlb_miss_rate,demand_data_miss_rate,demand_instruction_miss_rate,l1d_prefetch_miss_rate,l1i_prefetch_miss_rate,other_miss_rate,demand_data_share,demand_instruction_share,l1d_prefetch_share,l1i_prefetch_share,other_share
spec17,602.gcc_s,1,0.074577600000000008,1.3088999476440022,0.968035381475017,0.968035381475017,0,0,0,0,1,0,0,0,0
spec17,605.mcf_s,5,0.24573250713219238,11.523043631262604,0.35949073120815628,0.35949073120815628,0,0,0,0,1,0,0,0,0
spec17,620.omnetpp_s,2,0.50086426873954581,4.5738997713050118,0.22831006922328953,0.22765467421926633,0.0006553950040232169,0,0,0,0.99712936443735101,0.0028706355626489429,0,0,0
spec17,623.xalancbmk_s,3,0.97143498831797537,2.6687599110413363,0.13511682657013391,0.13448801356858972,0.00062881300154418653,0,0,0,0.99534615326968334,0.0046538467303167018,0,0,0
spec17,649.fotonik3d_s,1,0.76515,3.3954200000000001,0.73432586626757734,0.73432586626757734,0,0,0,0,1,0,0,0,0
gap,gap.bc.twitter-10B,1,0.16208299999999998,35.619399999999999,0.96827895167494415,0.96827895167494415,0,0,0,0,1,0,0,0,0
gap,gap.cc.twitter-10B,1,0.38382500000000003,2.547699898092004,0.71988448844884489,0.71988448844884489,0,0,0,0,1,0,0,0,0
gap,gap.pr.twitter-10B,1,0.033393800000000008,121.26523029878157,0.79972939898771267,0.79972939898771267,0,0,0,0,1,0,0,0,0
spec17,gmean_spec17,12,0.38832538437004133,6.6228014459066182,0.29926023918942918,0.2990210527726872,0.0002391864167419647,0,0,0,0.99920074107609547,0.00079925892390456099,0,0,0
gap,gmean_gap,3,0.12759848627014769,53.144111207568884,0.83055767667728464,0.83055767667728464,0,0,0,0,1,0,0,0,0
