dataset,workload,num_traces,ipc,stlb_mpki,stlb_miss_rate,demand_data_miss_rate,demand_instruction_miss_rate,l1d_prefetch_miss_rate,l1i_prefetch_miss_rate,other_miss_rate,demand_data_share,demand_instruction_share,l1d_prefetch_share,l1i_prefetch_share,other_share
spec06,429.mcf,4,0.20956693332912796,0,0,0,0,0,0,0,0,0,0,0,0
spec06,433.milc,3,1.191893157721422,0,0,0,0,0,0,0,0,0,0,0,0
spec06,436.cactusADM,1,1.88602,0,0,0,0,0,0,0,0,0,0,0,0
spec06,450.soplex,1,0.58036900000000002,0,0,0,0,0,0,0,0,0,0,0,0
spec06,459.GemsFDTD,4,1.0320932461878898,0,0,0,0,0,0,0,0,0,0,0,0
spec06,471.omnetpp,1,0.478738,0,0,0,0,0,0,0,0,0,0,0,0
spec06,473.astar,2,0.34347897699859303,0,0,0,0,0,0,0,0,0,0,0,0
spec06,483.xalancbmk,2,0.74880687523553091,0,0,0,0,0,0,0,0,0,0,0,0
spec17,602.gcc_s,1,0.46679799999999999,0,0,0,0,0,0,0,0,0,0,0,0
spec17,605.mcf_s,5,0.34072645037353977,0,0,0,0,0,0,0,0,0,0,0,0
spec17,620.omnetpp_s,2,0.54860794582561412,0,0,0,0,0,0,0,0,0,0,0,0
spec17,623.xalancbmk_s,3,0.92461385523625872,0,0,0,0,0,0,0,0,0,0,0,0
spec17,649.fotonik3d_s,1,1.02156,0,0,0,0,0,0,0,0,0,0,0,0
gap,gap.bc.twitter-10B,1,0.18112400000000001,0,0,0,0,0,0,0,0,0,0,0,0
gap,gap.cc.twitter-10B,1,0.58956600000000003,0,0,0,0,0,0,0,0,0,0,0,0
gap,gap.pr.twitter-10B,1,0.036805300000000006,0,0,0,0,0,0,0,0,0,0,0,0
ligra,ligra_BellmanFord,1,0.49640899999999999,0,0,0,0,0,0,0,0,0,0,0,0
ligra,ligra_CF,1,1.69353,0,0,0,0,0,0,0,0,0,0,0,0
ligra,ligra_Components,1,0.43751000000000001,0,0,0,0,0,0,0,0,0,0,0,0
ligra,ligra_PageRank,3,0.54208611827323749,0,0,0,0,0,0,0,0,0,0,0,0
ligra,ligra_PageRankDelta,2,0.64068818404431338,0,0,0,0,0,0,0,0,0,0,0,0
ligra,ligra_Radii,2,0.27981783324155735,0,0,0,0,0,0,0,0,0,0,0,0
spec06,gmean_spec06,18,0.60788355686060958,0,0,0,0,0,0,0,0,0,0,0,0
spec17,gmean_spec17,12,0.53260138406549118,0,0,0,0,0,0,0,0,0,0,0,0
gap,gmean_gap,3,0.15781184511680302,0,0,0,0,0,0,0,0,0,0,0,0
ligra,gmean_ligra,10,0.53393324048797575,0,0,0,0,0,0,0,0,0,0,0,0
