dataset,workload,trace_tag,trace_name,instructions,cycles,ipc,stlb_access,stlb_hit,stlb_miss,stlb_mpki,stlb_miss_rate,demand_data_miss,demand_data_miss_rate,demand_instruction_miss,demand_instruction_miss_rate,l1d_prefetch_miss,l1d_prefetch_miss_rate,l1i_prefetch_miss,l1i_prefetch_miss_rate,other_miss,other_miss_rate
spec06,429.mcf,429.mcf-184B,429.mcf-184B.champsimtrace.xz,50000004,430286531,0.116202,6593710,6586281,7429,0.14857999999999999,0.0011266799999999999,0,0,0,0,7429,0.0011266799999999999,0,0,0,0
spec06,429.mcf,429.mcf-192B,429.mcf-192B.champsimtrace.xz,50000000,397846013,0.12567700000000001,7432800,7432737,63,0.0012600000000000001,8.4759400000000007e-06,0,0,0,0,63,8.4759400000000007e-06,0,0,0,0
spec06,429.mcf,429.mcf-22B,429.mcf-22B.champsimtrace.xz,50000000,63698686,0.78494600000000003,251443,233981,17462,0.34923999999999999,0.069447200000000001,0,0,0,0,17462,0.069447200000000001,0,0,0,0
spec06,429.mcf,429.mcf-51B,429.mcf-51B.champsimtrace.xz,50000005,296125856,0.168847,4172339,4154786,17553,0.35105999999999998,0.0042069899999999999,0,0,0,0,17553,0.0042069899999999999,0,0,0,0
spec06,433.milc,433.milc-127B,433.milc-127B.champsimtrace.xz,50000004,39592956,1.26285,60286,57561,2725,0.0545,0.045201199999999997,0,0,0,0,2725,0.045201199999999997,0,0,0,0
spec06,433.milc,433.milc-274B,433.milc-274B.champsimtrace.xz,50000002,46664020,1.0714900000000001,74216,67792,6424,0.12848000000000001,0.086558200000000002,0,0,0,0,6424,0.086558200000000002,0,0,0,0
spec06,433.milc,433.milc-337B,433.milc-337B.champsimtrace.xz,50000003,40900004,1.2224900000000001,79212,65429,13783,0.27566000000000002,0.17400099999999999,0,0,0,0,13783,0.17400099999999999,0,0,0,0
spec06,436.cactusADM,436.cactusADM-1804B,436.cactusADM-1804B.champsimtrace.xz,50000001,26519494,1.88541,1385189,1383276,1913,0.038260000000000002,0.00138104,0,0,0,0,1913,0.00138104,0,0,0,0
spec06,450.soplex,450.soplex-92B,450.soplex-92B.champsimtrace.xz,50000005,86325337,0.57920400000000005,266160,253682,12478,0.24956,0.046881600000000002,0,0,0,0,12478,0.046881600000000002,0,0,0,0
spec06,459.GemsFDTD,459.GemsFDTD-1169B,459.GemsFDTD-1169B.champsimtrace.xz,50000004,47948502,1.0427900000000001,757903,729497,28406,0.56811999999999996,0.037479699999999998,0,0,0,0,28406,0.037479699999999998,0,0,0,0
spec06,459.GemsFDTD,459.GemsFDTD-1211B,459.GemsFDTD-1211B.champsimtrace.xz,50000003,43531106,1.1486000000000001,388909,347312,41597,0.83194000000000001,0.106958,0,0,0,0,41597,0.106958,0,0,0,0
spec06,459.GemsFDTD,459.GemsFDTD-1320B,459.GemsFDTD-1320B.champsimtrace.xz,50000005,50766218,0.98490699999999998,640886,594471,46415,0.92830000000000001,0.072423199999999993,0,0,0,0,46415,0.072423199999999993,0,0,0,0
spec06,459.GemsFDTD,459.GemsFDTD-765B,459.GemsFDTD-765B.champsimtrace.xz,50000003,57022004,0.87685500000000005,309321,218451,90870,1.8173999999999999,0.29377199999999998,0,0,0,0,90870,0.29377199999999998,0,0,0,0
spec06,471.omnetpp,471.omnetpp-188B,471.omnetpp-188B.champsimtrace.xz,50000005,105623108,0.473381,1037067,1020276,16791,0.33582000000000001,0.016190900000000001,0,0,0,0,16791,0.016190900000000001,0,0,0,0
spec06,473.astar,473.astar-359B,473.astar-359B.champsimtrace.xz,50000004,231216149,0.216248,1677673,1613859,63814,1.2762800000000001,0.0380372,0,0,0,0,63814,0.0380372,0,0,0,0
spec06,473.astar,473.astar-42B,473.astar-42B.champsimtrace.xz,50000000,92099538,0.54289100000000001,1186167,1184869,1298,0.02596,0.00109428,0,0,0,0,1298,0.00109428,0,0,0,0
spec06,483.xalancbmk,483.xalancbmk-127B,483.xalancbmk-127B.champsimtrace.xz,50000001,150862749,0.33142700000000003,220228,196552,23676,0.47352,0.10750700000000001,0,0,0,0,23676,0.10750700000000001,0,0,0,0
spec06,483.xalancbmk,483.xalancbmk-716B,483.xalancbmk-716B.champsimtrace.xz,50000001,29751055,1.6806099999999999,420895,419573,1322,0.026440000000000002,0.0031409300000000001,0,0,0,0,1322,0.0031409300000000001,0,0,0,0
spec17,602.gcc_s,602.gcc_s-2226B,602.gcc_s-2226B.champsimtrace.xz,50000000,107675937,0.46435599999999999,68116,61950,6166,0.12332,0.090522099999999994,0,0,0,0,6166,0.090522099999999994,0,0,0,0
spec17,605.mcf_s,605.mcf_s-1536B,605.mcf_s-1536B.champsimtrace.xz,50000001,95677122,0.52259100000000003,1287939,1287609,330,0.0066,0.00025622299999999998,0,0,0,0,330,0.00025622299999999998,0,0,0,0
spec17,605.mcf_s,605.mcf_s-1644B,605.mcf_s-1644B.champsimtrace.xz,50000002,183689218,0.27219900000000002,1467807,1467762,45,0.00089999999999999998,3.0657999999999997e-05,0,0,0,0,45,3.0657999999999997e-05,0,0,0,0
spec17,605.mcf_s,605.mcf_s-472B,605.mcf_s-472B.champsimtrace.xz,50000000,89162403,0.56077399999999999,136241,128765,7476,0.14951999999999999,0.0548733,0,0,0,0,7476,0.0548733,0,0,0,0
spec17,605.mcf_s,605.mcf_s-782B,605.mcf_s-782B.champsimtrace.xz,50000001,352228426,0.141953,4455673,4454558,1115,0.0223,0.00025024299999999998,0,0,0,0,1115,0.00025024299999999998,0,0,0,0
spec17,605.mcf_s,605.mcf_s-994B,605.mcf_s-994B.champsimtrace.xz,50000000,123734261,0.40409200000000001,848589,806911,41678,0.83355999999999997,0.049114499999999998,0,0,0,0,41678,0.049114499999999998,0,0,0,0
spec17,620.omnetpp_s,620.omnetpp_s-141B,620.omnetpp_s-141B.champsimtrace.xz,50000000,95909560,0.52132400000000001,1150314,1141316,8998,0.17996000000000001,0.0078222099999999996,0,0,0,0,8998,0.0078222099999999996,0,0,0,0
