dataset,workload,num_traces,ipc,stlb_mpki,stlb_miss_rate,demand_data_miss_rate,demand_instruction_miss_rate,l1d_prefetch_miss_rate,l1i_prefetch_miss_rate,other_miss_rate,demand_data_share,demand_instruction_share,l1d_prefetch_share,l1i_prefetch_share,other_share
spec06,429.mcf,4,0.20974935518400248,0.21253499043592544,0.002303865976755273,0,0,0.002303865976755273,0,0,0,0,1,0,0
spec06,433.milc,3,1.1826649753296143,0.15287999082720055,0.10730228248968247,0,0,0.10730228248968247,0,0,0,0,1,0,0
spec06,436.cactusADM,1,1.88541,0.038259999234800016,0.0013810389773525489,0,0,0.0013810389773525489,0,0,0,0,1,0,0
spec06,450.soplex,1,0.57920400000000005,0.24955997504400249,0.046881574992485721,0,0,0.046881574992485721,0,0,0,0,1,0,0
spec06,459.GemsFDTD,4,1.0084913304921004,1.0364399222670058,0.098848889781160784,0,0,0.098848889781160784,0,0,0,0,1,0,0
spec06,471.omnetpp,1,0.473381,0.33581996641800338,0.016190853628550519,0,0,0.016190853628550519,0,0,0,0,1,0,0
spec06,473.astar,2,0.34263551037217377,0.65111997395520105,0.022735907033912508,0,0,0.022735907033912508,0,0,0,0,1,0,0
spec06,483.xalancbmk,2,0.74632401172011076,0.24997999500040011,0.038990958053290864,0,0,0.038990958053290864,0,0,0,0,1,0,0
spec17,602.gcc_s,1,0.46435599999999999,0.12332,0.090522050619531391,0,0,0.090522050619531391,0,0,0,0,1,0,0
spec17,605.mcf_s,5,0.34048048880988474,0.20257599675878404,0.0061789240419611461,0,0,0.0061789240419611461,0,0,0,0,1,0,0
spec17,620.omnetpp_s,2,0.54724793865669341,0.16840999831590001,0.00756249012084896,0,0,0.00756249012084896,0,0,0,0,1,0,0
spec17,623.xalancbmk_s,3,0.92067779623716306,0.19967333200217779,0.0095739525582537177,0,0,0.0095739525582537177,0,0,0,0,1,0,0
spec17,649.fotonik3d_s,1,0.97827200000000003,1.7276798617856111,0.33913050305823605,0,0,0.33913050305823605,0,0,0,0,1,0,0
gap,gap.bc.twitter-10B,1,0.18079700000000001,2.6273599999999999,0.071031231075352544,0,0,0.071031231075352544,0,0,0,0,1,0,0
gap,gap.cc.twitter-10B,1,0.58964399999999995,0.02161999956760001,0.0060179927405526979,0,0,0.0060179927405526979,0,0,0,0,1,0,0
gap,gap.pr.twitter-10B,1,0.036758099999999995,1.1649599068032075,0.0076312815464428885,0,0,0.0076312815464428885,0,0,0,0,1,0,0
ligra,ligra_BellmanFord,1,0.494309,0.21489999570200008,0.010688840830277721,0,0,0.010688840830277721,0,0,0,0,1,0,0
ligra,ligra_CF,1,1.69015,0.051779995857600333,0.01758258176681517,0,0,0.01758258176681517,0,0,0,0,1,0,0
ligra,ligra_Components,1,0.43414399999999997,0,0,0,0,0,0,0,0,0,0,0,0
ligra,ligra_PageRank,3,0.5433621551574912,0.26980665227697853,0.0044544579525298816,0,0,0.0044544579525298816,0,0,0,0,1,0,0
ligra,ligra_PageRankDelta,2,0.63932012488423984,0.1045099968647001,0.0085676364521737984,0,0,0.0085676364521737984,0,0,0,0,1,0,0
ligra,ligra_Radii,2,0.27949242286688203,0.23629,0.0077112508746096887,0,0,0.0077112508746096887,0,0,0,0,1,0,0
spec06,gmean_spec06,18,0.60325711666396675,0.43779886456672973,0.014617982278517455,0,0,0.014617982278517455,0,0,0,0,1,0,0
spec17,gmean_spec17,12,0.52950726838721196,0.31664332805594453,0.013693293604479564,0,0,0.013693293604479564,0,0,0,0,1,0,0
gap,gmean_gap,3,0.15765632038976141,1.2713132909562237,0.01973708587433768,0,0,0.01973708587433768,0,0,0,0,1,0,0
ligra,gmean_ligra,10,0.53321241897858462,0.17576999402382021,0.0060286634703123048,0,0,0.0060286634703123048,0,0,0,0,1,0,0
