dataset,workload,trace_tag,trace_name,instructions,cycles,ipc,stlb_access,stlb_hit,stlb_miss,stlb_mpki,stlb_miss_rate,demand_data_miss,demand_data_miss_rate,demand_instruction_miss,demand_instruction_miss_rate,l1d_prefetch_miss,l1d_prefetch_miss_rate,l1i_prefetch_miss,l1i_prefetch_miss_rate,other_miss,other_miss_rate
spec06,429.mcf,429.mcf-184B,429.mcf-184B.champsimtrace.xz,50000003,454842329,0.109928,6592720,6310005,282715,5.6543000000000001,0.042882900000000002,282715,0.042882900000000002,0,0,0,0,0,0,0,0
spec06,429.mcf,429.mcf-192B,429.mcf-192B.champsimtrace.xz,50000001,412827187,0.121116,7431501,7306644,124857,2.4971399999999999,0.016801,124857,0.016801,0,0,0,0,0,0,0,0
spec06,429.mcf,429.mcf-22B,429.mcf-22B.champsimtrace.xz,50000001,69371603,0.72075599999999995,248041,93374,154667,3.09334,0.62355400000000005,154667,0.62355400000000005,0,0,0,0,0,0,0,0
spec06,429.mcf,429.mcf-51B,429.mcf-51B.champsimtrace.xz,50000005,304365793,0.16427600000000001,4171729,3616637,555092,11.101800000000001,0.13306000000000001,555092,0.13306000000000001,0,0,0,0,0,0,0,0
spec06,433.milc,433.milc-127B,433.milc-127B.champsimtrace.xz,50000001,44103126,1.13371,60272,3233,57039,1.1407799999999999,0.94635999999999998,57035,0.94629300000000005,4,6.6365799999999994e-05,0,0,0,0,0,0
spec06,433.milc,433.milc-274B,433.milc-274B.champsimtrace.xz,50000003,55449947,0.90171400000000002,74206,23254,50952,1.0190399999999999,0.68662900000000004,50947,0.68656200000000001,5,6.7379999999999995e-05,0,0,0,0,0,0
spec06,433.milc,433.milc-337B,433.milc-337B.champsimtrace.xz,50000001,46453578,1.0763400000000001,79201,7307,71894,1.43788,0.90774100000000002,71893,0.90772799999999998,1,1.2626099999999999e-05,0,0,0,0,0,0
spec06,436.cactusADM,436.cactusADM-1804B,436.cactusADM-1804B.champsimtrace.xz,50000000,28233624,1.77094,1370291,906089,464202,9.2840399999999992,0.33876200000000001,464202,0.33876200000000001,0,0,0,0,0,0,0,0
spec06,450.soplex,450.soplex-92B,450.soplex-92B.champsimtrace.xz,50000000,88606172,0.56429499999999999,266188,222014,44174,0.88348000000000004,0.16594999999999999,44165,0.16591700000000001,9,3.3810699999999998e-05,0,0,0,0,0,0
spec06,459.GemsFDTD,459.GemsFDTD-1169B,459.GemsFDTD-1169B.champsimtrace.xz,50000003,50769640,0.98484099999999997,757052,680695,76357,1.5271399999999999,0.10086100000000001,76355,0.100858,2,2.6418299999999998e-06,0,0,0,0,0,0
spec06,459.GemsFDTD,459.GemsFDTD-1211B,459.GemsFDTD-1211B.champsimtrace.xz,50000001,47424483,1.0543100000000001,385380,300271,85109,1.70218,0.22084400000000001,85108,0.22084200000000001,1,2.59484e-06,0,0,0,0,0,0
spec06,459.GemsFDTD,459.GemsFDTD-1320B,459.GemsFDTD-1320B.champsimtrace.xz,50000002,53801634,0.92934000000000005,640592,576582,64010,1.2802,0.099923200000000004,64008,0.099920099999999998,2,3.12211e-06,0,0,0,0,0,0
spec06,459.GemsFDTD,459.GemsFDTD-765B,459.GemsFDTD-765B.champsimtrace.xz,50000002,61398134,0.814357,308385,147451,160934,3.21868,0.52186100000000002,160932,0.52185400000000004,2,6.4853999999999998e-06,0,0,0,0,0,0
spec06,471.omnetpp,471.omnetpp-188B,471.omnetpp-188B.champsimtrace.xz,50000005,114018379,0.43852600000000003,1034543,826123,208420,4.1684000000000001,0.201461,208127,0.201178,293,0.000283217,0,0,0,0,0,0
spec06,473.astar,473.astar-359B,473.astar-359B.champsimtrace.xz,50000004,248210674,0.20144200000000001,1676830,881596,795234,15.9047,0.474248,795234,0.474248,0,0,0,0,0,0,0,0
