dataset,workload,num_traces,ipc,stlb_mpki,stlb_miss_rate,demand_data_miss_rate,demand_instruction_miss_rate,l1d_prefetch_miss_rate,l1i_prefetch_miss_rate,other_miss_rate,demand_data_share,demand_instruction_share,l1d_prefetch_share,l1i_prefetch_share,other_share
spec06,429.mcf,4,0.19925905116957549,5.5866547206672639,0.060579676058180681,0.060579676058180681,0,0,0,0,1,0,0,0,0
spec06,433.milc,3,1.0323812065953146,1.1992332933588903,0.84184688247324257,0.84180008330252387,4.6799170718694868e-05,0,0,0,0.99994440892792613,5.5591072073824946e-05,0,0,0
spec06,436.cactusADM,1,1.77094,9.2840399999999992,0.33876162070684257,0.33876162070684257,0,0,0,0,1,0,0,0,0
spec06,450.soplex,1,0.56429499999999999,0.88348000000000004,0.16595038093377612,0.16591657024358725,3.3810690188889056e-05,0,0,0,0.99979626024358215,0.00020373975641780232,0,0,0
spec06,459.GemsFDTD,4,0.94152309516547983,1.932049922718003,0.18476060875706282,0.1847572617312061,3.3470258567310365e-06,0,0,0,0.99998188452679793,1.8115473202039285e-05,0,0,0
spec06,471.omnetpp,1,0.43852600000000003,4.168399583160042,0.20146093492488953,0.20117771808421689,0.00028321684067264481,0,0,0,0.99859418481911522,0.001405815180884752,0,0,0
spec06,473.astar,2,0.32807081644059721,9.0353495482325226,0.31559238430153747,0.31558959001125053,2.7942902869421766e-06,0,0,0,0.99999114588809512,8.8541119049068382e-06,0,0,0
spec06,483.xalancbmk,2,0.67459345979634278,2.1181599576368009,0.33061122557282885,0.32538552787663105,0.00522569769619779,0,0,0,0.98419382860595994,0.01580617139404011,0,0,0
spec17,602.gcc_s,1,0.44323699999999999,1.19404,0.87669422458479562,0.87669422458479562,0,0,0,0,1,0,0,0,0
spec17,605.mcf_s,5,0.30117870208581282,11.21641568594036,0.34232162854084958,0.34232162854084958,0,0,0,0,1,0,0,0,0
spec17,620.omnetpp_s,2,0.47404361259909411,4.556999681010022,0.20486607504113505,0.2040078583695232,0.00085821667161186483,0,0,0,0.99581084046521839,0.0041891595347816543,0,0,0
spec17,623.xalancbmk_s,3,0.8831414342777778,2.6398799120040031,0.12656843316499392,0.12494981780988301,0.0016186153551109121,0,0,0,0.9872115399184811,0.012788460081518857,0,0,0
spec17,649.fotonik3d_s,1,0.93654899999999996,1.4900399701992006,0.29725890755296652,0.29725890755296652,0,0,0,0,1,0,0,0,0
gap,gap.bc.twitter-10B,1,0.167157,33.188879999999997,0.89755178337306962,0.89755178337306962,0,0,0,0,1,0,0,0,0
gap,gap.cc.twitter-10B,1,0.53139700000000001,2.5473798981048041,0.70928814465426315,0.70928814465426315,0,0,0,0,1,0,0,0,0
gap,gap.pr.twitter-10B,1,0.032359399999999997,120.86105999999999,0.79163318007774264,0.79163318007774264,0,0,0,0,1,0,0,0,0
ligra,ligra_BellmanFord,1,0.473551,6.4868600000000001,0.32271008695998249,0.32271008695998249,0,0,0,0,1,0,0,0,0
ligra,ligra_CF,1,1.21353,1.302859947885602,0.44172532107354517,0.44172532107354517,0,0,0,0,1,0,0,0,0
ligra,ligra_Components,1,0.43010999999999999,1.1160799776784005,1,1,0,0,0,0,1,0,0,0,0
ligra,ligra_PageRank,3,0.52371456255624182,28.435471816774836,0.46954309244558168,0.46954298236169995,1.100838817161901e-07,0,0,0,0.99999976555105696,2.3444894299866295e-07,0,0,0
ligra,ligra_PageRankDelta,2,0.62256213785934655,5.4255597829776088,0.44535393980585392,0.44535393980585392,0,0,0,0,1,0,0,0,0
ligra,ligra_Radii,2,0.27194827074096273,10.795029568198817,0.35244462684233019,0.35244332089088087,1.3059514492959453e-06,0,0,0,0.99999629459112205,3.7054088779744013e-06,0,0,0
spec06,gmean_spec06,18,0.55991810993590929,3.9064142925283329,0.13058253151992652,0.13044603499317814,0.00013649652674837937,0,0,0,0.99895471067102459,0.0010452893289754487,0,0,0
spec17,gmean_spec17,12,0.48250438543290197,6.3166497894450071,0.27338611598815277,0.27288312748771204,0.00050298850044073714,0,0,0,0.99816015345686926,0.0018398465431307208,0,0,0
gap,gmean_gap,3,0.14218312076636899,52.199105970678588,0.81037047708765042,0.81037047708765042,0,0,0,0,1,0,0,0,0
ligra,gmean_ligra,10,0.50206723232377481,12.665339518717099,0.4345338542704868,0.4345335111815099,3.4308897690112291e-07,0,0,0,0.99999921044362017,7.8955637985241614e-07,0,0,0
