dataset,workload,trace_tag,trace_name,instructions,cycles,ipc,stlb_access,stlb_hit,stlb_miss,stlb_mpki,stlb_miss_rate,demand_data_miss,demand_data_miss_rate,demand_instruction_miss,demand_instruction_miss_rate,l1d_prefetch_miss,l1d_prefetch_miss_rate,l1i_prefetch_miss,l1i_prefetch_miss_rate,other_miss,other_miss_rate
spec06,429.mcf,429.mcf-184B,429.mcf-184B.champsimtrace.xz,50000003,455647811,0.109734,6593638,6298991,294647,5.8929400000000003,0.0446866,284720,0.043180999999999997,0,0,9927,0.0015055400000000001,0,0,0,0
spec06,429.mcf,429.mcf-192B,429.mcf-192B.champsimtrace.xz,50000000,412214580,0.121296,7431758,7300304,131454,2.6290800000000001,0.017688099999999998,126992,0.017087700000000001,0,0,4462,0.000600396,0,0,0,0
spec06,429.mcf,429.mcf-22B,429.mcf-22B.champsimtrace.xz,50000001,69376226,0.72070800000000002,248129,81123,167006,3.3401200000000002,0.67306100000000002,150570,0.60682100000000005,0,0,16436,0.066239699999999999,0,0,0,0
spec06,429.mcf,429.mcf-51B,429.mcf-51B.champsimtrace.xz,50000002,303348283,0.164827,4172136,3600188,571948,11.439,0.13708799999999999,555575,0.133163,0,0,16373,0.0039243699999999999,0,0,0,0
spec06,433.milc,433.milc-127B,433.milc-127B.champsimtrace.xz,50000001,44003610,1.1362699999999999,60280,598,59682,1.19364,0.99007999999999996,56996,0.94552099999999994,4,6.6357000000000002e-05,2682,0.044492400000000001,0,0,0,0
spec06,433.milc,433.milc-274B,433.milc-274B.champsimtrace.xz,50000003,55069047,0.90795099999999995,74219,18305,55914,1.1182799999999999,0.75336499999999995,50937,0.686307,5,6.7368199999999996e-05,4972,0.066990900000000006,0,0,0,0
spec06,433.milc,433.milc-337B,433.milc-337B.champsimtrace.xz,50000001,46584278,1.0733200000000001,79193,932,78261,1.5652200000000001,0.98823099999999997,71681,0.90514300000000003,1,1.26274e-05,6579,0.083075499999999997,0,0,0,0
spec06,436.cactusADM,436.cactusADM-1804B,436.cactusADM-1804B.champsimtrace.xz,50000004,28200552,1.77302,1370433,906110,464323,9.2864599999999999,0.33881499999999998,463447,0.33817599999999998,0,0,876,0.00063921400000000004,0,0,0,0
spec06,450.soplex,450.soplex-92B,450.soplex-92B.champsimtrace.xz,50000000,88151374,0.56720599999999999,266328,210362,55966,1.1193200000000001,0.21013899999999999,45277,0.17000499999999999,9,3.37929e-05,10680,0.040100900000000002,0,0,0,0
spec06,459.GemsFDTD,459.GemsFDTD-1169B,459.GemsFDTD-1169B.champsimtrace.xz,50000003,51012906,0.98014400000000002,757064,585231,171833,3.4366599999999998,0.22697300000000001,112402,0.14847099999999999,2,2.6417800000000001e-06,59429,0.078499299999999994,0,0,0,0
spec06,459.GemsFDTD,459.GemsFDTD-1211B,459.GemsFDTD-1211B.champsimtrace.xz,50000003,47145823,1.06054,386331,273115,113216,2.2643200000000001,0.29305399999999998,79270,0.20518700000000001,1,2.5884500000000002e-06,33945,0.087865100000000002,0,0,0,0
spec06,459.GemsFDTD,459.GemsFDTD-1320B,459.GemsFDTD-1320B.champsimtrace.xz,50000004,53257667,0.938832,640817,574600,66217,1.3243400000000001,0.10333199999999999,19785,0.030874599999999999,2,3.12102e-06,46430,0.072454400000000002,0,0,0,0
spec06,459.GemsFDTD,459.GemsFDTD-765B,459.GemsFDTD-765B.champsimtrace.xz,50000002,60992163,0.81977699999999998,308400,80604,227796,4.5559200000000004,0.73863800000000002,149968,0.48627799999999999,2,6.4850800000000003e-06,77826,0.25235400000000002,0,0,0,0
spec06,471.omnetpp,471.omnetpp-188B,471.omnetpp-188B.champsimtrace.xz,50000005,114098322,0.43821900000000003,1034557,811214,223343,4.4668599999999996,0.21588299999999999,206923,0.20001099999999999,297,0.00028707899999999998,16123,0.0155844,0,0,0,0
spec06,473.astar,473.astar-359B,473.astar-359B.champsimtrace.xz,50000004,247928790,0.20167099999999999,1677074,842363,834711,16.694199999999999,0.49771900000000002,787081,0.46931800000000001,0,0,47630,0.028400700000000001,0,0,0,0
spec06,473.astar,473.astar-42B,473.astar-42B.champsimtrace.xz,50000001,93536182,0.53455299999999994,1186115,1077090,109025,2.1804999999999999,0.091917700000000005,108178,0.091203599999999996,8,6.7447099999999998e-06,839,0.00070735100000000005,0,0,0,0
spec06,483.xalancbmk,483.xalancbmk-127B,483.xalancbmk-127B.champsimtrace.xz,50000001,158165679,0.31612400000000002,220259,31987,188272,3.7654399999999999,0.85477599999999998,157501,0.71507200000000004,2822,0.012812199999999999,27949,0.126892,0,0,0,0
spec06,483.xalancbmk,483.xalancbmk-716B,483.xalancbmk-716B.champsimtrace.xz,50000001,34865233,1.4340900000000001,420499,367813,52686,1.05372,0.12529399999999999,50910,0.12107,596,0.0014173600000000001,1180,0.0028061900000000001,0,0,0,0
spec17,602.gcc_s,602.gcc_s-2226B,602.gcc_s-2226B.champsimtrace.xz,50000000,113054418,0.44226500000000002,68121,2386,65735,1.3147,0.964974,59579,0.87460499999999997,0,0,6156,0.090368599999999993,0,0,0,0
spec17,605.mcf_s,605.mcf_s-1536B,605.mcf_s-1536B.champsimtrace.xz,50000001,100695749,0.49654500000000001,1287010,165172,1121838,22.436800000000002,0.87166200000000005,1119343,0.86972400000000005,0,0,2495,0.0019386,0,0,0,0
spec17,605.mcf_s,605.mcf_s-1644B,605.mcf_s-1644B.champsimtrace.xz,50000002,251032899,0.19917699999999999,1466110,271909,1194201,23.884,0.81453699999999996,1169686,0.79781599999999997,0,0,24515,0.016721099999999999,0,0,0,0
spec17,605.mcf_s,605.mcf_s-472B,605.mcf_s-472B.champsimtrace.xz,50000002,90745440,0.55099200000000004,136161,69108,67053,1.3410599999999999,0.492454,36994,0.27169300000000002,0,0,30059,0.22076100000000001,0,0,0,0
spec17,605.mcf_s,605.mcf_s-782B,605.mcf_s-782B.champsimtrace.xz,50000001,359816958,0.13896,4455342,4394948,60394,1.2078800000000001,0.0135554,58056,0.0130306,0,0,2338,0.00052476300000000003,0,0,0,0
spec17,605.mcf_s,605.mcf_s-994B,605.mcf_s-994B.champsimtrace.xz,50000001,152504429,0.32785900000000001,846007,389609,456398,9.1279599999999999,0.53947299999999998,419237,0.49554799999999999,0,0,37161,0.043925199999999998,0,0,0,0
spec17,620.omnetpp_s,620.omnetpp_s-141B,620.omnetpp_s-141B.champsimtrace.xz,50000003,110561246,0.45223799999999997,1149763,900146,249617,4.9923400000000004,0.21710299999999999,240588,0.20924999999999999,862,0.00074972000000000005,8167,0.0071031999999999996,0,0,0,0
spec17,620.omnetpp_s,620.omnetpp_s-874B,620.omnetpp_s-874B.champsimtrace.xz,50000001,100408041,0.49796800000000002,1075020,855575,219445,4.3888999999999996,0.20413100000000001,212010,0.197215,1111,0.0010334700000000001,6324,0.0058826800000000004,0,0,0,0
spec17,623.xalancbmk_s,623.xalancbmk_s-10B,623.xalancbmk_s-10B.champsimtrace.xz,50000005,79979197,0.62516300000000002,401722,120027,281695,5.6338999999999997,0.70121900000000004,243246,0.60550800000000005,2667,0.0066389200000000004,35782,0.089071499999999998,0,0,0,0
spec17,623.xalancbmk_s,623.xalancbmk_s-592B,623.xalancbmk_s-592B.champsimtrace.xz,50000000,48698475,1.0267299999999999,1259013,1184281,74732,1.49464,0.059357600000000003,71348,0.056669799999999999,1581,0.0012557499999999999,1803,0.0014320699999999999,0,0,0,0
spec17,623.xalancbmk_s,623.xalancbmk_s-700B,623.xalancbmk_s-700B.champsimtrace.xz,50000000,47092981,1.0617300000000001,1469484,1385301,84183,1.6836599999999999,0.057287499999999998,80202,0.054578300000000003,963,0.00065533200000000001,3018,0.0020537799999999998,0,0,0,0
spec17,649.fotonik3d_s,649.fotonik3d_s-10881B,649.fotonik3d_s-10881B.champsimtrace.xz,50000002,54734053,0.91350799999999999,245485,75700,169785,3.3957000000000002,0.691631,95972,0.39094899999999999,0,0,73813,0.300682,0,0,0,0
gap,gap.bc.twitter-10B,gap.bc.twitter-10B,gap.bc.twitter-10B.champsimtrace.xz,50000000,298800501,0.16733600000000001,1848760,61020,1787740,35.754800000000003,0.96699400000000002,1658580,0.89713100000000001,0,0,129160,0.069862999999999995,0,0,0,0
gap,gap.cc.twitter-10B,gap.cc.twitter-10B,gap.cc.twitter-10B.champsimtrace.xz,50000002,94132739,0.531165,179689,51146,128543,2.5708600000000001,0.715364,127469,0.70938699999999999,0,0,1074,0.0059769899999999997,0,0,0,0
gap,gap.pr.twitter-10B,gap.pr.twitter-10B,gap.pr.twitter-10B.champsimtrace.xz,50000001,1543907462,0.032385400000000002,7633465,1522981,6110484,122.20999999999999,0.80048600000000003,6046015,0.792041,0,0,64469,0.0084455699999999995,0,0,0,0
ligra,ligra_BellmanFord,ligra_BellmanFord.com-lj.ungraph.gcc_6.3.0_O3.drop_33750M.length_250M,ligra_BellmanFord.com-lj.ungraph.gcc_6.3.0_O3.drop_33750M.length_250M.champsimtrace.xz,50000003,105674268,0.47315200000000002,1004843,665238,339605,6.7920999999999996,0.33796799999999999,328257,0.32667499999999999,0,0,11348,0.011293299999999999,0,0,0,0
ligra,ligra_CF,ligra_CF.com-lj.ungraph.gcc_6.3.0_O3.drop_184750M.length_250M,ligra_CF.com-lj.ungraph.gcc_6.3.0_O3.drop_184750M.length_250M.champsimtrace.xz,50000005,41200522,1.2135800000000001,147340,79783,67557,1.35114,0.458511,65008,0.44121100000000002,0,0,2549,0.017300099999999999,0,0,0,0
ligra,ligra_Components,ligra_Components.com-lj.ungraph.gcc_6.3.0_O3.drop_6250M.length_250M,ligra_Components.com-lj.ungraph.gcc_6.3.0_O3.drop_6250M.length_250M.champsimtrace.xz,50000001,116249460,0.43010999999999999,55804,0,55804,1.11608,1,55804,1,0,0,0,0,0,0,0,0
ligra,ligra_PageRank,ligra_PageRank.com-lj.ungraph.gcc_6.3.0_O3.drop_21750M.length_250M,ligra_PageRank.com-lj.ungraph.gcc_6.3.0_O3.drop_21750M.length_250M.champsimtrace.xz,50000002,80296028,0.62269600000000003,4006174,2662428,1343746,26.8749,0.33541900000000002,1331072,0.33225500000000002,0,0,12674,0.0031636199999999998,0,0,0,0
ligra,ligra_PageRank,ligra_PageRank.com-lj.ungraph.gcc_6.3.0_O3.drop_60750M.length_250M,ligra_PageRank.com-lj.ungraph.gcc_6.3.0_O3.drop_60750M.length_250M.champsimtrace.xz,50000002,112670003,0.443774,1767898,443867,1324031,26.480599999999999,0.74892999999999998,1307327,0.73948100000000005,1,5.6564299999999995e-07,16703,0.0094479400000000002,0,0,0,0
ligra,ligra_PageRank,ligra_PageRank.com-lj.ungraph.gcc_6.3.0_O3.drop_79500M.length_250M,ligra_PageRank.com-lj.ungraph.gcc_6.3.0_O3.drop_79500M.length_250M.champsimtrace.xz,50000005,96066194,0.52047500000000002,3309700,1671288,1638412,32.7682,0.495033,1622138,0.490116,0,0,16274,0.00491706,0,0,0,0
ligra,ligra_PageRankDelta,ligra_PageRankDelta.com-lj.ungraph.gcc_6.3.0_O3.drop_24500M.length_250M,ligra_PageRankDelta.com-lj.ungraph.gcc_6.3.0_O3.drop_24500M.length_250M.champsimtrace.xz,50000004,71181425,0.70243100000000003,833136,463489,369647,7.3929400000000003,0.44368099999999999,363189,0.43592999999999998,0,0,6458,0.0077514400000000001,0,0,0,0
ligra,ligra_PageRankDelta,ligra_PageRankDelta.com-lj.ungraph.gcc_6.3.0_O3.drop_52000M.length_250M,ligra_PageRankDelta.com-lj.ungraph.gcc_6.3.0_O3.drop_52000M.length_250M.champsimtrace.xz,50000001,90736914,0.55104399999999998,385146,199483,185663,3.71326,0.48205900000000002,181433,0.47107599999999999,0,0,4230,0.010982799999999999,0,0,0,0
ligra,ligra_Radii,ligra_Radii.com-lj.ungraph.gcc_6.3.0_O3.drop_25000M.length_250M,ligra_Radii.com-lj.ungraph.gcc_6.3.0_O3.drop_25000M.length_250M.champsimtrace.xz,50000004,176493915,0.28329599999999999,1190721,246871,943850,18.876999999999999,0.79267100000000001,931326,0.78215299999999999,4,3.35931e-06,12520,0.010514600000000001,0,0,0,0
