dataset,workload,num_traces,ipc,stlb_mpki,stlb_miss_rate,demand_data_miss_rate,demand_instruction_miss_rate,l1d_prefetch_miss_rate,l1i_prefetch_miss_rate,other_miss_rate,demand_data_share,demand_instruction_share,l1d_prefetch_share,l1i_prefetch_share,other_share
spec06,429.mcf,4,0.19940858265226424,5.8252748252417552,0.063161466536764396,0.060602707596111631,0,0.002558758940652764,0,0,0.95948860783396495,0,0.040511392166035082,0,0
spec06,433.milc,3,1.0345648635835594,1.2923799569206682,0.90717949197911008,0.84052748816053013,4.6796323680811636e-05,0.066605207494899205,0,0,0.92652831726478801,5.1584415316444599e-05,0.073420098319895599,0,0
spec06,436.cactusADM,1,1.77302,9.2864592570832603,0.33881481254464829,0.33817559851521378,0,0.00063921402943449264,0,0,0.99811338227914614,0,0.0018866177208538022,0,0
spec06,450.soplex,1,0.56720599999999999,1.1193200000000001,0.21013937700880117,0.17000465591300953,3.3792917004595838e-05,0.040100928178787063,0,0,0.80900904120358785,0.00016081192152378229,0.19083014687488833,0,0
spec06,459.GemsFDTD,4,0.94574736099723311,2.8953098262814105,0.27671732743575972,0.17271476986655912,3.3451017197645814e-06,0.10399921246748084,0,0,0.62415596257395578,1.2088515564827255e-05,0.37583194891047939,0,0
spec06,471.omnetpp,1,0.43821900000000003,4.4668595533140447,0.215882740148682,0.20001121252864754,0.00028707939726858937,0.015584448222765879,0,0,0.9264807941148816,0.0013297931880560394,0.072189412697062361,0,0
spec06,473.astar,2,0.32833494797690965,9.4373595281320242,0.32961009559620408,0.31267897438834807,2.7940872921766603e-06,0.016928327120563819,0,0,0.94863288038180171,8.4769469427890844e-06,0.051358642671255519,0,0
spec06,483.xalancbmk,2,0.6733129043468572,2.4095799518084009,0.3760514890176947,0.32525696128647635,0.0053343071799337657,0.045460220551284569,0,0,0.86492666771802551,0.014185044696586126,0.12088828758538832,0,0
spec17,602.gcc_s,1,0.44226500000000002,1.3147,0.96497409022181124,0.8746054814227624,0,0.090368608799048747,0,0,0.90635125884232148,0,0.093648741157678558,0,0
spec17,605.mcf_s,5,0.3012895034699552,11.599535675213001,0.35404895594111807,0.34225889827766609,0,0.011790057663452017,0,0,0.96669935762947756,0,0.03330064237052241,0,0
spec17,620.omnetpp_s,2,0.47455247590124316,4.6906198123752079,0.21083494435187611,0.20343467205565666,0.00088682806368081744,0.0065134442325386344,0,0,0.96490016245187205,0.0042062669753678622,0.030893570572760105,0,0
spec17,623.xalancbmk_s,3,0.88001053049962907,2.9373999020866699,0.14076011933989283,0.12612408269197778,0.0016647397514359219,0.012971296896479129,0,0,0.89602142484283154,0.011826785592701028,0.092151789564467443,0,0
spec17,649.fotonik3d_s,1,0.91350799999999999,3.3956998641720055,0.69163085320895368,0.39094853046010958,0,0.3006823227488441,0,0,0.5652560591336101,0,0.43474394086638984,0,0
gap,gap.bc.twitter-10B,1,0.16733600000000004,35.754800000000003,0.96699409333823749,0.89713105000108184,0,0.06986304333715572,0,0,0.92775235772539633,0,0.072247642274603688,0,0
gap,gap.cc.twitter-10B,1,0.531165,2.570859897165604,0.71536376739811558,0.70938677381475768,0,0.0059769935833579131,0,0,0.991644819243366,0,0.0083551807566339675,0,0
gap,gap.pr.twitter-10B,1,0.032385400000000002,122.20967755580645,0.80048627982181098,0.79204070497473955,0,0.0084455748470714156,0,0,0.98944944459391437,0,0.010550555406085672,0,0
ligra,ligra_BellmanFord,1,0.47315200000000002,6.7920995924740248,0.33796821991097115,0.32667491339443078,0,0.011293306516540395,0,0,0.96658470870570223,0,0.033415291294297787,0,0
ligra,ligra_CF,1,1.2135800000000001,1.3511398648860136,0.45851092710737068,0.44121080494095288,0,0.017300122166417808,0,0,0.96226889885578104,0,0.037731101144218959,0,0
ligra,ligra_Components,1,0.43010999999999999,1.1160799776784005,1,1,0,0,0,0,1,0,0,0,0
ligra,ligra_PageRank,3,0.52393723995600694,28.70792494419117,0.47405295949744225,0.46902729394793263,1.1008642665183583e-07,0.0050255554630829575,0,0,0.98939851455660677,2.3222389913680054e-07,0.010601253219494082,0,0
ligra,ligra_PageRankDelta,2,0.62214981151166482,5.5530997223450136,0.45581400693763841,0.44704099707621059,0,0.0087730098614278145,0,0,0.98075309286704726,0,0.019246907132952764,0,0
ligra,ligra_Radii,2,0.27100329928618949,10.991309560347618,0.35877374715895832,0.35183708455834473,1.3056632818434137e-06,0.0069353569373317532,0,0,0.98066563494251369,3.6392386348851956e-06,0.019330725818851438,0,0
spec06,gmean_spec06,18,0.56087309009915731,4.2958887027337118,0.14358327982492072,0.1291708430462398,0.00013922709465474169,0.014273209684026169,0,0,0.89962315391976821,0.0009696609161213563,0.099407185164110387,0,0
spec17,gmean_spec17,12,0.48114825949882523,6.7417931310795396,0.29186857170646757,0.27463710486824744,0.00051835461661023504,0.016713112221609875,0,0,0.94096155424521077,0.0017759864091552297,0.057262459345634051,0,0
gap,gmean_gap,3,0.14225123091948905,53.511778929764418,0.83076365614514891,0.8106120588529353,0,0.020151597292213531,0,0,0.97574328493651308,0,0.024256715063486957,0,0
ligra,gmean_ligra,10,0.50167510918747504,12.84719130625167,0.44076879193622337,0.43449114694786156,3.4308570459305299e-07,0.0062773019026572535,0,0,0.98575751027928904,7.783802094652279e-07,0.014241711340501489,0,0
