dataset,workload,trace_tag,trace_name,instructions,cycles,ipc,stlb_access,stlb_hit,stlb_miss,stlb_mpki,stlb_miss_rate,demand_data_miss,demand_data_miss_rate,demand_instruction_miss,demand_instruction_miss_rate,l1d_prefetch_miss,l1d_prefetch_miss_rate,l1i_prefetch_miss,l1i_prefetch_miss_rate,other_miss,other_miss_rate
spec06,429.mcf,429.mcf-184B,429.mcf-184B.champsimtrace.xz,50000004,430440784,0.11616,6594440,6583820,10620,0.21240000000000001,0.00161045,0,0,0,0,10620,0.00161045,0,0,0,0
spec06,429.mcf,429.mcf-192B,429.mcf-192B.champsimtrace.xz,50000000,398426932,0.12549399999999999,7433342,7428866,4476,0.089520000000000002,0.000602152,0,0,0,0,4476,0.000602152,0,0,0,0
spec06,429.mcf,429.mcf-22B,429.mcf-22B.champsimtrace.xz,50000001,63865226,0.78289900000000001,251906,234920,16986,0.33972000000000002,0.067429900000000001,0,0,0,0,16986,0.067429900000000001,0,0,0,0
spec06,429.mcf,429.mcf-51B,429.mcf-51B.champsimtrace.xz,50000005,296225143,0.168791,4170833,4153800,17033,0.34066000000000002,0.00408384,0,0,0,0,17033,0.00408384,0,0,0,0
spec06,433.milc,433.milc-127B,433.milc-127B.champsimtrace.xz,50000004,39568181,1.2636400000000001,60285,57603,2682,0.05364,0.044488699999999999,0,0,0,0,2682,0.044488699999999999,0,0,0,0
spec06,433.milc,433.milc-274B,433.milc-274B.champsimtrace.xz,50000002,46608202,1.07277,74208,68987,5221,0.10442,0.070356299999999997,0,0,0,0,5221,0.070356299999999997,0,0,0,0
spec06,433.milc,433.milc-337B,433.milc-337B.champsimtrace.xz,50000003,40889619,1.2228000000000001,79200,65503,13697,0.27394000000000002,0.17294200000000001,0,0,0,0,13697,0.17294200000000001,0,0,0,0
spec06,436.cactusADM,436.cactusADM-1804B,436.cactusADM-1804B.champsimtrace.xz,50000001,26548255,1.8833599999999999,1384795,1383665,1130,0.022599999999999999,0.00081600499999999996,0,0,0,0,1130,0.00081600499999999996,0,0,0,0
spec06,450.soplex,450.soplex-92B,450.soplex-92B.champsimtrace.xz,50000005,86131609,0.580507,266338,255636,10702,0.21404000000000001,0.040182000000000002,0,0,0,0,10702,0.040182000000000002,0,0,0,0
spec06,459.GemsFDTD,459.GemsFDTD-1169B,459.GemsFDTD-1169B.champsimtrace.xz,50000003,47841361,1.04512,757715,697419,60296,1.2059200000000001,0.079576099999999997,0,0,0,0,60296,0.079576099999999997,0,0,0,0
spec06,459.GemsFDTD,459.GemsFDTD-1211B,459.GemsFDTD-1211B.champsimtrace.xz,50000004,43556335,1.14794,388975,351429,37546,0.75092000000000003,0.0965255,0,0,0,0,37546,0.0965255,0,0,0,0
spec06,459.GemsFDTD,459.GemsFDTD-1320B,459.GemsFDTD-1320B.champsimtrace.xz,50000004,50756646,0.985093,640692,593902,46790,0.93579999999999997,0.073030399999999995,0,0,0,0,46790,0.073030399999999995,0,0,0,0
spec06,459.GemsFDTD,459.GemsFDTD-765B,459.GemsFDTD-765B.champsimtrace.xz,50000003,57017443,0.87692499999999995,309424,225995,83429,1.66858,0.26962700000000001,0,0,0,0,83429,0.26962700000000001,0,0,0,0
spec06,471.omnetpp,471.omnetpp-188B,471.omnetpp-188B.champsimtrace.xz,50000005,105418412,0.4743,1036558,1020017,16541,0.33082,0.015957599999999999,0,0,0,0,16541,0.015957599999999999,0,0,0,0
spec06,473.astar,473.astar-359B,473.astar-359B.champsimtrace.xz,50000004,231184490,0.216278,1677229,1630270,46959,0.93918000000000001,0.027997999999999999,0,0,0,0,46959,0.027997999999999999,0,0,0,0
spec06,473.astar,473.astar-42B,473.astar-42B.champsimtrace.xz,50000000,92095368,0.54291500000000004,1186160,1185312,848,0.016959999999999999,0.00071491199999999995,0,0,0,0,848,0.00071491199999999995,0,0,0,0
