dataset,workload,num_traces,ipc,stlb_mpki,stlb_miss_rate,demand_data_miss_rate,demand_instruction_miss_rate,l1d_prefetch_miss_rate,l1i_prefetch_miss_rate,other_miss_rate,demand_data_share,demand_instruction_share,l1d_prefetch_share,l1i_prefetch_share,other_share
spec06,429.mcf,4,0.19937735628652609,5.5900400000000001,0.20010762500000001,0.20010762500000001,0,0,0,0,1,0,0,0,0
spec06,433.milc,3,1.0326901293160975,1.1971933333333333,0.84559866666666661,0.84554999999999991,4.8783266666666664e-05,0,0,0,0.9999392444502565,6.0755549743505557e-05,0,0,0
spec06,436.cactusADM,1,1.77003,9.2720199999999995,0.33828799999999998,0.33828799999999998,0,0,0,0,1,0,0,0,0
spec06,450.soplex,1,0.56385099999999999,0.90295999999999998,0.16963400000000001,0.1696,3.3815500000000002e-05,0,0,0,0.99980065562151144,0.00019934437848852663,0,0,0
spec06,459.GemsFDTD,4,0.94425176866072169,1.7994000000000001,0.21597520000000001,0.215971675,3.70567e-06,0,0,0,0.99996401470428531,3.5985295714689079e-05,0,0,0
spec06,471.omnetpp,1,0.43923899999999999,4.1456999999999997,0.200347,0.20005700000000001,0.00028995900000000001,0,0,0,0.99855271727331929,0.0014472827266806571,0,0,0
spec06,473.astar,2,0.32806428882766253,8.9545200000000005,0.28034530000000002,0.28034190000000003,3.3722500000000002e-06,0,0,0,0.99996302868973674,3.6971310263235726e-05,0,0,0
spec06,483.xalancbmk,2,0.67410650732654998,2.1192099999999998,0.42551349999999999,0.41839850000000001,0.0071144849999999994,0,0,0,0.98542139015155095,0.014578609848448977,0,0,0
spec17,602.gcc_s,1,0.44320199999999998,1.1919200000000001,0.87497100000000005,0.87497100000000005,0,0,0,0,1,0,0,0,0
spec17,605.mcf_s,5,0.30094448842939636,11.21232,0.48953433999999996,0.48953433999999996,0,0,0,0,1,0,0,0,0
spec17,620.omnetpp_s,2,0.47439495005743892,4.5454500000000007,0.20419100000000001,0.20329700000000001,0.00089376449999999997,0,0,0,0.99559914326460219,0.0044008567353977842,0,0,0
spec17,623.xalancbmk_s,3,0.88460937357081948,2.6621999999999999,0.24164430000000001,0.23880409999999999,0.0028403796666666668,0,0,0,0.98528386455908989,0.014716135440910086,0,0,0
spec17,649.fotonik3d_s,1,0.94069400000000003,1.33212,0.26149499999999998,0.26149499999999998,0,0,0,0,1,0,0,0,0
gap,gap.bc.twitter-10B,1,0.167072,33.1753,0.89726300000000003,0.89726300000000003,0,0,0,0,1,0,0,0,0
gap,gap.cc.twitter-10B,1,0.53097499999999997,2.54894,0.70947400000000005,0.70947400000000005,0,0,0,0,1,0,0,0,0
gap,gap.pr.twitter-10B,1,0.03237389999999999,120.92100000000001,0.79203400000000002,0.79203400000000002,0,0,0,0,1,0,0,0,0
ligra,ligra_BellmanFord,1,0.47436699999999998,6.5648,0.32659100000000002,0.32659100000000002,0,0,0,0,1,0,0,0,0
ligra,ligra_CF,1,1.21133,1.30172,0.44167699999999999,0.44167699999999999,0,0,0,0,1,0,0,0,0
ligra,ligra_Components,1,0.43010999999999999,1.11608,1,1,0,0,0,0,1,0,0,0,0
ligra,ligra_PageRank,3,0.52503201879871764,28.403900000000004,0.52058599999999999,0.52058566666666672,1.8853766666666665e-07,0,0,0,0.99999974502778688,2.5497221312821331e-07,0,0,0
ligra,ligra_PageRankDelta,2,0.62228438797064489,5.4455599999999995,0.45341300000000001,0.45341300000000001,0,0,0,0,1,0,0,0,0
ligra,ligra_Radii,2,0.27085823317558577,10.778420000000001,0.4302107,0.4302087,1.6797e-06,0,0,0,0.99999785253347362,2.1474665263655202e-06,0,0,0
qmm,fp,3,0.59975083044894784,1.8039333333333334,0.23141100000000001,0.23114999999999997,0.000261072,0,0,0,0.99875083408833543,0.0012491659116645509,0,0,0
qmm,int,8,0.43952183165488101,6.2450324999999998,0.55191187500000005,0.55143825000000002,0.00047353568624999999,0,0,0,0.99899146332473565,0.0010085366752643138,0,0,0
qmm,srv,19,1.690776264945824,1.9213431578947366,0.11327827368421052,0.071684494736842103,0.041593726315789475,0,0,0,0.63357689270242767,0.36642310729757233,0,0,0
parsec,canneal,6,0.40801894209698786,6.4726333333333335,0.37111616666666669,0.37108616666666666,2.97338e-05,0,0,0,0.99989383382219466,0.00010616617780537323,0,0,0
spec06,gmean_spec06,18,0.56034402879133705,3.867637777777778,0.35117299444444444,0.35035516666666666,0.00081781452666666659,0,0,0,0.99826644459696212,0.001733555403037938,0,0,0
