dataset,workload,num_traces,ipc,stlb_mpki,stlb_miss_rate,demand_data_miss_rate,demand_instruction_miss_rate,l1d_prefetch_miss_rate,l1i_prefetch_miss_rate,other_miss_rate,demand_data_share,demand_instruction_share,l1d_prefetch_share,l1i_prefetch_share,other_share
spec06,429.mcf,4,0.20949981679795182,0.24557500000000002,0.0184315855,0,0,0.0184315855,0,0,0,0,1,0,0
spec06,433.milc,3,1.1834824032765821,0.14399999999999999,0.095929,0,0,0.095929,0,0,0,0,1,0,0
spec06,436.cactusADM,1,1.8833599999999999,0.022599999999999999,0.00081600499999999996,0,0,0.00081600499999999996,0,0,0,0,1,0,0
spec06,450.soplex,1,0.580507,0.21404000000000001,0.040182000000000002,0,0,0.040182000000000002,0,0,0,0,1,0,0
spec06,459.GemsFDTD,4,1.0089769805564017,1.1403050000000001,0.12968974999999999,0,0,0.12968974999999999,0,0,0,0,1,0,0
spec06,471.omnetpp,1,0.4743,0.33082,0.015957599999999999,0,0,0.015957599999999999,0,0,0,0,1,0,0
spec06,473.astar,2,0.3426668504101324,0.47806999999999999,0.014356456,0,0,0.014356456,0,0,0,0,1,0,0
spec06,483.xalancbmk,2,0.74569132188862175,0.29111999999999999,0.064678725000000006,0,0,0.064678725000000006,0,0,0,0,1,0,0
spec17,602.gcc_s,1,0.46435999999999999,0.12298000000000001,0.090271199999999996,0,0,0.090271199999999996,0,0,0,0,1,0,0
spec17,605.mcf_s,5,0.34039812800157021,0.39800399999999997,0.057661590399999997,0,0,0.057661590399999997,0,0,0,0,1,0,0
spec17,620.omnetpp_s,2,0.54697688732706062,0.14602999999999999,0.0065353349999999998,0,0,0.0065353349999999998,0,0,0,0,1,0,0
spec17,623.xalancbmk_s,3,0.91663321613285564,0.2604866666666667,0.029939370000000003,0,0,0.029939370000000003,0,0,0,0,1,0,0
spec17,649.fotonik3d_s,1,0.97892800000000002,1.7684800000000001,0.34597800000000001,0,0,0.34597800000000001,0,0,0,0,1,0,0
gap,gap.bc.twitter-10B,1,0.18075799999999997,2.6289600000000002,0.071073300000000006,0,0,0.071073300000000006,0,0,0,0,1,0,0
gap,gap.cc.twitter-10B,1,0.58943599999999996,0.020740000000000001,0.0057723699999999998,0,0,0.0057723699999999998,0,0,0,0,1,0,0
gap,gap.pr.twitter-10B,1,0.036759999999999994,1.2863199999999999,0.0084262599999999997,0,0,0.0084262599999999997,0,0,0,0,1,0,0
ligra,ligra_BellmanFord,1,0.49571599999999999,0.2303,0.0114561,0,0,0.0114561,0,0,0,0,1,0,0
ligra,ligra_CF,1,1.6899500000000001,0.047140000000000001,0.016007799999999999,0,0,0.016007799999999999,0,0,0,0,1,0,0
ligra,ligra_Components,1,0.43414399999999997,0,0,0,0,0,0,0,0,0,0,0,0
ligra,ligra_PageRank,3,0.54265676225475457,0.28686666666666666,0.0055200533333333336,0,0,0.0055200533333333336,0,0,0,0,1,0,0
ligra,ligra_PageRankDelta,2,0.63946536660870079,0.10954,0.0094581549999999993,0,0,0.0094581549999999993,0,0,0,0,1,0,0
ligra,ligra_Radii,2,0.27931605119290942,0.21224999999999999,0.0075869449999999995,0,0,0.0075869449999999995,0,0,0,0,1,0,0
qmm,fp,3,0.62243178860732562,0.19854000000000002,0.026353933333333329,0,0,0.026353933333333329,0,0,0,0,1,0,0
qmm,int,8,0.46499638036342994,0.48165750000000002,0.095804729000000005,0,0,0.095804729000000005,0,0,0,0,1,0,0
qmm,srv,19,1.8343056569820084,0.092410526315789471,0.0054457563157894739,0,0,0.0054457563157894739,0,0,0,0,1,0,0
parsec,canneal,6,0.43725836431555842,0.17352000000000001,0.014262925000000001,0,0,0.014262925000000001,0,0,0,0,1,0,0
spec06,gmean_spec06,18,0.60328467888908188,0.44896444444444444,0.060849906055555548,0,0,0.060849906055555548,0,0,0,0,1,0,0
spec17,gmean_spec17,12,0.52885771101924839,0.41291666666666665,0.068953827666666662,0,0,0.068953827666666662,0,0,0,0,1,0,0
gap,gmean_gap,3,0.15762916042077324,1.3120066666666668,0.02842397666666667,0,0,0.02842397666666667,0,0,0,0,1,0,0
ligra,gmean_ligra,10,0.53310678466367201,0.17816199999999999,0.0078114260000000007,0,0,0.0078114260000000007,0,0,0,0,0.90000000000000002,0,0
qmm,gmean_qmm,30,1.1418116657784207,0.20682266666666665,0.031632300066666667,0,0,0.031632300066666667,0,0,0,0,1,0,0
parsec,gmean_parsec,6,0.43725836431555842,0.17352000000000001,0.014262925000000001,0,0,0.014262925000000001,0,0,0,0,1,0,0
all,gmean_all,79,0.68786557080076449,0.32911139240506332,0.039502240291139239,0,0,0.039502240291139239,0,0,0,0,0.98734177215189878,0,0
