dataset,workload,baseline_ipc,ideal_l1pref_ipc,ideal_l1pref_speedup,ideal_l1pref_gain_pct,ideal_all_ipc,ideal_all_speedup,ideal_all_gain_pct
spec06,429.mcf,0.20605563853104022,0.20580698810219622,0.99879328500488207,-0.12067149951179301,0.21688607358996917,1.0525607313448859,5.2560731344885925
spec06,433.milc,1.5678937771711783,1.5929697135910228,1.0159933898488245,1.599338984882448,1.5856612201799924,1.0113320451088661,1.1332045108866096
spec06,436.cactusADM,1.87991,1.88182,1.0010160060853976,0.10160060853976471,1.99725,1.0624178817071031,6.2417881707103051
spec06,450.soplex,0.59912200000000004,0.59867300000000001,0.99925057000076778,-0.074942999923222064,0.61721000000000004,1.030190845937889,3.019084593788901
spec06,459.GemsFDTD,0.97129011328152104,0.97461650577018832,1.0034247156881162,0.34247156881161978,1.0612839177115863,1.0926538870307447,9.265388703074473
spec06,471.omnetpp,0.43701200000000001,0.43582799999999999,0.99729069224643707,-0.27093077535629284,0.470356,1.0762999643030398,7.6299964303039758
spec06,473.astar,0.34884860547951169,0.34866383234858184,0.99947033432833743,-0.052966567166257139,0.36300185111924704,1.0405713120747062,4.0571312074706212
spec06,483.xalancbmk,0.64011619434287081,0.64055990021230647,1.0006931645744273,0.069316457442725188,0.70791727838780716,1.105919963663065,10.5919963663065
spec17,602.gcc_s,0.713426,0.752919,1.055356827477552,5.5356827477551995,0.781219,1.095024571574347,9.5024571574346961
spec17,605.mcf_s,0.31397411495419736,0.31388815284119165,0.99972621273884865,-0.02737872611513481,0.3583482762058452,1.1413306356739668,14.133063567396675
spec17,620.omnetpp_s,0.47648225111435155,0.47612409540370876,0.99924833357421983,-0.075166642578017306,0.5410303476072299,1.1354679976891466,13.546799768914664
spec17,623.xalancbmk_s,0.91289632308665436,0.91162259885413477,0.99860474382434483,-0.13952561756551685,0.95134980480070763,1.042122506950226,4.2122506950226013
spec17,649.fotonik3d_s,1.18174,1.20008,1.0155194882122971,1.5519488212297095,1.20018,1.0156041091949159,1.5604109194915949
gap,bc,0.21546635901733127,0.21521631962225934,0.9988395432298004,-0.11604567701996027,0.21748934970526723,1.0093888934549324,0.93888934549324343
gap,bfs,0.4206730859182698,0.42078460210421198,1.0002650898991998,0.026508989919982184,0.43638275076130129,1.0373441167711965,3.7344116771196534
ligra,ligra_BellmanFord,0.50203200000000003,0.50451800000000002,1.0049518755776523,0.49518755776523093,0.52738200000000002,1.0504947891767855,5.0494789176785515
ligra,ligra_CF,1.24108,1.2422800000000001,1.0009668997969512,0.096689979695119277,1.7638199999999999,1.42119766654849,42.119766654849002
ligra,ligra_Components,0.43534,0.436921,1.0036316442320945,0.36316442320944997,0.43664900000000001,1.0030068452244223,0.30068452244222943
ligra,ligra_PageRank,0.54035090113498907,0.54215272545999305,1.003334544869305,0.33345448693049562,0.55805178694346991,1.0327581313759275,3.2758131375927535
ligra,ligra_PageRankDelta,0.63970360953491578,0.64025643485247374,1.0008641897736983,0.086418977369828731,0.65965302825045824,1.0311854090209782,3.1185409020978216
ligra,ligra_Radii,0.2775431351772189,0.27709259584117363,0.9983766871561871,-0.16233128438128963,0.28519772474548249,1.0275798194877921,2.757981948779209
qmm,fp,0.64089943959733575,0.64025791595834303,0.99899902605719892,-0.10009739428010755,0.65559629718683166,1.0229316124831216,2.2931612483121588
qmm,int,0.47213923374698924,0.47190002879652237,0.99949335930299943,-0.050664069700057102,0.50071799047437426,1.0605303577518403,6.0530357751840347
qmm,srv,1.6715665018351757,1.6715577535976209,0.9999947664436053,-0.00052335563947014663,1.7978760348606746,1.0755635703915019,7.5563570391501855
parsec,canneal,0.40314568028719444,0.40315388428872884,1.0000203499676061,0.0020349967606136943,0.43143504515950243,1.0701715688784141,7.0171568878414137
spec06,gmean_spec06,0.61354386285926243,0.61539837779653728,1.0030226281274046,0.30226281274046141,0.64995997089809909,1.0593537157541253,5.9353715754125291
spec17,gmean_spec17,0.52558322270927771,0.52831533945453002,1.0051982571497788,0.51982571497788399,0.57820806427757221,1.1001265628248631,10.01265628248631
gap,gmean_gap,0.2692988865360425,0.26911428203393445,0.99931449957152585,-0.06855004284741506,0.27431392547188815,1.0186225758314618,1.8622575831461763
ligra,gmean_ligra,0.51641707948208782,0.51734728708056454,1.0018012719474918,0.18012719474918004,0.54924470385082846,1.0635680454288292,6.3568045428829212
qmm,gmean_qmm,1.084116608107299,1.0838579681544491,0.99976142792120726,-0.023857207879274256,1.1558540672309932,1.066171349638243,6.6171349638243004
parsec,gmean_parsec,0.40314568028719444,0.40315388428872884,1.0000203499676061,0.0020349967606136943,0.43143504515950243,1.0701715688784141,7.0171568878414137
xsbench,gmean_xsbench,0.20644973556320212,0.20642314053894092,0.99987117917982005,-0.012882082017995344,0.26213965774265452,1.2697505134968003,26.975051349680037
all,gmean_all,0.49121816056251488,0.49175335154442695,1.0010895179064618,0.10895179064618343,0.54746974620085065,1.1145144665944755,11.451446659447551
