dataset,workload,trace_tag,trace_name,instructions,cycles,ipc,stlb_access,stlb_hit,stlb_miss,stlb_mpki,stlb_miss_rate,demand_data_miss,demand_data_miss_rate,demand_instruction_miss,demand_instruction_miss_rate,l1d_prefetch_miss,l1d_prefetch_miss_rate,l1i_prefetch_miss,l1i_prefetch_miss_rate,other_miss,other_miss_rate
spec06,429.mcf,429.mcf-184B,429.mcf-184B.champsimtrace.xz,50000000,432842847,0.11551500000000001,6492438,6492438,0,0,0,0,0,0,0,0,0,0,0,0,0
spec06,429.mcf,429.mcf-192B,429.mcf-192B.champsimtrace.xz,50000000,395688048,0.126362,7334971,7334971,0,0,0,0,0,0,0,0,0,0,0,0,0
spec06,429.mcf,429.mcf-22B,429.mcf-22B.champsimtrace.xz,50000000,54209864,0.92234099999999997,252765,252765,0,0,0,0,0,0,0,0,0,0,0,0,0
spec06,429.mcf,429.mcf-51B,429.mcf-51B.champsimtrace.xz,50000005,304222260,0.164354,4135420,4135420,0,0,0,0,0,0,0,0,0,0,0,0,0
spec06,433.milc,433.milc-127B,433.milc-127B.champsimtrace.xz,50000005,29343546,1.7039500000000001,59858,59858,0,0,0,0,0,0,0,0,0,0,0,0,0
spec06,433.milc,433.milc-274B,433.milc-274B.champsimtrace.xz,50000002,33431297,1.4956,75068,75068,0,0,0,0,0,0,0,0,0,0,0,0,0
spec06,433.milc,433.milc-337B,433.milc-337B.champsimtrace.xz,50000005,31960417,1.5644400000000001,79220,79220,0,0,0,0,0,0,0,0,0,0,0,0,0
spec06,436.cactusADM,436.cactusADM-1804B,436.cactusADM-1804B.champsimtrace.xz,50000002,25034479,1.99725,1463300,1463300,0,0,0,0,0,0,0,0,0,0,0,0,0
spec06,450.soplex,450.soplex-92B,450.soplex-92B.champsimtrace.xz,50000005,81009706,0.61721000000000004,263886,263886,0,0,0,0,0,0,0,0,0,0,0,0,0
spec06,459.GemsFDTD,459.GemsFDTD-1169B,459.GemsFDTD-1169B.champsimtrace.xz,50000000,46479475,1.0757399999999999,1076106,1076106,0,0,0,0,0,0,0,0,0,0,0,0,0
spec06,459.GemsFDTD,459.GemsFDTD-1211B,459.GemsFDTD-1211B.champsimtrace.xz,50000000,42319039,1.1815,537542,537542,0,0,0,0,0,0,0,0,0,0,0,0,0
spec06,459.GemsFDTD,459.GemsFDTD-1320B,459.GemsFDTD-1320B.champsimtrace.xz,50000004,48566216,1.02952,1090347,1090347,0,0,0,0,0,0,0,0,0,0,0,0,0
spec06,459.GemsFDTD,459.GemsFDTD-765B,459.GemsFDTD-765B.champsimtrace.xz,50000002,51572671,0.96950599999999998,475881,475881,0,0,0,0,0,0,0,0,0,0,0,0,0
spec06,471.omnetpp,471.omnetpp-188B,471.omnetpp-188B.champsimtrace.xz,50000005,106302524,0.470356,1165568,1165568,0,0,0,0,0,0,0,0,0,0,0,0,0
spec06,473.astar,473.astar-359B,473.astar-359B.champsimtrace.xz,50000002,238824993,0.20935799999999999,1635881,1635881,0,0,0,0,0,0,0,0,0,0,0,0,0
spec06,473.astar,473.astar-42B,473.astar-42B.champsimtrace.xz,50000000,79440427,0.62940200000000002,1548957,1548957,0,0,0,0,0,0,0,0,0,0,0,0,0
spec06,483.xalancbmk,483.xalancbmk-127B,483.xalancbmk-127B.champsimtrace.xz,50000001,171141614,0.29215600000000003,207607,207607,0,0,0,0,0,0,0,0,0,0,0,0,0
spec06,483.xalancbmk,483.xalancbmk-716B,483.xalancbmk-716B.champsimtrace.xz,50000001,29148659,1.7153400000000001,427588,427588,0,0,0,0,0,0,0,0,0,0,0,0,0
spec17,602.gcc_s,602.gcc_s-2226B,602.gcc_s-2226B.champsimtrace.xz,50000000,64002574,0.781219,74017,74017,0,0,0,0,0,0,0,0,0,0,0,0,0
spec17,605.mcf_s,605.mcf_s-1536B,605.mcf_s-1536B.champsimtrace.xz,50000002,95569618,0.52317899999999995,1283671,1283671,0,0,0,0,0,0,0,0,0,0,0,0,0
