dataset,workload,num_traces,ipc,stlb_mpki,stlb_miss_rate,demand_data_miss_rate,demand_instruction_miss_rate,l1d_prefetch_miss_rate,l1i_prefetch_miss_rate,other_miss_rate,demand_data_share,demand_instruction_share,l1d_prefetch_share,l1i_prefetch_share,other_share
spec06,429.mcf,4,0.21688607358996917,0,0,0,0,0,0,0,0,0,0,0,0
spec06,433.milc,3,1.5856612201799924,0,0,0,0,0,0,0,0,0,0,0,0
spec06,436.cactusADM,1,1.99725,0,0,0,0,0,0,0,0,0,0,0,0
spec06,450.soplex,1,0.61721000000000004,0,0,0,0,0,0,0,0,0,0,0,0
spec06,459.GemsFDTD,4,1.0612839177115863,0,0,0,0,0,0,0,0,0,0,0,0
spec06,471.omnetpp,1,0.470356,0,0,0,0,0,0,0,0,0,0,0,0
spec06,473.astar,2,0.36300185111924704,0,0,0,0,0,0,0,0,0,0,0,0
spec06,483.xalancbmk,2,0.70791727838780716,0,0,0,0,0,0,0,0,0,0,0,0
spec17,602.gcc_s,1,0.781219,0,0,0,0,0,0,0,0,0,0,0,0
spec17,605.mcf_s,5,0.3583482762058452,0,0,0,0,0,0,0,0,0,0,0,0
spec17,620.omnetpp_s,2,0.5410303476072299,0,0,0,0,0,0,0,0,0,0,0,0
spec17,623.xalancbmk_s,3,0.95134980480070763,0,0,0,0,0,0,0,0,0,0,0,0
spec17,649.fotonik3d_s,1,1.20018,0,0,0,0,0,0,0,0,0,0,0,0
gap,bc,4,0.21748934970526723,0,0,0,0,0,0,0,0,0,0,0,0
gap,bfs,2,0.43638275076130129,0,0,0,0,0,0,0,0,0,0,0,0
ligra,ligra_BellmanFord,1,0.52738200000000002,0,0,0,0,0,0,0,0,0,0,0,0
ligra,ligra_CF,1,1.7638199999999999,0,0,0,0,0,0,0,0,0,0,0,0
ligra,ligra_Components,1,0.43664900000000001,0,0,0,0,0,0,0,0,0,0,0,0
ligra,ligra_PageRank,3,0.55805178694346991,0,0,0,0,0,0,0,0,0,0,0,0
ligra,ligra_PageRankDelta,2,0.65965302825045824,0,0,0,0,0,0,0,0,0,0,0,0
ligra,ligra_Radii,2,0.28519772474548249,0,0,0,0,0,0,0,0,0,0,0,0
qmm,fp,3,0.65559629718683166,0,0,0,0,0,0,0,0,0,0,0,0
qmm,int,8,0.50071799047437426,0,0,0,0,0,0,0,0,0,0,0,0
qmm,srv,19,1.7978760348606746,0,0,0,0,0,0,0,0,0,0,0,0
parsec,canneal,6,0.43143504515950243,0,0,0,0,0,0,0,0,0,0,0,0
spec06,gmean_spec06,18,0.64995997089809909,0,0,0,0,0,0,0,0,0,0,0,0
spec17,gmean_spec17,12,0.57820806427757221,0,0,0,0,0,0,0,0,0,0,0,0
gap,gmean_gap,6,0.27431392547188815,0,0,0,0,0,0,0,0,0,0,0,0
ligra,gmean_ligra,10,0.54924470385082846,0,0,0,0,0,0,0,0,0,0,0,0
qmm,gmean_qmm,30,1.1558540672309932,0,0,0,0,0,0,0,0,0,0,0,0
parsec,gmean_parsec,6,0.43143504515950243,0,0,0,0,0,0,0,0,0,0,0,0
xsbench,gmean_xsbench,28,0.26213965774265452,0,0,0,0,0,0,0,0,0,0,0,0
all,gmean_all,110,0.54746974620085065,0,0,0,0,0,0,0,0,0,0,0,0
