dataset,workload,trace_tag,trace_name,instructions,cycles,ipc,stlb_access,stlb_hit,stlb_miss,stlb_mpki,stlb_miss_rate,demand_data_miss,demand_data_miss_rate,demand_instruction_miss,demand_instruction_miss_rate,l1d_prefetch_miss,l1d_prefetch_miss_rate,l1i_prefetch_miss,l1i_prefetch_miss_rate,other_miss,other_miss_rate
spec06,429.mcf,429.mcf-184B,429.mcf-184B.champsimtrace.xz,50000003,433894160,0.115235,6492474,6492374,100,0.002,1.54024e-05,0,0,0,0,100,1.54024e-05,0,0,0,0
spec06,429.mcf,429.mcf-192B,429.mcf-192B.champsimtrace.xz,50000000,394733196,0.126668,7334997,7334687,310,0.0061999999999999998,4.2263099999999999e-05,0,0,0,0,310,4.2263099999999999e-05,0,0,0,0
spec06,429.mcf,429.mcf-22B,429.mcf-22B.champsimtrace.xz,50000004,54253937,0.92159199999999997,252819,244667,8152,0.16303999999999999,0.032244399999999999,0,0,0,0,8152,0.032244399999999999,0,0,0,0
spec06,429.mcf,429.mcf-51B,429.mcf-51B.champsimtrace.xz,50000005,304045774,0.16444900000000001,4127520,4126607,913,0.018259999999999998,0.00022119800000000001,0,0,0,0,913,0.00022119800000000001,0,0,0,0
spec06,433.milc,433.milc-127B,433.milc-127B.champsimtrace.xz,50000000,30354874,1.6471800000000001,59831,236,59595,1.1919,0.99605600000000005,0,0,0,0,59595,0.99605600000000005,0,0,0,0
spec06,433.milc,433.milc-274B,433.milc-274B.champsimtrace.xz,50000002,33821035,1.47837,74886,19019,55867,1.11734,0.746027,0,0,0,0,55867,0.746027,0,0,0,0
spec06,433.milc,433.milc-337B,433.milc-337B.champsimtrace.xz,50000005,31900485,1.5673699999999999,78993,739,78254,1.56508,0.990645,0,0,0,0,78254,0.990645,0,0,0,0
spec06,436.cactusADM,436.cactusADM-1804B,436.cactusADM-1804B.champsimtrace.xz,50000002,25029796,1.99762,1449744,1424566,25178,0.50356000000000001,0.017367199999999999,0,0,0,0,25178,0.017367199999999999,0,0,0,0
spec06,450.soplex,450.soplex-92B,450.soplex-92B.champsimtrace.xz,50000005,81233240,0.61551199999999995,263225,247623,15602,0.31203999999999998,0.059272499999999999,0,0,0,0,15602,0.059272499999999999,0,0,0,0
spec06,459.GemsFDTD,459.GemsFDTD-1169B,459.GemsFDTD-1169B.champsimtrace.xz,50000001,46562828,1.07382,1077251,1015432,61819,1.23638,0.057385899999999997,0,0,0,0,61819,0.057385899999999997,0,0,0,0
spec06,459.GemsFDTD,459.GemsFDTD-1211B,459.GemsFDTD-1211B.champsimtrace.xz,50000003,42453204,1.17777,528422,415628,112794,2.2558799999999999,0.213454,0,0,0,0,112794,0.213454,0,0,0,0
spec06,459.GemsFDTD,459.GemsFDTD-1320B,459.GemsFDTD-1320B.champsimtrace.xz,50000002,48576835,1.0293000000000001,1093117,1090013,3104,0.062080000000000003,0.0028395899999999999,0,0,0,0,3104,0.0028395899999999999,0,0,0,0
spec06,459.GemsFDTD,459.GemsFDTD-765B,459.GemsFDTD-765B.champsimtrace.xz,50000000,52015160,0.96125799999999995,453294,227308,225986,4.5197200000000004,0.49854199999999999,0,0,0,0,225986,0.49854199999999999,0,0,0,0
spec06,471.omnetpp,471.omnetpp-188B,471.omnetpp-188B.champsimtrace.xz,50000005,107066566,0.466999,1151907,1078196,73711,1.4742200000000001,0.063990400000000003,0,0,0,0,73711,0.063990400000000003,0,0,0,0
spec06,473.astar,473.astar-359B,473.astar-359B.champsimtrace.xz,50000002,239145603,0.20907800000000001,1635128,1623829,11299,0.22597999999999999,0.0069101600000000003,0,0,0,0,11299,0.0069101600000000003,0,0,0,0
spec06,473.astar,473.astar-42B,473.astar-42B.champsimtrace.xz,50000000,79650145,0.627745,1545604,1374991,170613,3.4122599999999998,0.110386,0,0,0,0,170613,0.110386,0,0,0,0
spec06,483.xalancbmk,483.xalancbmk-127B,483.xalancbmk-127B.champsimtrace.xz,50000001,171160649,0.29212300000000002,207665,205764,1901,0.038019999999999998,0.0091541699999999997,0,0,0,0,1901,0.0091541699999999997,0,0,0,0
spec06,483.xalancbmk,483.xalancbmk-716B,483.xalancbmk-716B.champsimtrace.xz,50000001,29162969,1.7144999999999999,427826,424536,3290,0.065799999999999997,0.0076900400000000004,0,0,0,0,3290,0.0076900400000000004,0,0,0,0
spec17,602.gcc_s,602.gcc_s-2226B,602.gcc_s-2226B.champsimtrace.xz,50000001,68221133,0.73291099999999998,74380,14124,60256,1.20512,0.81011,0,0,0,0,60256,0.81011,0,0,0,0
spec17,605.mcf_s,605.mcf_s-1536B,605.mcf_s-1536B.champsimtrace.xz,50000005,95498586,0.52356800000000003,1283671,1282480,1191,0.023820000000000001,0.00092780800000000002,0,0,0,0,1191,0.00092780800000000002,0,0,0,0
spec17,605.mcf_s,605.mcf_s-1644B,605.mcf_s-1644B.champsimtrace.xz,50000002,173611448,0.287999,1477561,1447359,30202,0.60404000000000002,0.020440400000000001,0,0,0,0,30202,0.020440400000000001,0,0,0,0
spec17,605.mcf_s,605.mcf_s-472B,605.mcf_s-472B.champsimtrace.xz,50000001,81856899,0.61082199999999998,153266,94450,58816,1.17632,0.38375100000000001,0,0,0,0,58816,0.38375100000000001,0,0,0,0
spec17,605.mcf_s,605.mcf_s-782B,605.mcf_s-782B.champsimtrace.xz,50000000,336724696,0.14848900000000001,4383301,4339354,43947,0.87894000000000005,0.010026,0,0,0,0,43947,0.010026,0,0,0,0
spec17,605.mcf_s,605.mcf_s-994B,605.mcf_s-994B.champsimtrace.xz,50000001,116939443,0.42757200000000001,810678,809466,1212,0.024240000000000001,0.00149504,0,0,0,0,1212,0.00149504,0,0,0,0
spec17,620.omnetpp_s,620.omnetpp_s-141B,620.omnetpp_s-141B.champsimtrace.xz,50000000,97226781,0.514262,1129401,1120776,8625,0.17249999999999999,0.0076367900000000001,0,0,0,0,8625,0.0076367900000000001,0,0,0,0
spec17,620.omnetpp_s,620.omnetpp_s-874B,620.omnetpp_s-874B.champsimtrace.xz,50000000,88037458,0.56794,1060773,1048604,12169,0.24338000000000001,0.011471800000000001,0,0,0,0,12169,0.011471800000000001,0,0,0,0
spec17,623.xalancbmk_s,623.xalancbmk_s-10B,623.xalancbmk_s-10B.champsimtrace.xz,50000000,68604692,0.72881300000000004,375723,374049,1674,0.033480000000000003,0.0044554099999999999,0,0,0,0,1674,0.0044554099999999999,0,0,0,0
spec17,623.xalancbmk_s,623.xalancbmk_s-592B,623.xalancbmk_s-592B.champsimtrace.xz,50000001,46899951,1.0661,1242136,1240418,1718,0.034360000000000002,0.0013831,0,0,0,0,1718,0.0013831,0,0,0,0
