dataset,workload,trace_tag,trace_name,instructions,cycles,ipc,stlb_access,stlb_hit,stlb_miss,stlb_mpki,stlb_miss_rate,demand_data_miss,demand_data_miss_rate,demand_instruction_miss,demand_instruction_miss_rate,l1d_prefetch_miss,l1d_prefetch_miss_rate,l1i_prefetch_miss,l1i_prefetch_miss_rate,other_miss,other_miss_rate
spec06,429.mcf,429.mcf-184B,429.mcf-184B.champsimtrace.xz,50000003,453543517,0.11024299999999999,6491654,6207091,284563,5.6912599999999998,0.043835199999999998,284563,0.043835199999999998,0,0,0,0,0,0,0,0
spec06,429.mcf,429.mcf-192B,429.mcf-192B.champsimtrace.xz,50000001,409370442,0.122139,7334122,7208621,125501,2.5100199999999999,0.017111899999999999,125501,0.017111899999999999,0,0,0,0,0,0,0,0
spec06,429.mcf,429.mcf-22B,429.mcf-22B.champsimtrace.xz,50000004,60332053,0.82874700000000001,248926,94553,154373,3.0874600000000001,0.62015600000000004,154373,0.62015600000000004,0,0,0,0,0,0,0,0
spec06,429.mcf,429.mcf-51B,429.mcf-51B.champsimtrace.xz,50000005,310997826,0.160773,4135723,3576703,559020,11.180400000000001,0.13516900000000001,559020,0.13516900000000001,0,0,0,0,0,0,0,0
spec06,433.milc,433.milc-127B,433.milc-127B.champsimtrace.xz,50000000,28981870,1.72522,59871,59800,71,0.00142,0.0011858800000000001,67,0.00111907,4,6.68103e-05,0,0,0,0,0,0
spec06,433.milc,433.milc-274B,433.milc-274B.champsimtrace.xz,50000005,33451756,1.4946900000000001,75245,75166,79,0.00158,0.0010499000000000001,74,0.00098345399999999993,5,6.6449600000000002e-05,0,0,0,0,0,0
spec06,433.milc,433.milc-337B,433.milc-337B.champsimtrace.xz,50000003,31896449,1.5675699999999999,79135,79035,100,0.002,0.00126366,99,0.00125103,1,1.26366e-05,0,0,0,0,0,0
spec06,436.cactusADM,436.cactusADM-1804B,436.cactusADM-1804B.champsimtrace.xz,50000001,26569961,1.88182,1462131,1006779,455352,9.1070399999999996,0.31142999999999998,455352,0.31142999999999998,0,0,0,0,0,0,0,0
spec06,450.soplex,450.soplex-92B,450.soplex-92B.champsimtrace.xz,50000000,83517988,0.59867300000000001,263999,222444,41555,0.83109999999999995,0.15740599999999999,41546,0.15737200000000001,9,3.4091000000000003e-05,0,0,0,0,0,0
spec06,459.GemsFDTD,459.GemsFDTD-1169B,459.GemsFDTD-1169B.champsimtrace.xz,50000004,53726195,0.93064499999999994,1081724,979177,102547,2.0509400000000002,0.094799599999999998,102545,0.094797699999999999,2,1.8489e-06,0,0,0,0,0,0
spec06,459.GemsFDTD,459.GemsFDTD-1211B,459.GemsFDTD-1211B.champsimtrace.xz,50000005,42501084,1.1764399999999999,537274,534401,2873,0.057459999999999997,0.0053473599999999998,2872,0.0053455000000000004,1,1.86125e-06,0,0,0,0,0,0
spec06,459.GemsFDTD,459.GemsFDTD-1320B,459.GemsFDTD-1320B.champsimtrace.xz,50000000,58722738,0.85145899999999997,1103607,1040045,63562,1.2712399999999999,0.057594800000000002,63560,0.057592999999999998,2,1.81224e-06,0,0,0,0,0,0
spec06,459.GemsFDTD,459.GemsFDTD-765B,459.GemsFDTD-765B.champsimtrace.xz,50000000,51659796,0.96787100000000004,479740,474364,5376,0.10752,0.0112061,5374,0.011201900000000001,2,4.1689199999999997e-06,0,0,0,0,0,0
spec06,471.omnetpp,471.omnetpp-188B,471.omnetpp-188B.champsimtrace.xz,50000005,114724059,0.43582799999999999,1159271,980821,178450,3.569,0.15393299999999999,178111,0.153641,339,0.00029242500000000002,0,0,0,0,0,0
spec06,473.astar,473.astar-359B,473.astar-359B.champsimtrace.xz,50000002,256182296,0.19517399999999999,1633768,837051,796717,15.9343,0.48765599999999998,796717,0.48765599999999998,0,0,0,0,0,0,0,0
spec06,473.astar,473.astar-42B,473.astar-42B.champsimtrace.xz,50000000,80274587,0.62286200000000003,1550007,1518682,31325,0.62649999999999995,0.020209600000000001,31317,0.020204400000000001,8,5.1612699999999996e-06,0,0,0,0,0,0
spec06,483.xalancbmk,483.xalancbmk-127B,483.xalancbmk-127B.champsimtrace.xz,50000001,180060746,0.27768399999999999,207616,31718,175898,3.51796,0.84722799999999998,173091,0.83370699999999998,2807,0.0135202,0,0,0,0,0,0
spec06,483.xalancbmk,483.xalancbmk-716B,483.xalancbmk-716B.champsimtrace.xz,50000001,33837745,1.4776400000000001,427657,376767,50890,1.0178,0.11899700000000001,50294,0.117604,596,0.00139364,0,0,0,0,0,0
spec17,602.gcc_s,602.gcc_s-2226B,602.gcc_s-2226B.champsimtrace.xz,50000001,66408176,0.752919,74268,64169,10099,0.20197999999999999,0.13598099999999999,10099,0.13598099999999999,0,0,0,0,0,0,0,0
spec17,605.mcf_s,605.mcf_s-1536B,605.mcf_s-1536B.champsimtrace.xz,50000003,100421463,0.49790200000000001,1282741,162915,1119826,22.3965,0.87299499999999997,1119826,0.87299499999999997,0,0,0,0,0,0,0,0
spec17,605.mcf_s,605.mcf_s-1644B,605.mcf_s-1644B.champsimtrace.xz,50000002,247276993,0.20220199999999999,1454638,281183,1173455,23.469100000000001,0.80669900000000005,1173455,0.80669900000000005,0,0,0,0,0,0,0,0
spec17,605.mcf_s,605.mcf_s-472B,605.mcf_s-472B.champsimtrace.xz,50000002,83109135,0.60161900000000001,152381,144272,8109,0.16217999999999999,0.0532153,8109,0.0532153,0,0,0,0,0,0,0,0
spec17,605.mcf_s,605.mcf_s-782B,605.mcf_s-782B.champsimtrace.xz,50000000,339524968,0.14726500000000001,4386526,4370698,15828,0.31656000000000001,0.0036083199999999999,15828,0.0036083199999999999,0,0,0,0,0,0,0,0
spec17,605.mcf_s,605.mcf_s-994B,605.mcf_s-994B.champsimtrace.xz,50000000,146367762,0.34160499999999999,809888,370458,439430,8.7886000000000006,0.54258099999999998,439430,0.54258099999999998,0,0,0,0,0,0,0,0
spec17,620.omnetpp_s,620.omnetpp_s-141B,620.omnetpp_s-141B.champsimtrace.xz,50000003,110033256,0.45440799999999998,1126071,883475,242596,4.8519199999999998,0.21543599999999999,241728,0.21466499999999999,868,0.000770822,0,0,0,0,0,0
spec17,620.omnetpp_s,620.omnetpp_s-874B,620.omnetpp_s-874B.champsimtrace.xz,50000004,100224891,0.49887799999999999,1057856,847565,210291,4.2058200000000001,0.19878999999999999,209159,0.19772000000000001,1132,0.0010700900000000001,0,0,0,0,0,0
spec17,623.xalancbmk_s,623.xalancbmk_s-10B,623.xalancbmk_s-10B.champsimtrace.xz,50000000,73749631,0.67796900000000004,375733,115222,260511,5.2102199999999996,0.69334099999999999,257871,0.68631399999999998,2640,0.0070262700000000003,0,0,0,0,0,0
spec17,623.xalancbmk_s,623.xalancbmk_s-592B,623.xalancbmk_s-592B.champsimtrace.xz,50000000,47957600,1.0425899999999999,1241849,1170277,71572,1.43144,0.057633400000000001,69997,0.056365100000000001,1575,0.0012682699999999999,0,0,0,0,0,0
spec17,623.xalancbmk_s,623.xalancbmk_s-700B,623.xalancbmk_s-700B.champsimtrace.xz,50000000,46649488,1.07182,1466677,1388735,77942,1.55884,0.053141899999999999,77033,0.052522100000000002,909,0.00061976800000000003,0,0,0,0,0,0
spec17,649.fotonik3d_s,649.fotonik3d_s-10881B,649.fotonik3d_s-10881B.champsimtrace.xz,50000003,41663880,1.20008,375938,375284,654,0.01308,0.0017396499999999999,654,0.0017396499999999999,0,0,0,0,0,0,0,0
gap,bc,bc-0.trace,bc-0.trace.champsimtrace.xz,50000005,273755706,0.182645,1413958,760946,653012,13.0602,0.46183299999999999,653012,0.46183299999999999,0,0,0,0,0,0,0,0
gap,bc,bc-12.trace,bc-12.trace.champsimtrace.xz,50000000,299172742,0.167128,1700632,943000,757632,15.1526,0.44550000000000001,757632,0.44550000000000001,0,0,0,0,0,0,0,0
gap,bc,bc-3.trace,bc-3.trace.champsimtrace.xz,50000005,222127891,0.22509599999999999,1895662,1327150,568512,11.370200000000001,0.299902,568512,0.299902,0,0,0,0,0,0,0,0
gap,bc,bc-5.trace,bc-5.trace.champsimtrace.xz,50000003,160138070,0.31223099999999998,1178766,487461,691305,13.8261,0.58646500000000001,691305,0.58646500000000001,0,0,0,0,0,0,0,0
gap,bfs,bfs-3.trace,bfs-3.trace.champsimtrace.xz,50000001,141798710,0.35261300000000001,58060,25126,32934,0.65868000000000004,0.567241,32934,0.567241,0,0,0,0,0,0,0,0
gap,bfs,bfs-8.trace,bfs-8.trace.champsimtrace.xz,50000002,99574591,0.50213600000000003,112432,56340,56092,1.1218399999999999,0.49889699999999998,56092,0.49889699999999998,0,0,0,0,0,0,0,0
ligra,ligra_BellmanFord,ligra_BellmanFord.com-lj.ungraph.gcc_6.3.0_O3.drop_33750M.length_250M,ligra_BellmanFord.com-lj.ungraph.gcc_6.3.0_O3.drop_33750M.length_250M.champsimtrace.xz,50000003,99104448,0.50451800000000002,988906,666064,322842,6.4568399999999997,0.32646399999999998,322842,0.32646399999999998,0,0,0,0,0,0,0,0
ligra,ligra_CF,ligra_CF.com-lj.ungraph.gcc_6.3.0_O3.drop_184750M.length_250M,ligra_CF.com-lj.ungraph.gcc_6.3.0_O3.drop_184750M.length_250M.champsimtrace.xz,50000005,40248512,1.2422800000000001,145938,81669,64269,1.28538,0.440386,64269,0.440386,0,0,0,0,0,0,0,0
ligra,ligra_Components,ligra_Components.com-lj.ungraph.gcc_6.3.0_O3.drop_6250M.length_250M,ligra_Components.com-lj.ungraph.gcc_6.3.0_O3.drop_6250M.length_250M.champsimtrace.xz,50000001,114437256,0.436921,55804,39461,16343,0.32685999999999998,0.29286400000000001,16343,0.29286400000000001,0,0,0,0,0,0,0,0
ligra,ligra_PageRank,ligra_PageRank.com-lj.ungraph.gcc_6.3.0_O3.drop_21750M.length_250M,ligra_PageRank.com-lj.ungraph.gcc_6.3.0_O3.drop_21750M.length_250M.champsimtrace.xz,50000003,78007362,0.64096500000000001,4029166,2696038,1333128,26.662600000000001,0.33086900000000002,1333128,0.33086900000000002,0,0,0,0,0,0,0,0
ligra,ligra_PageRank,ligra_PageRank.com-lj.ungraph.gcc_6.3.0_O3.drop_60750M.length_250M,ligra_PageRank.com-lj.ungraph.gcc_6.3.0_O3.drop_60750M.length_250M.champsimtrace.xz,50000000,108811866,0.459509,1745614,441654,1303960,26.0792,0.74699199999999999,1303959,0.74699199999999999,1,5.7286400000000001e-07,0,0,0,0,0,0
ligra,ligra_PageRank,ligra_PageRank.com-lj.ungraph.gcc_6.3.0_O3.drop_79500M.length_250M,ligra_PageRank.com-lj.ungraph.gcc_6.3.0_O3.drop_79500M.length_250M.champsimtrace.xz,50000005,92413102,0.541049,3290737,1673737,1617000,32.340000000000003,0.49137900000000001,1617000,0.49137900000000001,0,0,0,0,0,0,0,0
ligra,ligra_PageRankDelta,ligra_PageRankDelta.com-lj.ungraph.gcc_6.3.0_O3.drop_24500M.length_250M,ligra_PageRankDelta.com-lj.ungraph.gcc_6.3.0_O3.drop_24500M.length_250M.champsimtrace.xz,50000003,68559551,0.72929299999999997,823431,461360,362071,7.2414199999999997,0.43970999999999999,362071,0.43970999999999999,0,0,0,0,0,0,0,0
ligra,ligra_PageRankDelta,ligra_PageRankDelta.com-lj.ungraph.gcc_6.3.0_O3.drop_52000M.length_250M,ligra_PageRankDelta.com-lj.ungraph.gcc_6.3.0_O3.drop_52000M.length_250M.champsimtrace.xz,50000001,88953751,0.56208999999999998,382080,204611,177469,3.5493800000000002,0.46448099999999998,177469,0.46448099999999998,0,0,0,0,0,0,0,0
ligra,ligra_Radii,ligra_Radii.com-lj.ungraph.gcc_6.3.0_O3.drop_25000M.length_250M,ligra_Radii.com-lj.ungraph.gcc_6.3.0_O3.drop_25000M.length_250M.champsimtrace.xz,50000000,172598459,0.28969,1183029,255999,927030,18.540600000000001,0.78360700000000005,927026,0.78360399999999997,4,3.3811499999999998e-06,0,0,0,0,0,0
ligra,ligra_Radii,ligra_Radii.com-lj.ungraph.gcc_6.3.0_O3.drop_36000M.length_250M,ligra_Radii.com-lj.ungraph.gcc_6.3.0_O3.drop_36000M.length_250M.champsimtrace.xz,50000000,188648590,0.26504299999999997,1832224,1690330,141894,2.8378800000000002,0.077443600000000001,141894,0.077443600000000001,0,0,0,0,0,0,0,0
