dataset,workload,num_traces,ipc,stlb_mpki,stlb_miss_rate,demand_data_miss_rate,demand_instruction_miss_rate,l1d_prefetch_miss_rate,l1i_prefetch_miss_rate,other_miss_rate,demand_data_share,demand_instruction_share,l1d_prefetch_share,l1i_prefetch_share,other_share
spec06,429.mcf,4,0.20580698810219622,5.6172849999999999,0.20406802500000001,0.20406802500000001,0,0,0,0,1,0,0,0,0
spec06,433.milc,3,1.5929697135910228,0.0016666666666666668,0.0011664800000000001,0.0011178513333333334,4.8632166666666665e-05,0,0,0,0.95679027753015988,0.043209722469840138,0,0,0
spec06,436.cactusADM,1,1.88182,9.1070399999999996,0.31142999999999998,0.31142999999999998,0,0,0,0,1,0,0,0,0
spec06,450.soplex,1,0.59867300000000001,0.83109999999999995,0.15740599999999999,0.15737200000000001,3.4091000000000003e-05,0,0,0,0.99978341956443273,0.00021658043556732043,0,0,0
spec06,459.GemsFDTD,4,0.97461650577018832,0.87179000000000006,0.042236965000000001,0.042234525000000002,2.4228275000000001e-06,0,0,0,0.99980723484400258,0.00019276515599736654,0,0,0
spec06,471.omnetpp,1,0.43582799999999999,3.569,0.15393299999999999,0.153641,0.00029242500000000002,0,0,0,0.99810030820958251,0.0018996917904174839,0,0,0
spec06,473.astar,2,0.34866383234858184,8.2804000000000002,0.25393280000000001,0.25393019999999999,2.5806349999999998e-06,0,0,0,0.99987230646448522,0.00012769353551476457,0,0,0
spec06,483.xalancbmk,2,0.64055990021230647,2.2678799999999999,0.4831125,0.47565550000000001,0.0074569199999999997,0,0,0,0.98616517661483205,0.013834823385168017,0,0,0
spec17,602.gcc_s,1,0.752919,0.20197999999999999,0.13598099999999999,0.13598099999999999,0,0,0,0,1,0,0,0,0
spec17,605.mcf_s,5,0.31388815284119165,11.026588,0.45581972400000004,0.45581972400000004,0,0,0,0,1,0,0,0,0
spec17,620.omnetpp_s,2,0.47612409540370876,4.5288699999999995,0.20711299999999999,0.2061925,0.00092045600000000005,0,0,0,0.99551950906055375,0.0044804909394461755,0,0,0
spec17,623.xalancbmk_s,3,0.91162259885413477,2.7334999999999998,0.26803876666666665,0.26506706666666663,0.0029714360000000005,0,0,0,0.98539924676760082,0.014600753232399143,0,0,0
spec17,649.fotonik3d_s,1,1.20008,0.01308,0.0017396499999999999,0.0017396499999999999,0,0,0,0,1,0,0,0,0
gap,bc,4,0.21521631962225934,13.352275000000001,0.44842500000000002,0.44842500000000002,0,0,0,0,1,0,0,0,0
gap,bfs,2,0.42078460210421198,0.89026000000000005,0.53306900000000002,0.53306900000000002,0,0,0,0,1,0,0,0,0
ligra,ligra_BellmanFord,1,0.50451800000000002,6.4568399999999997,0.32646399999999998,0.32646399999999998,0,0,0,0,1,0,0,0,0
ligra,ligra_CF,1,1.2422800000000001,1.28538,0.440386,0.440386,0,0,0,0,1,0,0,0,0
ligra,ligra_Components,1,0.436921,0.32685999999999998,0.29286400000000001,0.29286400000000001,0,0,0,0,1,0,0,0,0
ligra,ligra_PageRank,3,0.54215272545999305,28.360600000000002,0.52307999999999999,0.52307999999999999,1.9095466666666666e-07,0,0,0,0.99999974436843664,2.5563156334038879e-07,0,0,0
ligra,ligra_PageRankDelta,2,0.64025643485247374,5.3954000000000004,0.45209549999999998,0.45209549999999998,0,0,0,0,1,0,0,0,0
ligra,ligra_Radii,2,0.27709259584117363,10.689240000000002,0.4305253,0.43052380000000001,1.6905749999999999e-06,0,0,0,0.99999784257251645,2.1574274834687118e-06,0,0,0
qmm,fp,3,0.64025791595834303,1.2480533333333332,0.13720033333333334,0.13694833333333334,0.00025223566666666665,0,0,0,0.99819344255656828,0.0018065574434317133,0,0,0
qmm,int,8,0.47190002879652237,6.0736875000000001,0.48025792499999997,0.4797920625,0.00046588235624999997,0,0,0,0.99728728017497037,0.0027127198250296927,0,0,0
qmm,srv,19,1.6715577535976209,1.8703031578947367,0.11217805789473684,0.071689199999999995,0.040488884210526314,0,0,0,0.63983537840014548,0.36016462159985452,0,0,0
parsec,canneal,6,0.40315388428872884,6.5086233333333334,0.38764566666666661,0.38761416666666665,3.1507733333333337e-05,0,0,0,0.99989505174363025,0.00010494825636968861,0,0,0
spec06,gmean_spec06,18,0.61539837779653728,3.3647222222222219,0.17142105555555556,0.17056545300000001,0.00085561694888888892,0,0,0,0.99108658143884099,0.0089134185611589034,0,0,0
spec17,gmean_spec17,12,0.52831533945453002,6.0505199999999997,0.30293013083333337,0.30203378916666668,0.00089626833333333346,0,0,0,0.99560306320199254,0.0043969367980074819,0,0,0
gap,gmean_gap,6,0.26911428203393445,9.1982699999999991,0.47663966666666663,0.47663966666666663,0,0,0,0,1,0,0,0,0
ligra,gmean_ligra,10,0.51734728708056454,12.532016,0.43941955999999999,0.43941926000000003,3.9540139999999995e-07,0,0,0,0.99999949182503423,5.0817496569585894e-07,0,0,0
qmm,gmean_qmm,30,1.0838579681544491,2.9289806666666669,0.21283491666666665,0.18704254333333334,0.025792418861666666,0,0,0,0.77099169195574102,0.22900830804425895,0,0,0
parsec,gmean_parsec,6,0.40315388428872884,6.5086233333333334,0.38764566666666661,0.38761416666666665,3.1507733333333337e-05,0,0,0,0.99989505174363025,0.00010494825636968861,0,0,0
xsbench,gmean_xsbench,28,0.20642314053894092,21.771385714285714,0.74041846428571423,0.74041603571428571,2.4968149999999997e-06,0,0,0,0.99998525782029124,1.4742179708761617e-05,0,0,0
all,gmean_all,110,0.49175335154442695,9.5472816363636372,0.39470375154545451,0.38742931385454549,0.0072744709287636362,0,0,0,0.93559544027886865,0.064404559721131266,0,0,0
