dataset,workload,trace_tag,trace_name,instructions,cycles,ipc,stlb_access,stlb_hit,stlb_miss,stlb_mpki,stlb_miss_rate,demand_data_miss,demand_data_miss_rate,demand_instruction_miss,demand_instruction_miss_rate,l1d_prefetch_miss,l1d_prefetch_miss_rate,l1i_prefetch_miss,l1i_prefetch_miss_rate,other_miss,other_miss_rate
spec06,429.mcf,429.mcf-184B,429.mcf-184B.champsimtrace.xz,50000003,452604496,0.110472,6491496,6206844,284652,5.6930399999999999,0.04385,284569,0.0438372,0,0,83,1.2785999999999999e-05,0,0,0,0
spec06,429.mcf,429.mcf-192B,429.mcf-192B.champsimtrace.xz,50000000,409051021,0.122234,7333782,7207966,125816,2.5163199999999999,0.017155699999999999,125493,0.017111600000000001,0,0,323,4.4042799999999998e-05,0,0,0,0
spec06,429.mcf,429.mcf-22B,429.mcf-22B.champsimtrace.xz,50000001,60369049,0.82823899999999995,248708,86225,162483,3.24966,0.653308,154403,0.62082000000000004,0,0,8080,0.0324879,0,0,0,0
spec06,429.mcf,429.mcf-51B,429.mcf-51B.champsimtrace.xz,50000005,310192643,0.16119,4118771,3559021,559750,11.195,0.135902,558752,0.13566,0,0,998,0.00024230500000000001,0,0,0,0
spec06,433.milc,433.milc-127B,433.milc-127B.champsimtrace.xz,50000000,29942576,1.6698599999999999,59837,146,59691,1.1938200000000001,0.99756,76,0.00127012,4,6.6848300000000002e-05,59611,0.99622299999999997,0,0,0,0
spec06,433.milc,433.milc-274B,433.milc-274B.champsimtrace.xz,50000002,33876112,1.47597,74852,18900,55952,1.11904,0.747502,76,0.00101534,5,6.6798500000000001e-05,55871,0.74641999999999997,0,0,0,0
spec06,433.milc,433.milc-337B,433.milc-337B.champsimtrace.xz,50000002,31972580,1.5638399999999999,79094,759,78335,1.5667,0.99040399999999995,100,0.00126432,1,1.2643199999999999e-05,78234,0.98912699999999998,0,0,0,0
spec06,436.cactusADM,436.cactusADM-1804B,436.cactusADM-1804B.champsimtrace.xz,50000001,26597020,1.87991,1459139,1001123,458016,9.1603200000000005,0.31389499999999998,453427,0.31075000000000003,0,0,4589,0.0031450100000000002,0,0,0,0
spec06,450.soplex,450.soplex-92B,450.soplex-92B.champsimtrace.xz,50000000,83455499,0.59912200000000004,263658,206323,57335,1.1467000000000001,0.21745999999999999,41648,0.15796199999999999,9,3.4135099999999998e-05,15678,0.0594634,0,0,0,0
spec06,459.GemsFDTD,459.GemsFDTD-1169B,459.GemsFDTD-1169B.champsimtrace.xz,50000004,53751049,0.93021399999999999,1080617,916267,164350,3.2869999999999999,0.152089,102732,0.095067899999999997,2,1.8507900000000001e-06,61616,0.057019300000000002,0,0,0,0
spec06,459.GemsFDTD,459.GemsFDTD-1211B,459.GemsFDTD-1211B.champsimtrace.xz,50000002,42611982,1.1733800000000001,530475,414603,115872,2.3174399999999999,0.21843099999999999,2988,0.0056326900000000001,1,1.8851e-06,112883,0.21279600000000001,0,0,0,0
spec06,459.GemsFDTD,459.GemsFDTD-1320B,459.GemsFDTD-1320B.champsimtrace.xz,50000002,58802399,0.85030499999999998,1105166,1038338,66828,1.33656,0.0604687,63536,0.057489999999999999,2,1.8096800000000001e-06,3290,0.00297693,0,0,0,0
spec06,459.GemsFDTD,459.GemsFDTD-765B,459.GemsFDTD-765B.champsimtrace.xz,50000002,52139917,0.95895799999999998,455508,223374,232134,4.6426800000000004,0.50961599999999996,5730,0.012579399999999999,2,4.3907000000000002e-06,226402,0.49703199999999997,0,0,0,0
