dataset,workload,trace_tag,trace_name,instructions,cycles,ipc,stlb_access,stlb_hit,stlb_miss,stlb_mpki,stlb_miss_rate,demand_data_miss,demand_data_miss_rate,demand_instruction_miss,demand_instruction_miss_rate,l1d_prefetch_miss,l1d_prefetch_miss_rate,l1i_prefetch_miss,l1i_prefetch_miss_rate,other_miss,other_miss_rate
spec06,403.gcc,403.gcc-17B,403.gcc-17B.champsimtrace.xz,100000004,139459172,0.71705600000000003,1143899,1143899,0,0,0,0,0,0,0,0,0,0,0,0,0
spec06,429.mcf,429.mcf-184B,429.mcf-184B.champsimtrace.xz,100000000,781178147,0.12801199999999999,9976344,9976344,0,0,0,0,0,0,0,0,0,0,0,0,0
spec06,429.mcf,429.mcf-192B,429.mcf-192B.champsimtrace.xz,100000005,804696936,0.12427000000000001,14595857,14595857,0,0,0,0,0,0,0,0,0,0,0,0,0
spec06,429.mcf,429.mcf-22B,429.mcf-22B.champsimtrace.xz,100000002,117627617,0.85014100000000004,526615,526615,0,0,0,0,0,0,0,0,0,0,0,0,0
spec06,429.mcf,429.mcf-51B,429.mcf-51B.champsimtrace.xz,100000005,612605161,0.16323699999999999,7967006,7967006,0,0,0,0,0,0,0,0,0,0,0,0,0
spec06,433.milc,433.milc-127B,433.milc-127B.champsimtrace.xz,100000001,70828118,1.41187,218211,218211,0,0,0,0,0,0,0,0,0,0,0,0,0
spec06,433.milc,433.milc-274B,433.milc-274B.champsimtrace.xz,100000004,55313998,1.80786,126189,126189,0,0,0,0,0,0,0,0,0,0,0,0,0
spec06,433.milc,433.milc-337B,433.milc-337B.champsimtrace.xz,100000000,66291572,1.5084900000000001,197623,197623,0,0,0,0,0,0,0,0,0,0,0,0,0
spec06,436.cactusADM,436.cactusADM-1804B,436.cactusADM-1804B.champsimtrace.xz,100000003,49802113,2.0079500000000001,2793515,2793515,0,0,0,0,0,0,0,0,0,0,0,0,0
spec06,450.soplex,450.soplex-247B,450.soplex-247B.champsimtrace.xz,100000000,160665643,0.62241100000000005,805197,805197,0,0,0,0,0,0,0,0,0,0,0,0,0
