dataset,workload,num_traces,ipc,stlb_mpki,stlb_miss_rate,demand_data_miss_rate,demand_instruction_miss_rate,l1d_prefetch_miss_rate,l1i_prefetch_miss_rate,other_miss_rate,demand_data_share,demand_instruction_share,l1d_prefetch_share,l1i_prefetch_share,other_share
spec06,403.gcc,1,0.71705600000000003,0,0,0,0,0,0,0,0,0,0,0,0
spec06,429.mcf,4,0.216761245027069,0,0,0,0,0,0,0,0,0,0,0,0
spec06,433.milc,3,1.567354784177228,0,0,0,0,0,0,0,0,0,0,0,0
spec06,436.cactusADM,1,2.0079500000000001,0,0,0,0,0,0,0,0,0,0,0,0
spec06,450.soplex,1,0.62241100000000005,0,0,0,0,0,0,0,0,0,0,0,0
spec06,459.GemsFDTD,3,1.2704782414667997,0,0,0,0,0,0,0,0,0,0,0,0
spec06,471.omnetpp,1,0.466005,0,0,0,0,0,0,0,0,0,0,0,0
spec06,473.astar,2,0.36045051520562432,0,0,0,0,0,0,0,0,0,0,0,0
spec06,483.xalancbmk,1,0.30871100000000001,0,0,0,0,0,0,0,0,0,0,0,0
spec17,602.gcc_s,1,0.777976,0,0,0,0,0,0,0,0,0,0,0,0
spec17,605.mcf_s,5,0.3729457701454581,0,0,0,0,0,0,0,0,0,0,0,0
spec17,620.omnetpp_s,2,0.54601502967409243,0,0,0,0,0,0,0,0,0,0,0,0
spec17,623.xalancbmk_s,3,0.9757825212898672,0,0,0,0,0,0,0,0,0,0,0,0
spec17,649.fotonik3d_s,1,1.19756,0,0,0,0,0,0,0,0,0,0,0,0
gap,bc,11,0.38694140159746127,0,0,0,0,0,0,0,0,0,0,0,0
gap,bfs,18,0.25075099779676896,0,0,0,0,0,0,0,0,0,0,0,0
gap,cc,18,0.43473563288014472,0,0,0,0,0,0,0,0,0,0,0,0
gap,pr,8,0.034657130990463393,0,0,0,0,0,0,0,0,0,0,0,0
gap,sssp,10,0.2938044173122995,0,0,0,0,0,0,0,0,0,0,0,0
gap,tc,6,0.22341102261166468,0,0,0,0,0,0,0,0,0,0,0,0
ligra,ligra_BC,1,0.56644799999999995,0,0,0,0,0,0,0,0,0,0,0,0
ligra,ligra_BFS,1,0.63503399999999999,0,0,0,0,0,0,0,0,0,0,0,0
ligra,ligra_BellmanFord,1,0.41550300000000001,0,0,0,0,0,0,0,0,0,0,0,0
ligra,ligra_CF,1,1.4499599999999999,0,0,0,0,0,0,0,0,0,0,0,0
ligra,ligra_Components,1,0.45885700000000001,0,0,0,0,0,0,0,0,0,0,0,0
ligra,ligra_Components-Shortcut,1,0.46968700000000002,0,0,0,0,0,0,0,0,0,0,0,0
ligra,ligra_PageRank,3,0.65273178090154638,0,0,0,0,0,0,0,0,0,0,0,0
ligra,ligra_PageRankDelta,3,0.67298077442301252,0,0,0,0,0,0,0,0,0,0,0,0
ligra,ligra_Radii,3,0.28445048764683567,0,0,0,0,0,0,0,0,0,0,0,0
qmm,fp,3,0.65514692705930422,0,0,0,0,0,0,0,0,0,0,0,0
qmm,int,8,0.50390118812538498,0,0,0,0,0,0,0,0,0,0,0,0
qmm,srv,19,1.8401360553530635,0,0,0,0,0,0,0,0,0,0,0,0
parsec,canneal,6,0.42929829181151524,0,0,0,0,0,0,0,0,0,0,0,0
spec06,gmean_spec06,17,0.61955413298782713,0,0,0,0,0,0,0,0,0,0,0,0
spec17,gmean_spec17,12,0.59223856497368443,0,0,0,0,0,0,0,0,0,0,0,0
gap,gmean_gap,71,0.2498243727664014,0,0,0,0,0,0,0,0,0,0,0,0
ligra,gmean_ligra,15,0.53782422564933263,0,0,0,0,0,0,0,0,0,0,0,0
qmm,gmean_qmm,30,1.1748910574733493,0,0,0,0,0,0,0,0,0,0,0,0
parsec,gmean_parsec,6,0.42929829181151524,0,0,0,0,0,0,0,0,0,0,0,0
xsbench,gmean_xsbench,28,0.28423206478192992,0,0,0,0,0,0,0,0,0,0,0,0
all,gmean_all,179,0.41444359880952258,0,0,0,0,0,0,0,0,0,0,0,0
