dataset,workload,trace_tag,trace_name,instructions,cycles,ipc,stlb_access,stlb_hit,stlb_miss,stlb_mpki,stlb_miss_rate,demand_data_miss,demand_data_miss_rate,demand_instruction_miss,demand_instruction_miss_rate,l1d_prefetch_miss,l1d_prefetch_miss_rate,l1i_prefetch_miss,l1i_prefetch_miss_rate,other_miss,other_miss_rate
spec06,403.gcc,403.gcc-17B,403.gcc-17B.champsimtrace.xz,100000004,140143605,0.71355400000000002,1143738,1112083,31655,0.31655,0.027676800000000001,0,0,0,0,31655,0.027676800000000001,0,0,0,0
spec06,429.mcf,429.mcf-184B,429.mcf-184B.champsimtrace.xz,100000004,784134336,0.127529,9966644,9966028,616,0.0061599999999999997,6.1806199999999998e-05,0,0,0,0,616,6.1806199999999998e-05,0,0,0,0
spec06,429.mcf,429.mcf-192B,429.mcf-192B.champsimtrace.xz,100000000,805028782,0.124219,14595571,14594858,713,0.0071300000000000001,4.8850400000000002e-05,0,0,0,0,713,4.8850400000000002e-05,0,0,0,0
spec06,429.mcf,429.mcf-22B,429.mcf-22B.champsimtrace.xz,100000003,117684590,0.84972899999999996,525341,503477,21864,0.21864,0.041618700000000002,0,0,0,0,21864,0.041618700000000002,0,0,0,0
spec06,429.mcf,429.mcf-51B,429.mcf-51B.champsimtrace.xz,100000002,612249346,0.163332,7949004,7947417,1587,0.015869999999999999,0.000199648,0,0,0,0,1587,0.000199648,0,0,0,0
spec06,433.milc,433.milc-127B,433.milc-127B.champsimtrace.xz,100000003,71477288,1.3990499999999999,219141,1127,218014,2.1801400000000002,0.99485699999999999,0,0,0,0,218014,0.99485699999999999,0,0,0,0
spec06,433.milc,433.milc-274B,433.milc-274B.champsimtrace.xz,100000004,55511698,1.80142,126009,5032,120977,1.20977,0.96006599999999997,0,0,0,0,120977,0.96006599999999997,0,0,0,0
spec06,433.milc,433.milc-337B,433.milc-337B.champsimtrace.xz,100000001,66292350,1.50847,197439,1038,196401,1.96401,0.99474300000000004,0,0,0,0,196401,0.99474300000000004,0,0,0,0
spec06,436.cactusADM,436.cactusADM-1804B,436.cactusADM-1804B.champsimtrace.xz,100000003,49829608,2.00684,2765950,2716650,49300,0.49299999999999999,0.0178239,0,0,0,0,49300,0.0178239,0,0,0,0
spec06,450.soplex,450.soplex-247B,450.soplex-247B.champsimtrace.xz,100000000,161071247,0.62084300000000003,805194,769896,35298,0.35298000000000002,0.043837899999999999,0,0,0,0,35298,0.043837899999999999,0,0,0,0
spec06,459.GemsFDTD,459.GemsFDTD-1169B,459.GemsFDTD-1169B.champsimtrace.xz,100000005,82067027,1.21852,2386194,2329373,56821,0.56820999999999999,0.023812400000000001,0,0,0,0,56821,0.023812400000000001,0,0,0,0
spec06,459.GemsFDTD,459.GemsFDTD-1211B,459.GemsFDTD-1211B.champsimtrace.xz,100000004,73922479,1.35277,901163,794021,107142,1.07142,0.118893,0,0,0,0,107142,0.118893,0,0,0,0
spec06,459.GemsFDTD,459.GemsFDTD-765B,459.GemsFDTD-765B.champsimtrace.xz,100000003,80890169,1.23624,520253,295242,225011,2.2501099999999998,0.43250300000000003,0,0,0,0,225011,0.43250300000000003,0,0,0,0
spec06,471.omnetpp,471.omnetpp-188B,471.omnetpp-188B.champsimtrace.xz,100000001,216024467,0.46291100000000002,2260776,2109290,151486,1.5148600000000001,0.067006200000000002,0,0,0,0,151486,0.067006200000000002,0,0,0,0
spec06,473.astar,473.astar-359B,473.astar-359B.champsimtrace.xz,100000000,484048670,0.206591,3384278,3360851,23427,0.23427000000000001,0.0069223000000000002,0,0,0,0,23427,0.0069223000000000002,0,0,0,0
spec06,473.astar,473.astar-42B,473.astar-42B.champsimtrace.xz,100000000,159405721,0.62733000000000005,3051526,2322361,729165,7.2916499999999997,0.238951,0,0,0,0,729165,0.238951,0,0,0,0
spec06,483.xalancbmk,483.xalancbmk-127B,483.xalancbmk-127B.champsimtrace.xz,100000000,325393420,0.30731999999999998,430987,427199,3788,0.037879999999999997,0.0087891299999999992,0,0,0,0,3788,0.0087891299999999992,0,0,0,0
spec17,602.gcc_s,602.gcc_s-2226B,602.gcc_s-2226B.champsimtrace.xz,100000000,132551424,0.75442399999999998,154192,34614,119578,1.1957800000000001,0.77551400000000004,0,0,0,0,119578,0.77551400000000004,0,0,0,0
spec17,605.mcf_s,605.mcf_s-1536B,605.mcf_s-1536B.champsimtrace.xz,100000000,190679664,0.52444000000000002,2447229,2445792,1437,0.014370000000000001,0.00058719499999999999,0,0,0,0,1437,0.00058719499999999999,0,0,0,0
spec17,605.mcf_s,605.mcf_s-1644B,605.mcf_s-1644B.champsimtrace.xz,100000003,354494849,0.28209200000000001,2999626,2937919,61707,0.61707000000000001,0.020571599999999999,0,0,0,0,61707,0.020571599999999999,0,0,0,0
spec17,605.mcf_s,605.mcf_s-472B,605.mcf_s-472B.champsimtrace.xz,100000001,157149640,0.63633600000000001,344562,227987,116575,1.1657500000000001,0.33832800000000002,0,0,0,0,116575,0.33832800000000002,0,0,0,0
spec17,605.mcf_s,605.mcf_s-782B,605.mcf_s-782B.champsimtrace.xz,100000001,655466854,0.152563,8598443,8512627,85816,0.85816000000000003,0.0099804100000000003,0,0,0,0,85816,0.0099804100000000003,0,0,0,0
spec17,605.mcf_s,605.mcf_s-994B,605.mcf_s-994B.champsimtrace.xz,100000000,200936601,0.49766899999999997,1629299,1627176,2123,0.021229999999999999,0.0013030100000000001,0,0,0,0,2123,0.0013030100000000001,0,0,0,0
spec17,620.omnetpp_s,620.omnetpp_s-141B,620.omnetpp_s-141B.champsimtrace.xz,100000000,192226747,0.52021899999999999,2279394,2264091,15303,0.15303,0.0067136299999999999,0,0,0,0,15303,0.0067136299999999999,0,0,0,0
spec17,620.omnetpp_s,620.omnetpp_s-874B,620.omnetpp_s-874B.champsimtrace.xz,100000000,174843950,0.57193899999999998,2103439,2081085,22354,0.22353999999999999,0.0106274,0,0,0,0,22354,0.0106274,0,0,0,0
spec17,623.xalancbmk_s,623.xalancbmk_s-10B,623.xalancbmk_s-10B.champsimtrace.xz,100000001,138234169,0.72341,726009,721925,4084,0.040840000000000001,0.0056252699999999999,0,0,0,0,4084,0.0056252699999999999,0,0,0,0
spec17,623.xalancbmk_s,623.xalancbmk_s-592B,623.xalancbmk_s-592B.champsimtrace.xz,100000000,83113226,1.2031799999999999,2381921,2376349,5572,0.055719999999999999,0.0023392899999999999,0,0,0,0,5572,0.0023392899999999999,0,0,0,0
spec17,623.xalancbmk_s,623.xalancbmk_s-700B,623.xalancbmk_s-700B.champsimtrace.xz,100000000,93476769,1.06978,3121851,3116960,4891,0.048910000000000002,0.0015667000000000001,0,0,0,0,4891,0.0015667000000000001,0,0,0,0
spec17,649.fotonik3d_s,649.fotonik3d_s-10881B,649.fotonik3d_s-10881B.champsimtrace.xz,100000001,85094593,1.17516,734212,395874,338338,3.3833799999999998,0.46081800000000001,0,0,0,0,338338,0.46081800000000001,0,0,0,0
gap,bc,bc.kron-2608B,bc.kron-2608B.champsimtrace.xz,100000002,147185578,0.67941399999999996,1850893,1841468,9425,0.09425,0.0050921400000000002,0,0,0,0,9425,0.0050921400000000002,0,0,0,0
gap,bc,bc.kron-5154B,bc.kron-5154B.champsimtrace.xz,100000002,70830363,1.4118200000000001,291226,288749,2477,0.02477,0.0085054199999999996,0,0,0,0,2477,0.0085054199999999996,0,0,0,0
gap,bc,bc.road-131B,bc.road-131B.champsimtrace.xz,100000004,584643599,0.171044,1502901,1498547,4354,0.043540000000000002,0.0028970599999999999,0,0,0,0,4354,0.0028970599999999999,0,0,0,0
gap,bc,bc.road-174B,bc.road-174B.champsimtrace.xz,100000001,410256736,0.24374999999999999,1746264,1743125,3139,0.031390000000000001,0.00179755,0,0,0,0,3139,0.00179755,0,0,0,0
gap,bc,bc.road-79B,bc.road-79B.champsimtrace.xz,100000000,341149843,0.293126,1957409,1954936,2473,0.024729999999999999,0.0012634,0,0,0,0,2473,0.0012634,0,0,0,0
gap,bc,bc.road-95B,bc.road-95B.champsimtrace.xz,100000000,442698798,0.225887,1453524,1449977,3547,0.035470000000000002,0.00244028,0,0,0,0,3547,0.00244028,0,0,0,0
gap,bc,bc.twitter-1658B,bc.twitter-1658B.champsimtrace.xz,100000002,191064470,0.52338399999999996,1017028,1011544,5484,0.05484,0.0053921799999999999,0,0,0,0,5484,0.0053921799999999999,0,0,0,0
gap,bc,bc.twitter-2320B,bc.twitter-2320B.champsimtrace.xz,100000001,132474573,0.75486200000000003,1969143,1959994,9149,0.091490000000000002,0.0046461799999999998,0,0,0,0,9149,0.0046461799999999998,0,0,0,0
gap,bc,bc.twitter-309B,bc.twitter-309B.champsimtrace.xz,100000000,436597406,0.229044,4324014,4282208,41806,0.41805999999999999,0.0096683299999999993,0,0,0,0,41806,0.0096683299999999993,0,0,0,0
gap,bc,bc.twitter-876B,bc.twitter-876B.champsimtrace.xz,100000000,488133015,0.20486199999999999,7091962,7003583,88379,0.88378999999999996,0.0124619,0,0,0,0,88379,0.0124619,0,0,0,0
gap,bc,bc.urand-3004B,bc.urand-3004B.champsimtrace.xz,100000002,170689440,0.58585900000000002,1100744,1100483,261,0.0026099999999999999,0.00023711199999999999,0,0,0,0,261,0.00023711199999999999,0,0,0,0
gap,bfs,bfs.kron-128B,bfs.kron-128B.champsimtrace.xz,100000000,173637729,0.57591199999999998,117785,92700,25085,0.25085000000000002,0.212973,0,0,0,0,25085,0.212973,0,0,0,0
gap,bfs,bfs.kron-542B,bfs.kron-542B.champsimtrace.xz,100000005,468325221,0.21352699999999999,3542533,3505563,36970,0.36969999999999997,0.010436000000000001,0,0,0,0,36970,0.010436000000000001,0,0,0,0
gap,bfs,bfs.road-112B,bfs.road-112B.champsimtrace.xz,100000000,500293291,0.19988300000000001,1301759,1297172,4587,0.045870000000000001,0.0035236899999999999,0,0,0,0,4587,0.0035236899999999999,0,0,0,0
gap,bfs,bfs.road-128B,bfs.road-128B.champsimtrace.xz,100000001,568362017,0.17594399999999999,1528953,1524730,4223,0.042229999999999997,0.00276202,0,0,0,0,4223,0.00276202,0,0,0,0
gap,bfs,bfs.road-140B,bfs.road-140B.champsimtrace.xz,100000001,547590625,0.182618,1350507,1345870,4637,0.046370000000000001,0.0034335300000000002,0,0,0,0,4637,0.0034335300000000002,0,0,0,0
gap,bfs,bfs.road-19B,bfs.road-19B.champsimtrace.xz,100000004,413995176,0.24154900000000001,1286804,1284268,2536,0.025360000000000001,0.0019707700000000002,0,0,0,0,2536,0.0019707700000000002,0,0,0,0
gap,bfs,bfs.twitter-10B,bfs.twitter-10B.champsimtrace.xz,100000002,232575402,0.42996800000000002,473254,445438,27816,0.27816000000000002,0.058776000000000002,0,0,0,0,27816,0.058776000000000002,0,0,0,0
gap,bfs,bfs.twitter-160B,bfs.twitter-160B.champsimtrace.xz,100000004,478850363,0.20883399999999999,3572095,3532984,39111,0.39111000000000001,0.010949,0,0,0,0,39111,0.010949,0,0,0,0
