dataset,workload,trace_tag,trace_name,instructions,cycles,ipc,stlb_access,stlb_hit,stlb_miss,stlb_mpki,stlb_miss_rate,demand_data_miss,demand_data_miss_rate,demand_instruction_miss,demand_instruction_miss_rate,l1d_prefetch_miss,l1d_prefetch_miss_rate,l1i_prefetch_miss,l1i_prefetch_miss_rate,other_miss,other_miss_rate
spec06,403.gcc,403.gcc-17B,403.gcc-17B.champsimtrace.xz,100000002,145317891,0.68814699999999995,1143123,880026,263097,2.63097,0.230156,263044,0.23011000000000001,53,4.6364199999999999e-05,0,0,0,0,0,0
spec06,429.mcf,429.mcf-184B,429.mcf-184B.champsimtrace.xz,100000003,826241894,0.12103,10026562,9118098,908464,9.0846400000000003,0.090605699999999997,908464,0.090605699999999997,0,0,0,0,0,0,0,0
spec06,429.mcf,429.mcf-192B,429.mcf-192B.champsimtrace.xz,100000000,836608836,0.11953,14594410,14312455,281955,2.81955,0.0193194,281954,0.019319300000000001,1,6.8519400000000001e-08,0,0,0,0,0,0
spec06,429.mcf,429.mcf-22B,429.mcf-22B.champsimtrace.xz,100000002,128810528,0.77633399999999997,520512,227063,293449,2.9344899999999998,0.56376999999999999,293449,0.56376999999999999,0,0,0,0,0,0,0,0
spec06,429.mcf,429.mcf-51B,429.mcf-51B.champsimtrace.xz,100000002,631022425,0.158473,7970259,6919874,1050385,10.5038,0.13178799999999999,1050385,0.13178799999999999,0,0,0,0,0,0,0,0
spec06,433.milc,433.milc-127B,433.milc-127B.champsimtrace.xz,100000003,71325582,1.40202,218168,218036,132,0.00132,0.00060503800000000002,132,0.00060503800000000002,0,0,0,0,0,0,0,0
spec06,433.milc,433.milc-274B,433.milc-274B.champsimtrace.xz,100000004,55391337,1.8053399999999999,126291,126160,131,0.00131,0.00103729,126,0.00099769599999999996,5,3.9591100000000001e-05,0,0,0,0,0,0
spec06,433.milc,433.milc-337B,433.milc-337B.champsimtrace.xz,100000001,65996994,1.51522,197576,197417,159,0.0015900000000000001,0.00080475399999999997,158,0.00079969199999999996,1,5.0613400000000004e-06,0,0,0,0,0,0
spec06,436.cactusADM,436.cactusADM-1804B,436.cactusADM-1804B.champsimtrace.xz,100000002,52804141,1.8937900000000001,2778042,1868730,909312,9.0931200000000008,0.32732099999999997,909312,0.32732099999999997,0,0,0,0,0,0,0,0
spec06,450.soplex,450.soplex-247B,450.soplex-247B.champsimtrace.xz,100000000,164425548,0.608178,804917,728171,76746,0.76746000000000003,0.095346500000000001,76746,0.095346500000000001,0,0,0,0,0,0,0,0
spec06,459.GemsFDTD,459.GemsFDTD-1169B,459.GemsFDTD-1169B.champsimtrace.xz,100000003,85336534,1.1718299999999999,2371485,2250344,121141,1.2114100000000001,0.051082299999999997,121139,0.051081500000000002,2,8.4335300000000002e-07,0,0,0,0,0,0
spec06,459.GemsFDTD,459.GemsFDTD-1211B,459.GemsFDTD-1211B.champsimtrace.xz,100000004,73823881,1.3545799999999999,912298,911743,555,0.0055500000000000002,0.00060835399999999997,555,0.00060835399999999997,0,0,0,0,0,0,0,0
spec06,459.GemsFDTD,459.GemsFDTD-765B,459.GemsFDTD-765B.champsimtrace.xz,100000004,80590448,1.2408399999999999,536507,532972,3535,0.035349999999999999,0.0065889199999999998,3534,0.0065870499999999997,1,1.8639099999999999e-06,0,0,0,0,0,0
spec06,471.omnetpp,471.omnetpp-188B,471.omnetpp-188B.champsimtrace.xz,100000001,230209248,0.43438700000000002,2278255,1904940,373315,3.7331500000000002,0.16386000000000001,372683,0.16358300000000001,632,0.00027740499999999999,0,0,0,0,0,0
spec06,473.astar,473.astar-359B,473.astar-359B.champsimtrace.xz,100000002,515795980,0.19387499999999999,3382371,1676760,1705611,17.056100000000001,0.50426499999999996,1705611,0.50426499999999996,0,0,0,0,0,0,0,0
