dataset,workload,trace_tag,trace_name,instructions,cycles,ipc,stlb_access,stlb_hit,stlb_miss,stlb_mpki,stlb_miss_rate,demand_data_miss,demand_data_miss_rate,demand_instruction_miss,demand_instruction_miss_rate,l1d_prefetch_miss,l1d_prefetch_miss_rate,l1i_prefetch_miss,l1i_prefetch_miss_rate,other_miss,other_miss_rate
spec06,403.gcc,403.gcc-17B,403.gcc-17B.champsimtrace.xz,100000002,145668332,0.68649099999999996,1118793,831002,287791,2.87791,0.25723299999999999,287740,0.25718800000000003,51,4.5584799999999998e-05,0,0,0,0,0,0
spec06,429.mcf,429.mcf-184B,429.mcf-184B.champsimtrace.xz,100000001,823603742,0.121418,9912845,9003935,908910,9.0891000000000002,0.091690099999999997,908910,0.091690099999999997,0,0,0,0,0,0,0,0
spec06,429.mcf,429.mcf-192B,429.mcf-192B.champsimtrace.xz,100000000,836430632,0.119556,14592891,14310410,282481,2.8248099999999998,0.0193574,282480,0.0193574,1,6.8526500000000002e-08,0,0,0,0,0,0
spec06,429.mcf,429.mcf-22B,429.mcf-22B.champsimtrace.xz,100000000,138865637,0.72012100000000001,488441,173610,314831,3.1483099999999999,0.644563,314831,0.644563,0,0,0,0,0,0,0,0
spec06,429.mcf,429.mcf-51B,429.mcf-51B.champsimtrace.xz,100000002,631686264,0.158306,7887159,6836713,1050446,10.5045,0.133184,1050446,0.133184,0,0,0,0,0,0,0,0
spec06,433.milc,433.milc-127B,433.milc-127B.champsimtrace.xz,100000004,107553840,0.92976700000000001,218105,13,218092,2.18092,0.99994000000000005,218092,0.99994000000000005,0,0,0,0,0,0,0,0
spec06,433.milc,433.milc-274B,433.milc-274B.champsimtrace.xz,100000005,92430163,1.0819000000000001,125521,4626,120895,1.20895,0.96314599999999995,120890,0.96310600000000002,5,3.9833999999999998e-05,0,0,0,0,0,0
spec06,433.milc,433.milc-337B,433.milc-337B.champsimtrace.xz,100000003,89261008,1.1203099999999999,196199,17,196182,1.9618199999999999,0.99991300000000005,196181,0.99990800000000002,1,5.0968699999999999e-06,0,0,0,0,0,0
spec06,436.cactusADM,436.cactusADM-1804B,436.cactusADM-1804B.champsimtrace.xz,100000002,53242301,1.8782099999999999,2756258,1852725,903533,9.0353300000000001,0.32781100000000002,901691,0.32714300000000002,0,0,1842,0.00066829699999999999,0,0,0,0
spec06,450.soplex,450.soplex-247B,450.soplex-247B.champsimtrace.xz,100000000,168676576,0.59285100000000002,781047,675060,105987,1.0598700000000001,0.13569899999999999,105987,0.13569899999999999,0,0,0,0,0,0,0,0
spec06,459.GemsFDTD,459.GemsFDTD-1169B,459.GemsFDTD-1169B.champsimtrace.xz,100000000,92297293,1.0834600000000001,1358796,1180941,177855,1.7785500000000001,0.13089200000000001,177853,0.13089000000000001,2,1.47189e-06,0,0,0,0,0,0
spec06,459.GemsFDTD,459.GemsFDTD-1211B,459.GemsFDTD-1211B.champsimtrace.xz,100000003,86528885,1.15568,661985,554244,107741,1.07741,0.16275400000000001,107739,0.16275100000000001,0,0,2,3.0212200000000001e-06,0,0,0,0
spec06,459.GemsFDTD,459.GemsFDTD-765B,459.GemsFDTD-765B.champsimtrace.xz,100000005,94326895,1.0601400000000001,326975,100731,226244,2.2624399999999998,0.69193099999999996,226243,0.69192799999999999,1,3.0583399999999998e-06,0,0,0,0,0,0
spec06,471.omnetpp,471.omnetpp-188B,471.omnetpp-188B.champsimtrace.xz,100000002,244019268,0.409804,1929558,1477503,452055,4.5205500000000001,0.23427899999999999,451503,0.23399300000000001,552,0.00028607600000000002,0,0,0,0,0,0
