dataset,workload,num_traces,ipc,stlb_mpki,stlb_miss_rate,demand_data_miss_rate,demand_instruction_miss_rate,l1d_prefetch_miss_rate,l1i_prefetch_miss_rate,other_miss_rate,demand_data_share,demand_instruction_share,l1d_prefetch_share,l1i_prefetch_share,other_share
spec06,429.mcf,4,0.20270619238552051,0.91136499999999998,0.1014382475,0.093430392500000001,0,0.0080078552475000009,0,0,0.95249324611063202,0,0.047506753889367988,0,0
spec06,433.milc,3,1.0621539559573996,0.8637800000000001,0.58341200000000004,0.54004833333333335,4.8790233333333333e-05,0.043315100000000002,0,0,0.92259726469851511,0.00011413907442267268,0.077288596227062314,0,0
spec06,436.cactusADM,1,1.8746100000000001,0.039919999999999997,0.00144414,0.00100859,0,0.00043555800000000001,0,0,0.69839679358717432,0,0.30160320641282568,0,0
spec06,450.soplex,1,0.57953699999999997,0.11498,0.0215874,0.0186097,3.3794799999999997e-05,0.0029439000000000002,0,0,0.86206296747260391,0.0015654896503739782,0.13637154287702208,0,0
spec06,459.GemsFDTD,4,0.95345080257957338,1.6205350000000001,0.19938947500000001,0.12096712499999999,3.7036975e-06,0.078418799999999997,0,0,0.51352873401479726,2.5513158815018954e-05,0.48644575282638775,0,0
spec06,471.omnetpp,1,0.47108,0.20158000000000001,0.00972195,0.0078506800000000005,0,0.0018712799999999999,0,0,0.8075205873598571,0,0.19247941264014287,0,0
spec06,473.astar,2,0.34237658835118973,0.04478,0.0016912005000000001,0.001068883074,3.372265e-06,0.00061894500000000009,0,0,0.43935133045096714,0.0013855213023900243,0.55926314824664281,0,0
spec06,483.xalancbmk,2,0.71075087949294868,0.20755999999999999,0.031097850000000003,0.027039050000000002,0.00016499365,0.0038938200000000001,0,0,0.85872316607521515,0.0049570347511167139,0.13631979917366815,0,0
spec17,602.gcc_s,1,0.45062200000000002,0.41821999999999998,0.30696400000000001,0.280306,0,0.026658100000000001,0,0,0.91315575534407722,0,0.08684424465592272,0,0
spec17,605.mcf_s,5,0.32875653441685193,1.025388,0.054251118000000001,0.047943279999999998,0,0.0063077978399999996,0,0,0.92591837065716798,0,0.074081629342831995,0,0
spec17,620.omnetpp_s,2,0.52472627970495245,0.32982,0.014852150000000001,0.01382365,1.63714e-05,0.0010121259999999999,0,0,0.93061818979677602,0.0010790265295489406,0.06830278367367501,0,0
spec17,623.xalancbmk_s,3,0.91861828112291277,0.026466666666666666,0.0018513486666666666,0.00058815599999999994,4.4566866666666668e-05,0.0012186249999999999,0,0,0.54587496047873707,0.04727916736771192,0.406845872153551,0,0
spec17,649.fotonik3d_s,1,0.91864900000000005,2.55558,0.52296600000000004,0.316492,0,0.20647499999999999,0,0,0.60518551561680711,0,0.39481448438319283,0,0
gap,gap.bc.twitter-10B,1,0.18034600000000003,0.65835999999999995,0.0177994,0.016758499999999999,0,0.0010408800000000001,0,0,0.94152135609696819,0,0.058478643903031778,0,0
gap,gap.cc.twitter-10B,1,0.56321399999999999,0.23798,0.0662687,0.065427700000000005,0,0.00084095899999999996,0,0,0.98730985797125814,0,0.012690142028741911,0,0
gap,gap.pr.twitter-10B,1,0.036798600000000001,0.20705999999999999,0.0013563900000000001,0.00047440200000000002,0,0.00088198599999999997,0,0,0.34975369458128081,0,0.65024630541871919,0,0
ligra,ligra_BellmanFord,1,0.48619800000000002,0.32303999999999999,0.016070000000000001,0.0097681499999999997,0,0.0063018400000000004,0,0,0.60785042100049524,0,0.3921495789995047,0,0
ligra,ligra_CF,1,1.31687,0.58043999999999996,0.19695599999999999,0.18531,0,0.0116455,0,0,0.94087244159603056,0,0.059127558403969403,0,0
ligra,ligra_Components,1,0.43010999999999999,1.11608,1,1,0,0,0,0,1,0,0,0,0
ligra,ligra_PageRank,3,0.54050018667805755,0.13605333333333333,0.0028740866666666664,0.0014368566666666666,1.8854633333333332e-07,0.0014370446666666667,0,0,0.47649295734385749,3.2660526487686979e-05,0.5234743821296548,0,0
ligra,ligra_PageRankDelta,2,0.63834560608732949,0.089380000000000001,0.0096581199999999992,0.0061157650000000004,0,0.0035423549999999996,0,0,0.51826874323860173,0,0.48173125676139827,0,0
ligra,ligra_Radii,2,0.27889778811600502,0.23784,0.0080661750000000001,0.0058801399999999998,1.6775649999999999e-06,0.002184358,0,0,0.68357093338048958,0.00017779358165170237,0.31625127303785866,0,0
qmm,fp,3,0.6199491562436279,0.14268666666666666,0.020522246666666667,0.017205943333333331,1.3308499999999999e-06,0.00331497,0,0,0.83123594333904671,0.00022109219544550078,0.16854296446550776,0,0
qmm,int,8,0.46309413331545934,0.32985750000000003,0.064373333749999997,0.059247886237499998,5.9360465e-05,0.0050660771625,0,0,0.63360902021500387,0.0030533271589710219,0.36333765262602513,0,0
qmm,srv,19,1.8215301051526296,0.02177578947368421,0.0012878702105263158,0.00084040894736842097,3.6682051052631583e-05,0.00041077805263157893,0,0,0.61941726561188626,0.024649035829564393,0.35593369855854928,0,0
parsec,canneal,6,0.43508665914627659,0.079996666666666674,0.0054652864333333334,0.0050871466666666662,0,0.00037814521666666668,0,0,0.7523891577302172,0,0.2476108422697828,0,0
spec06,gmean_spec06,18,0.57726494435476838,0.75444999999999995,0.16954880450000001,0.14230110589711112,2.9539562222222221e-05,0.027218232721666666,0,0,0.75533383644829233,0.00081639286755086382,0.24384977068415681,0,0
spec17,gmean_spec17,12,0.51390605814319334,0.73664833333333324,0.094703661333333342,0.072160513999999995,1.3870283333333333e-05,0.022529351350000001,0,0,0.80389953210637399,0.011999629596852803,0.18410083829677323,0,0
