dataset,workload,num_traces,ipc,stlb_mpki,stlb_miss_rate,demand_data_miss_rate,demand_instruction_miss_rate,l1d_prefetch_miss_rate,l1i_prefetch_miss_rate,other_miss_rate,demand_data_share,demand_instruction_share,l1d_prefetch_share,l1i_prefetch_share,other_share
spec06,429.mcf,4,0.19940858265226424,5.825285,0.218130925,0.20006317500000001,0,0.018067501499999999,0,0,0.9513307626452453,0,0.048669237354754674,0,0
spec06,433.milc,3,1.0345648635835594,1.2923799999999999,0.91055866666666663,0.84565699999999999,4.87842e-05,0.064852933333333335,0,0,0.92730182387391691,5.6407560551933169e-05,0.072641768565531242,0,0
spec06,436.cactusADM,1,1.77302,9.2864599999999999,0.33881499999999998,0.33817599999999998,0,0.00063921400000000004,0,0,0.99811338227914614,0,0.0018866177208538022,0,0
spec06,450.soplex,1,0.56720599999999999,1.1193200000000001,0.21013899999999999,0.17000499999999999,3.37929e-05,0.040100900000000002,0,0,0.80900904120358785,0.00016081192152378229,0.19083014687488833,0,0
spec06,459.GemsFDTD,4,0.94574736099723311,2.8953100000000003,0.34049924999999998,0.21770265,3.7090825000000002e-06,0.12279320000000001,0,0,0.57785873619182648,1.4863847800940952e-05,0.4221263999603726,0,0
spec06,471.omnetpp,1,0.43821900000000003,4.4668599999999996,0.21588299999999999,0.20001099999999999,0.00028707899999999998,0.0155844,0,0,0.9264807941148816,0.0013297931880560394,0.072189412697062361,0,0
spec06,473.astar,2,0.32833494797690965,9.4373499999999986,0.29481835000000001,0.28026079999999998,3.3723549999999999e-06,0.0145540255,0,0,0.9675847369962649,3.6688832836505386e-05,0.032378574170898629,0,0
spec06,483.xalancbmk,2,0.6733129043468572,2.4095800000000001,0.490035,0.41807100000000003,0.0071147799999999994,0.064849094999999995,0,0,0.90142589418685382,0.013150627616473308,0.085423478196672883,0,0
spec17,602.gcc_s,1,0.44226500000000002,1.3147,0.964974,0.87460499999999997,0,0.090368599999999993,0,0,0.90635125884232148,0,0.093648741157678558,0,0
spec17,605.mcf_s,5,0.3012895034699552,11.599540000000001,0.54633628000000001,0.48956232,0,0.056774132600000006,0,0,0.88176512309167376,0,0.11823487690832613,0,0
spec17,620.omnetpp_s,2,0.47455247590124316,4.69062,0.210617,0.20323249999999998,0.00089159500000000002,0.00649294,0,0,0.96497382925454622,0.0042580312169689201,0.030768139528484884,0,0
spec17,623.xalancbmk_s,3,0.88001053049962907,2.9373999999999998,0.27262136666666664,0.23891870000000001,0.0028500006666666669,0.03085245,0,0,0.92364558820853115,0.014020882306983907,0.062333529484485027,0,0
spec17,649.fotonik3d_s,1,0.91350799999999999,3.3957000000000002,0.691631,0.39094899999999999,0,0.300682,0,0,0.5652560591336101,0,0.43474394086638984,0,0
gap,bc,12,0.31765040885817214,17.723561666666665,0.76679450000000005,0.73950141666666669,3.0036416666666663e-08,0.027292958749999999,0,0,0.95050327742874419,3.0438798412604486e-08,0.049496692132457387,0,0
gap,bfs,18,0.2050362879281275,10.94238,0.42780342222222223,0.3966183888888889,0.00018050466666666667,0.031004494444444444,0,0,0.90594602699875793,0.00042188544888785976,0.093632087552354221,0,0
gap,cc,19,0.35295792695360523,11.753544210526316,0.76457573684210534,0.61241884210526321,1.1818473684210526e-05,0.15214500052631577,0,0,0.81190006456690222,1.5431162100242885e-05,0.18808450427099743,0,0
gap,pr,8,0.029560159810835339,147.44672500000001,0.89902599999999999,0.88771037499999994,0,0.011315364999999999,0,0,0.98710456604035268,0,0.012895433959647349,0,0
gap,sssp,10,0.20240758360439817,52.954430000000002,0.83390009999999992,0.82592540000000003,6.03043659e-05,0.0079144119999999991,0,0,0.98515371563588194,0.000227809237578981,0.014618475126539122,0,0
gap,tc,6,0.15162488386582715,15.195386666666666,0.97704000000000002,0.97066033333333335,0,0.0063796150000000008,0,0,0.99348908820264603,0,0.0065109117973539523,0,0
ligra,ligra_BellmanFord,1,0.47315200000000002,6.7920999999999996,0.33796799999999999,0.32667499999999999,0,0.011293299999999999,0,0,0.96658470870570223,0,0.033415291294297787,0,0
ligra,ligra_CF,1,1.2135800000000001,1.35114,0.458511,0.44121100000000002,0,0.017300099999999999,0,0,0.96226889885578104,0,0.037731101144218959,0,0
ligra,ligra_Components,1,0.43010999999999999,1.11608,1,1,0,0,0,0,1,0,0,0,0
ligra,ligra_PageRank,3,0.52393723995600694,28.707899999999999,0.52646066666666669,0.52061733333333338,1.8854766666666666e-07,0.0058428733333333342,0,0,0.98933978352763152,2.5175644175501429e-07,0.010659964715926654,0,0
ligra,ligra_PageRankDelta,2,0.62214981151166482,5.5531000000000006,0.46287,0.45350299999999999,0,0.0093671199999999996,0,0,0.97987303159171324,0,0.020126968408286715,0,0
ligra,ligra_Radii,2,0.27100329928618949,10.991309999999999,0.43779115000000002,0.43020229999999998,1.679655e-06,0.0075871649999999999,0,0,0.96526480209879906,2.1189807702495099e-06,0.034733078920430753,0,0
qmm,qmm_fp,3,0.60023184643340022,2.0021400000000003,0.25781100000000001,0.23122500000000001,0.00026120499999999998,0.026324133333333333,0,0,0.89073887771532334,0.0010910027742409274,0.10817011951043576,0,0
qmm,qmm_int,8,0.43918247397886145,6.725015,0.647756,0.55177587500000003,0.00047451732000000001,0.095505943250000003,0,0,0.86343740194686214,0.00077958749837417395,0.13578301055476372,0,0
qmm,qmm_srv,19,1.6941331941972777,2.0132399999999997,0.11868624736842105,0.071676400000000001,0.041561663157894738,0.0054482273684210523,0,0,0.60453771129637046,0.34944774027156988,0.046014548432059654,0,0
parsec,parsec_canneal,6,0.40761241091845496,6.6495966666666666,0.38567599999999996,0.3711781666666667,2.9724450000000003e-05,0.014468196666666667,0,0,0.95803490303519256,9.9626635962789156e-05,0.041865470328844571,0,0
xsbench,xsbench_XL100hash,2,0.3514142184587869,4.7682900000000004,0.56427749999999999,0.55779350000000005,8.5934499999999999e-06,0.0064757634999999996,0,0,0.99071009905463359,5.7715774545694406e-05,0.0092321851708206532,0,0
xsbench,xsbench_XL100nuclide,5,0.17168627715704468,31.535320000000002,0.82778260000000015,0.79764380000000001,1.632146e-06,0.030137155999999998,0,0,0.96773696285231559,5.7793028715911145e-06,0.03225725784481278,0,0
xsbench,xsbench_XL100unionized,1,0.60264799999999996,1.21174,0.149008,0.14804400000000001,1.7215899999999999e-05,0.00094687199999999997,0,0,0.99352996517404724,0.00011553633617772789,0.006354498489775034,0,0
xsbench,xsbench_XL64hash,1,0.205146,8.3142600000000009,0.98089000000000004,0.96887100000000004,0,0.012019500000000001,0,0,0.98774635385470266,0,0.012253646145297356,0,0
xsbench,xsbench_XL64nuclide,2,0.21580675917125489,21.765090000000001,0.62318300000000004,0.60352050000000002,4.0770750000000003e-06,0.019657905,0,0,0.97699690187343924,1.4442049471240464e-05,0.022988656077089529,0,0
xsbench,xsbench_XL64unionized,1,0.60268699999999997,1.2143600000000001,0.14940100000000001,0.14843899999999999,1.7224e-05,0.00094486099999999996,0,0,0.99356039395236995,0.00011528706479133042,0.0063243189828386974,0,0
xsbench,xsbench_XXL100hash,3,0.24862572151728071,7.1672666666666665,0.71807966666666667,0.70815833333333333,0,0.0099211899999999999,0,0,0.98698129826748604,0,0.013018701732513965,0,0
xsbench,xsbench_XXL100nuclide,6,0.13870289373315342,39.983600000000003,0.96835616666666668,0.92984716666666667,0,0.038509066666666668,0,0,0.96023273237385709,0,0.039767267626142987,0,0
xsbench,xsbench_XXL100unionized,1,0.22001899999999996,14.457700000000001,0.52006200000000002,0.51720200000000005,0,0.0028597100000000001,0,0,0.99450120765929895,0,0.0054987923407010236,0,0
xsbench,xsbench_XXL64hash,2,0.2039550899487434,11.958680000000001,0.75188849999999996,0.7432185,0,0.0086705900000000006,0,0,0.98989838375087447,0,0.010101616249125497,0,0
xsbench,xsbench_XXL64nuclide,3,0.1614321164133794,31.4496,0.81813266666666662,0.79165266666666667,0,0.026479706666666668,0,0,0.97177783993417055,0,0.028222160065829453,0,0
xsbench,xsbench_XXL64unionized,1,0.22013399999999997,14.4612,0.51822000000000001,0.51539999999999997,0,0.0028195099999999999,0,0,0.99455924941429641,0,0.0054407505857035771,0,0
spec06,gmean_spec06,18,0.56087309009915731,4.29589,0.40559668888888889,0.35071610555555555,0.00081768697444444449,0.054062908944444446,0,0,0.85390488594077174,0.0015607731156143895,0.14453434094361389,0,0
spec17,gmean_spec17,12,0.48114825949882523,6.7417949999999998,0.4689487083333333,0.40304889166666663,0.00086109933333333331,0.065038707749999994,0,0,0.88177644638074881,0.0042148924462407965,0.11400866117301033,0,0
gap,gmean_gap,73,0.1998766274644482,33.33223753424658,0.72359429589041102,0.66895897260273973,5.5849850630136987e-05,0.054579399246575344,0,0,0.91573256514782519,0.00013925462741447742,0.084128180224760402,0,0
ligra,gmean_ligra,10,0.50167510918747504,12.847183999999999,0.51771833,0.50971485999999999,3.9249530000000005e-07,0.0080030589999999999,0,0,0.97871486255254025,4.9932308657640626e-07,0.021284638124373166,0,0
qmm,gmean_qmm,30,1.0654604987952088,3.2686033333333331,0.27368399000000004,0.21565778666666666,0.026475045118666666,0.031551208866666666,0,0,0.70219774544506353,0.22163389244898479,0.076168362105951681,0,0
parsec,gmean_parsec,6,0.40761241091845496,6.6495966666666666,0.38567599999999996,0.3711781666666667,2.9724450000000003e-05,0.014468196666666667,0,0,0.95803490303519256,9.9626635962789156e-05,0.041865470328844571,0,0
xsbench,gmean_xsbench,28,0.20574132297703079,22.502577857142857,0.74121307142857151,0.72049128571428578,2.4264885714285713e-06,0.020719351428571429,0,0,0.97698094866151064,1.4429841548602986e-05,0.023004621496940682,0,0
all,gmean_all,177,0.33918537613468319,19.706105084745762,0.57743634745762706,0.53079767683615819,0.0046532777600508477,0.041985372175141242,0,0,0.88563186174522524,0.038072665397269785,0.076295472857504931,0,0
