dataset,workload,num_traces,ipc,stlb_mpki,stlb_miss_rate,demand_data_miss_rate,demand_instruction_miss_rate,l1d_prefetch_miss_rate,l1i_prefetch_miss_rate,other_miss_rate,demand_data_share,demand_instruction_share,l1d_prefetch_share,l1i_prefetch_share,other_share
spec06,429.mcf,4,0.18112831219304698,5.6572100000000001,0.22337560000000001,0.22337560000000001,0,0,0,0,1,0,0,0,0
spec06,433.milc,3,0.78103084817534707,1.2923066666666667,0.91527166666666659,0.91522266666666674,4.8997033333333332e-05,0,0,0,0.99994358960599961,5.6410394000461418e-05,0,0,0
spec06,436.cactusADM,1,1.3289500000000001,9.4180399999999995,0.347883,0.347883,0,0,0,0,1,0,0,0,0
spec06,450.soplex,1,0.42426599999999998,1.0779399999999999,0.21426600000000001,0.21423,3.5779199999999998e-05,0,0,0,0.99983301482457276,0.00016698517542720374,0,0,0
spec06,459.GemsFDTD,4,0.77906652582825564,2.87066,0.34695625000000002,0.34695300000000001,3.8203374999999997e-06,0,0,0,0.99998503945440087,1.4960545599124965e-05,0,0,0
spec06,471.omnetpp,1,0.40614899999999998,4.3348800000000001,0.21934000000000001,0.21904299999999999,0.00029752100000000003,0,0,0,0.99864356106743435,0.0013564389325656074,0,0,0
spec06,473.astar,2,0.31582650553745484,9.0865600000000004,0.29233310000000001,0.29232975,3.378435e-06,0,0,0,0.99996323563202538,3.6764367974559056e-05,0,0,0
spec06,483.xalancbmk,2,0.61916260049360217,2.2915200000000002,0.490452,0.48295950000000004,0.0074923500000000001,0,0,0,0.98634567118875682,0.013654328811243194,0,0,0
spec17,602.gcc_s,1,0.075557200000000005,1.30894,0.96809400000000001,0.96809400000000001,0,0,0,0,1,0,0,0,0
spec17,605.mcf_s,5,0.23603583146113458,11.523148000000001,0.55173538,0.55173538,0,0,0,0,1,0,0,0,0
spec17,620.omnetpp_s,2,0.47320162826642936,4.5982400000000005,0.21376000000000001,0.21285500000000002,0.00090457949999999993,0,0,0,0.99574736789381191,0.004252632106188101,0,0,0
spec17,623.xalancbmk_s,3,0.90181851624239784,2.7387733333333331,0.27015216666666664,0.26718563333333334,0.0029662393333333334,0,0,0,0.98543366608942395,0.014566333910576115,0,0,0
spec17,649.fotonik3d_s,1,0.73454600000000003,3.3954,0.73304999999999998,0.73304999999999998,0,0,0,0,1,0,0,0,0
gap,gap.bc.twitter-10B,1,0.156026,35.619300000000003,0.96829799999999999,0.96829799999999999,0,0,0,0,1,0,0,0,0
gap,gap.cc.twitter-10B,1,0.32799200000000001,2.54772,0.71989400000000003,0.71989400000000003,0,0,0,0,1,0,0,0,0
gap,gap.pr.twitter-10B,1,0.032227400000000003,121.265,0.79972299999999996,0.79972299999999996,0,0,0,0,1,0,0,0,0
ligra,ligra_BellmanFord,1,0.379052,6.6988200000000004,0.33990300000000001,0.33990300000000001,0,0,0,0,1,0,0,0,0
ligra,ligra_CF,1,1.05677,1.3294999999999999,0.46491199999999999,0.46491199999999999,0,0,0,0,1,0,0,0,0
ligra,ligra_Components,1,0.402225,1.11608,1,1,0,0,0,0,1,0,0,0,0
ligra,ligra_PageRank,3,0.46197730603716008,28.494800000000001,0.53212300000000001,0.53212300000000001,1.9166066666666667e-07,0,0,0,0.99999974626914145,2.5373085854403145e-07,0,0,0
ligra,ligra_PageRankDelta,2,0.49270851890747736,5.4838399999999998,0.46350800000000003,0.46350800000000003,0,0,0,0,1,0,0,0,0
ligra,ligra_Radii,2,0.21891996798373603,10.89025,0.43966974999999997,0.43966824999999998,1.6998049999999999e-06,0,0,0,0.99999786108152278,2.1389184772611576e-06,0,0,0
qmm,qmm_fp,3,0.43924001070034974,1.9686399999999999,0.2626796666666667,0.262409,0.00027094400000000001,0,0,0,0.99888556944838547,0.0011144305516144184,0,0,0
qmm,qmm_int,8,0.38338219880912727,6.6372850000000003,0.65500250000000004,0.65451462500000002,0.00048779998999999997,0,0,0,0.99921402288285721,0.00078597711714278558,0,0,0
qmm,qmm_srv,19,1.656225785700115,1.8704684210526314,0.11240052631578949,0.071831494736842097,0.040568994736842105,0,0,0,0.63988084271250789,0.36011915728749205,0,0,0
parsec,parsec_canneal,6,0.40093270519106844,6.5133366666666666,0.38880199999999993,0.38877066666666665,3.1553433333333335e-05,0,0,0,0.99989559990171351,0.0001044000982864933,0,0,0
xsbench,xsbench_XL100hash,2,0.32973487755013114,4.7172700000000001,0.56847400000000003,0.568465,8.9098000000000007e-06,0,0,0,0.99994210665608052,5.7893343919544796e-05,0,0,0
xsbench,xsbench_XL100nuclide,5,0.17026959893879351,30.381236000000001,0.82771600000000001,0.82771419999999996,1.6586799999999998e-06,0,0,0,0.9999941983581353,5.8016418646476946e-06,0,0,0
xsbench,xsbench_XL100unionized,1,0.53333699999999995,1.2095800000000001,0.154112,0.15409400000000001,1.7837299999999999e-05,0,0,0,0.99988425734552488,0.00011574265447510706,0,0,0
xsbench,xsbench_XL64hash,1,0.20413000000000001,8.2169600000000003,0.984402,0.984402,0,0,0,0,1,0,0,0,0
xsbench,xsbench_XL64nuclide,2,0.20835336965597653,21.031680000000001,0.62432700000000008,0.62432299999999996,4.145385e-06,0,0,0,0.99998548821280087,1.4511787199152511e-05,0,0,0
xsbench,xsbench_XL64unionized,1,0.53232000000000002,1.21058,0.15429000000000001,0.15427199999999999,1.7843199999999999e-05,0,0,0,0.99988435295478195,0.00011564704521799469,0,0,0
xsbench,xsbench_XXL100hash,3,0.23783472857130328,7.076013333333333,0.72170533333333331,0.72170533333333331,0,0,0,0,1,0,0,0,0
xsbench,xsbench_XXL100nuclide,6,0.13942622019888046,38.548066666666664,0.96745433333333331,0.96745433333333331,0,0,0,0,1,0,0,0,0
xsbench,xsbench_XXL100unionized,1,0.20042200000000002,14.4061,0.52350099999999999,0.52350099999999999,0,0,0,0,1,0,0,0,0
xsbench,xsbench_XXL64hash,2,0.1948429367080059,11.86426,0.7551159999999999,0.7551159999999999,0,0,0,0,1,0,0,0,0
xsbench,xsbench_XXL64nuclide,3,0.1570663068977555,30.478033333333332,0.81870900000000002,0.81870900000000002,0,0,0,0,1,0,0,0,0
xsbench,xsbench_XXL64unionized,1,0.20051199999999997,14.409000000000001,0.52352500000000002,0.52352500000000002,0,0,0,0,1,0,0,0,0
spec06,gmean_spec06,18,0.4773208283626233,4.1986344444444441,0.40967786666666667,0.40881760555555557,0.00086039052888888879,0,0,0,0.99838140645384299,0.0016185935461570113,0,0,0
spec17,gmean_spec17,12,0.37044141683305243,6.6444066666666677,0.47481645,0.4739239833333333,0.00089232308333333339,0,0,0,0.99564964450465798,0.0043503554953420454,0,0,0
gap,gmean_gap,3,0.11814857785131215,53.144006666666662,0.82930500000000007,0.82930500000000007,0,0,0,0,1,0,0,0,0
ligra,gmean_ligra,10,0.42332714235485275,12.737698,0.52075395000000002,0.52075364999999996,3.9745919999999997e-07,0,0,0,0.99999949609704708,5.0390295301544096e-07,0,0,0
qmm,gmean_qmm,30,0.98178053529103082,3.1514366666666667,0.27212230000000004,0.24627141333333336,0.025850871064000001,0,0,0,0.77160349676485551,0.22839650323514452,0,0,0
parsec,gmean_parsec,6,0.40093270519106844,6.5133366666666666,0.38880199999999993,0.38877066666666665,3.1553433333333335e-05,0,0,0,0.99989559990171351,0.0001044000982864933,0,0,0
xsbench,gmean_xsbench,28,0.19885944844981504,21.804834285714286,0.74286474999999996,0.74286221428571431,2.5030096428571428e-06,0,0,0,0.99998552827959808,1.4471720401919101e-05,0,0,0
all,gmean_all,107,0.42525440564928263,11.086689532710279,0.48658081775700934,0.47908565046728968,0.0074951814757196261,0,0,0,0.93519373182598342,0.064806268174016524,0,0,0
