dataset,workload,trace_tag,trace_name,instructions,cycles,ipc,stlb_access,stlb_hit,stlb_miss,stlb_mpki,stlb_miss_rate,demand_data_miss,demand_data_miss_rate,demand_instruction_miss,demand_instruction_miss_rate,l1d_prefetch_miss,l1d_prefetch_miss_rate,l1i_prefetch_miss,l1i_prefetch_miss_rate,other_miss,other_miss_rate
spec06,403.gcc,403.gcc-17B,403.gcc-17B.champsimtrace.xz,100000002,153453483,0.65166299999999999,1118686,830894,287792,2.87792,0.25725900000000002,287741,0.25721300000000002,51,4.5589200000000001e-05,0,0,0,0,0,0
spec06,429.mcf,429.mcf-184B,429.mcf-184B.champsimtrace.xz,100000001,823390562,0.121449,9912691,9003768,908923,9.0892300000000006,0.091692899999999994,908923,0.091692899999999994,0,0,0,0,0,0,0,0
spec06,429.mcf,429.mcf-192B,429.mcf-192B.champsimtrace.xz,100000000,837707357,0.11937300000000001,14593255,14310769,282486,2.8248600000000001,0.019357300000000001,282485,0.019357200000000001,1,6.8524800000000002e-08,0,0,0,0,0,0
spec06,429.mcf,429.mcf-22B,429.mcf-22B.champsimtrace.xz,100000000,276157244,0.36211300000000002,486410,171562,314848,3.1484800000000002,0.647289,314848,0.647289,0,0,0,0,0,0,0,0
spec06,429.mcf,429.mcf-51B,429.mcf-51B.champsimtrace.xz,100000002,632877887,0.15800800000000001,7887194,6836757,1050437,10.5044,0.133183,1050437,0.133183,0,0,0,0,0,0,0,0
spec06,433.milc,433.milc-127B,433.milc-127B.champsimtrace.xz,100000004,132885580,0.75252699999999995,218105,13,218092,2.18092,0.99994000000000005,218092,0.99994000000000005,0,0,0,0,0,0,0,0
spec06,433.milc,433.milc-274B,433.milc-274B.champsimtrace.xz,100000001,113186721,0.88349599999999995,125521,4625,120896,1.20896,0.96315399999999995,120891,0.96311400000000003,5,3.9833999999999998e-05,0,0,0,0,0,0
spec06,433.milc,433.milc-337B,433.milc-337B.champsimtrace.xz,100000003,117032557,0.85446299999999997,196199,17,196182,1.9618199999999999,0.99991300000000005,196181,0.99990800000000002,1,5.0968699999999999e-06,0,0,0,0,0,0
spec06,436.cactusADM,436.cactusADM-1804B,436.cactusADM-1804B.champsimtrace.xz,100000003,73343773,1.36344,2572617,1631265,941352,9.4135200000000001,0.36591200000000002,941352,0.36591200000000002,0,0,0,0,0,0,0,0
spec06,450.soplex,450.soplex-247B,450.soplex-247B.champsimtrace.xz,100000000,255137123,0.39194600000000002,779787,673803,105984,1.0598399999999999,0.13591400000000001,105984,0.13591400000000001,0,0,0,0,0,0,0,0
