dataset,workload,num_traces,ipc,stlb_mpki,stlb_miss_rate,demand_data_miss_rate,demand_instruction_miss_rate,l1d_prefetch_miss_rate,l1i_prefetch_miss_rate,other_miss_rate,demand_data_share,demand_instruction_share,l1d_prefetch_share,l1i_prefetch_share,other_share
spec06,403.gcc,1,0.69089299999999998,2.9447299999999998,0.25767099999999998,0.22991700000000001,4.6376299999999998e-05,0.027707699999999998,0,0,0.89228893650691232,0.00017998254508902345,0.10753108094799863,0,0
spec06,429.mcf,4,0.20533027049564753,6.3978450000000002,0.21256900000000001,0.201996175,1.7130050000000001e-08,0.010572868875,0,0,0.9815461723366683,8.8454244388462731e-07,0.018452943120887893,0,0
spec06,433.milc,3,1.5591769601293444,1.7861933333333333,0.98568666666666671,0.00078069766666666665,1.491526e-05,0.98489133333333323,0,0,0.00079287137873572595,1.5458755845710514e-05,0.99919166986541852,0,0
spec06,436.cactusADM,1,1.8897600000000001,9.1468699999999998,0.33014300000000002,0.32688600000000001,0,0.0032570799999999999,0,0,0.99013433010417773,0,0.0098656698958222867,0,0
spec06,450.soplex,1,0.60840700000000003,1.12018,0.13911899999999999,0.095285900000000007,0,0.043832700000000002,0,0,0.68492563695120423,0,0.31507436304879571,0,0
spec06,459.GemsFDTD,3,1.2499974533546923,1.7139499999999999,0.21068853333333334,0.019481388666666665,9.1834666666666675e-07,0.19120623333333334,0,0,0.23412461127004033,5.2083849586928431e-06,0.76587018034500087,0,0
spec06,471.omnetpp,1,0.43608200000000003,5.2727899999999996,0.23316799999999999,0.16525000000000001,0.00027417000000000001,0.067643599999999998,0,0,0.7087177755988765,0.0011758480804280086,0.29010637632069547,0,0
spec06,473.astar,2,0.34711291054208859,13.138959999999999,0.40309299999999998,0.28098184999999998,1.3102500000000001e-06,0.1221098,0,0,0.59168365965976966,4.4206124316462806e-06,0.40831191972779868,0,0
spec06,483.xalancbmk,1,0.296097,3.4782600000000001,0.80712899999999999,0.78611699999999995,0.0123172,0.0086949100000000001,0,0,0.9739668684917171,0.015260503815125954,0.010772627693156924,0,0
spec17,602.gcc_s,1,0.73895500000000003,1.40638,0.93468300000000004,0.1396,0,0.79508299999999998,0,0,0.14935508184132312,0,0.85064491815867693,0,0
