dataset,workload,trace_tag,trace_name,instructions,cycles,ipc,stlb_access,stlb_hit,stlb_miss,stlb_mpki,stlb_miss_rate,stlb_demand_access,stlb_demand_hit,stlb_demand_miss,stlb_demand_mpki,stlb_demand_miss_rate,stlb_raw_demand_miss,stlb_raw_demand_mpki,cp_pb_demand_hit,cp_pb_demand_hit_mpki,stlb_pb_demand_miss,stlb_pb_demand_mpki,demand_data_miss,demand_data_miss_rate,demand_instruction_miss,demand_instruction_miss_rate,l1d_prefetch_miss,l1d_prefetch_miss_rate,l1i_prefetch_miss,l1i_prefetch_miss_rate,other_miss,other_miss_rate
spec06,401.bzip2,401.bzip2-226B,401.bzip2-226B.champsimtrace.xz,100000001,73059138,1.3687499999999999,602520,602312,208,0.0020799999999999998,0.00034521699999999998,602520,602312,208,0.0020799999999999998,0.00034521699999999998,0,0,0,0,0,0,0,0,0,0,208,0.00034521699999999998,0,0,0,0
spec06,401.bzip2,401.bzip2-277B,401.bzip2-277B.champsimtrace.xz,100000003,60823544,1.6440999999999999,515790,515159,631,0.0063099999999999996,0.0012233700000000001,515790,515159,631,0.0063099999999999996,0.0012233700000000001,252,0.0025200000000000001,252,0.0025200000000000001,0,0,252,0.00048857100000000004,0,0,379,0.000734795,0,0,0,0
spec06,401.bzip2,401.bzip2-38B,401.bzip2-38B.champsimtrace.xz,100000000,66607417,1.5013300000000001,558274,557263,1011,0.010109999999999999,0.00181094,558274,557263,1011,0.010109999999999999,0.00181094,394,0.0039399999999999999,251,0.0025100000000000001,143,0.0014300000000000001,394,0.00070574699999999995,2,3.58247e-06,615,0.00110161,0,0,0,0
spec06,403.gcc,403.gcc-17B,403.gcc-17B.champsimtrace.xz,100000002,144828757,0.69047099999999995,1142036,841604,300432,3.0043199999999999,0.263067,1142036,841604,300432,3.0043199999999999,0.263067,265466,2.6546599999999998,9613,0.096129999999999993,255853,2.5585300000000002,265466,0.23244999999999999,48,4.2030200000000003e-05,34918,0.0305752,0,0,0,0
spec06,410.bwaves,410.bwaves-1963B,410.bwaves-1963B.champsimtrace.xz,100000005,62283963,1.60555,82824,53631,29193,0.29193000000000002,0.35247000000000001,82824,53631,29193,0.29193000000000002,0.35247000000000001,3358,0.033579999999999999,457,0.0045700000000000003,2901,0.029010000000000001,3358,0.040543799999999998,0,0,25835,0.31192599999999998,0,0,0,0
spec06,410.bwaves,410.bwaves-2097B,410.bwaves-2097B.champsimtrace.xz,100000001,62319501,1.60463,113325,83965,29360,0.29360000000000003,0.25907799999999997,113325,83965,29360,0.29360000000000003,0.25907799999999997,3317,0.033169999999999998,569,0.0056899999999999997,2748,0.027480000000000001,3317,0.029269799999999999,0,0,26043,0.22980800000000001,0,0,0,0
spec06,429.mcf,429.mcf-184B,429.mcf-184B.champsimtrace.xz,100000002,825075428,0.121201,10004177,9093783,910394,9.1039399999999997,0.091001399999999996,10004177,9093783,910394,9.1039399999999997,0.091001399999999996,908776,9.0877599999999994,528,0.00528,908248,9.0824800000000003,908776,0.090839699999999995,0,0,1618,0.00016173199999999999,0,0,0,0
spec06,429.mcf,429.mcf-192B,429.mcf-192B.champsimtrace.xz,100000000,836465612,0.119551,14594304,14310729,283575,2.83575,0.0194305,14594304,14310729,283575,2.83575,0.0194305,282489,2.8248899999999999,698,0.0069800000000000001,281791,2.8179099999999999,282489,0.019356100000000001,1,6.8519900000000002e-08,1085,7.4344099999999999e-05,0,0,0,0
spec06,429.mcf,429.mcf-217B,429.mcf-217B.champsimtrace.xz,100000003,104289762,0.95886700000000002,312500,240207,72293,0.72292999999999996,0.23133799999999999,312500,240207,72293,0.72292999999999996,0.23133799999999999,7551,0.075509999999999994,969,0.0096900000000000007,6582,0.065820000000000004,7551,0.024163199999999999,0,0,64742,0.207174,0,0,0,0
spec06,429.mcf,429.mcf-22B,429.mcf-22B.champsimtrace.xz,100000002,128931248,0.77560700000000005,520860,183750,337110,3.3711000000000002,0.64721799999999996,520860,183750,337110,3.3711000000000002,0.64721799999999996,296158,2.9615800000000001,3214,0.032140000000000002,292944,2.92944,296158,0.56859400000000004,0,0,40952,0.078623799999999994,0,0,0,0
spec06,429.mcf,429.mcf-51B,429.mcf-51B.champsimtrace.xz,100000002,632242649,0.158167,7956940,6903183,1053757,10.537599999999999,0.13243199999999999,7956940,6903183,1053757,10.537599999999999,0.13243199999999999,1050247,10.5025,1137,0.01137,1049110,10.491099999999999,1050247,0.131991,0,0,3510,0.00044112399999999999,0,0,0,0
spec06,433.milc,433.milc-127B,433.milc-127B.champsimtrace.xz,100000003,71478163,1.39903,218159,2932,215227,2.1522700000000001,0.98655999999999999,218159,2932,215227,2.1522700000000001,0.98655999999999999,134,0.00134,44,0.00044000000000000002,90,0.00089999999999999998,134,0.00061423100000000002,0,0,215093,0.98594599999999999,0,0,0,0
spec06,433.milc,433.milc-274B,433.milc-274B.champsimtrace.xz,100000004,55986939,1.78613,126061,536,125525,1.25525,0.99574799999999997,126061,536,125525,1.25525,0.99574799999999997,199,0.00199,132,0.00132,67,0.00067000000000000002,199,0.0015786000000000001,5,3.9663299999999997e-05,125321,0.99412999999999996,0,0,0,0
spec06,433.milc,433.milc-337B,433.milc-337B.champsimtrace.xz,100000002,66210049,1.51034,197447,328,197119,1.97119,0.99833899999999998,197447,328,197119,1.97119,0.99833899999999998,152,0.0015200000000000001,124,0.00124,28,0.00027999999999999998,152,0.00076982699999999995,1,5.0646499999999999e-06,196966,0.99756400000000001,0,0,0,0
spec06,434.zeusmp,434.zeusmp-10B,434.zeusmp-10B.champsimtrace.xz,100000002,51836465,1.9291400000000001,1293068,1281107,11961,0.11960999999999999,0.0092500900000000007,1293068,1281107,11961,0.11960999999999999,0.0092500900000000007,3136,0.031359999999999999,1102,0.01102,2034,0.02034,3136,0.0024252399999999999,0,0,8825,0.0068248500000000004,0,0,0,0
spec06,435.gromacs,435.gromacs-226B,435.gromacs-226B.champsimtrace.xz,100000000,54593645,1.83172,345491,341655,3836,0.038359999999999998,0.011103,345491,341655,3836,0.038359999999999998,0.011103,498,0.0049800000000000001,343,0.0034299999999999999,155,0.0015499999999999999,498,0.0014414300000000001,28,8.1044099999999999e-05,3310,0.0095805700000000001,0,0,0,0
spec06,435.gromacs,435.gromacs-228B,435.gromacs-228B.champsimtrace.xz,100000001,23891687,4.1855599999999997,136056,133530,2526,0.025260000000000001,0.0185659,136056,133530,2526,0.025260000000000001,0.0185659,324,0.0032399999999999998,104,0.0010399999999999999,220,0.0022000000000000001,324,0.0023813699999999998,52,0.00038219600000000001,2150,0.015802299999999998,0,0,0,0
spec06,436.cactusADM,436.cactusADM-1804B,436.cactusADM-1804B.champsimtrace.xz,100000002,52885317,1.8908799999999999,2768875,1856491,912384,9.1238399999999995,0.32951399999999997,2768875,1856491,912384,9.1238399999999995,0.32951399999999997,898121,8.9812100000000008,2026,0.02026,896095,8.9609500000000004,898121,0.32436300000000001,0,0,14263,0.0051511899999999999,0,0,0,0
spec06,437.leslie3d,437.leslie3d-134B,437.leslie3d-134B.champsimtrace.xz,100000003,38692932,2.5844499999999999,86999,69497,17502,0.17502000000000001,0.20117499999999999,86999,69497,17502,0.17502000000000001,0.20117499999999999,4555,0.04555,4161,0.041610000000000001,394,0.0039399999999999999,4555,0.052356899999999998,9,0.00010344900000000001,12938,0.14871400000000001,0,0,0,0
spec06,437.leslie3d,437.leslie3d-149B,437.leslie3d-149B.champsimtrace.xz,100000001,42797069,2.3366099999999999,31824,5868,25956,0.25956000000000001,0.81561099999999997,31824,5868,25956,0.25956000000000001,0.81561099999999997,2712,0.027119999999999998,1265,0.01265,1447,0.01447,2712,0.085218699999999994,15,0.00047134199999999997,23229,0.72992100000000004,0,0,0,0
