dataset,workload,trace_tag,trace_name,instructions,cycles,ipc,stlb_access,stlb_hit,stlb_miss,stlb_mpki,stlb_miss_rate,stlb_demand_access,stlb_demand_hit,stlb_demand_miss,stlb_demand_mpki,stlb_demand_miss_rate,stlb_raw_demand_miss,stlb_raw_demand_mpki,cp_pb_demand_hit,cp_pb_demand_hit_mpki,stlb_pb_demand_miss,stlb_pb_demand_mpki,demand_data_miss,demand_data_miss_rate,demand_instruction_miss,demand_instruction_miss_rate,l1d_prefetch_miss,l1d_prefetch_miss_rate,l1i_prefetch_miss,l1i_prefetch_miss_rate,other_miss,other_miss_rate
spec06,401.bzip2,401.bzip2-226B,401.bzip2-226B.champsimtrace.xz,100000001,73275630,1.3647100000000001,603588,603543,45,0.00044999999999999999,7.4554200000000005e-05,603588,603543,45,0.00044999999999999999,7.4554200000000005e-05,0,0,0,0,0,0,0,0,0,0,45,7.4554200000000005e-05,0,0,0,0
spec06,401.bzip2,401.bzip2-277B,401.bzip2-277B.champsimtrace.xz,100000003,60830061,1.64392,515909,515569,340,0.0033999999999999998,0.00065903100000000003,515909,515569,340,0.0033999999999999998,0.00065903100000000003,0,0,0,0,0,0,0,0,0,0,340,0.00065903100000000003,0,0,0,0
spec06,401.bzip2,401.bzip2-38B,401.bzip2-38B.champsimtrace.xz,100000000,66577789,1.502,557614,557148,466,0.0046600000000000001,0.00083570400000000005,557614,557148,466,0.0046600000000000001,0.00083570400000000005,44,0.00044000000000000002,0,0,44,0.00044000000000000002,44,7.8907599999999996e-05,2,3.5867100000000002e-06,420,0.00075320900000000002,0,0,0,0
spec06,403.gcc,403.gcc-17B,403.gcc-17B.champsimtrace.xz,100000001,144740299,0.69089299999999998,1142824,848351,294473,2.9447299999999998,0.25767099999999998,1142824,848351,294473,2.9447299999999998,0.25767099999999998,nan,nan,nan,nan,nan,nan,262755,0.22991700000000001,53,4.6376299999999998e-05,31665,0.027707699999999998,0,0,0,0
spec06,410.bwaves,410.bwaves-1963B,410.bwaves-1963B.champsimtrace.xz,100000003,62308743,1.6049100000000001,83018,55114,27904,0.27904000000000001,0.33611999999999997,83018,55114,27904,0.27904000000000001,0.33611999999999997,2938,0.02938,0,0,2938,0.02938,2938,0.035389900000000002,0,0,24966,0.30073,0,0,0,0
spec06,410.bwaves,410.bwaves-2097B,410.bwaves-2097B.champsimtrace.xz,100000001,62289111,1.6054200000000001,113915,86075,27840,0.27839999999999998,0.244393,113915,86075,27840,0.27839999999999998,0.244393,2779,0.027789999999999999,0,0,2779,0.027789999999999999,2779,0.024395400000000001,0,0,25061,0.219997,0,0,0,0
spec06,429.mcf,429.mcf-184B,429.mcf-184B.champsimtrace.xz,100000001,824823780,0.121238,9992848,9083589,909259,9.0925899999999995,0.090991000000000002,9992848,9083589,909259,9.0925899999999995,0.090991000000000002,nan,nan,nan,nan,nan,nan,908561,0.090921100000000005,0,0,698,6.9850000000000004e-05,0,0,0,0
spec06,429.mcf,429.mcf-192B,429.mcf-192B.champsimtrace.xz,100000000,835208137,0.119731,14594234,14311602,282632,2.8263199999999999,0.019366000000000001,14594234,14311602,282632,2.8263199999999999,0.019366000000000001,nan,nan,nan,nan,nan,nan,281940,0.019318599999999998,1,6.8520200000000005e-08,691,4.73475e-05,0,0,0,0
spec06,429.mcf,429.mcf-217B,429.mcf-217B.champsimtrace.xz,100000004,104399929,0.95785500000000001,310996,215620,95376,0.95376000000000005,0.30667899999999998,310996,215620,95376,0.95376000000000005,0.30667899999999998,7272,0.072720000000000007,0,0,7272,0.072720000000000007,7272,0.023382900000000002,0,0,88104,0.28329599999999999,0,0,0,0
spec06,429.mcf,429.mcf-22B,429.mcf-22B.champsimtrace.xz,100000002,128761220,0.77663099999999996,518590,203383,315207,3.1520700000000001,0.60781499999999999,518590,203383,315207,3.1520700000000001,0.60781499999999999,nan,nan,nan,nan,nan,nan,293442,0.56584599999999996,0,0,21765,0.041969600000000003,0,0,0,0
spec06,429.mcf,429.mcf-51B,429.mcf-51B.champsimtrace.xz,100000005,634233979,0.15767100000000001,7963716,6911680,1052036,10.5204,0.132104,7963716,6911680,1052036,10.5204,0.132104,nan,nan,nan,nan,nan,nan,1050406,0.13189899999999999,0,0,1630,0.00020467799999999999,0,0,0,0
spec06,433.milc,433.milc-127B,433.milc-127B.champsimtrace.xz,100000002,71895335,1.3909100000000001,218172,25,218147,2.18147,0.99988500000000002,218172,25,218147,2.18147,0.99988500000000002,nan,nan,nan,nan,nan,nan,164,0.0007517,0,0,217983,0.99913399999999997,0,0,0,0
spec06,433.milc,433.milc-274B,433.milc-274B.champsimtrace.xz,100000004,55490243,1.8021199999999999,126011,4917,121094,1.2109399999999999,0.96097999999999995,126011,4917,121094,1.2109399999999999,0.96097999999999995,nan,nan,nan,nan,nan,nan,104,0.00082532500000000002,5,3.9679099999999998e-05,120985,0.96011500000000005,0,0,0,0
spec06,433.milc,433.milc-337B,433.milc-337B.champsimtrace.xz,100000000,66129491,1.5121800000000001,197368,751,196617,1.96617,0.99619500000000005,197368,751,196617,1.96617,0.99619500000000005,nan,nan,nan,nan,nan,nan,151,0.00076506800000000004,1,5.0666800000000004e-06,196465,0.995425,0,0,0,0
spec06,434.zeusmp,434.zeusmp-10B,434.zeusmp-10B.champsimtrace.xz,100000002,51595126,1.9381699999999999,1293451,1289843,3608,0.036080000000000001,0.0027894399999999998,1293451,1289843,3608,0.036080000000000001,0.0027894399999999998,2222,0.02222,0,0,2222,0.02222,2222,0.00171788,0,0,1386,0.0010715500000000001,0,0,0,0
spec06,435.gromacs,435.gromacs-226B,435.gromacs-226B.champsimtrace.xz,100000001,54637889,1.83023,345401,344279,1122,0.011220000000000001,0.0032483999999999998,345401,344279,1122,0.011220000000000001,0.0032483999999999998,153,0.0015299999999999999,0,0,153,0.0015299999999999999,153,0.00044296299999999999,28,8.1065199999999998e-05,941,0.0027243699999999998,0,0,0,0
spec06,435.gromacs,435.gromacs-228B,435.gromacs-228B.champsimtrace.xz,100000001,23939337,4.1772299999999998,135948,134596,1352,0.013520000000000001,0.0099449800000000008,135948,134596,1352,0.013520000000000001,0.0099449800000000008,234,0.0023400000000000001,0,0,234,0.0023400000000000001,234,0.0017212499999999999,52,0.00038249900000000001,1066,0.0078412299999999994,0,0,0,0
spec06,436.cactusADM,436.cactusADM-1804B,436.cactusADM-1804B.champsimtrace.xz,100000002,52916647,1.8897600000000001,2770576,1855889,914687,9.1468699999999998,0.33014300000000002,2770576,1855889,914687,9.1468699999999998,0.33014300000000002,nan,nan,nan,nan,nan,nan,905663,0.32688600000000001,0,0,9024,0.0032570799999999999,0,0,0,0
spec06,437.leslie3d,437.leslie3d-134B,437.leslie3d-134B.champsimtrace.xz,100000000,38644548,2.5876899999999998,87009,80840,6169,0.061690000000000002,0.070900699999999997,87009,80840,6169,0.061690000000000002,0.070900699999999997,317,0.0031700000000000001,0,0,317,0.0031700000000000001,317,0.0036432999999999999,9,0.00010343799999999999,5843,0.067154000000000005,0,0,0,0
spec06,437.leslie3d,437.leslie3d-149B,437.leslie3d-149B.champsimtrace.xz,100000001,42739281,2.3397700000000001,31856,5596,26260,0.2626,0.82433500000000004,31856,5596,26260,0.2626,0.82433500000000004,1913,0.019130000000000001,0,0,1913,0.019130000000000001,1913,0.060051500000000001,15,0.00047086900000000001,24332,0.76381200000000005,0,0,0,0
spec06,437.leslie3d,437.leslie3d-232B,437.leslie3d-232B.champsimtrace.xz,100000004,35792637,2.7938700000000001,21930,13015,8915,0.089149999999999993,0.40652100000000002,21930,13015,8915,0.089149999999999993,0.40652100000000002,330,0.0033,0,0,330,0.0033,330,0.015047899999999999,7,0.00031919700000000001,8578,0.391154,0,0,0,0
spec06,437.leslie3d,437.leslie3d-265B,437.leslie3d-265B.champsimtrace.xz,100000002,36201549,2.7623099999999998,24010,17665,6345,0.063450000000000006,0.26426500000000003,24010,17665,6345,0.063450000000000006,0.26426500000000003,520,0.0051999999999999998,0,0,520,0.0051999999999999998,520,0.021657599999999999,7,0.00029154499999999999,5818,0.242316,0,0,0,0
spec06,437.leslie3d,437.leslie3d-271B,437.leslie3d-271B.champsimtrace.xz,100000003,37838176,2.64283,18907,5904,13003,0.13003000000000001,0.68773499999999999,18907,5904,13003,0.13003000000000001,0.68773499999999999,534,0.0053400000000000001,0,0,534,0.0053400000000000001,534,0.028243500000000001,2,0.000105781,12467,0.659385,0,0,0,0
spec06,437.leslie3d,437.leslie3d-273B,437.leslie3d-273B.champsimtrace.xz,100000001,37813933,2.64453,14766,956,13810,0.1381,0.93525700000000001,14766,956,13810,0.1381,0.93525700000000001,490,0.0048999999999999998,0,0,490,0.0048999999999999998,490,0.0331843,2,0.000135446,13318,0.90193699999999999,0,0,0,0
spec06,445.gobmk,445.gobmk-30B,445.gobmk-30B.champsimtrace.xz,100000005,78424121,1.27512,41362,32047,9315,0.093149999999999997,0.22520699999999999,41362,32047,9315,0.093149999999999997,0.22520699999999999,8869,0.088690000000000005,0,0,8869,0.088690000000000005,8869,0.214424,79,0.00190997,367,0.0088728799999999997,0,0,0,0
spec06,450.soplex,450.soplex-247B,450.soplex-247B.champsimtrace.xz,100000000,164363731,0.60840700000000003,805198,693180,112018,1.12018,0.13911899999999999,805198,693180,112018,1.12018,0.13911899999999999,nan,nan,nan,nan,nan,nan,76724,0.095285900000000007,0,0,35294,0.043832700000000002,0,0,0,0
spec06,450.soplex,450.soplex-92B,450.soplex-92B.champsimtrace.xz,100000002,158904583,0.62930799999999998,571575,482578,88997,0.88997000000000004,0.15570500000000001,571575,482578,88997,0.88997000000000004,0.15570500000000001,63530,0.63529999999999998,0,0,63530,0.63529999999999998,63530,0.111149,12,2.0994600000000001e-05,25455,0.044534799999999999,0,0,0,0
spec06,454.calculix,454.calculix-460B,454.calculix-460B.champsimtrace.xz,100000001,23829057,4.1965599999999998,59422,58246,1176,0.01176,0.019790599999999998,59422,58246,1176,0.01176,0.019790599999999998,319,0.0031900000000000001,0,0,319,0.0031900000000000001,319,0.0053683799999999999,34,0.00057217900000000003,823,0.013850100000000001,0,0,0,0
spec06,459.GemsFDTD,459.GemsFDTD-1169B,459.GemsFDTD-1169B.champsimtrace.xz,100000000,85425924,1.1706000000000001,2377668,2199943,177725,1.77725,0.074747599999999997,2377668,2199943,177725,1.77725,0.074747599999999997,nan,nan,nan,nan,nan,nan,121159,0.050957099999999998,2,8.4116000000000005e-07,56564,0.0237897,0,0,0,0
spec06,459.GemsFDTD,459.GemsFDTD-1211B,459.GemsFDTD-1211B.champsimtrace.xz,100000004,73943729,1.3523799999999999,901123,793401,107722,1.0772200000000001,0.119542,901123,793401,107722,1.0772200000000001,0.119542,nan,nan,nan,nan,nan,nan,526,0.00058371599999999997,0,0,107196,0.11895799999999999,0,0,0,0
spec06,459.GemsFDTD,459.GemsFDTD-1320B,459.GemsFDTD-1320B.champsimtrace.xz,100000000,87268657,1.1458900000000001,1622605,1550035,72570,0.72570000000000001,0.044724399999999997,1622605,1550035,72570,0.72570000000000001,0.044724399999999997,55236,0.55235999999999996,0,0,55236,0.55235999999999996,55236,0.034041599999999998,13,8.0118100000000008e-06,17321,0.0106748,0,0,0,0
spec06,459.GemsFDTD,459.GemsFDTD-1418B,459.GemsFDTD-1418B.champsimtrace.xz,100000001,69991344,1.42875,706860,697158,9702,0.097019999999999995,0.0137255,706860,697158,9702,0.097019999999999995,0.0137255,531,0.0053099999999999996,0,0,531,0.0053099999999999996,531,0.00075120999999999999,0,0,9171,0.012974299999999999,0,0,0,0
spec06,459.GemsFDTD,459.GemsFDTD-1491B,459.GemsFDTD-1491B.champsimtrace.xz,100000003,96218436,1.0392999999999999,42479,10918,31561,0.31561,0.74297899999999995,42479,10918,31561,0.31561,0.74297899999999995,4036,0.04036,0,0,4036,0.04036,4036,0.095011700000000004,0,0,27525,0.64796699999999996,0,0,0,0
spec06,459.GemsFDTD,459.GemsFDTD-765B,459.GemsFDTD-765B.champsimtrace.xz,100000000,81055109,1.23373,522500,293762,228738,2.2873800000000002,0.437776,522500,293762,228738,2.2873800000000002,0.437776,nan,nan,nan,nan,nan,nan,3607,0.0069033499999999999,1,1.9138799999999999e-06,225130,0.430871,0,0,0,0
spec06,462.libquantum,462.libquantum-1343B,462.libquantum-1343B.champsimtrace.xz,100000000,61373143,1.6293800000000001,37125,0,37125,0.37125000000000002,1,37125,0,37125,0.37125000000000002,1,1536,0.01536,0,0,1536,0.01536,1536,0.041373699999999999,0,0,35589,0.95862599999999998,0,0,0,0
spec06,462.libquantum,462.libquantum-714B,462.libquantum-714B.champsimtrace.xz,100000000,77936265,1.2830999999999999,41441,0,41441,0.41441,1,41441,0,41441,0.41441,1,4714,0.047140000000000001,0,0,4714,0.047140000000000001,4714,0.11375200000000001,0,0,36727,0.88624800000000004,0,0,0,0
spec06,470.lbm,470.lbm-1274B,470.lbm-1274B.champsimtrace.xz,100000004,135843269,0.73614299999999999,44813,390,44423,0.44423000000000001,0.99129699999999998,44813,390,44423,0.44423000000000001,0.99129699999999998,30424,0.30424000000000001,0,0,30424,0.30424000000000001,30424,0.67891000000000001,0,0,13999,0.31238700000000003,0,0,0,0
spec06,471.omnetpp,471.omnetpp-188B,471.omnetpp-188B.champsimtrace.xz,100000000,229314704,0.43608200000000003,2261368,1734089,527279,5.2727899999999996,0.23316799999999999,2261368,1734089,527279,5.2727899999999996,0.23316799999999999,nan,nan,nan,nan,nan,nan,373692,0.16525000000000001,620,0.00027417000000000001,152967,0.067643599999999998,0,0,0,0
spec06,473.astar,473.astar-153B,473.astar-153B.champsimtrace.xz,100000003,43156924,2.3171300000000001,421539,411339,10200,0.10199999999999999,0.024197,421539,411339,10200,0.10199999999999999,0.024197,2631,0.02631,0,0,2631,0.02631,2631,0.0062414200000000001,0,0,7569,0.017955599999999999,0,0,0,0
spec06,473.astar,473.astar-359B,473.astar-359B.champsimtrace.xz,100000002,515557167,0.193965,3379708,1656767,1722941,17.229399999999998,0.50978999999999997,3379708,1656767,1722941,17.229399999999998,0.50978999999999997,nan,nan,nan,nan,nan,nan,1705378,0.50459299999999996,0,0,17563,0.0051966,0,0,0,0
spec06,473.astar,473.astar-42B,473.astar-42B.champsimtrace.xz,100000000,160983567,0.62118099999999998,3052848,2147996,904852,9.0485199999999999,0.29639599999999999,3052848,2147996,904852,9.0485199999999999,0.29639599999999999,nan,nan,nan,nan,nan,nan,175144,0.057370699999999997,8,2.6205000000000002e-06,729700,0.23902300000000001,0,0,0,0
spec06,481.wrf,481.wrf-1254B,481.wrf-1254B.champsimtrace.xz,100000002,26446159,3.7812700000000001,9445,4524,4921,0.049209999999999997,0.52101600000000003,9445,4524,4921,0.049209999999999997,0.52101600000000003,209,0.0020899999999999998,0,0,209,0.0020899999999999998,209,0.022128100000000001,3,0.00031762799999999998,4709,0.49857099999999999,0,0,0,0
